turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.909662000162516,21.066982692463956,24.04165149792423,0.060502466,2,99.99379362130303,First,SpeedUp,non,False,None,False
2, 21.99435743322228,21.148420608867575,24.04165149792423,0.1815074,2,99.98973062196629,First,SpeedUp,non,False,None,False
3, 21.925475371686478,21.082187857390842,24.04165149792423,0.3630148,2,99.98738703684162,First,SpeedUp,non,False,None,False
4, 21.912458362440418,21.069671502346555,24.04165149792423,0.60502464,2,99.98626823992282,First,SpeedUp,non,False,None,False
5, 22.00085795811228,21.1546711135695,24.04165149792423,0.907537,2,99.985938489252,First,SpeedUp,non,False,None,False
6, 21.90102572788185,21.05867858450178,24.04165149792423,1.2705518,2,99.985938489252,First,SpeedUp,non,False,None,False
7, 21.951482377439458,21.107194593691787,24.04165149792423,1.694069,2,99.98578539072628,First,SpeedUp,non,False,None,False
8, 21.960661716329852,21.116020881086396,24.04165149792423,2.1780887,2,99.98504345171696,First,SpeedUp,non,False,None,False
9, 21.93654530674325,21.09283202571466,24.04165149792423,2.722611,2,99.9832415998372,First,SpeedUp,non,False,None,False
10, 21.921462815851317,21.078329630626264,24.04165149792423,3.3276355,2,99.97992053950978,First,SpeedUp,non,False,None,False
11, 21.915234601300217,21.07234096278867,24.04165149792423,3.9931626,2,99.97460919834785,First,SpeedUp,non,False,None,False
12, 21.907967149436328,21.06535302830416,24.04165149792423,4.719192,2,99.96687183439356,First,SpeedUp,non,False,None,False
13, 21.912537175963152,21.069747284579954,24.04165149792423,5.505724,2,99.95623737526003,First,SpeedUp,non,False,None,False
14, 21.885054526291096,21.043321659895284,24.04165149792423,6.3527584,2,99.94223474856041,First,SpeedUp,non,False,None,False
15, 21.962155798481522,21.117457498539924,24.04165149792423,7.2602954,2,99.92442821233682,First,SpeedUp,non,False,None,False
16, 21.930745278840526,21.087255075808198,24.04165149792423,8.228334,2,99.90233491739275,First,SpeedUp,non,False,None,False
17, 21.983592786281392,21.13806998680903,24.04165149792423,9.256876,2,99.87550734496065,First,SpeedUp,non,False,None,False
18, 21.897468099531466,21.055257788011023,24.04165149792423,10.345921,2,99.84348619946336,First,SpeedUp,non,False,None,False
19, 21.92440311274991,21.081156839182604,24.04165149792423,11.495467,2,99.80580040851397,First,SpeedUp,non,False,None,False
20, 21.952766281755387,21.108429117072486,24.04165149792423,12.642014,2,99.76840903780639,First,SpeedUp,non,False,None,False
21, 21.933326149535443,21.08973668224562,24.04165149792423,13.785561,2,99.73131208734058,First,SpeedUp,non,False,None,False
22, 21.927469878262524,21.084105652175502,24.04165149792423,14.926107,2,99.69449778030692,First,SpeedUp,non,False,None,False
23, 21.899595439333144,21.0573033070511,24.04165149792423,16.063654,2,99.6579896703247,First,SpeedUp,non,False,None,False
24, 21.881917245918647,21.040305044152543,24.04165149792423,17.1982,2,99.62174065015526,First,SpeedUp,non,False,None,False
