turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.87327741170238,19.87327741170238,21.5238951047209,0.06019349,7,99.98461056179991,First,non,non,False,None,False
2, 19.947727979083787,19.947727979083787,21.5238951047209,0.18058047,7,99.97420358533451,First,non,non,False,None,False
3, 19.90284372232636,19.90284372232636,21.5238951047209,0.36116093,7,99.96779007068052,First,non,non,False,None,False
4, 19.864586698217884,19.864586698217884,21.5238951047209,0.6019349,7,99.96441848003299,First,non,non,False,None,False
5, 19.928716051219546,19.928716051219546,21.5238951047209,0.90290236,7,99.96310730589228,First,non,non,False,None,False
6, 19.909810883152797,19.909810883152797,21.5238951047209,1.2640634,7,99.96291250287709,First,non,non,False,None,False
7, 19.919289216742598,19.919289216742598,21.5238951047209,1.6854178,7,99.9628525634878,First,non,non,False,None,False
8, 19.9426419444376,19.9426419444376,21.5238951047209,2.1669657,7,99.96196096507212,First,non,non,False,None,False
9, 19.835539878801605,19.835539878801605,21.5238951047209,2.708707,7,99.95927867740141,First,non,non,False,None,False
10, 19.928403348402316,19.928403348402316,21.5238951047209,3.310642,7,99.95386165509437,First,non,non,False,None,False
11, 19.836907564599155,19.836907564599155,21.5238951047209,3.9727705,7,99.94470591338039,First,non,non,False,None,False
12, 19.855083125352582,19.855083125352582,21.5238951047209,4.695092,7,99.93086740687816,First,non,non,False,None,False
13, 19.887862636469404,19.887862636469404,21.5238951047209,5.4776077,7,99.91137961293539,First,non,non,False,None,False
14, 19.94067847029619,19.94067847029619,21.5238951047209,6.320317,7,99.88526851647613,First,non,non,False,None,False
15, 19.85092104403104,19.85092104403104,21.5238951047209,7.223219,7,99.85157508727175,First,non,non,False,None,False
16, 19.8316787472494,19.8316787472494,21.5238951047209,8.186315,7,99.80934778751725,First,non,non,False,None,False
17, 19.828808352761474,19.828808352761474,21.5238951047209,9.209604,7,99.75760510971305,First,non,non,False,None,False
18, 19.94022777672146,19.94022777672146,21.5238951047209,10.229894,7,99.70634943944683,First,non,non,False,None,False
19, 19.93435486988336,19.93435486988336,21.5238951047209,11.247183,7,99.65558826914224,First,non,non,False,None,False
20, 21.77357474054821,19.827838944317772,21.5238951047209,12.263436,6.95,99.60480462156667,First,non,InsideOvertaking,False,None,False
21, 20.628531777614732,19.929877809699192,21.5238951047209,13.279883,6.8999996,99.55399100429645,First,non,InsideOvertaking,False,None,False
22, 20.214182061981955,19.885486376126018,21.5238951047209,14.293327,6.8499994,99.50367188698787,First,non,InsideOvertaking,False,None,False
23, 21.29213892033549,19.918032399993788,21.5238951047209,15.306965,6.799999,99.45330781513734,First,non,InsideOvertaking,False,None,False
24, 21.663349574951354,19.828054750631203,21.5238951047209,16.320797,6.749999,99.4029212660158,First,non,InsideOvertaking,False,None,False
25, 22.05573449284446,19.873619738022924,21.5238951047209,17.334822,6.699999,99.35249725477597,First,non,InsideOvertaking,False,None,False
26, 21.866829185418943,19.854636985788343,21.5238951047209,18.349041,6.6499987,99.30204327384149,First,non,InsideOvertaking,False,None,False
27, 20.41974693741259,19.82397699607302,21.5238951047209,19.363453,6.5999985,99.25155932321236,First,non,InsideOvertaking,False,None,False
28, 20.818747478437214,19.830632472647043,21.5238951047209,20.37806,6.5499983,99.2010454028886,First,non,InsideOvertaking,False,None,False
29, 21.17591983803317,19.92922656635231,21.5238951047209,21.392859,6.499998,99.15049402044652,First,non,InsideOvertaking,False,None,False
30, 21.540849848467758,19.832760460322497,21.5238951047209,22.407852,6.449998,99.0999126683098,First,non,InsideOvertaking,False,None,False
31, 21.30603641951181,19.93816061160322,21.5238951047209,23.423038,6.3999977,99.04930134647844,First,non,InsideOvertaking,False,None,False
32, 21.72863334470937,19.908896140387945,21.5238951047209,24.43842,6.3499975,98.99866005495242,First,non,InsideOvertaking,False,None,False
33, 20.83991391701778,19.82748768831585,21.5238951047209,25.453995,6.2999973,98.94798879373178,First,non,InsideOvertaking,False,None,False
34, 21.986107755830833,19.940103908110345,21.5238951047209,26.469763,6.249997,98.89728007039281,First,non,InsideOvertaking,False,None,False
35, 21.256829894661937,19.870824074713326,21.5238951047209,27.485725,6.199997,98.84654137735922,First,non,InsideOvertaking,False,None,False
36, 20.326120123920088,19.888495789780276,21.5238951047209,28.498684,6.1499968,98.79628969186359,First,non,InsideOvertaking,False,None,False
37, 20.13864840038704,19.84277105624595,21.5238951047209,29.508638,6.0999966,98.74653999875326,First,non,InsideOvertaking,False,None,False
38, 21.4288092533634,19.884891017614514,21.5238951047209,30.518787,6.0499964,98.69674535110096,First,non,InsideOvertaking,False,None,False
39, 21.041441502003945,19.92471446560693,21.5238951047209,31.529129,5.999996,98.64692073375403,First,non,InsideOvertaking,False,None,False
40, 20.26500448928452,19.861468751065754,21.5238951047209,32.539665,5.949996,98.5970736391361,First,non,InsideOvertaking,False,None,False
41, 21.405543925028123,19.877989044599193,21.5238951047209,33.550396,5.899996,98.54718908239987,First,non,InsideOvertaking,False,None,False
42, 21.89191857976222,19.9127655962318,21.5238951047209,34.561317,5.8499956,98.497274555969,First,non,InsideOvertaking,False,None,False
43, 20.30179509047148,19.93689722703739,21.5238951047209,35.572433,5.7999954,98.44733005984348,First,non,InsideOvertaking,False,None,False
44, 21.781258954579773,19.919829570281344,21.5238951047209,36.583744,5.749995,98.39735559402332,First,non,InsideOvertaking,False,None,False
45, 20.362300944289274,19.94260999984676,21.5238951047209,37.59525,5.699995,98.34734366608485,First,non,InsideOvertaking,False,None,False
46, 20.778623767428673,19.93341642035116,21.5238951047209,38.60695,5.649995,98.2973092608754,First,non,InsideOvertaking,False,None,False
47, 20.084025369826804,19.84926465315745,21.5238951047209,39.615643,5.5999947,98.24775437078027,First,non,InsideOvertaking,False,None,False
48, 20.757783975449772,19.84921696243799,21.5238951047209,40.62453,5.5499945,98.19816951099048,First,non,InsideOvertaking,False,None,False
49, 21.329152075968057,19.93806579704375,21.5238951047209,41.633614,5.4999943,98.14855468150606,First,non,InsideOvertaking,False,None,False
50, 20.161306908262464,19.934822555160842,21.5238951047209,42.63969,5.449994,98.09941936713595,First,non,InsideOvertaking,False,None,False
51, 20.677648498190116,19.848981314081065,21.5238951047209,43.64596,5.399994,98.05026157549486,First,non,InsideOvertaking,False,None,False
52, 21.688555816637624,19.941030243801215,21.5238951047209,44.652428,5.3499937,98.00107381415911,First,non,InsideOvertaking,False,None,False
53, 20.357294118534604,19.90233223003381,21.5238951047209,45.65909,5.2999935,97.95184859070508,First,non,InsideOvertaking,False,None,False
54, 22.022619181441332,19.91545186046562,21.5238951047209,46.665943,5.2499933,97.90260088998005,First,non,InsideOvertaking,False,None,False
55, 20.43287003739647,19.880677237241105,21.5238951047209,47.67299,5.199993,97.85331572713672,First,non,InsideOvertaking,False,None,False
56, 20.819909127413748,19.863276516273604,21.5238951047209,48.68023,5.149993,97.80399310217508,First,non,InsideOvertaking,False,None,False
57, 21.823383294005605,19.88513446423237,21.5238951047209,49.687664,5.0999928,97.75464799994245,First,non,InsideOvertaking,False,None,False
58, 21.590730791503677,19.90254750777018,21.5238951047209,50.695293,5.0499926,97.70526543559153,First,non,InsideOvertaking,False,None,False
59, 21.071200506463832,19.945873344971403,21.5238951047209,51.703114,4.9999924,97.65586039396962,First,non,InsideOvertaking,False,None,False
60, 21.889747476879382,19.891356421116054,21.5238951047209,52.71113,4.949992,97.60641039780573,First,non,InsideOvertaking,False,None,False
61, 21.968846815689794,19.945187920212984,21.5238951047209,53.719337,4.899992,97.55693792437087,First,non,InsideOvertaking,False,None,False
62, 20.54713607148271,19.878441405606793,21.5238951047209,54.72774,4.849992,97.50743548124137,First,non,InsideOvertaking,False,None,False
