turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.199411098330888,20.384049133010468,21.873936119382876,0.060196437,5,99.99079475899006,First,SpeedUp,non,False,None,False
2, 21.157145647316945,20.343409276266293,21.873936119382876,0.18058932,5,99.98456328902067,First,SpeedUp,non,False,None,False
3, 21.079872475552175,20.269108149569398,21.873936119382876,0.36117864,5,99.98073773431524,First,SpeedUp,non,False,None,False
4, 21.09527503809626,20.28391830586179,21.873936119382876,0.60196435,5,99.97871288016451,First,SpeedUp,non,False,None,False
5, 21.191762011792488,20.37669424210816,21.873936119382876,0.90294653,5,99.97793581436497,First,SpeedUp,non,False,None,False
6, 21.19587326720479,20.380647372312296,21.873936119382876,1.2641251,5,99.97780132220736,First,SpeedUp,non,False,None,False
7, 21.13502003865595,20.322134652553796,21.873936119382876,1.6855001,5,99.97777143506121,First,SpeedUp,non,False,None,False
8, 21.124643387283996,20.312157103157688,21.873936119382876,2.1670716,5,99.9772409382173,First,SpeedUp,non,False,None,False
9, 21.093728583133572,20.282431329936127,21.873936119382876,2.7088394,5,99.97564197589901,First,SpeedUp,non,False,None,False
10, 21.094230673181773,20.282914108828628,21.873936119382876,3.310804,5,99.97238427697017,First,SpeedUp,non,False,None,False
11, 21.175899279284486,20.36144161469662,21.873936119382876,3.9729648,5,99.96691492922724,First,SpeedUp,non,False,None,False
12, 21.11236364234243,20.30034965609849,21.873936119382876,4.695322,5,99.95863618974752,First,SpeedUp,non,False,None,False
13, 21.084961974143308,20.274001898214717,21.873936119382876,5.4778757,5,99.94695778739481,First,SpeedUp,non,False,None,False
14, 21.181546057642368,20.36687120927151,21.873936119382876,6.320626,5,99.93134175353865,First,SpeedUp,non,False,None,False
15, 21.17399707632008,20.35961257338469,21.873936119382876,7.2235723,5,99.91117540168325,First,SpeedUp,non,False,None,False
16, 21.107887383503805,20.29604556106135,21.873936119382876,8.186715,5,99.88589834783858,First,SpeedUp,non,False,None,False
17, 21.081583831103863,20.270753683753714,21.873936119382876,9.210054,5,99.85494273622801,First,SpeedUp,non,False,None,False
18, 21.20402191986235,20.388482615252258,21.873936119382876,10.293591,5,99.81769588035579,First,SpeedUp,non,False,None,False
19, 21.162770369611135,20.34881766308763,21.873936119382876,11.374126,5,99.78079272666413,First,SpeedUp,non,False,None,False
20, 21.136334427423243,20.323398487906964,21.873936119382876,12.451662,5,99.7442033880069,First,SpeedUp,non,False,None,False
21, 21.187921255459464,20.37300120717256,21.873936119382876,13.526197,5,99.70794280795717,First,SpeedUp,non,False,None,False
22, 21.207901641480493,20.392213116808165,21.873936119382876,14.5977335,5,99.67199604294186,First,SpeedUp,non,False,None,False
23, 21.116992386279406,20.304800371422505,21.873936119382876,15.666269,5,99.63637803653405,First,SpeedUp,non,False,None,False
24, 21.084852013830428,20.273896167144642,21.873936119382876,16.731806,5,99.60107384516068,First,SpeedUp,non,False,None,False
25, 21.202014597627727,20.386552497718966,21.873936119382876,17.794342,5,99.56609841239481,First,SpeedUp,non,False,None,False
26, 21.19615524015173,20.380918500145892,21.873936119382876,18.853878,5,99.53142185109029,First,SpeedUp,non,False,None,False
27, 21.102108945936152,20.290489371092452,21.873936119382876,19.910414,5,99.49707404839327,First,SpeedUp,non,False,None,False
28, 21.164078716946268,20.350075689371412,21.873936119382876,20.967146,5,99.46269635855012,First,SpeedUp,non,False,None,False
29, 21.16975877372384,20.355537282426766,21.873936119382876,22.024075,5,99.4283037251339,First,SpeedUp,non,False,None,False
30, 21.17476493844333,20.360350902349357,21.873936119382876,23.0812,5,99.39388120457154,First,SpeedUp,non,False,None,False
31, 21.15099511494154,20.337495302828405,21.873936119382876,24.138521,5,99.35945868400918,First,SpeedUp,non,False,None,False
32, 21.08592297597188,20.2749259384345,21.873936119382876,25.192842,5,99.32532756312166,First,SpeedUp,non,False,None,False
33, 21.189634083432015,20.37464815714617,21.873936119382876,26.24736,5,99.29119644223414,First,SpeedUp,non,False,None,False
