turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.184293419672702,20.369512903531444,21.9509993924993,0.060196437,4,99.99079475899006,First,SpeedUp,non,False,None,False
2, 21.18911606551316,20.374150062993422,21.9509993924993,0.18058932,4,99.98456328902067,First,SpeedUp,non,False,None,False
3, 21.153703700077113,20.34009971161261,21.9509993924993,0.36117864,4,99.98073773431524,First,SpeedUp,non,False,None,False
4, 21.107285883914415,20.295467196071552,21.9509993924993,0.60196435,4,99.97871288016451,First,SpeedUp,non,False,None,False
5, 21.208312477831758,20.392608151761305,21.9509993924993,0.90294653,4,99.97793581436497,First,SpeedUp,non,False,None,False
6, 21.18825077947878,20.37331805719113,21.9509993924993,1.2641251,4,99.97780132220736,First,SpeedUp,non,False,None,False
7, 21.143777459072126,20.330555249107814,21.9509993924993,1.6855001,4,99.97777143506121,First,SpeedUp,non,False,None,False
8, 21.13410812664355,20.321257814080337,21.9509993924993,2.1670716,4,99.9772409382173,First,SpeedUp,non,False,None,False
9, 21.119890966076404,20.307587467381158,21.9509993924993,2.7088394,4,99.97564197589901,First,SpeedUp,non,False,None,False
10, 21.109962654027512,20.298041013487993,21.9509993924993,3.310804,4,99.97238427697017,First,SpeedUp,non,False,None,False
11, 21.17905214296674,20.364473214391094,21.9509993924993,3.9729648,4,99.96691492922724,First,SpeedUp,non,False,None,False
12, 21.15111952112837,20.33761492416189,21.9509993924993,4.695322,4,99.95863618974752,First,SpeedUp,non,False,None,False
13, 21.15306389120345,20.339484510772547,21.9509993924993,5.4778757,4,99.94695778739481,First,SpeedUp,non,False,None,False
14, 21.17143534510809,20.35714937029624,21.9509993924993,6.320626,4,99.93134175353865,First,SpeedUp,non,False,None,False
15, 21.08421104343612,20.273279849457808,21.9509993924993,7.2235723,4,99.91117540168325,First,SpeedUp,non,False,None,False
16, 21.093718663612414,20.28242179193501,21.9509993924993,8.186715,4,99.88589834783858,First,SpeedUp,non,False,None,False
17, 21.174796845759374,20.360381582460935,21.9509993924993,9.210054,4,99.85494273622801,First,SpeedUp,non,False,None,False
18, 21.19383525446138,20.3786877446744,21.9509993924993,10.293591,4,99.81769588035579,First,SpeedUp,non,False,None,False
19, 21.209401902882316,20.39365567584838,21.9509993924993,11.374126,4,99.78079272666413,First,SpeedUp,non,False,None,False
20, 21.183911365734083,20.36914554397508,21.9509993924993,12.451662,4,99.7442033880069,First,SpeedUp,non,False,None,False
21, 21.170400737569253,20.35615455535505,21.9509993924993,13.526197,4,99.70794280795717,First,SpeedUp,non,False,None,False
22, 21.103929304318722,20.29223971569108,21.9509993924993,14.5977335,4,99.67199604294186,First,SpeedUp,non,False,None,False
