turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.319599542002642,21.319599542002642,22.987497877948087,0,4,99.99999284045087,First,non,non,False,Late Start,False
2, 21.319599542002642,21.319599542002642,22.987497877948087,0,4,99.99999284045087,First,non,non,False,Late Start,False
3, 22.195979521540583,21.34228800148133,22.987497877948087,0.06029394,4,99.97680306085043,First,SpeedUp,non,False,Late Start,False
4, 22.235137562667955,21.3799399641038,22.987497877948087,0.18088181,4,99.96022870463709,First,SpeedUp,non,False,Late Start,False
5, 22.229171560786277,21.37420342383296,22.987497877948087,0.36176363,4,99.94916004169721,First,SpeedUp,non,False,Late Start,False
6, 22.19313541268083,21.339553281423875,22.987497877948087,0.60293937,4,99.94250882056451,First,SpeedUp,non,False,Late Start,False
7, 22.19462034493551,21.34098110089953,22.987497877948087,0.90440905,4,99.93913667292888,First,SpeedUp,non,False,Late Start,False
8, 22.116846220423337,21.266198288868594,22.987497877948087,1.2661726,4,99.93795534732405,First,SpeedUp,non,False,Late Start,False
9, 22.24899420545861,21.393263659094817,22.987497877948087,1.6882303,4,99.937833634989,First,SpeedUp,non,False,Late Start,False
10, 22.166155145759728,21.31361071707666,22.987497877948087,2.1705818,4,99.93767612490835,First,SpeedUp,non,False,Late Start,False
11, 22.211206667358756,21.35692948784496,22.987497877948087,2.7132273,4,99.9363516083211,First,SpeedUp,non,False,Late Start,False
12, 22.140967504545817,21.289391831294054,22.987497877948087,3.3161666,4,99.93278615285924,First,SpeedUp,non,False,Late Start,False
13, 22.228669732091646,21.373720896241966,22.987497877948087,3.9794,4,99.92584139021261,First,SpeedUp,non,False,Late Start,False
14, 22.167857297385435,21.315247401332147,22.987497877948087,4.702927,4,99.91441474981671,First,SpeedUp,non,False,Late Start,False
15, 22.125889220457463,21.274893481209098,22.987497877948087,5.486748,4,99.8973893420088,First,SpeedUp,non,False,Late Start,False
16, 22.205124117849433,21.35108088254753,22.987497877948087,6.3308635,4,99.87367691532258,First,SpeedUp,non,False,Late Start,False
17, 22.19459118270556,21.34095306029381,22.987497877948087,7.2352724,4,99.8421247823497,First,SpeedUp,non,False,Late Start,False
18, 22.207352682752187,21.353223733415565,22.987497877948087,8.199975,4,99.80166617027126,First,SpeedUp,non,False,Late Start,False
19, 22.22365291903137,21.36889703753016,22.987497877948087,9.224972,4,99.75116987032624,First,SpeedUp,non,False,Late Start,False
20, 22.126834346086024,21.275802255851946,22.987497877948087,10.250262,4,99.70061629398826,First,SpeedUp,non,False,Late Start,False
21, 22.17271391893784,21.319917229747922,22.987497877948087,11.275847,4,99.65001976035556,First,SpeedUp,non,False,None,False
22, 22.228497645509602,21.373555428374615,22.987497877948087,12.301726,4,99.59936595032991,First,SpeedUp,non,False,None,False
23, 22.108412097955625,21.258088555726562,22.987497877948087,13.327899,4,99.54866202346041,First,SpeedUp,non,False,None,False
24, 22.19787970755674,21.34411510341994,22.987497877948087,14.354365,4,99.49790082019794,First,SpeedUp,non,False,None,False
25, 22.15647732097842,21.304305116325406,22.987497877948087,15.381126,4,99.44709665964076,First,SpeedUp,non,False,None,False
26, 22.109347668790708,21.258988143067988,22.987497877948087,16.40818,4,99.3962352226906,First,SpeedUp,non,False,None,False
27, 22.22204930223472,21.367355098302614,22.987497877948087,17.435528,4,99.34532366889663,First,SpeedUp,non,False,None,False
28, 22.180509460476333,21.327412942765704,22.987497877948087,18.463171,4,99.29435483870968,First,SpeedUp,non,False,None,False
29, 22.201139892165706,21.34724989631318,22.987497877948087,19.491108,4,99.243343051228,First,SpeedUp,non,False,None,False
30, 22.139943295480492,21.288407014885088,22.987497877948087,20.519339,4,99.19227398735337,First,SpeedUp,non,False,None,False
31, 22.142347907336305,21.290719141669523,22.987497877948087,21.547863,4,99.14115480663489,First,SpeedUp,non,False,None,False
32, 22.23650968706305,21.381259314483703,22.987497877948087,22.576681,4,99.08998550907258,First,SpeedUp,non,False,None,False
33, 22.14340332059692,21.291733962112424,22.987497877948087,23.605793,4,99.0387589351173,First,SpeedUp,non,False,None,False
34, 22.192575395913313,21.3390148037628,22.987497877948087,24.635199,4,98.9874894038673,First,SpeedUp,non,False,None,False
35, 22.16235931595067,21.309960880721796,22.987497877948087,25.664898,4,98.93615543667522,First,SpeedUp,non,False,None,False
36, 22.140189878569764,21.288644114009386,22.987497877948087,26.694891,4,98.88478567173753,First,SpeedUp,non,False,None,False
37, 22.20269260657692,21.348742890939345,22.987497877948087,27.72518,4,98.83334431130865,First,SpeedUp,non,False,None,False
38, 22.24239219624684,21.38691557331427,22.987497877948087,28.755762,4,98.78186715313416,First,SpeedUp,non,False,None,False
39, 22.12995753177111,21.278805319010683,22.987497877948087,29.786638,4,98.73032555901759,First,SpeedUp,non,False,None,False
40, 22.12415511042975,21.273226067720913,22.987497877948087,30.817808,4,98.67873384805718,First,SpeedUp,non,False,None,False
41, 22.214898860466477,21.360479673525457,22.987497877948087,31.849272,4,98.62709917980204,First,SpeedUp,non,False,None,False
42, 22.150170333378725,21.29824070517185,22.987497877948087,32.88103,4,98.57540007560483,First,SpeedUp,non,False,None,False
43, 22.21094301086888,21.356675971989308,22.987497877948087,33.913082,4,98.52366517366202,First,SpeedUp,non,False,None,False
44, 22.14762287356568,21.295791224582384,22.987497877948087,34.945427,4,98.47186583577712,First,SpeedUp,non,False,None,False
45, 22.231471304153672,21.376414715532377,22.987497877948087,35.978065,4,98.42001638104838,First,SpeedUp,non,False,None,False
