turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.272537151757213,20.272537151757213,22.885864123850453,0.06071535,3,99.97926128082214,First,non,non,False,None,False
2, 20.242216549690518,20.242216549690518,22.885864123850453,0.18214606,3,99.96493721341021,First,non,non,False,None,False
3, 20.911107169823804,20.316990856550092,22.885864123850453,0.3572951,2.95,99.95584572330522,First,non,InsideOvertaking,False,None,False
4, 20.319086770107493,20.319086770107493,22.885864123850453,0.6001565,2.95,99.9508029285949,First,non,non,False,None,False
5, 20.28203569487475,20.28203569487475,22.885864123850453,0.90373325,2.95,99.94863398463346,First,non,non,False,None,False
6, 20.839320863716498,20.247524622667697,22.885864123850453,1.2645777,2.9,99.94812789770913,First,non,InsideOvertaking,False,None,False
7, 20.335803917253013,20.335803917253013,22.885864123850453,1.6895852,2.9,99.94812789770913,First,non,non,False,None,False
8, 20.57622748382052,20.26435814925576,22.885864123850453,2.1727276,2.8500001,99.94744106545468,First,non,InsideOvertaking,False,None,False
9, 21.15487512869827,20.258910981305313,22.885864123850453,2.7168734,2.8000002,99.94486544450048,First,non,InsideOvertaking,False,None,False
10, 22.306718689747267,20.2316495264161,22.885864123850453,3.3219647,2.7500002,99.93924426473379,First,non,InsideOvertaking,False,None,False
11, 21.563434120323958,20.22726141947409,22.885864123850453,3.9879594,2.7000003,99.92936653244277,First,non,InsideOvertaking,False,None,False
12, 20.531955012838317,20.26564073354823,22.885864123850453,4.714826,2.6500003,99.91406644024819,First,non,InsideOvertaking,False,None,False
13, 21.754939822940443,20.331909150889604,22.885864123850453,5.5025406,2.6000004,99.89215106897126,First,non,InsideOvertaking,False,None,False
14, 21.45804608396404,20.266759567133484,22.885864123850453,6.3510838,2.5500004,99.8624455739662,First,non,InsideOvertaking,False,None,False
15, 21.231277451302184,20.31633040912992,22.885864123850453,7.2604403,2.5000005,99.82375703605422,First,non,InsideOvertaking,False,None,False
16, 22.371983219921574,20.277666772432056,22.885864123850453,8.230598,2.4500005,99.77490157332304,First,non,InsideOvertaking,False,None,False
17, 20.772376277582698,20.337223757680636,22.885864123850453,9.261548,2.4000006,99.71469530386037,First,non,InsideOvertaking,False,None,False
18, 21.8998838928587,20.31963364078024,22.885864123850453,10.35328,2.3500006,99.64195434575396,First,non,InsideOvertaking,False,None,False
19, 20.336995270467266,20.336995270467266,22.885864123850453,11.443156,2.3500006,99.56985503356947,First,non,non,False,None,False
20, 20.259832716708843,20.259832716708843,22.885864123850453,12.530032,2.3500006,99.4984064045734,First,non,non,False,None,False
21, 20.30347635894856,20.30347635894856,22.885864123850453,13.613909,2.3500006,99.42759942149927,First,non,non,False,None,False
22, 20.279170537419287,20.279170537419287,22.885864123850453,14.694785,2.3500006,99.35743408434705,First,non,non,False,None,False
23, 20.25401681122012,20.25401681122012,22.885864123850453,15.772661,2.3500006,99.28789231858374,First,non,non,False,None,False
24, 20.30710401064504,20.30710401064504,22.885864123850453,16.847538,2.3500006,99.21899219874236,First,non,non,False,None,False
25, 20.32168987038892,20.32168987038892,22.885864123850453,17.919415,2.3500006,99.15071565028988,First,non,non,False,None,False
26, 20.23347422270721,20.23347422270721,22.885864123850453,18.98829,2.3500006,99.08307171049283,First,non,non,False,None,False
27, 20.266445275933272,20.266445275933272,22.885864123850453,20.054167,2.3500006,99.01605134208468,First,non,non,False,None,False
28, 20.21685852724569,20.21685852724569,22.885864123850453,21.117043,2.3500006,98.94965454506546,First,non,non,False,None,False
29, 20.2509293214355,20.2509293214355,22.885864123850453,22.176918,2.3500006,98.88387228216862,First,non,non,False,None,False
30, 20.309970625324638,20.309970625324638,22.885864123850453,23.233795,2.3500006,98.8187045533942,First,non,non,False,None,False
31, 20.22380464594292,20.22380464594292,22.885864123850453,24.287672,2.3500006,98.75415135874218,First,non,non,False,None,False
32, 20.241930554046615,20.241930554046615,22.885864123850453,25.338549,2.3500006,98.69020366094605,First,non,non,False,None,False
33, 20.243757014274177,20.243757014274177,22.885864123850453,26.386425,2.3500006,98.62687049727234,First,non,non,False,None,False
34, 20.2599186803073,20.2599186803073,22.885864123850453,27.431301,2.3500006,98.564133793188,First,non,non,False,None,False
35, 20.278914377174576,20.278914377174576,22.885864123850453,28.473177,2.3500006,98.50199354869308,First,non,non,False,None,False
36, 20.29241551466192,20.29241551466192,22.885864123850453,29.512053,2.3500006,98.44046783832056,First,non,non,False,None,False
37, 20.224839511024143,20.224839511024143,22.885864123850453,30.547928,2.3500006,98.37952955027092,First,non,non,False,None,False
38, 20.340574376952663,20.340574376952663,22.885864123850453,31.580805,2.3500006,98.31917868454417,First,non,non,False,None,False
39, 20.241486705751797,20.241486705751797,22.885864123850453,32.61068,2.3500006,98.2594152411403,First,non,non,False,None,False
