turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.576546785741066,20.7466796016741,22.31251337277348,0.0602245,4,99.98724093838695,First,SpeedUp,non,False,None,False
2, 21.553998895119076,20.724998937614494,22.31251337277348,0.1806735,4,99.97839921357615,First,SpeedUp,non,False,None,False
3, 21.565013129731046,20.735589547818314,22.31251337277348,0.361347,4,99.97275418342005,First,SpeedUp,non,False,None,False
4, 21.54312693248929,20.71454512739355,22.31251337277348,0.602245,4,99.96959444477294,First,SpeedUp,non,False,None,False
5, 21.503824611977564,20.67675443459381,22.31251337277348,0.90336746,4,99.96819935548723,First,SpeedUp,non,False,None,False
6, 21.58736128609508,20.757078159706808,22.31251337277348,1.2647145,4,99.96786675141911,First,SpeedUp,non,False,None,False
7, 21.524324016783204,20.69646540075308,22.31251337277348,1.686286,4,99.96786675141911,First,SpeedUp,non,False,None,False
8, 21.62034105629387,20.788789477205643,22.31251337277348,2.168082,4,99.96748795234153,First,SpeedUp,non,False,None,False
9, 21.545104138177027,20.71644628670868,22.31251337277348,2.7101026,4,99.96601895104068,First,SpeedUp,non,False,None,False
10, 21.513029987224265,20.68560575694641,22.31251337277348,3.3123474,4,99.96274834437085,First,SpeedUp,non,False,None,False
11, 21.584155362789403,20.753995541143656,22.31251337277348,3.9748168,4,99.95694625118259,First,SpeedUp,non,False,None,False
12, 21.5033815115236,20.676328376464998,22.31251337277348,4.6975107,4,99.94792898533585,First,SpeedUp,non,False,None,False
13, 21.51916251958826,20.69150242268102,22.31251337277348,5.480429,4,99.9349389486755,First,SpeedUp,non,False,None,False
14, 21.582502390264846,20.752406144485427,22.31251337277348,6.323572,4,99.91730169406338,First,SpeedUp,non,False,None,False
15, 21.539218740562777,20.71078725054113,22.31251337277348,7.2269397,4,99.89427810134815,First,SpeedUp,non,False,None,False
16, 21.528285654123305,20.700274667426253,22.31251337277348,8.190532,4,99.86514752838221,First,SpeedUp,non,False,None,False
17, 21.60118546992105,20.770370644154855,22.31251337277348,9.214348,4,99.82921705002364,First,SpeedUp,non,False,None,False
18, 21.581187947475524,20.751142257188004,22.31251337277348,10.2983885,4,99.78576602412488,First,SpeedUp,non,False,None,False
19, 21.579150456805934,20.749183131544168,22.31251337277348,11.37943,4,99.74270303630558,First,SpeedUp,non,False,None,False
20, 21.49227726081894,20.665651212325905,22.31251337277348,12.457471,4,99.70002808656575,First,SpeedUp,non,False,None,False
21, 21.596991336289413,20.766337823355205,22.31251337277348,13.535736,4,99.65732541982024,First,SpeedUp,non,False,None,False
22, 21.52899280648506,20.70095462162025,22.31251337277348,14.611002,4,99.6150107911542,First,SpeedUp,non,False,None,False
