turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 18.193162774840385,18.193162774840385,19.60216155399746,0.060221132,9,99.99481066032821,First,non,non,False,None,False
2, 18.759072518485297,18.23532847551194,19.60216155399746,0.16979457,8.95,99.9917496282669,First,non,InsideOvertaking,False,None,False
3, 19.845853618393583,18.24394586817386,19.60216155399746,0.3434012,8.9,99.99025726914562,First,non,InsideOvertaking,False,None,False
4, 19.715932659657508,18.224118176762786,19.60216155399746,0.5790394,8.849999,99.98977394829383,First,non,InsideOvertaking,False,None,False
5, 19.65737412473208,18.222301932183676,19.60216155399746,0.87596464,8.799999,99.98974851035426,First,non,InsideOvertaking,False,None,False
6, 19.708451785590224,18.21508198426254,19.60216155399746,1.2338152,8.749999,99.98962132065643,First,non,InsideOvertaking,False,None,False
7, 19.40577325347385,18.23625272319851,19.60216155399746,1.6523874,8.699999,99.98882426521664,First,non,InsideOvertaking,False,None,False
8, 19.962728721341897,18.24266844894454,19.60216155399746,2.1315548,8.649999,99.9868146679908,First,non,InsideOvertaking,False,None,False
9, 20.086375232799394,18.208946805194905,19.60216155399746,2.6712337,8.599998,99.98302441499523,First,non,InsideOvertaking,False,None,False
10, 19.402055132586398,18.184617363530045,19.60216155399746,3.2713656,8.549998,99.97690235087262,First,non,InsideOvertaking,False,None,False
11, 18.800012881870945,18.180674909565415,19.60216155399746,3.9319084,8.499998,99.9678888409525,First,non,InsideOvertaking,False,None,False
12, 19.709790120366712,18.22436491165851,19.60216155399746,4.65283,8.449998,99.95542425056438,First,non,InsideOvertaking,False,None,False
13, 20.245033374976057,18.288262118734483,19.60216155399746,5.4341063,8.399998,99.93895742435096,First,non,InsideOvertaking,False,None,False
14, 19.13355871325996,18.240642055566738,19.60216155399746,6.275718,8.3499975,99.91791176901536,First,non,InsideOvertaking,False,None,False
15, 19.01220529958241,18.262686582929476,19.60216155399746,7.1776505,8.299997,99.89175308782669,First,non,InsideOvertaking,False,None,False
16, 19.872744157976037,18.207582053734725,19.60216155399746,8.139891,8.249997,99.85992174611444,First,non,InsideOvertaking,False,None,False
17, 19.84778158341687,18.283344285078524,19.60216155399746,9.162428,8.199997,99.82184115058175,First,non,InsideOvertaking,False,None,False
18, 18.252647717310555,18.252647717310555,19.60216155399746,10.1831875,8.199997,99.78409124826344,First,non,non,False,None,False
19, 19.45394179332817,18.237131705910354,19.60216155399746,11.1997175,8.149997,99.74665508053312,First,non,InsideOvertaking,False,None,False
20, 18.254498715498027,18.254498715498027,19.60216155399746,12.214477,8.149997,99.70954960601719,First,non,non,False,None,False
21, 18.223671954611902,18.223671954611902,19.60216155399746,13.226236,8.149997,99.67276634540245,First,non,non,False,None,False
22, 18.174888751077273,18.174888751077273,19.60216155399746,14.234996,8.149997,99.63628834006252,First,non,non,False,None,False
23, 18.245820270245765,18.245820270245765,19.60216155399746,15.240755,8.149997,99.60013254862378,First,non,non,False,None,False
24, 18.195106967434413,18.195106967434413,19.60216155399746,16.243515,8.149997,99.56429897108622,First,non,non,False,None,False
25, 18.250989198798756,18.250989198798756,19.60216155399746,17.243275,8.149997,99.52877064882348,First,non,non,False,None,False
26, 18.19992036792295,18.19992036792295,19.60216155399746,18.240034,8.149997,99.49356454046192,First,non,non,False,None,False
27, 18.261806557462414,18.261806557462414,19.60216155399746,19.233793,8.149997,99.45866368737518,First,non,non,False,None,False
28, 18.268085624222937,18.268085624222937,19.60216155399746,20.224552,8.149997,99.42407656887644,First,non,non,False,None,False
29, 18.1714878846423,18.1714878846423,19.60216155399746,21.21231,8.149997,99.3897947056525,First,non,non,False,None,False
30, 18.211925580713693,18.211925580713693,19.60216155399746,22.19707,8.149997,99.35582657701659,First,non,non,False,None,False
31, 18.205680449591487,18.205680449591487,19.60216155399746,23.17883,8.149997,99.32214674502909,First,non,non,False,None,False
32, 18.206479836531965,18.206479836531965,19.60216155399746,24.157589,8.149997,99.28878912694277,First,non,non,False,None,False
33, 18.198767923382402,18.198767923382402,19.60216155399746,25.133348,8.149997,99.25573676413129,First,non,non,False,None,False
34, 18.235805347900833,18.235805347900833,19.60216155399746,26.106108,8.149997,99.22297269796822,First,non,non,False,None,False
35, 18.190115751701704,18.190115751701704,19.60216155399746,27.075867,8.149997,99.19051388707997,First,non,non,False,None,False
36, 18.227177576568273,18.227177576568273,19.60216155399746,28.042625,8.149997,99.15836033146653,First,non,non,False,None,False
37, 18.193235731333683,18.193235731333683,19.60216155399746,29.006384,8.149997,99.12649507250151,First,non,non,False,None,False
38, 18.2227534113206,18.2227534113206,19.60216155399746,29.967144,8.149997,99.09493506881132,First,non,non,False,None,False
39, 18.181865372354395,18.181865372354395,19.60216155399746,30.924904,8.149997,99.06366336176956,First,non,non,False,None,False
40, 18.1929456925788,18.1929456925788,19.60216155399746,31.879663,8.149997,99.03268843068942,First,non,non,False,None,False
41, 18.23114545608601,18.23114545608601,19.60216155399746,32.83142,8.149997,99.0020017962577,First,non,non,False,None,False
42, 18.269597596385236,18.269597596385236,19.60216155399746,33.78018,8.149997,98.97161193778761,First,non,non,False,None,False
43, 18.194019435876903,18.194019435876903,19.60216155399746,34.72594,8.149997,98.94151037596596,First,non,non,False,None,False
44, 18.267105837817667,18.267105837817667,19.60216155399746,35.6687,8.149997,98.91168863147955,First,non,non,False,None,False
45, 18.26903023420788,18.26903023420788,19.60216155399746,36.60846,8.149997,98.88216366295477,First,non,non,False,None,False
46, 18.278630884326798,18.278630884326798,19.60216155399746,37.54522,8.149997,98.85291003245203,First,non,non,False,None,False
47, 18.217702028294386,18.217702028294386,19.60216155399746,38.478977,8.149997,98.82395317791091,First,non,non,False,None,False
48, 18.189081010454164,18.189081010454164,19.60216155399746,39.409737,8.149997,98.79527614070504,First,non,non,False,None,False
49, 18.24697514836583,18.24697514836583,19.60216155399746,40.337498,8.149997,98.76687892083442,First,non,non,False,None,False
50, 18.202725389175498,18.202725389175498,19.60216155399746,41.262257,8.149997,98.73876999761222,First,non,non,False,None,False
51, 19.07419111723833,18.221429283026342,19.60216155399746,42.185886,8.099997,98.71062715713727,First,non,InsideOvertaking,False,None,False
52, 18.750336906326087,18.22409989995598,19.60216155399746,43.109737,8.049996,98.68246735803595,First,non,InsideOvertaking,False,None,False
53, 19.99998348425301,18.2590006491248,19.60216155399746,44.03381,7.999996,98.65428212099505,First,non,InsideOvertaking,False,None,False
54, 19.23293697627248,18.27841409585131,19.60216155399746,44.958103,7.949996,98.62608840464097,First,non,InsideOvertaking,False,None,False
55, 19.043857821290178,18.24323783882346,19.60216155399746,45.882618,7.899996,98.59786925034732,First,non,InsideOvertaking,False,None,False
56, 18.489051050663807,18.190112466262967,19.60216155399746,46.804127,7.8499956,98.5699299133889,First,non,InsideOvertaking,False,None,False
57, 18.571227662219975,18.22524562060498,19.60216155399746,47.725857,7.7999954,98.54196513849092,First,non,InsideOvertaking,False,None,False
58, 20.05422472888775,18.21429114174875,19.60216155399746,48.647808,7.749995,98.51398340496657,First,non,InsideOvertaking,False,None,False
59, 19.83265897538859,18.28105431075484,19.60216155399746,49.56998,7.699995,98.48597623350264,First,non,InsideOvertaking,False,None,False
60, 20.155090277397967,18.237874894829865,19.60216155399746,50.492374,7.649995,98.45795210341234,First,non,InsideOvertaking,False,None,False
61, 19.34957837810193,18.262243343988988,19.60216155399746,51.41499,7.5999947,98.42991101469566,First,non,InsideOvertaking,False,None,False
62, 19.028290355170952,18.221356864711918,19.60216155399746,52.337826,7.5499945,98.40184448803942,First,non,InsideOvertaking,False,None,False
63, 19.3477262563694,18.258426938984815,19.60216155399746,53.260887,7.4999943,98.37376948206999,First,non,InsideOvertaking,False,None,False
64, 20.138915427380898,18.259003013270252,19.60216155399746,54.18417,7.449994,98.34566055884778,First,non,InsideOvertaking,False,None,False
65, 18.863969889101636,18.280385174961143,19.60216155399746,55.107674,7.399994,98.31753467699922,First,non,InsideOvertaking,False,None,False
66, 19.72249453824112,18.17553812920519,19.60216155399746,56.0314,7.3499937,98.28938335721108,First,non,InsideOvertaking,False,None,False
67, 19.522813710859154,18.264882138557123,19.60216155399746,56.955345,7.2999935,98.26121507879655,First,non,InsideOvertaking,False,None,False
68, 19.679099466405,18.238984553802027,19.60216155399746,57.879513,7.2499933,98.23302984175567,First,non,InsideOvertaking,False,None,False
69, 18.671898897132678,18.19595080538893,19.60216155399746,58.8039,7.199993,98.2048191667752,First,non,InsideOvertaking,False,None,False
70, 19.574662250109213,18.27132539339162,19.60216155399746,59.72851,7.149993,98.17659153316836,First,non,InsideOvertaking,False,None,False
