turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.331109470007267,18.58760525962237,19.995112840865424,0.0602245,7,99.99689294809276,First,SpeedUp,non,False,None,False
2, 19.394405560222516,18.648466884829343,19.995112840865424,0.1806735,7,99.99505580840919,First,SpeedUp,non,False,None,False
3, 19.433101911526435,18.685674914929265,19.995112840865424,0.361347,7,99.99416686985263,First,SpeedUp,non,False,None,False
4, 19.442592014200947,18.694800013654756,19.995112840865424,0.602245,7,99.99387055700043,First,SpeedUp,non,False,None,False
5, 19.40751493656196,18.661072054386498,19.995112840865424,0.90336746,7,99.99386209091895,First,SpeedUp,non,False,None,False
6, 19.319091127941064,18.57604916148179,19.995112840865424,1.2647145,7,99.99377743010403,First,SpeedUp,non,False,None,False
7, 19.40768498706657,18.661235564487086,19.995112840865424,1.686286,7,99.99330332954054,First,SpeedUp,non,False,None,False
8, 19.421764769823696,18.674773817138167,19.995112840865424,2.168082,7,99.99210114596879,First,SpeedUp,non,False,None,False
9, 19.440866831146963,18.693141183795156,19.995112840865424,2.7101026,7,99.98983223612917,First,SpeedUp,non,False,None,False
10, 19.4259339785723,18.678782671704134,19.995112840865424,3.3123474,7,99.98615795676203,First,SpeedUp,non,False,None,False
11, 19.386113123552455,18.640493388031206,19.995112840865424,3.9748168,7,99.9807565967707,First,SpeedUp,non,False,None,False
12, 19.406112165252058,18.659723235819285,19.995112840865424,4.6975107,7,99.97328951289553,First,SpeedUp,non,False,None,False
13, 19.44266955334849,18.694874570527393,19.995112840865424,5.480429,7,99.96342652795839,First,SpeedUp,non,False,None,False
14, 19.37434100221068,18.62917404058719,19.995112840865424,6.323572,7,99.95081206653663,First,SpeedUp,non,False,None,False
15, 19.419067236505885,18.67218003510181,19.995112840865424,7.2269397,7,99.93514134969658,First,SpeedUp,non,False,None,False
16, 19.372510419702945,18.627413865098983,19.995112840865424,8.190532,7,99.9160672680971,First,SpeedUp,non,False,None,False
17, 19.44114050618132,18.693404332866653,19.995112840865424,9.214348,7,99.89325117847855,First,SpeedUp,non,False,None,False
