turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 17.516781844478693,17.516781844478693,18.78810497218225,0.060218886,10,99.99482548701299,First,non,non,False,None,False
2, 17.46737974808524,17.46737974808524,18.78810497218225,0.18065666,10,99.99177320075758,First,non,non,False,None,False
3, 17.530651107280853,17.530651107280853,18.78810497218225,0.3613133,10,99.99028510551948,First,non,non,False,None,False
4, 17.454021812932822,17.454021812932822,18.78810497218225,0.6021888,10,99.98981162067099,First,non,non,False,None,False
5, 17.464909976498042,17.464909976498042,18.78810497218225,0.90328324,10,99.98977780032467,First,non,non,False,None,False
6, 17.43887930661626,17.43887930661626,18.78810497218225,1.2645966,10,99.98965097402598,First,non,non,False,None,False
7, 17.52098105833194,17.52098105833194,18.78810497218225,1.6861289,10,99.98885619588745,First,non,non,False,None,False
8, 17.51229994690259,17.51229994690259,18.78810497218225,2.16788,10,99.98685234036796,First,non,non,False,None,False
9, 17.467731238086586,17.467731238086586,18.78810497218225,2.70985,10,99.98307291666667,First,non,non,False,None,False
10, 17.523627747888114,17.523627747888114,18.78810497218225,3.312039,10,99.97696834415585,First,non,non,False,None,False
11, 17.479631761969177,17.479631761969177,18.78810497218225,3.9744468,10,99.96798058712122,First,non,non,False,None,False
12, 17.485191896666148,17.485191896666148,18.78810497218225,4.6970735,10,99.95555160984848,First,non,non,False,None,False
13, 17.55422611313828,17.55422611313828,18.78810497218225,5.479919,10,99.93913183170996,First,non,non,False,None,False
14, 17.50251940445686,17.50251940445686,18.78810497218225,6.3229833,10,99.91815476190476,First,non,non,False,None,False
15, 17.445492606027603,17.445492606027603,18.78810497218225,7.2262664,10,99.89207927489177,First,non,non,False,None,False
16, 17.520222672482358,17.520222672482358,18.78810497218225,8.12655,10,99.86626589556278,First,non,non,False,None,False
17, 17.480122956127822,17.480122956127822,18.78810497218225,9.023833,10,99.84071462391775,First,non,non,False,None,False
18, 19.354784712824344,17.52940721689699,18.78810497218225,9.919942,9.95,99.81515489718615,First,non,InsideOvertaking,False,None,False
19, 17.785378445777933,17.541120653398096,18.78810497218225,10.8130455,9.9,99.78984882305195,First,non,InsideOvertaking,False,None,False
20, 18.490572323095837,17.484130896134207,18.78810497218225,11.706368,9.849999,99.76452583874459,First,non,InsideOvertaking,False,None,False
21, 18.782571851884477,17.448807747674195,18.78810497218225,12.599911,9.799999,99.73918594426407,First,non,InsideOvertaking,False,None,False
22, 17.84810798844651,17.488535632948732,18.78810497218225,13.490448,9.749999,99.71411661255411,First,non,InsideOvertaking,False,None,False
23, 18.458341601534023,17.48284715879463,18.78810497218225,14.381205,9.699999,99.68902191558442,First,non,InsideOvertaking,False,None,False
24, 18.366704811372717,17.544104259410176,18.78810497218225,15.272181,9.649999,99.6638933982684,First,non,InsideOvertaking,False,None,False
25, 18.031669783250425,17.449976116236368,18.78810497218225,16.163376,9.599998,99.63876488095238,First,non,InsideOvertaking,False,None,False
26, 18.186931088011754,17.515822950349214,18.78810497218225,17.05479,9.549998,99.6136194534632,First,non,InsideOvertaking,False,None,False
27, 18.44667360054308,17.54968211172184,18.78810497218225,17.946424,9.499998,99.5884402056277,First,non,InsideOvertaking,False,None,False
28, 18.884734612459557,17.490031693159057,18.78810497218225,18.838278,9.449998,99.56325250270562,First,non,InsideOvertaking,False,None,False
29, 18.97920299402295,17.547464797134477,18.78810497218225,19.73035,9.399998,99.53803097943722,First,non,InsideOvertaking,False,None,False
30, 19.296236695717017,17.486133399468663,18.78810497218225,20.622643,9.3499975,99.51280945616882,First,non,InsideOvertaking,False,None,False
31, 17.864017591394912,17.554423722257788,18.78810497218225,21.511929,9.299997,99.48784158549783,First,non,InsideOvertaking,False,None,False
32, 18.00106480278535,17.50821255060552,18.78810497218225,22.401434,9.249997,99.4628483495671,First,non,InsideOvertaking,False,None,False
33, 19.097611353090226,17.52476697642065,18.78810497218225,23.291159,9.199997,99.43784665854979,First,non,InsideOvertaking,False,None,False
34, 18.362211689165843,17.462920314518378,18.78810497218225,24.181103,9.149997,99.41281960227273,First,non,InsideOvertaking,False,None,False
35, 17.90615269092128,17.489802868226654,18.78810497218225,25.071266,9.099997,99.3877756358225,First,non,InsideOvertaking,False,None,False
36, 18.047595016187522,17.51624800404615,18.78810497218225,25.961649,9.049996,99.36271475919914,First,non,InsideOvertaking,False,None,False
37, 17.7072133290048,17.463696851519956,18.78810497218225,26.849028,8.999996,99.33791599025975,First,non,InsideOvertaking,False,None,False
38, 18.639584759692863,17.528031378503584,18.78810497218225,27.736626,8.949996,99.31310031114718,First,non,InsideOvertaking,False,None,False
39, 18.022078054036545,17.522869088351825,18.78810497218225,28.624443,8.899996,99.28825926677489,First,non,InsideOvertaking,False,None,False
40, 18.646899067897902,17.546243591397694,18.78810497218225,29.512478,8.849996,99.26339285714286,First,non,InsideOvertaking,False,None,False
41, 18.786325083893985,17.449349602604308,18.78810497218225,30.400732,8.799995,99.23851799242425,First,non,InsideOvertaking,False,None,False
42, 18.831072088820132,17.53654421787119,18.78810497218225,31.289206,8.749995,99.21362621753246,First,non,InsideOvertaking,False,None,False
43, 19.0279562021442,17.442105988582504,18.78810497218225,32.1779,8.699995,99.18871753246754,First,non,InsideOvertaking,False,None,False
44, 19.32419048741686,17.527789591652738,18.78810497218225,33.06681,8.649995,99.16377502705627,First,non,InsideOvertaking,False,None,False
45, 17.96292434400236,17.504871485626506,18.78810497218225,33.955944,8.599995,99.13882406655844,First,non,InsideOvertaking,False,None,False
46, 17.983373655810666,17.52322131967647,18.78810497218225,34.845295,8.549994,99.11385619588745,First,non,InsideOvertaking,False,None,False
47, 18.684127469219458,17.51636973747041,18.78810497218225,35.734867,8.499994,99.08886295995671,First,non,InsideOvertaking,False,None,False
48, 18.127976117429043,17.508746815466633,18.78810497218225,36.624657,8.449994,99.06385281385282,First,non,InsideOvertaking,False,None,False
49, 17.683613567915224,17.50010899967597,18.78810497218225,37.51144,8.399994,99.03909632034632,First,non,InsideOvertaking,False,None,False
50, 18.627095601355443,17.474919823024443,18.78810497218225,38.398445,8.349994,99.01433137175324,First,non,InsideOvertaking,False,None,False
51, 18.900597748232038,17.503437789380776,18.78810497218225,39.285667,8.2999935,98.98954105790044,First,non,InsideOvertaking,False,None,False
52, 18.85207346691455,17.49864979095168,18.78810497218225,40.17311,8.249993,98.96474228896103,First,non,InsideOvertaking,False,None,False
53, 18.044549254410743,17.51347061883478,18.78810497218225,41.060772,8.199993,98.93990969967533,First,non,InsideOvertaking,False,None,False
54, 18.783171321269517,17.45239973742802,18.78810497218225,41.948654,8.149993,98.91506865530303,First,non,InsideOvertaking,False,None,False
55, 17.967256000340075,17.50613192345061,18.78810497218225,42.836754,8.099993,98.89020224567099,First,non,InsideOvertaking,False,None,False
56, 18.168937143509535,17.48669984908543,18.78810497218225,43.725075,8.049993,98.86531892586581,First,non,InsideOvertaking,False,None,False
57, 18.701776536247525,17.529190059165078,18.78810497218225,44.613613,7.9999924,98.84041869588745,First,non,InsideOvertaking,False,None,False
58, 19.188727613917685,17.440997242107578,18.78810497218225,45.502373,7.949992,98.81550155573593,First,non,InsideOvertaking,False,None,False
59, 18.584414868422584,17.517710189550552,18.78810497218225,46.39135,7.899992,98.79055905032467,First,non,InsideOvertaking,False,None,False
60, 19.406256856676602,17.512137354853767,18.78810497218225,47.280544,7.849992,98.76559963474025,First,non,InsideOvertaking,False,None,False
61, 17.949146087176995,17.50155759200525,18.78810497218225,48.16996,7.7999916,98.74062330898268,First,non,InsideOvertaking,False,None,False
62, 18.083519875524207,17.46760174594516,18.78810497218225,49.059593,7.7499914,98.71563007305195,First,non,InsideOvertaking,False,None,False
63, 18.51105903536257,17.52425515647502,18.78810497218225,49.949448,7.699991,98.69060301677489,First,non,InsideOvertaking,False,None,False
64, 18.529504041138164,17.45811430543209,18.78810497218225,50.83952,7.649991,98.66556750541126,First,non,InsideOvertaking,False,None,False
65, 18.12738074423424,17.533011695361523,18.78810497218225,51.729813,7.599991,98.64051508387446,First,non,InsideOvertaking,False,None,False
66, 18.308092464276985,17.50159203343327,18.78810497218225,52.620323,7.5499907,98.61543729707792,First,non,InsideOvertaking,False,None,False
67, 18.1729436220462,17.533398718782635,18.78810497218225,53.511055,7.4999905,98.59034260010823,First,non,InsideOvertaking,False,None,False
68, 18.00448608934172,17.474220064467506,18.78810497218225,54.402004,7.4499903,98.56523944805195,First,non,InsideOvertaking,False,None,False
69, 17.657876499778624,17.48210104151915,18.78810497218225,55.28995,7.39999,98.54038994859307,First,non,InsideOvertaking,False,None,False
70, 19.32728064254263,17.47501654507611,18.78810497218225,56.178116,7.34999,98.51551508387446,First,non,InsideOvertaking,False,None,False
71, 18.852647480415374,17.45550259743835,18.78810497218225,57.0665,7.2999897,98.49063176406926,First,non,InsideOvertaking,False,None,False
72, 19.053476224685582,17.53584811224327,18.78810497218225,57.955105,7.2499895,98.46572307900433,First,non,InsideOvertaking,False,None,False
73, 19.35265997842785,17.460411944757666,18.78810497218225,58.843925,7.1999893,98.44079748376623,First,non,InsideOvertaking,False,None,False
74, 18.31544608998559,17.507465607434362,18.78810497218225,59.732967,7.149989,98.4158465232684,First,non,InsideOvertaking,False,None,False
75, 17.769965382310154,17.43904545543939,18.78810497218225,60.619003,7.099989,98.39116612554112,First,non,InsideOvertaking,False,None,False
76, 18.205402851743564,17.543817879638613,18.78810497218225,61.50526,7.0499887,98.36646036255411,First,non,InsideOvertaking,False,None,False
77, 18.067367836369655,17.47597296944095,18.78810497218225,62.391735,6.9999886,98.34173768939394,First,non,InsideOvertaking,False,None,False
78, 17.777488736557324,17.45705211146201,18.78810497218225,63.27843,6.9499884,98.31699810606061,First,non,InsideOvertaking,False,None,False
79, 18.880977455544503,17.475167254544573,18.78810497218225,64.165344,6.899988,98.29224161255411,First,non,InsideOvertaking,False,None,False
80, 18.288174409883304,17.47673216367005,18.78810497218225,65.052475,6.849988,98.26745975378788,First,non,InsideOvertaking,False,None,False
81, 18.99926207893101,17.498821302122025,18.78810497218225,65.93983,6.799988,98.24266098484848,First,non,InsideOvertaking,False,None,False
82, 19.07703382826603,17.525296618527324,18.78810497218225,66.8274,6.7499876,98.21783685064935,First,non,InsideOvertaking,False,None,False
83, 18.663064549437937,17.50987168201667,18.78810497218225,67.715195,6.6999874,98.19301271645021,First,non,InsideOvertaking,False,None,False
84, 17.978728401647988,17.547857883655773,18.78810497218225,68.6032,6.649987,98.16815476190476,First,non,InsideOvertaking,False,None,False
85, 17.726317514240048,17.457502649673863,18.78810497218225,69.488205,6.599987,98.14355045995671,First,non,InsideOvertaking,False,None,False
86, 18.177203629490343,17.4908001528994,18.78810497218225,70.37343,6.549987,98.11893770292208,First,non,InsideOvertaking,False,None,False
87, 17.65692520014088,17.47703087497052,18.78810497218225,71.255646,6.4999866,98.09458705357143,First,non,InsideOvertaking,False,None,False
88, 18.38874337446928,17.492356671369436,18.78810497218225,72.138084,6.4499865,98.07021949404762,First,non,InsideOvertaking,False,None,False
89, 19.38228242768212,17.512249616261027,18.78810497218225,73.020744,6.3999863,98.04582656926407,First,non,InsideOvertaking,False,None,False
90, 17.795329784739476,17.486836272513873,18.78810497218225,73.903625,6.349986,98.02141673430737,First,non,InsideOvertaking,False,None,False
91, 19.431305514349955,17.506205203565827,18.78810497218225,74.78672,6.299986,97.9969815340909,First,non,InsideOvertaking,False,None,False
92, 18.190805627849876,17.512791234223677,18.78810497218225,75.67004,6.2499857,97.97253787878788,First,non,InsideOvertaking,False,None,False
93, 18.19638921085002,17.511019610045665,18.78810497218225,76.55357,6.1999855,97.94806885822511,First,non,InsideOvertaking,False,None,False
94, 18.15986690650209,17.460942348095084,18.78810497218225,77.437325,6.1499853,97.92358292748918,First,non,InsideOvertaking,False,None,False
95, 18.487395865413113,17.499889147984284,18.78810497218225,78.3213,6.099985,97.89908008658008,First,non,InsideOvertaking,False,None,False
96, 18.52715351570337,17.539754929605635,18.78810497218225,79.20549,6.049985,97.87456033549783,First,non,InsideOvertaking,False,None,False
97, 18.91996906334012,17.46830660152905,18.78810497218225,80.089905,5.9999847,97.85000676406926,First,non,InsideOvertaking,False,None,False
98, 18.721070379295057,17.530930569924077,18.78810497218225,80.97453,5.9499846,97.8254531926407,First,non,InsideOvertaking,False,None,False
99, 17.88478646171726,17.457833376680217,18.78810497218225,81.85938,5.8999844,97.80087425595238,First,non,InsideOvertaking,False,None,False
100, 18.38463998489643,17.441529297159974,18.78810497218225,82.74445,5.849984,97.77626995400433,First,non,InsideOvertaking,False,None,False
101, 18.162322862466414,17.548510068871924,18.78810497218225,83.629745,5.799984,97.75164874188312,First,non,InsideOvertaking,False,None,False
102, 17.87266377536345,17.52567597700376,18.78810497218225,84.51525,5.749984,97.72701061958874,First,non,InsideOvertaking,False,None,False
103, 18.184163937902202,17.550128105963854,18.78810497218225,85.40098,5.6999836,97.70235558712122,First,non,InsideOvertaking,False,None,False
104, 19.028037946098635,17.508176097789654,18.78810497218225,86.28693,5.6499834,97.67767518939394,First,non,InsideOvertaking,False,None,False
105, 19.347110450631845,17.448229429602392,18.78810497218225,87.173096,5.599983,97.65297788149351,First,non,InsideOvertaking,False,None,False
106, 18.505200580073016,17.48101483292123,18.78810497218225,88.05948,5.549983,97.62827211850649,First,non,InsideOvertaking,False,None,False
107, 18.613308728362522,17.553321826490365,18.78810497218225,88.94608,5.499983,97.60354099025975,First,non,InsideOvertaking,False,None,False
108, 18.19457844702257,17.500035010797028,18.78810497218225,89.83291,5.4499826,97.57878449675324,First,non,InsideOvertaking,False,None,False
109, 18.128505004570663,17.45169525987052,18.78810497218225,90.71995,5.3999825,97.5540110930736,First,non,InsideOvertaking,False,None,False
110, 17.722450581821917,17.477832108853335,18.78810497218225,91.60399,5.3499823,97.52949979707792,First,non,InsideOvertaking,False,None,False
111, 19.243103556878506,17.489907909532445,18.78810497218225,92.48824,5.299982,97.5049715909091,First,non,InsideOvertaking,False,None,False
