turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 17.51157896481757,17.51157896481757,18.849100306157048,0.060218886,11,99.99482548701299,First,non,non,False,None,False
2, 17.736093999745645,17.458360184088672,18.849100306157048,0.16978739,10.95,99.99177320075758,First,non,InsideOvertaking,False,None,False
3, 17.46599592314798,17.46599592314798,18.849100306157048,0.35044405,10.95,99.99028510551948,First,non,non,False,None,False
4, 17.91783978056085,17.45790980718298,18.849100306157048,0.58607304,10.9,99.98981162067099,First,non,InsideOvertaking,False,None,False
5, 19.10371544940673,17.532489509281465,18.849100306157048,0.8829869,10.849999,99.98977780032467,First,non,InsideOvertaking,False,None,False
6, 18.14334114951688,17.49117616220475,18.849100306157048,1.2408239,10.799999,99.98965097402598,First,non,InsideOvertaking,False,None,False
7, 18.974157288274323,17.518282633015264,18.849100306157048,1.6593802,10.749999,99.98885619588745,First,non,InsideOvertaking,False,None,False
8, 17.70492866013302,17.52200397659603,18.849100306157048,2.1385295,10.699999,99.98685234036796,First,non,InsideOvertaking,False,None,False
9, 18.15232040022513,17.47471779816855,18.849100306157048,2.6781883,10.649999,99.98307291666667,First,non,InsideOvertaking,False,None,False
10, 17.707880418284123,17.45760627137722,18.849100306157048,3.278298,10.599998,99.97696834415585,First,non,InsideOvertaking,False,None,False
11, 19.097815527259304,17.461076687605278,18.849100306157048,3.9388158,10.549998,99.96798058712122,First,non,InsideOvertaking,False,None,False
12, 18.01757900675383,17.46101261923857,18.849100306157048,4.6597104,10.499998,99.95555160984848,First,non,InsideOvertaking,False,None,False
13, 17.84589575489459,17.506916640820254,18.849100306157048,5.4409575,10.449998,99.93913183170996,First,non,InsideOvertaking,False,None,False
14, 18.94785840189719,17.491353871895278,18.849100306157048,6.282538,10.399998,99.91815476190476,First,non,InsideOvertaking,False,None,False
15, 18.138222126783177,17.46676353422485,18.849100306157048,7.1844363,10.3499975,99.89207927489177,First,non,InsideOvertaking,False,None,False
16, 18.523774340074205,17.51489855555094,18.849100306157048,8.146641,10.299997,99.86033042478356,First,non,InsideOvertaking,False,None,False
17, 17.550165783169735,17.550165783169735,18.849100306157048,9.107143,10.299997,99.82888595779221,First,non,non,False,None,False
18, 17.532313575776627,17.532313575776627,18.849100306157048,10.064646,10.299997,99.79772896374459,First,non,non,False,None,False
19, 17.43615333656064,17.43615333656064,18.849100306157048,11.019148,10.299997,99.76686789772727,First,non,non,False,None,False
20, 17.472450722557618,17.472450722557618,18.849100306157048,11.97065,10.299997,99.73629430465368,First,non,non,False,None,False
21, 17.478370714717858,17.478370714717858,18.849100306157048,12.919152,10.299997,99.7060166396104,First,non,non,False,None,False
22, 17.505043850181995,17.505043850181995,18.849100306157048,13.864655,10.299997,99.67601799242425,First,non,non,False,None,False
23, 17.536956730533458,17.536956730533458,18.849100306157048,14.807157,10.299997,99.6463152732684,First,non,non,False,None,False
24, 17.479628962750446,17.479628962750446,18.849100306157048,15.746658,10.299997,99.6168915719697,First,non,non,False,None,False
25, 17.48931642122851,17.48931642122851,18.849100306157048,16.68316,10.299997,99.58775534361472,First,non,non,False,None,False
26, 17.50714916206881,17.50714916206881,18.849100306157048,17.616663,10.299997,99.55889813311688,First,non,non,False,None,False
27, 17.482705072849647,17.482705072849647,18.849100306157048,18.547165,10.299997,99.53033685064935,First,non,non,False,None,False
28, 17.48969694647484,17.48969694647484,18.849100306157048,19.474667,10.299997,99.50203767586581,First,non,non,False,None,False
29, 17.492794787976738,17.492794787976738,18.849100306157048,20.399168,10.299997,99.47402597402598,First,non,non,False,None,False
30, 17.518997296979872,17.518997296979872,18.849100306157048,21.320671,10.299997,99.44629329004329,First,non,non,False,None,False
31, 17.493245411820304,17.493245411820304,18.849100306157048,22.239174,10.299997,99.41883116883118,First,non,non,False,None,False
32, 17.54303790858717,17.54303790858717,18.849100306157048,23.154676,10.299997,99.3916396103896,First,non,non,False,None,False
33, 18.762416627336094,17.494621079357987,18.849100306157048,24.06903,10.249997,99.36443959686147,First,non,InsideOvertaking,False,None,False
34, 17.86375856312962,17.451484150784715,18.849100306157048,24.980381,10.199997,99.3375101461039,First,non,InsideOvertaking,False,None,False
35, 17.932209589019298,17.510761098994823,18.849100306157048,25.888727,10.149997,99.31085125811688,First,non,InsideOvertaking,False,None,False
36, 18.65442843327044,17.513799336198254,18.849100306157048,26.797293,10.099997,99.28417545995671,First,non,InsideOvertaking,False,None,False
37, 18.12389983349066,17.538747479972702,18.849100306157048,27.702854,10.049996,99.25776176948052,First,non,InsideOvertaking,False,None,False
38, 18.486342598436657,17.469658548288038,18.849100306157048,28.608635,9.999996,99.23133116883118,First,non,InsideOvertaking,False,None,False
39, 18.213486638816647,17.493637717975385,18.849100306157048,29.514633,9.949996,99.20488365800865,First,non,InsideOvertaking,False,None,False
40, 18.949711915868566,17.525126364554534,18.849100306157048,30.42085,9.899996,99.17841923701299,First,non,InsideOvertaking,False,None,False
41, 18.93648692122458,17.52389655798446,18.849100306157048,31.327288,9.849996,99.15192945075758,First,non,InsideOvertaking,False,None,False
42, 18.883722824619195,17.47878475295416,18.849100306157048,32.233944,9.799995,99.12542275432901,First,non,InsideOvertaking,False,None,False
43, 18.05812529085389,17.491588990047987,18.849100306157048,33.137596,9.749995,99.09918662067099,First,non,InsideOvertaking,False,None,False
44, 18.875155418887154,17.470911886719833,18.849100306157048,34.041466,9.699995,99.07292512175324,First,non,InsideOvertaking,False,None,False
45, 18.367925441220727,17.482780278560057,18.849100306157048,34.945557,9.649995,99.04664671266234,First,non,InsideOvertaking,False,None,False
46, 17.927099894804446,17.49350361091668,18.849100306157048,35.84664,9.599995,99.020638866342,First,non,InsideOvertaking,False,None,False
47, 18.128746833646925,17.48864041746657,18.849100306157048,36.747948,9.549994,98.99461410984848,First,non,InsideOvertaking,False,None,False
48, 17.734487732038254,17.519871387601,18.849100306157048,37.646248,9.499994,98.96885146103897,First,non,InsideOvertaking,False,None,False
49, 18.045809930126666,17.51970286194924,18.849100306157048,38.54477,9.449994,98.94307190205627,First,non,InsideOvertaking,False,None,False
50, 19.20893671487408,17.483575464374052,18.849100306157048,39.44351,9.399994,98.91726697781385,First,non,InsideOvertaking,False,None,False
51, 18.61141999785112,17.465844482593337,18.849100306157048,40.34247,9.349994,98.89145359848484,First,non,InsideOvertaking,False,None,False
52, 18.675310762409364,17.461016931499724,18.849100306157048,41.241646,9.2999935,98.8656148538961,First,non,InsideOvertaking,False,None,False
53, 18.675602659945614,17.547718011225175,18.849100306157048,42.14104,9.249993,98.83975074404762,First,non,InsideOvertaking,False,None,False
54, 17.87845566517969,17.519036836270274,18.849100306157048,43.037434,9.199993,98.8141571969697,First,non,InsideOvertaking,False,None,False
55, 18.841632051818422,17.511565913723764,18.849100306157048,43.934044,9.149993,98.7885551948052,First,non,InsideOvertaking,False,None,False
56, 17.777463689405252,17.53618932627981,18.849100306157048,44.827652,9.099993,98.7632068452381,First,non,InsideOvertaking,False,None,False
57, 18.957006008338293,17.549509725681883,18.849100306157048,45.721478,9.049993,98.73784158549783,First,non,InsideOvertaking,False,None,False
