turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.0758934861623,20.0758934861623,22.909117492855493,0.060753066,6,99.98498527679345,First,non,non,False,None,False
2, 20.910370745496824,20.077739266874744,22.909117492855493,0.17149484,5.95,99.97485705408106,First,non,InsideOvertaking,False,None,False
3, 22.061397563064666,20.197231912894168,22.909117492855493,0.34676152,5.8999996,99.96867737036813,First,non,InsideOvertaking,False,None,False
4, 20.19521445374101,20.19521445374101,22.909117492855493,0.5897738,5.8999996,99.96547009984253,First,non,non,False,None,False
5, 21.65635270486345,20.197176730828772,22.909117492855493,0.88939583,5.8499994,99.96425177740032,First,non,InsideOvertaking,False,None,False
6, 21.60422992860156,20.098416499835793,22.909117492855493,1.2504687,5.799999,99.96409031298028,First,non,InsideOvertaking,False,None,False
7, 20.199864580688896,20.199864580688896,22.909117492855493,1.6757402,5.799999,99.96400958077025,First,non,non,False,None,False
8, 20.10697248355943,20.10697248355943,22.909117492855493,2.1617649,5.799999,99.96303345495811,First,non,non,False,None,False
9, 20.080542318946662,20.080542318946662,22.909117492855493,2.7085423,5.799999,99.96022250619083,First,non,non,False,None,False
10, 20.189087117034816,20.189087117034816,22.909117492855493,3.316073,5.799999,99.95460794794809,First,non,non,False,None,False
11, 20.127995899707386,20.127995899707386,22.909117492855493,3.9843566,5.799999,99.94521365441776,First,non,non,False,None,False
12, 21.652637502702984,20.18817814097156,22.909117492855493,4.7116766,5.749999,99.93110019624677,First,non,InsideOvertaking,False,None,False
13, 20.573393465058295,20.143849967657445,22.909117492855493,5.499882,5.699999,99.91126942974758,First,non,InsideOvertaking,False,None,False
14, 20.612855582943975,20.123438161339173,22.909117492855493,6.348954,5.6499987,99.88478192556713,First,non,InsideOvertaking,False,None,False
15, 22.211757560682077,20.184931677316456,22.909117492855493,7.2588773,5.5999985,99.8506762364769,First,non,InsideOvertaking,False,None,False
16, 20.79914601564393,20.100506599588044,22.909117492855493,8.229639,5.5499983,99.80798357595661,First,non,InsideOvertaking,False,None,False
17, 20.407434235371014,20.12924457185867,22.909117492855493,9.26123,5.499998,99.75573515748593,First,non,InsideOvertaking,False,None,False
18, 20.919089287918098,20.104194703024625,22.909117492855493,10.3536415,5.449998,99.69296953383636,First,non,InsideOvertaking,False,None,False
19, 21.670644162271316,20.18217916201366,22.909117492855493,11.44305,5.3999977,99.6307470177815,First,non,InsideOvertaking,False,None,False
20, 21.415837746741733,20.169577794883125,22.909117492855493,12.529455,5.3499975,99.56906760932138,First,non,InsideOvertaking,False,None,False
21, 20.48260462032036,20.091009201063038,22.909117492855493,13.612857,5.2999973,99.50793130845598,First,non,InsideOvertaking,False,None,False
22, 21.508816636699027,20.132461090549462,22.909117492855493,14.693255,5.249997,99.44731609730984,First,non,InsideOvertaking,False,None,False
23, 20.86425620362874,20.16836134946,22.909117492855493,15.770651,5.199997,99.38724399375842,First,non,InsideOvertaking,False,None,False
24, 21.32697072121081,20.169397610967707,22.909117492855493,16.845043,5.1499968,99.32769297992627,First,non,InsideOvertaking,False,None,False
25, 21.932560553025862,20.17775032056027,22.909117492855493,17.920189,5.0999966,99.26801719813315,First,non,InsideOvertaking,False,None,False
26, 21.951816377429427,20.100821673342118,22.909117492855493,18.99609,5.0499964,99.20820196979545,First,non,InsideOvertaking,False,None,False
27, 21.53338581902289,20.10640286499934,22.909117492855493,20.068987,4.999996,99.14892250976067,First,non,InsideOvertaking,False,None,False
28, 20.090715890138547,20.090715890138547,22.909117492855493,21.140049,4.999996,99.09016413944512,First,non,non,False,None,False
29, 20.19890968943026,20.19890968943026,22.909117492855493,22.20811,4.999996,99.03193419814068,First,non,non,False,None,False
30, 20.169960133434714,20.169960133434714,22.909117492855493,23.273172,4.999996,98.97422534655547,First,non,non,False,None,False
31, 20.111054987132384,20.111054987132384,22.909117492855493,24.335234,4.999996,98.9170229061059,First,non,non,False,None,False
32, 20.18335400082121,20.18335400082121,22.909117492855493,25.394295,4.999996,98.86034889466741,First,non,non,False,None,False
33, 20.103430503672314,20.103430503672314,22.909117492855493,26.450356,4.999996,98.80419597294818,First,non,non,False,None,False
34, 20.08271054734078,20.08271054734078,22.909117492855493,27.503416,4.999996,98.74855680165639,First,non,non,False,None,False
35, 20.081704433990765,20.081704433990765,22.909117492855493,28.553478,4.999996,98.6934167022084,First,non,non,False,None,False
36, 20.094705304169658,20.094705304169658,22.909117492855493,29.60054,4.999996,98.63878301389603,First,non,non,False,None,False
