turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.907351897022693,19.907351897022693,21.466277480176917,0.06028953,9,99.98462554664722,First,non,non,False,None,False
2, 19.859036727265114,19.859036727265114,21.466277480176917,0.18086858,9,99.97423355502916,First,non,non,False,None,False
3, 19.85552363030894,19.85552363030894,21.466277480176917,0.3617372,9,99.9678350252225,First,non,non,False,None,False
4, 19.885633675853732,19.885633675853732,21.466277480176917,0.6028953,9,99.96446343457495,First,non,non,False,None,False
5, 19.940358057764634,19.940358057764634,21.466277480176917,0.904343,9,99.9631822301289,First,non,non,False,None,False
6, 19.88770358813408,19.88770358813408,21.466277480176917,1.2660801,9,99.96297993469004,First,non,non,False,None,False
7, 19.833964950968657,19.833964950968657,21.466277480176917,1.6881068,9,99.96291999530075,First,non,non,False,None,False
8, 19.842721173120275,19.842721173120275,21.466277480176917,2.170423,9,99.96202090446141,First,non,non,False,None,False
9, 19.857285489455926,19.857285489455926,21.466277480176917,2.713029,9,99.95930115467239,First,non,non,False,None,False
10, 19.880368573031266,19.880368573031266,21.466277480176917,3.3159242,9,99.95382419297606,First,non,non,False,None,False
11, 20.73292286555624,19.881842462237003,21.466277480176917,3.9772215,8.95,99.94460101944912,First,non,InsideOvertaking,False,None,False
12, 20.6103454306102,19.8326929416284,21.466277480176917,4.698966,8.9,99.93065761901565,First,non,InsideOvertaking,False,None,False
13, 21.1304238362764,19.833707717055674,21.466277480176917,5.4811335,8.849999,99.9110499462943,First,non,InsideOvertaking,False,None,False
14, 20.91749545242829,19.909941875779964,21.466277480176917,6.3237047,8.799999,99.88478150893816,First,non,InsideOvertaking,False,None,False
15, 21.319377006593246,19.951162749578536,21.466277480176917,7.2266645,8.749999,99.85090076914224,First,non,InsideOvertaking,False,None,False
16, 19.887287916239018,19.887287916239018,21.466277480176917,8.191297,8.749999,99.80843371183059,First,non,non,False,None,False
17, 20.235909747884804,19.877908555157,21.466277480176917,9.214998,8.699999,99.75641381435092,First,non,InsideOvertaking,False,None,False
18, 19.8685793726072,19.8685793726072,21.466277480176917,10.23692,8.699999,99.70490340168021,First,non,non,False,None,False
19, 19.86766472641553,19.86766472641553,21.466277480176917,11.255842,8.699999,99.65387250412383,First,non,non,False,None,False
20, 20.277051053647465,19.916500007043364,21.466277480176917,12.270533,8.649999,99.60334359895273,First,non,InsideOvertaking,False,None,False
21, 20.61188624086611,19.93557167539896,21.466277480176917,13.285513,8.599998,99.55276973923968,First,non,InsideOvertaking,False,None,False
22, 21.993735944066234,19.888673726462645,21.466277480176917,14.300783,8.549998,99.50213594013734,First,non,InsideOvertaking,False,None,False
23, 21.731485974921956,19.93505310469738,21.466277480176917,15.316343,8.499998,99.45147217134034,First,non,InsideOvertaking,False,None,False
24, 20.216242682122367,19.919974285927772,21.466277480176917,16.3289,8.449998,99.401280425234,First,non,InsideOvertaking,False,None,False
25, 20.59281780139711,19.911732479757443,21.466277480176917,17.341745,8.399998,99.35105870943302,First,non,InsideOvertaking,False,None,False
