turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.173555944136126,20.359188407823197,21.976505324171058,0.06029394,8,99.99079475899006,First,SpeedUp,non,False,None,False
2, 21.12723140327714,20.31464558007417,21.976505324171058,0.18088181,8,99.98457823259373,First,SpeedUp,non,False,None,False
3, 21.171411140732985,20.35712609685864,21.976505324171058,0.36176363,8,99.98076014967484,First,SpeedUp,non,False,None,False
4, 21.109683900306756,20.29777298106419,21.976505324171058,0.60293937,8,99.9787352955241,First,SpeedUp,non,False,None,False
5, 21.147544052559077,20.334176973614497,21.976505324171058,0.90440905,8,99.97796570151111,First,SpeedUp,non,False,None,False
6, 21.20032833696836,20.38493109323881,21.976505324171058,1.2661726,8,99.97785362471309,First,SpeedUp,non,False,None,False
7, 21.15816156854671,20.344386123602604,21.976505324171058,1.6882303,8,99.97781626578042,First,SpeedUp,non,False,None,False
8, 21.14157368978517,20.328436240178046,21.976505324171058,2.1705818,8,99.97727829714997,First,SpeedUp,non,False,None,False
9, 21.18426405313364,20.36948466647465,21.976505324171058,2.7132273,8,99.97565691947209,First,SpeedUp,non,False,None,False
10, 21.124086691082127,20.311621818348197,21.976505324171058,3.3161666,8,99.97237680518363,First,SpeedUp,non,False,None,False
11, 21.136665011847132,20.32371635754532,21.976505324171058,3.9794,8,99.96684021136191,First,SpeedUp,non,False,None,False
12, 21.125375646654533,20.31286119870628,21.976505324171058,4.702927,8,99.95850916937644,First,SpeedUp,non,False,None,False
13, 21.161555654838498,20.347649668113938,21.976505324171058,5.486748,8,99.94676352094493,First,SpeedUp,non,False,None,False
14, 21.196725285444685,20.38146662061989,21.976505324171058,6.3308635,8,99.93105035386382,First,SpeedUp,non,False,None,False
15, 21.186063257071275,20.37121467026084,21.976505324171058,7.2352724,8,99.91077192521041,First,SpeedUp,non,False,None,False
16, 21.163491253419295,20.349510820595476,21.976505324171058,8.199975,8,99.88535290742159,First,SpeedUp,non,False,None,False
17, 21.129282238767114,20.31661753727607,21.976505324171058,9.224972,8,99.85421797293421,First,SpeedUp,non,False,None,False
18, 21.19735144904371,20.382068701003565,21.976505324171058,10.310263,8,99.81678432239863,First,SpeedUp,non,False,None,False
19, 21.20367995912097,20.388153806847086,21.976505324171058,11.392553,8,99.77968690225708,First,SpeedUp,non,False,None,False
20, 21.138687454685776,20.32566101412094,21.976505324171058,12.471844,8,99.74291076893651,First,SpeedUp,non,False,None,False
21, 21.08068158483782,20.269886139267133,21.976505324171058,13.548135,8,99.70646339422342,First,SpeedUp,non,False,None,False
22, 21.193392144519187,20.378261677422294,21.976505324171058,14.621426,8,99.67032983454477,First,SpeedUp,non,False,None,False
23, 21.186250777104064,20.371394977984675,21.976505324171058,15.691716,8,99.63452503347361,First,SpeedUp,non,False,None,False
24, 21.201392918976783,20.385954729785368,21.976505324171058,16.759007,8,99.59903404743689,First,SpeedUp,non,False,None,False
25, 21.16843540047349,20.354264808147587,21.976505324171058,17.823298,8,99.56386434822113,First,SpeedUp,non,False,None,False
26, 21.207607668786054,20.39193045075582,21.976505324171058,18.884588,8,99.52901593582632,First,SpeedUp,non,False,None,False
27, 21.0773973207418,20.26672819302096,21.976505324171058,19.942879,8,99.49447386667943,First,SpeedUp,non,False,None,False
28, 21.19852716168257,20.38319919392555,21.976505324171058,21.001463,8,99.45990191038639,First,SpeedUp,non,False,None,False
29, 21.175002333950548,20.36057916726014,21.976505324171058,22.06034,8,99.42531501052028,First,SpeedUp,non,False,None,False
30, 21.13409477154032,20.321244972634922,21.976505324171058,23.11622,8,99.39102698211553,First,SpeedUp,non,False,None,False
31, 21.185814123039297,20.370975118307015,21.976505324171058,24.172394,8,99.35670906656466,First,SpeedUp,non,False,None,False
32, 21.075547933341035,20.26494993590484,21.976505324171058,25.225567,8,99.3227049660482,First,SpeedUp,non,False,None,False
33, 21.131686871132867,20.3189296837816,21.976505324171058,26.279034,8,99.28867097838562,First,SpeedUp,non,False,None,False
34, 21.113131380236425,20.301087865611947,21.976505324171058,27.332794,8,99.2546071035769,First,SpeedUp,non,False,None,False
35, 21.07570275390653,20.2650988018332,21.976505324171058,28.386848,8,99.22051334162204,First,SpeedUp,non,False,None,False
36, 21.145404007663984,20.332119238138446,21.976505324171058,29.441196,8,99.18638969252105,First,SpeedUp,non,False,None,False
37, 21.102250867021596,20.29062583367461,21.976505324171058,30.495838,8,99.15222868448738,First,SpeedUp,non,False,None,False
38, 21.201231802092533,20.38579980970436,21.976505324171058,31.550774,8,99.11804526109411,First,SpeedUp,non,False,None,False
39, 21.115660346128475,20.303519563585073,21.976505324171058,32.606003,8,99.08382447876818,First,SpeedUp,non,False,None,False
40, 21.097798162687894,20.286344387199897,21.976505324171058,33.658234,8,99.04992498326321,First,SpeedUp,non,False,None,False
41, 21.180555683136088,20.36591892609239,21.976505324171058,34.71076,8,99.0159956006121,First,SpeedUp,non,False,None,False
42, 21.178240897931616,20.36369317108809,21.976505324171058,35.763577,8,98.98202885902832,First,SpeedUp,non,False,None,False
43, 21.129595502304237,20.316918752215614,21.976505324171058,36.81669,8,98.9480322302984,First,SpeedUp,non,False,None,False
44, 21.107686969990457,20.295852855760053,21.976505324171058,37.870094,8,98.91400571442234,First,SpeedUp,non,False,None,False
45, 21.075044909786918,20.264466259410497,21.976505324171058,38.923794,8,98.87994183961362,First,SpeedUp,non,False,None,False
46, 21.092870626448953,20.281606371585532,21.976505324171058,39.977787,8,98.84586302123184,First,SpeedUp,non,False,None,False
47, 21.196529423354587,20.381278291687103,21.976505324171058,41.032074,8,98.81173937213084,First,SpeedUp,non,False,None,False
48, 21.163433529232808,20.34945531657001,21.976505324171058,42.086655,8,98.77759330767024,First,SpeedUp,non,False,None,False
49, 21.08082623916413,20.27002522996551,21.976505324171058,43.138237,8,98.74375358645754,First,SpeedUp,non,False,None,False
50, 21.145042302415483,20.33177144463027,21.976505324171058,44.190113,8,98.70989144988525,First,SpeedUp,non,False,None,False
51, 21.168632917667505,20.354454728526445,21.976505324171058,45.242283,8,98.67598448259373,First,SpeedUp,non,False,None,False
52, 21.164859698553244,20.350826633224273,21.976505324171058,46.294746,8,98.64206257172916,First,SpeedUp,non,False,None,False
53, 21.096571141110587,20.28516455876018,21.976505324171058,47.347504,8,98.60809583014537,First,SpeedUp,non,False,None,False
54, 21.202115821360984,20.386649828231715,21.976505324171058,48.400555,8,98.57411414498853,First,SpeedUp,non,False,None,False
55, 21.179676399184718,20.365073460754537,21.976505324171058,49.4539,8,98.54009510089901,First,SpeedUp,non,False,None,False
56, 21.09666889164488,20.28525854965854,21.976505324171058,50.507538,8,98.50603869787683,First,SpeedUp,non,False,None,False
57, 21.098084121753743,20.286619347840137,21.976505324171058,51.56147,8,98.47195987949503,First,SpeedUp,non,False,None,False
58, 21.111164934365497,20.299197052274515,21.976505324171058,52.615696,8,98.43784370218057,First,SpeedUp,non,False,None,False
59, 21.162560861108588,20.348616212604412,21.976505324171058,53.670216,8,98.40371258129305,First,SpeedUp,non,False,None,False
60, 21.15307074873863,20.339491104556377,21.976505324171058,54.72503,8,98.36952168611325,First,SpeedUp,non,False,None,False
61, 21.10085008286097,20.289278925827855,21.976505324171058,55.780136,8,98.33533079093344,First,SpeedUp,non,False,None,False
62, 21.099363722019614,20.287849732711166,21.976505324171058,56.832245,8,98.301438767215,First,SpeedUp,non,False,None,False
63, 21.14375052741099,20.330529353279797,21.976505324171058,57.884647,8,98.2675093845639,First,SpeedUp,non,False,None,False
64, 21.138297051217695,20.32528562617086,21.976505324171058,58.937344,8,98.23356505833972,First,SpeedUp,non,False,None,False
65, 21.124357579561362,20.311882288039772,21.976505324171058,59.990334,8,98.19957590139633,First,SpeedUp,non,False,None,False
66, 21.130787572976665,20.318064974016025,21.976505324171058,61.043617,8,98.16555685730683,First,SpeedUp,non,False,None,False
67, 21.08274989584012,20.271874899846267,21.976505324171058,62.097195,8,98.1315153978577,First,SpeedUp,non,False,None,False
68, 21.160762310381514,20.346886836905302,21.976505324171058,63.151066,8,98.09743657947591,First,SpeedUp,non,False,None,False
69, 21.155828088123812,20.34214239242674,21.976505324171058,64.20523,8,98.06333534573452,First,SpeedUp,non,False,None,False
70, 21.112202711805303,20.300194915197405,21.976505324171058,65.25969,8,98.02919675306045,First,SpeedUp,non,False,None,False
71, 21.17226607456052,20.357948148615883,21.976505324171058,66.314445,8,97.99503574502678,First,SpeedUp,non,False,None,False
72, 21.180742043588012,20.366098118834625,21.976505324171058,67.36949,8,97.96082990627391,First,SpeedUp,non,False,None,False
73, 21.174793589612964,20.360378451550925,21.976505324171058,68.424835,8,97.92660912394798,First,SpeedUp,non,False,None,False
74, 21.123621935424023,20.311174937907712,21.976505324171058,69.48047,8,97.89234351090283,First,SpeedUp,non,False,None,False
75, 21.08974703464732,20.278602917930115,21.976505324171058,70.533104,8,97.85839918467866,First,SpeedUp,non,False,None,False
76, 21.202092123891678,20.386627042203536,21.976505324171058,71.58604,8,97.82442497130835,First,SpeedUp,non,False,None,False
77, 21.181251157610866,20.366587651548908,21.976505324171058,72.63926,8,97.79041339900536,First,SpeedUp,non,False,None,False
78, 21.18364602648833,20.36889041008493,21.976505324171058,73.69278,8,97.75637941134278,First,SpeedUp,non,False,None,False
79, 21.182740277567557,20.368019497661113,21.976505324171058,74.74659,8,97.72230806474752,First,SpeedUp,non,False,None,False
80, 21.163031209185895,20.34906847037105,21.976505324171058,75.8007,8,97.68820683100613,First,SpeedUp,non,False,None,False
81, 21.123633414155673,20.311185975149684,21.976505324171058,76.855095,8,97.6540757101186,First,SpeedUp,non,False,None,False
82, 21.201551514594627,20.386107225571756,21.976505324171058,77.90979,8,97.61992217387147,First,SpeedUp,non,False,None,False
83, 21.168496712496935,20.354323762016282,21.976505324171058,78.964775,8,97.58572380690514,First,SpeedUp,non,False,None,False
84, 21.164048919051606,20.35004703754962,21.976505324171058,80.02006,8,97.55149555279266,First,SpeedUp,non,False,None,False
85, 21.14831462282172,20.334917906559344,21.976505324171058,81.07563,8,97.51725235510712,First,SpeedUp,non,False,None,False
86, 21.163664790309618,20.349677682990016,21.976505324171058,82.1315,8,97.48296432670239,First,SpeedUp,non,False,None,False
87, 21.119719660888123,20.307422750853963,21.976505324171058,83.18766,8,97.44865388293803,First,SpeedUp,non,False,None,False
88, 21.121343426047403,20.30898406350712,21.976505324171058,84.24082,8,97.41464978242159,First,SpeedUp,non,False,None,False
89, 21.152338229089686,20.33878675874008,21.976505324171058,85.29428,8,97.380615794759,First,SpeedUp,non,False,None,False
90, 21.170403070849236,20.356156798893494,21.976505324171058,86.34803,8,97.3465593917368,First,SpeedUp,non,False,None,False
91, 21.154142196206795,20.340521342506534,21.976505324171058,87.40208,8,97.31245815799542,First,SpeedUp,non,False,None,False
92, 21.153679810330072,20.340076740701992,21.976505324171058,88.45641,8,97.27833450889442,First,SpeedUp,non,False,None,False
93, 21.17417805839848,20.359786594613922,21.976505324171058,89.51105,8,97.24418097264729,First,SpeedUp,non,False,None,False
94, 21.205982519307707,20.39036780702664,21.976505324171058,90.56597,8,97.20999754925403,First,SpeedUp,non,False,None,False
95, 21.16754739376157,20.35341095553997,21.976505324171058,91.62119,8,97.17577676692808,First,SpeedUp,non,False,None,False
96, 21.16708193850478,20.35296340240844,21.976505324171058,92.676704,8,97.14153356924255,First,SpeedUp,non,False,None,False
97, 21.10442959559277,20.292720764993046,21.976505324171058,93.72922,8,97.1075967148049,First,SpeedUp,non,False,None,False
98, 21.14416151648689,20.330924535083547,21.976505324171058,94.78203,8,97.07363744500766,First,SpeedUp,non,False,None,False
99, 21.11518201453619,20.303059629361723,21.976505324171058,95.83513,8,97.03964081627774,First,SpeedUp,non,False,None,False
100, 21.1222840162533,20.309888477166634,21.976505324171058,96.88853,8,97.00561430040169,First,SpeedUp,non,False,None,False
101, 21.206660525458776,20.391019736018052,21.976505324171058,97.942215,8,96.9715578973795,First,SpeedUp,non,False,None,False
102, 21.191268965283786,20.376220158926717,21.976505324171058,98.9962,8,96.93747160721118,First,SpeedUp,non,False,None,False
103, 21.123891723324558,20.311434349350534,21.976505324171058,100.050476,8,96.90335542989672,First,SpeedUp,non,False,None,False
104, 21.20795635559152,20.392265726530308,21.976505324171058,101.10505,8,96.86920936543612,First,SpeedUp,non,False,None,False
105, 21.16387142059631,20.34987636595799,21.976505324171058,102.15991,8,96.83502594204286,First,SpeedUp,non,False,None,False
106, 21.126804004249117,20.314234619470305,21.976505324171058,103.21507,8,96.80082010328998,First,SpeedUp,non,False,None,False
107, 21.204750927328853,20.38918358397005,21.976505324171058,104.27053,8,96.76657690560445,First,SpeedUp,non,False,None,False
108, 21.19880709511397,20.38346836068651,21.976505324171058,105.32628,8,96.73230382077277,First,SpeedUp,non,False,None,False
109, 21.156221759462554,20.342520922560148,21.976505324171058,106.382324,8,96.6980083205815,First,SpeedUp,non,False,None,False
110, 21.166980974515656,20.352866321649667,21.976505324171058,107.43866,8,96.66366798967101,First,SpeedUp,non,False,None,False
111, 21.07515304448028,20.264570235077194,21.976505324171058,108.492,8,96.6296489455815,First,SpeedUp,non,False,None,False
112, 21.076510499001873,20.265875479809495,21.976505324171058,109.54562,8,96.59560001434583,First,SpeedUp,non,False,None,False
113, 21.141141088682527,20.328020277579352,21.976505324171058,110.59955,8,96.56152119596405,First,SpeedUp,non,False,None,False
114, 21.156487225489613,20.342776178355397,21.976505324171058,111.65376,8,96.52741249043612,First,SpeedUp,non,False,None,False
115, 21.13291134284024,20.320107060423307,21.976505324171058,112.708275,8,96.49326642597552,First,SpeedUp,non,False,None,False
116, 21.13707501755208,20.324110593800075,21.976505324171058,113.763084,8,96.45909794615532,First,SpeedUp,non,False,None,False
117, 21.17434811262381,20.359950108292125,21.976505324171058,114.818184,8,96.42489210740246,First,SpeedUp,non,False,None,False
118, 21.160232989554956,20.346377874572074,21.976505324171058,115.87358,8,96.39065638150345,First,SpeedUp,non,False,None,False
119, 21.168211886616913,20.3540498909778,21.976505324171058,116.92927,8,96.35639076845831,First,SpeedUp,non,False,None,False
120, 21.130632867797384,20.317916219035947,21.976505324171058,117.98525,8,96.32209526826703,First,SpeedUp,non,False,None,False
121, 21.17516237940515,20.36073305712034,21.976505324171058,119.04153,8,96.28777735271615,First,SpeedUp,non,False,None,False
122, 21.146043759517404,20.33273438415135,21.976505324171058,120.0981,8,96.25341460644607,First,SpeedUp,non,False,None,False
123, 21.101871979333986,20.29026151859037,21.976505324171058,121.151665,8,96.21937314699694,First,SpeedUp,non,False,None,False
124, 21.135766390400374,20.322852298461896,21.976505324171058,122.20553,8,96.18529432861516,First,SpeedUp,non,False,None,False
125, 21.19746240478959,20.38217538922076,21.976505324171058,123.25969,8,96.15119309487376,First,SpeedUp,non,False,None,False
126, 21.084674993322135,20.27372595511744,21.976505324171058,124.31414,8,96.11705450219971,First,SpeedUp,non,False,None,False
127, 21.131530741411513,20.31877955904953,21.976505324171058,125.36889,8,96.08289349416604,First,SpeedUp,non,False,None,False
128, 21.15769507226776,20.34393756948823,21.976505324171058,126.42393,8,96.04869512719971,First,SpeedUp,non,False,None,False
129, 21.119711757703953,20.307415151638416,21.976505324171058,127.47926,8,96.01446687308723,First,SpeedUp,non,False,None,False
130, 21.077706035151596,20.267025033799612,21.976505324171058,128.5316,8,95.98055243400918,First,SpeedUp,non,False,None,False
131, 21.1247706157513,20.3122794382224,21.976505324171058,129.58423,8,95.94660810778501,First,SpeedUp,non,False,None,False
132, 21.09282236403458,20.281559965417863,21.976505324171058,130.63715,8,95.91262642262816,First,SpeedUp,non,False,None,False
133, 21.19364022398375,20.378500215368987,21.976505324171058,131.69037,8,95.87862232211171,First,SpeedUp,non,False,None,False
