turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.072152649850512,20.072152649850512,22.899953680036255,0.06077195,1,99.98514664797978,First,non,non,False,None,False
2, 20.098515061487554,20.098515061487554,22.899953680036255,0.18231586,1,99.97513062233875,First,non,non,False,None,False
3, 20.052228562456516,20.052228562456516,22.899953680036255,0.3646317,1,99.96900770021013,First,non,non,False,None,False
4, 20.119044569951704,20.119044569951704,22.899953680036255,0.60771954,1,99.96582639547425,First,non,non,False,None,False
5, 20.069666036319063,20.069666036319063,22.899953680036255,0.91157925,1,99.9646352220115,First,non,non,False,None,False
6, 20.054827476481844,20.054827476481844,22.899953680036255,1.2762109,1,99.96447543044943,First,non,non,False,None,False
7, 20.172500780623366,20.172500780623366,22.899953680036255,1.7016146,1,99.96438827141557,First,non,non,False,None,False
8, 20.16413637081079,20.16413637081079,22.899953680036255,2.1877902,1,99.96343678529593,First,non,non,False,None,False
9, 20.146039893588572,20.146039893588572,22.899953680036255,2.7347376,1,99.96064043295961,First,non,non,False,None,False
10, 20.07605631293345,20.07605631293345,22.899953680036255,3.342457,1,99.95506951804542,First,non,non,False,None,False
11, 20.13542573269229,20.13542573269229,22.899953680036255,4.0109487,1,99.9457652911809,First,non,non,False,None,False
12, 20.07384943357017,20.07384943357017,22.899953680036255,4.740212,1,99.93176900299363,First,non,non,False,None,False
13, 20.078682692861165,20.078682692861165,22.899953680036255,5.530247,1,99.91212916736394,First,non,non,False,None,False
14, 20.181461507770166,20.181461507770166,22.899953680036255,6.3810544,1,99.8858870349194,First,non,non,False,None,False
15, 20.148164839800533,20.148164839800533,22.899953680036255,7.2926335,1,99.85209111954036,First,non,non,False,None,False
16, 20.090862944881152,20.090862944881152,22.899953680036255,8.264985,1,99.8097899351072,First,non,non,False,None,False
17, 20.109304086916524,20.109304086916524,22.899953680036255,9.298108,1,99.75803199550028,First,non,non,False,None,False
18, 20.17814774005603,20.17814774005603,22.899953680036255,10.328231,1,99.70675343057958,First,non,non,False,None,False
19, 20.659539585069123,20.124957431764674,22.899953680036255,11.357913,0.95,99.65537318011938,First,non,InsideOvertaking,False,None,False
20, 20.11390749006192,20.11390749006192,22.899953680036255,12.385808,0.95,99.60445777783977,First,non,non,False,None,False
21, 20.155107532767104,20.155107532767104,22.899953680036255,13.410703,0.95,99.55403627675203,First,non,non,False,None,False
22, 20.07566979465503,20.07566979465503,22.899953680036255,14.432598,0.95,99.50410141360332,First,non,non,False,None,False
23, 20.064011939340084,20.064011939340084,22.899953680036255,15.451493,0.95,99.45464592514085,First,non,non,False,None,False
24, 20.05731659917862,20.05731659917862,22.899953680036255,16.467388,0.95,99.40566254811179,First,non,non,False,None,False
25, 20.179149901122045,20.179149901122045,22.899953680036255,17.480284,0.95,99.35715854576897,First,non,non,False,None,False
26, 20.11022495188473,20.11022495188473,22.899953680036255,18.49018,0.95,99.30911939160671,First,non,non,False,None,False
27, 20.134152713463298,20.134152713463298,22.899953680036255,19.497074,0.95,99.26156687538351,First,non,non,False,None,False
28, 20.074933110386592,20.074933110386592,22.899953680036255,20.500969,0.95,99.21446468083525,First,non,non,False,None,False
29, 20.057206954139,20.057206954139,22.899953680036255,21.501863,0.95,99.16784912422604,First,non,non,False,None,False
30, 20.148025199326653,20.148025199326653,22.899953680036255,22.50353,0.95,99.12110282906603,First,non,non,False,None,False
31, 20.061129681673414,20.061129681673414,22.899953680036255,23.50597,0.95,99.07424032186088,First,non,non,False,None,False
32, 20.17143935769402,20.17143935769402,22.899953680036255,24.50918,0.95,99.02725433935778,First,non,non,False,None,False
33, 20.170287757619345,20.170287757619345,22.899953680036255,25.513163,0.95,98.98015940806233,First,non,non,False,None,False
34, 20.093580385998592,20.093580385998592,22.899953680036255,26.517918,0.95,98.93292647496328,First,non,non,False,None,False
35, 20.089090137100477,20.089090137100477,22.899953680036255,27.519672,0.95,98.88616565329764,First,non,non,False,None,False
36, 20.168029055462934,20.168029055462934,22.899953680036255,28.5222,0.95,98.83929588283968,First,non,non,False,None,False
37, 20.101219831483984,20.101219831483984,22.899953680036255,29.525497,0.95,98.79230263708374,First,non,non,False,None,False
38, 20.137003621345706,20.137003621345706,22.899953680036255,30.529568,0.95,98.74517865277701,First,non,non,False,None,False
39, 20.07353056707132,20.07353056707132,22.899953680036255,31.530638,0.95,98.69852677990369,First,non,non,False,None,False
40, 20.15333697940487,20.15333697940487,22.899953680036255,32.532482,0.95,98.65175869498523,First,non,non,False,None,False
41, 20.07840182071175,20.07840182071175,22.899953680036255,33.535095,0.95,98.6048671347688,First,non,non,False,None,False
42, 20.074777563180803,20.074777563180803,22.899953680036255,34.538483,0.95,98.55785936250722,First,non,non,False,None,False
43, 20.174380451527995,20.174380451527995,22.899953680036255,35.54264,0.95,98.51072811494767,First,non,non,False,None,False
44, 20.07394919014885,20.07394919014885,22.899953680036255,36.5438,0.95,98.4640617155687,First,non,non,False,None,False
45, 20.073152944208143,20.073152944208143,22.899953680036255,37.54573,0.95,98.4172791041446,First,non,non,False,None,False
46, 20.114518029092977,20.114518029092977,22.899953680036255,38.54843,0.95,98.37037301742252,First,non,non,False,None,False
47, 20.06030618038552,20.06030618038552,22.899953680036255,39.551907,0.95,98.32334345540248,First,non,non,False,None,False
48, 20.10740368281405,20.10740368281405,22.899953680036255,40.556152,0.95,98.2762049445901,First,non,non,False,None,False
49, 20.133881188036746,20.133881188036746,22.899953680036255,41.561172,0.95,98.22893569522695,First,non,non,False,None,False
50, 20.160088228017912,20.160088228017912,22.899953680036255,42.566963,0.95,98.18155023381864,First,non,non,False,None,False
51, 20.077290843237325,20.077290843237325,22.899953680036255,43.56975,0.95,98.1346223573381,First,non,non,False,None,False
52, 20.066215800035835,20.066215800035835,22.899953680036255,44.573315,0.95,98.08760005857089,First,non,non,False,None,False
53, 20.11016289208834,20.11016289208834,22.899953680036255,45.57765,0.95,98.04043249474722,First,non,non,False,None,False
54, 20.060262290778414,20.060262290778414,22.899953680036255,46.578983,0.95,97.9937443056098,First,non,non,False,None,False
55, 20.056493695569667,20.056493695569667,22.899953680036255,47.58109,0.95,97.94692537792159,First,non,non,False,None,False
56, 20.166016462155252,20.166016462155252,22.899953680036255,48.583965,0.95,97.89999750144104,First,non,non,False,None,False
57, 20.13553269818705,20.13553269818705,22.899953680036255,49.587616,0.95,97.85294614966253,First,non,non,False,None,False
58, 20.06929453029635,20.06929453029635,22.899953680036255,50.588264,0.95,97.8063596460646,First,non,non,False,None,False
59, 20.09428166877634,20.09428166877634,22.899953680036255,51.589687,0.95,97.75966419367435,First,non,non,False,None,False
60, 20.14855299155907,20.14855299155907,22.899953680036255,52.59188,0.95,97.71283800273332,First,non,non,False,None,False
61, 20.117520391252075,20.117520391252075,22.899953680036255,53.594845,0.95,97.6658883364943,First,non,non,False,None,False
