turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.16484469341037,20.350812205202278,21.981585848036442,0.06029394,7,99.99079475899006,First,SpeedUp,non,False,None,False
2, 21.151171454512273,20.337664860107953,21.981585848036442,0.18088181,7,99.98457823259373,First,SpeedUp,non,False,None,False
3, 21.192445585735936,20.377351524746093,21.981585848036442,0.36176363,7,99.98076014967484,First,SpeedUp,non,False,None,False
4, 21.15269039222812,20.339125377142423,21.981585848036442,0.60293937,7,99.9787352955241,First,SpeedUp,non,False,None,False
5, 21.08286425461057,20.27198486020247,21.981585848036442,0.90440905,7,99.97796570151111,First,SpeedUp,non,False,None,False
6, 21.08857653592791,20.27747743839222,21.981585848036442,1.2661726,7,99.97785362471309,First,SpeedUp,non,False,None,False
7, 21.079306564135507,20.268564003976447,21.981585848036442,1.6882303,7,99.97781626578042,First,SpeedUp,non,False,None,False
8, 21.085591989844445,20.274607682542737,21.981585848036442,2.1705818,7,99.97727829714997,First,SpeedUp,non,False,None,False
9, 21.113147784710506,20.301103639144717,21.981585848036442,2.7132273,7,99.97565691947209,First,SpeedUp,non,False,None,False
10, 21.083587986503943,20.27268075625379,21.981585848036442,3.3161666,7,99.97237680518363,First,SpeedUp,non,False,None,False
11, 21.13059533766688,20.317880132371997,21.981585848036442,3.9794,7,99.96684021136191,First,SpeedUp,non,False,None,False
12, 21.133423818327277,20.320599825314687,21.981585848036442,4.702927,7,99.95850916937644,First,SpeedUp,non,False,None,False
13, 21.15076385791101,20.337272940299048,21.981585848036442,5.486748,7,99.94676352094493,First,SpeedUp,non,False,None,False
14, 21.111870713435756,20.299875685995918,21.981585848036442,6.3308635,7,99.93105035386382,First,SpeedUp,non,False,None,False
15, 21.083024564142562,20.27213900398323,21.981585848036442,7.2352724,7,99.91077192521041,First,SpeedUp,non,False,None,False
16, 21.093284910720588,20.282004721846718,21.981585848036442,8.199975,7,99.88535290742159,First,SpeedUp,non,False,None,False
17, 21.08383475043795,20.27291802926726,21.981585848036442,9.224972,7,99.85421797293421,First,SpeedUp,non,False,None,False
18, 21.100695128180956,20.289129930943226,21.981585848036442,10.310263,7,99.81678432239863,First,SpeedUp,non,False,None,False
19, 21.09487354421116,20.28353225404919,21.981585848036442,11.392553,7,99.77968690225708,First,SpeedUp,non,False,None,False
20, 21.132162277892697,20.319386805666053,21.981585848036442,12.471844,7,99.74291076893651,First,SpeedUp,non,False,None,False
21, 21.16217567222755,20.348245838680338,21.981585848036442,13.548135,7,99.70646339422342,First,SpeedUp,non,False,None,False
22, 21.146377064676262,20.33305486988102,21.981585848036442,14.621426,7,99.67032983454477,First,SpeedUp,non,False,None,False
23, 21.18790657307023,20.372987089490604,21.981585848036442,15.691716,7,99.63452503347361,First,SpeedUp,non,False,None,False
24, 21.177249842678115,20.36274023334434,21.981585848036442,16.759007,7,99.59903404743689,First,SpeedUp,non,False,None,False
25, 21.187187937337495,20.372296093593743,21.981585848036442,17.823298,7,99.56386434822113,First,SpeedUp,non,False,None,False
26, 21.13255438974598,20.31976383629421,21.981585848036442,18.884588,7,99.52901593582632,First,SpeedUp,non,False,None,False
27, 21.104664154018508,20.292946301940873,21.981585848036442,19.942879,7,99.49447386667943,First,SpeedUp,non,False,None,False
28, 21.116179911469974,20.304019145644205,21.981585848036442,20.998169,7,99.4602530843535,First,SpeedUp,non,False,None,False
29, 21.11883170394916,20.30656894610496,21.981585848036442,22.053753,7,99.42600241488141,First,SpeedUp,non,False,None,False
30, 21.195477142788615,20.38026648345059,21.981585848036442,23.109632,7,99.39171438647668,First,SpeedUp,non,False,None,False
31, 21.158882787285844,20.345079603159466,21.981585848036442,24.165806,7,99.35740394271232,First,SpeedUp,non,False,None,False
32, 21.074483381029953,20.263926327913417,21.981585848036442,25.218979,7,99.32339237040934,First,SpeedUp,non,False,None,False
33, 21.109074794021915,20.29718730194415,21.981585848036442,26.272446,7,99.28935838274676,First,SpeedUp,non,False,None,False
34, 21.178161434916067,20.36361676434237,21.981585848036442,27.326206,7,99.25529450793803,First,SpeedUp,non,False,None,False
35, 21.121920607094392,20.309539045283067,21.981585848036442,28.38026,7,99.22120074598318,First,SpeedUp,non,False,None,False
36, 21.10782365362979,20.295984282336335,21.981585848036442,29.434608,7,99.18707709688218,First,SpeedUp,non,False,None,False
37, 21.167040475796398,20.352923534419613,21.981585848036442,30.48925,7,99.15293103242159,First,SpeedUp,non,False,None,False
38, 21.09144614004934,20.280236673124364,21.981585848036442,31.540894,7,99.11908383942234,First,SpeedUp,non,False,None,False
39, 21.144221350039512,20.330982067345683,21.981585848036442,32.59283,7,99.08520675927699,First,SpeedUp,non,False,None,False
40, 21.201787931594836,20.386334549610417,21.981585848036442,33.64506,7,99.05129979198547,First,SpeedUp,non,False,None,False
41, 21.07550120546858,20.26490500525825,21.981585848036442,34.697586,7,99.01736293754783,First,SpeedUp,non,False,None,False
42, 21.14544449674942,20.332158169951363,21.981585848036442,35.750404,7,98.98340366775058,First,SpeedUp,non,False,None,False
43, 21.193376495041587,20.37824662984768,21.981585848036442,36.803516,7,98.94940703902067,First,SpeedUp,non,False,None,False
44, 21.16413607603245,20.350130842338892,21.981585848036442,37.856922,7,98.91538799493115,First,SpeedUp,non,False,None,False
45, 21.127046691796632,20.314467972881378,21.981585848036442,38.91062,7,98.8813166483359,First,SpeedUp,non,False,None,False
46, 21.176423848258537,20.3619460079409,21.981585848036442,39.964615,7,98.8472378299541,First,SpeedUp,non,False,None,False
47, 21.156579506253756,20.34286490985938,21.981585848036442,41.0189,7,98.8131141808531,First,SpeedUp,non,False,None,False
48, 21.100127218834484,20.288583864263927,21.981585848036442,42.073483,7,98.7789681163925,First,SpeedUp,non,False,None,False
49, 21.166686718497647,20.352583383170813,21.981585848036442,43.128357,7,98.74478469299925,First,SpeedUp,non,False,None,False
50, 21.076606361960174,20.265967655730936,21.981585848036442,44.180233,7,98.7109150846404,First,SpeedUp,non,False,None,False
51, 21.138252078385474,20.325242383062953,21.981585848036442,45.232403,7,98.67702306092197,First,SpeedUp,non,False,None,False
52, 21.095629540614492,20.28425917366778,21.981585848036442,46.284866,7,98.64310115005739,First,SpeedUp,non,False,None,False
53, 21.114485604255616,20.302390004091937,21.981585848036442,47.337624,7,98.60913440847361,First,SpeedUp,non,False,None,False
54, 21.085881647623463,20.274886199637944,21.981585848036442,48.390675,7,98.5751377797437,First,SpeedUp,non,False,None,False
55, 21.09417624385522,20.28286177293771,21.981585848036442,49.44402,7,98.54111873565418,First,SpeedUp,non,False,None,False
56, 21.198194514627964,20.382879340988428,21.981585848036442,50.497658,7,98.50707727620505,First,SpeedUp,non,False,None,False
57, 21.095148321609557,20.283796463086112,21.981585848036442,51.55159,7,98.4729835142502,First,SpeedUp,non,False,None,False
58, 21.08855729934446,20.277458941677363,21.981585848036442,52.605816,7,98.4388822805088,First,SpeedUp,non,False,None,False
59, 21.20909259050064,20.393358260096768,21.981585848036442,53.660336,7,98.4047362160482,First,SpeedUp,non,False,None,False
60, 21.20699094159731,20.391337443843568,21.981585848036442,54.71515,7,98.37056773622801,First,SpeedUp,non,False,None,False
61, 21.110679899119308,20.298730672230104,21.981585848036442,55.770256,7,98.33635442568861,First,SpeedUp,non,False,None,False
62, 21.16834513019067,20.35417800979872,21.981585848036442,56.82566,7,98.30212617157613,First,SpeedUp,non,False,None,False
63, 21.195838280036845,20.380613730804658,21.981585848036442,57.88136,7,98.267860558531,First,SpeedUp,non,False,None,False
64, 21.199333564617387,20.38397458136287,21.981585848036442,58.93735,7,98.23356505833972,First,SpeedUp,non,False,None,False
65, 21.15714731156703,20.34341087650676,21.981585848036442,59.993637,7,98.1992396710023,First,SpeedUp,non,False,None,False
66, 21.103422264705554,20.29175217760149,21.981585848036442,61.04692,7,98.16522062691278,First,SpeedUp,non,False,None,False
67, 21.08269097499738,20.271818245189788,21.981585848036442,62.1005,7,98.13117169567712,First,SpeedUp,non,False,None,False
68, 21.170421733355656,20.356174743611206,21.981585848036442,63.15437,7,98.09710034908187,First,SpeedUp,non,False,None,False
69, 21.148429637203712,20.33502849731126,21.981585848036442,64.208534,7,98.06299911534049,First,SpeedUp,non,False,None,False
70, 21.203608221511285,20.388084828376236,21.981585848036442,65.26299,7,98.02886052266642,First,SpeedUp,non,False,None,False
71, 21.14494139571197,20.331674418953817,21.981585848036442,66.31775,7,97.9946845710597,First,SpeedUp,non,False,None,False
72, 21.207862184662115,20.392175177559725,21.981585848036442,67.372795,7,97.96049367587989,First,SpeedUp,non,False,None,False
73, 21.081113089498597,20.270301047594803,21.981585848036442,68.42484,7,97.92660912394798,First,SpeedUp,non,False,None,False
74, 21.157680683368838,20.3439237340085,21.981585848036442,69.47719,7,97.89269468486994,First,SpeedUp,non,False,None,False
75, 21.11773026246735,20.305509867757067,21.981585848036442,70.52982,7,97.85875035864576,First,SpeedUp,non,False,None,False
76, 21.16378013156381,20.349788588042127,21.981585848036442,71.582756,7,97.82476867348892,First,SpeedUp,non,False,None,False
77, 21.184477175226224,20.369689591563677,21.981585848036442,72.63598,7,97.79075710118593,First,SpeedUp,non,False,None,False
78, 21.1310103032675,20.318279137757212,21.981585848036442,73.6895,7,97.75672311352335,First,SpeedUp,non,False,None,False
79, 21.16787917993391,20.35372998070568,21.981585848036442,74.74331,7,97.72265176692808,First,SpeedUp,non,False,None,False
80, 21.12565228669694,20.313127198747058,21.981585848036442,75.79742,7,97.6885505331867,First,SpeedUp,non,False,None,False
81, 21.09828670640849,20.286814140777395,21.981585848036442,76.851814,7,97.65441941229916,First,SpeedUp,non,False,None,False
82, 21.09617193483436,20.2847807065715,21.981585848036442,77.90651,7,97.62026587605203,First,SpeedUp,non,False,None,False
83, 21.171941037548894,20.35763561302778,21.981585848036442,78.961494,7,97.5860675090857,First,SpeedUp,non,False,None,False
84, 21.159505769263937,20.345678624292248,21.981585848036442,80.01678,7,97.55184672675976,First,SpeedUp,non,False,None,False
85, 21.10132242103974,20.289733097153594,21.981585848036442,81.06906,7,97.51793975946826,First,SpeedUp,non,False,None,False
86, 21.17453573292889,20.360130512431624,21.981585848036442,82.121635,7,97.48399543324408,First,SpeedUp,non,False,None,False
87, 21.18239534665546,20.36768783332256,21.981585848036442,83.17451,7,97.4500286916603,First,SpeedUp,non,False,None,False
88, 21.144562510048168,20.331310105815547,21.981585848036442,84.22767,7,97.41602459114385,First,SpeedUp,non,False,None,False
89, 21.125413059966885,20.31289717304508,21.981585848036442,85.28113,7,97.3819980752678,First,SpeedUp,non,False,None,False
90, 21.145534289608054,20.332244509238514,21.981585848036442,86.33488,7,97.34793420045908,First,SpeedUp,non,False,None,False
91, 21.181869504268597,20.36718221564288,21.981585848036442,87.38892,7,97.31384043850422,First,SpeedUp,non,False,None,False
92, 21.07725030068675,20.266586827583414,21.981585848036442,88.43997,7,97.28006049158378,First,SpeedUp,non,False,None,False
93, 21.094540765247906,20.28321227427683,21.981585848036442,89.49131,7,97.24625065751722,First,SpeedUp,non,False,None,False
94, 21.157602673937152,20.34384872493957,21.981585848036442,90.542946,7,97.21240346451799,First,SpeedUp,non,False,None,False
95, 21.10815078772065,20.29629883434678,21.981585848036442,91.59487,7,97.17852638437262,First,SpeedUp,non,False,None,False
96, 21.101947507084663,20.29033414142756,21.981585848036442,92.647095,7,97.14462688886765,First,SpeedUp,non,False,None,False
97, 21.149108982882918,20.335681714310496,21.981585848036442,93.69961,7,97.11069003443001,First,SpeedUp,non,False,None,False
98, 21.187851096078955,20.372933746229762,21.981585848036442,94.75242,7,97.07672329284622,First,SpeedUp,non,False,None,False
99, 21.184407734475432,20.369622821610992,21.981585848036442,95.80552,7,97.04273413590283,First,SpeedUp,non,False,None,False
100, 21.134837208455224,20.321958854283867,21.981585848036442,96.85892,7,97.00870762002678,First,SpeedUp,non,False,None,False
101, 21.13125611751752,20.318515497613,21.981585848036442,97.912605,7,96.9746512170046,First,SpeedUp,non,False,None,False
102, 21.19710756649498,20.381834198552866,21.981585848036442,98.96659,7,96.94056492683627,First,SpeedUp,non,False,None,False
103, 21.185822942405423,20.37098359846675,21.981585848036442,100.02087,7,96.90644127773528,First,SpeedUp,non,False,None,False
104, 21.125855279515278,20.313322384149306,21.981585848036442,101.07544,7,96.87229521327468,First,SpeedUp,non,False,None,False
105, 21.19292923926359,20.37781657621499,21.981585848036442,102.1303,7,96.83811926166796,First,SpeedUp,non,False,None,False
106, 21.170203779366037,20.355965172467343,21.981585848036442,103.18546,7,96.80391342291509,First,SpeedUp,non,False,None,False
107, 21.08412992884216,20.273201854655923,21.981585848036442,104.237625,7,96.7700139274101,First,SpeedUp,non,False,None,False
108, 21.135874137561874,20.3229559015018,21.981585848036442,105.29008,7,96.736084544759,First,SpeedUp,non,False,None,False
109, 21.14576670753985,20.332467988019086,21.981585848036442,106.34283,7,96.70212527496176,First,SpeedUp,non,False,None,False
110, 21.17798091716654,20.36344318958321,21.981585848036442,107.39587,7,96.66813611801837,First,SpeedUp,non,False,None,False
111, 21.200867248622323,20.385449277521463,21.981585848036442,108.4492,7,96.63411707392885,First,SpeedUp,non,False,None,False
112, 21.119755560534948,20.307457269745143,21.981585848036442,109.50283,7,96.6000681426932,First,SpeedUp,non,False,None,False
113, 21.186564351792313,20.371696492107993,21.981585848036442,110.556755,7,96.5659893243114,First,SpeedUp,non,False,None,False
114, 21.170873513768594,20.356609147854417,21.981585848036442,111.61097,7,96.53187314699694,First,SpeedUp,non,False,None,False
115, 21.169480712643573,20.355269916003433,21.981585848036442,112.66548,7,96.49773455432289,First,SpeedUp,non,False,None,False
116, 21.20417933080649,20.388633971929316,21.981585848036442,113.72029,7,96.46355860271615,First,SpeedUp,non,False,None,False
117, 21.125315247052217,20.312803122165594,21.981585848036442,114.77539,7,96.42936023574981,First,SpeedUp,non,False,None,False
118, 21.136425163456757,20.323485734093033,21.981585848036442,115.83079,7,96.39512450985082,First,SpeedUp,non,False,None,False
119, 21.105535312857494,20.293783954670666,21.981585848036442,116.88318,7,96.36120259898624,First,SpeedUp,non,False,None,False
120, 21.078813543350204,20.26808994552904,21.981585848036442,117.93587,7,96.32725080097552,First,SpeedUp,non,False,None,False
121, 21.133135853746897,20.320322936295092,21.981585848036442,118.988846,7,96.29326911581867,First,SpeedUp,non,False,None,False
122, 21.077166483518592,20.26650623415249,21.981585848036442,120.04212,7,96.25925007172916,First,SpeedUp,non,False,None,False
123, 21.111492691964354,20.29951220381188,21.981585848036442,121.09569,7,96.22520861228004,First,SpeedUp,non,False,None,False
124, 21.169213424908836,20.355012908566188,21.981585848036442,122.14955,7,96.19113726568479,First,SpeedUp,non,False,None,False
125, 21.1055551442111,20.293803023279903,21.981585848036442,123.20371,7,96.15702856015686,First,SpeedUp,non,False,None,False
126, 21.164898984572602,20.350864408242884,21.981585848036442,124.25816,7,96.12288996748279,First,SpeedUp,non,False,None,False
127, 21.129607019511003,20.316929826452885,21.981585848036442,125.31291,7,96.08872895944913,First,SpeedUp,non,False,None,False
128, 21.10127909104372,20.289691433695882,21.981585848036442,126.36795,7,96.05453059248279,First,SpeedUp,non,False,None,False
129, 21.08658628234605,20.27556373302505,21.981585848036442,127.41999,7,96.02064604055089,First,SpeedUp,non,False,None,False
130, 21.16556437680787,20.351504208469102,21.981585848036442,128.47232,7,95.98673160147284,First,SpeedUp,non,False,None,False
131, 21.115965742653085,20.303813214089505,21.981585848036442,129.52495,7,95.95278727524867,First,SpeedUp,non,False,None,False
132, 21.11841330466696,20.306166639102845,21.981585848036442,130.57787,7,95.91881306187835,First,SpeedUp,non,False,None,False
133, 21.09319919903006,20.28192230675967,21.981585848036442,131.63107,7,95.88480896136191,First,SpeedUp,non,False,None,False
134, 21.164391504344984,20.350376446485562,21.981585848036442,132.68459,7,95.85076750191278,First,SpeedUp,non,False,None,False
135, 21.1880951622577,20.373168425247787,21.981585848036442,133.73839,7,95.81670362710406,First,SpeedUp,non,False,None,False
136, 21.154537997548267,20.34090192071949,21.981585848036442,134.79248,7,95.78260239336267,First,SpeedUp,non,False,None,False
137, 21.15733511168721,20.343591453545393,21.981585848036442,135.84688,7,95.74847127247514,First,SpeedUp,non,False,None,False
138, 21.10373900881782,20.2920567392479,21.981585848036442,136.90157,7,95.71431026444148,First,SpeedUp,non,False,None,False
139, 21.195074505563877,20.379879332272957,21.981585848036442,137.95654,7,95.68011936926167,First,SpeedUp,non,False,None,False
140, 21.140204682324384,20.32711988685037,21.981585848036442,139.01181,7,95.64589858693574,First,SpeedUp,non,False,None,False
141, 21.09186487822403,20.280639305984643,21.981585848036442,140.06409,7,95.61199161964423,First,SpeedUp,non,False,None,False
142, 21.164246161341318,20.35023669359742,21.981585848036442,141.11665,7,95.57805476520659,First,SpeedUp,non,False,None,False
143, 21.11995286836283,20.30764698881041,21.981585848036442,142.16951,7,95.54408055183627,First,SpeedUp,non,False,None,False
144, 21.199850409810725,20.38447154789493,21.981585848036442,143.22267,7,95.51007645131982,First,SpeedUp,non,False,None,False
145, 21.191678821190305,20.376614251144524,21.981585848036442,144.27612,7,95.47604993544377,First,SpeedUp,non,False,None,False
146, 21.12319376632155,20.31076323684764,21.981585848036442,145.32986,7,95.44198606063505,First,SpeedUp,non,False,None,False
147, 21.13789950004942,20.324903365432135,21.981585848036442,146.3839,7,95.40789977046673,First,SpeedUp,non,False,None,False
148, 21.107028736968825,20.2952199393931,21.981585848036442,147.43823,7,95.37376864957919,First,SpeedUp,non,False,None,False
149, 21.180368212031734,20.36573866541513,21.981585848036442,148.49286,7,95.33961511333207,First,SpeedUp,non,False,None,False
150, 21.183479409910202,20.368730201836733,21.981585848036442,149.54778,7,95.3054316899388,First,SpeedUp,non,False,None,False
151, 21.171486301729512,20.35719836704761,21.981585848036442,150.60298,7,95.2712183793994,First,SpeedUp,non,False,None,False
152, 21.15065977216737,20.33717285785324,21.981585848036442,151.6585,7,95.23697518171386,First,SpeedUp,non,False,None,False
153, 21.11830520906792,20.306062701026846,21.981585848036442,152.7143,7,95.20269462509565,First,SpeedUp,non,False,None,False
154, 21.16745292696226,20.353320122079094,21.981585848036442,153.77039,7,95.16839165311784,First,SpeedUp,non,False,None,False
155, 21.14077165308308,20.32766505104142,21.981585848036442,154.82677,7,95.13405879399389,First,SpeedUp,non,False,None,False
156, 21.202597699671767,20.387113172761314,21.981585848036442,155.88345,7,95.09968857593726,First,SpeedUp,non,False,None,False
157, 21.163513591266042,20.34953229929427,21.981585848036442,156.94043,7,95.06528847073452,First,SpeedUp,non,False,None,False
158, 21.099508490643277,20.287988933310842,21.981585848036442,157.9944,7,95.0312021805662,First,SpeedUp,non,False,None,False
159, 21.10586298748281,20.294099026425776,21.981585848036442,159.04868,7,94.99707853146519,First,SpeedUp,non,False,None,False
160, 21.082420543212084,20.271558214627003,21.981585848036442,160.09995,7,94.96327616918516,First,SpeedUp,non,False,None,False
161, 21.119946118067205,20.30764049814154,21.981585848036442,161.1515,7,94.929443919759,First,SpeedUp,non,False,None,False
162, 21.165024085042532,20.35098469715628,21.981585848036442,162.20337,7,94.89557431140017,First,SpeedUp,non,False,None,False
163, 21.196746748499038,20.38148725817215,21.981585848036442,163.25552,7,94.86168228768172,First,SpeedUp,non,False,None,False
