turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.654681430340492,20.654681430340492,22.234663019405634,0.06019349,5,99.96851758930794,First,non,non,False,None,False
2, 20.64856916360055,20.64856916360055,22.234663019405634,0.18058047,5,99.94621856134864,First,non,non,False,None,False
3, 20.640867589914947,20.640867589914947,22.234663019405634,0.36116093,5,99.93153487327297,First,non,non,False,None,False
4, 20.721345087244075,20.721345087244075,22.234663019405634,0.6019349,5,99.92286809380445,First,non,non,False,None,False
5, 20.644187367275844,20.644187367275844,22.234663019405634,0.90290236,5,99.91865018009398,First,non,non,False,None,False
6, 20.668946502817985,20.668946502817985,22.234663019405634,1.2640634,5,99.91728877855053,First,non,non,False,None,False
7, 20.70992950801415,20.70992950801415,22.234663019405634,1.6854178,5,99.91721584632499,First,non,non,False,None,False
8, 20.712972063430968,20.712972063430968,22.234663019405634,2.1669657,5,99.91684510751182,First,non,non,False,None,False
9, 20.708417344712604,20.708417344712604,22.234663019405634,2.708707,5,99.91458420852004,First,non,non,False,None,False
10, 20.66366038234206,20.66366038234206,22.234663019405634,3.310642,5,99.90885902881503,First,non,non,False,None,False
11, 20.68167551163879,20.68167551163879,22.234663019405634,3.9727705,5,99.89808937017675,First,non,non,False,None,False
12, 20.61249139674125,20.61249139674125,22.234663019405634,4.695092,5,99.88069503438511,First,non,non,False,None,False
13, 20.6992217243064,20.6992217243064,22.234663019405634,5.4776077,5,99.8550897455346,First,non,non,False,None,False
14, 20.688848078183753,20.688848078183753,22.234663019405634,6.320317,5,99.81969938309061,First,non,non,False,None,False
15, 20.732732076811054,20.732732076811054,22.234663019405634,7.223219,5,99.77292551577669,First,non,non,False,None,False
16, 20.634224427577603,20.634224427577603,22.234663019405634,8.186315,5,99.71320617842917,First,non,non,False,None,False
17, 20.689181000776887,20.689181000776887,22.234663019405634,9.209604,5,99.6389429397716,First,non,non,False,None,False
18, 20.67941567587829,20.67941567587829,22.234663019405634,10.293087,5,99.54857383464028,First,non,non,False,None,False
19, 20.722013748025823,20.722013748025823,22.234663019405634,11.3735695,5,99.45904345010268,First,non,non,False,None,False
20, 20.72906091150999,20.72906091150999,22.234663019405634,12.451053,5,99.37034570847337,First,non,non,False,None,False
