turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.916079562078735,21.073153425075706,22.760585313341952,0.060196437,3,99.98119481877323,First,SpeedUp,non,False,None,False
2, 21.995795245730854,21.14980312089505,22.760585313341952,0.18058932,3,99.9678835579306,First,SpeedUp,non,False,None,False
3, 22.039240676837085,21.191577573881812,22.760585313341952,0.36117864,3,99.95911022692069,First,SpeedUp,non,False,None,False
4, 21.93033968110151,21.08686507798222,22.760585313341952,0.60196435,3,99.95392488576518,First,SpeedUp,non,False,None,False
5, 21.99209068416169,21.14624104246316,22.760585313341952,0.90294653,3,99.95141389792441,First,SpeedUp,non,False,None,False
6, 21.925617335147752,21.082324360718992,22.760585313341952,1.2641251,3,99.95059707055452,First,SpeedUp,non,False,None,False
7, 21.91668444216824,21.073735040546385,22.760585313341952,1.6855001,3,99.95055471654275,First,SpeedUp,non,False,None,False
8, 21.923445042554924,21.08023561784127,22.760585313341952,2.1670716,3,99.95033689591078,First,SpeedUp,non,False,None,False
9, 21.943287221205512,21.09931463577453,22.760585313341952,2.7088394,3,99.94898156753408,First,SpeedUp,non,False,None,False
10, 21.993461474853795,21.14755911043634,22.760585313341952,3.310804,3,99.94555694315365,First,SpeedUp,non,False,None,False
11, 22.017361755657102,21.17054014967029,22.760585313341952,3.9729648,3,99.93911913336431,First,SpeedUp,non,False,None,False
12, 21.916104168823768,21.07317708540747,22.760585313341952,4.695322,3,99.92873029933395,First,SpeedUp,non,False,None,False
13, 22.01593343644503,21.16916676581253,22.760585313341952,5.4778757,3,99.91343445051115,First,SpeedUp,non,False,None,False
14, 21.908941769372856,21.066290162858515,22.760585313341952,6.320626,3,99.8922876974907,First,SpeedUp,non,False,None,False
15, 21.986236149107558,21.14061168183419,22.760585313341952,7.2235723,3,99.86435220144051,First,SpeedUp,non,False,None,False
16, 21.9657702147985,21.12093289884471,22.760585313341952,8.186715,3,99.82867197180917,First,SpeedUp,non,False,None,False
17, 22.00048369207603,21.1543112423808,22.760585313341952,9.210054,3,99.78430311919145,First,SpeedUp,non,False,None,False
18, 21.953342476397832,21.10898315038253,22.760585313341952,10.293591,3,99.73031385532838,First,SpeedUp,non,False,None,False
19, 21.983767441460067,21.138237924480833,22.760585313341952,11.437323,3,99.66574818966852,First,SpeedUp,non,False,None,False
20, 21.952784458697998,21.10844659490192,22.760585313341952,12.578054,3,99.60173917673481,First,SpeedUp,non,False,None,False
21, 22.02425701464116,21.177170206385732,22.760585313341952,13.715787,3,99.53826261423481,First,SpeedUp,non,False,None,False
22, 21.97973315060191,21.134358798655683,22.760585313341952,14.850519,3,99.47534270446096,First,SpeedUp,non,False,None,False
23, 21.9056792875819,21.06315316113644,22.760585313341952,15.982251,3,99.41296129569392,First,SpeedUp,non,False,None,False
24, 21.983774363761196,21.13824458053961,22.760585313341952,17.110983,3,99.3511183879337,First,SpeedUp,non,False,None,False
25, 21.980046661791814,21.1346602517229,22.760585313341952,18.236715,3,99.28982003175341,First,SpeedUp,non,False,None,False
26, 22.012189888608955,21.16556720058553,22.760585313341952,19.359447,3,99.2290480754337,First,SpeedUp,non,False,None,False
27, 21.944406328145984,21.10039070014037,22.760585313341952,20.47918,3,99.1688085695477,First,SpeedUp,non,False,None,False
28, 21.98849289842291,21.14278163309895,22.760585313341952,21.595911,3,99.10910756466852,First,SpeedUp,non,False,None,False
29, 21.982997534899273,21.13749762971084,22.760585313341952,22.709644,3,99.04993295964994,First,SpeedUp,non,False,None,False
30, 21.92563527133794,21.08234160705571,22.760585313341952,23.820377,3,98.99127870391884,First,SpeedUp,non,False,None,False
31, 21.901251579366416,21.058895749390786,22.760585313341952,24.92811,3,98.93315084804833,First,SpeedUp,non,False,None,False
32, 21.941140226321835,21.097250217617148,22.760585313341952,26.032843,3,98.8755433414653,First,SpeedUp,non,False,None,False
33, 22.029994075368613,21.18268661093136,22.760585313341952,27.134575,3,98.81846223474287,First,SpeedUp,non,False,None,False
34, 21.991236839600255,21.145420038077166,22.760585313341952,28.233307,3,98.7618893761617,First,SpeedUp,non,False,None,False
35, 21.987806144492488,21.142121292781237,22.760585313341952,29.332235,3,98.70528626471499,First,SpeedUp,non,False,None,False
36, 21.96800267413784,21.123079494363306,22.760585313341952,30.428164,3,98.64919745198264,First,SpeedUp,non,False,None,False
37, 21.97231942001311,21.12723021155107,22.760585313341952,31.524288,3,98.59306628523854,First,SpeedUp,non,False,None,False
38, 21.921320266980036,21.07819256440388,22.760585313341952,32.617413,3,98.53746151835502,First,SpeedUp,non,False,None,False
39, 22.018067871636372,21.171219107342665,22.760585313341952,33.710735,3,98.48181439745973,First,SpeedUp,non,False,None,False
40, 22.02561719003239,21.178478067338833,22.760585313341952,34.804253,3,98.42613097312577,First,SpeedUp,non,False,None,False
41, 21.945369396220123,21.101316727134733,22.760585313341952,35.89797,3,98.37041729592627,First,SpeedUp,non,False,None,False
42, 21.965439237339545,21.120614651288022,22.760585313341952,36.99188,3,98.31467336586121,First,SpeedUp,non,False,None,False
43, 21.97740242886199,21.132117720059604,22.760585313341952,38.085987,3,98.2588991829306,First,SpeedUp,non,False,None,False
44, 22.001978485976917,21.155748544208574,22.760585313341952,39.18029,3,98.20308264598822,First,SpeedUp,non,False,None,False
45, 21.904893749123552,21.062397835695723,22.760585313341952,40.27479,3,98.14723585618029,First,SpeedUp,non,False,None,False
46, 22.02522058521275,21.17809671655072,22.760585313341952,41.369488,3,98.0913527629337,First,SpeedUp,non,False,None,False
47, 21.983450310262736,21.137932990637246,22.760585313341952,42.464382,3,98.03543941682156,First,SpeedUp,non,False,None,False
48, 22.004270200194462,21.157952115571597,22.760585313341952,43.55947,3,97.97948976727075,First,SpeedUp,non,False,None,False
49, 21.98169429088867,21.136244510469872,22.760585313341952,44.65476,3,97.9235159154275,First,SpeedUp,non,False,None,False
50, 22.041096543583535,21.193362061138014,22.760585313341952,45.75024,3,97.86749970957248,First,SpeedUp,non,False,None,False
51, 21.911619186578253,21.06886460247909,22.760585313341952,46.84592,3,97.8114472002788,First,SpeedUp,non,False,None,False
52, 22.01130307332911,21.16471449358568,22.760585313341952,47.941795,3,97.75536443811957,First,SpeedUp,non,False,None,False
53, 22.032261737769115,21.184867055547226,22.760585313341952,49.03787,3,97.6992574736679,First,SpeedUp,non,False,None,False
54, 21.98482416392605,21.139254003775047,22.760585313341952,50.134136,3,97.64310815520446,First,SpeedUp,non,False,None,False
55, 22.022427730652268,21.175411279473334,22.760585313341952,51.230602,3,97.58692253330236,First,SpeedUp,non,False,None,False
56, 22.031534085937512,21.18416739032453,22.760585313341952,52.327263,3,97.5307127091078,First,SpeedUp,non,False,None,False
57, 22.008960072859516,21.162461608518765,22.760585313341952,53.42412,3,97.47446053090148,First,SpeedUp,non,False,None,False
58, 22.021515527872076,21.17453416141546,22.760585313341952,54.521175,3,97.4181720492565,First,SpeedUp,non,False,None,False
59, 22.007610011458315,21.161163472556073,22.760585313341952,55.618427,3,97.36185936531908,First,SpeedUp,non,False,None,False
60, 21.99135961454061,21.14553809090443,22.760585313341952,56.715874,3,97.30550432736989,First,SpeedUp,non,False,None,False
61, 21.986865786926636,21.14121710281407,22.760585313341952,57.81352,3,97.24911903655514,First,SpeedUp,non,False,None,False
62, 22.016918190331676,21.170113644549687,22.760585313341952,58.911358,3,97.19270349287484,First,SpeedUp,non,False,None,False
63, 21.92332249697236,21.080117785550346,22.760585313341952,60.0062,3,97.13679619733581,First,SpeedUp,non,False,None,False
64, 21.94567941140151,21.101614818655296,22.760585313341952,61.101234,3,97.08085864893123,First,SpeedUp,non,False,None,False
65, 22.006029675811117,21.15964391904915,22.760585313341952,62.19647,3,97.02489084766108,First,SpeedUp,non,False,None,False
66, 21.921585633815972,21.07844772482305,22.760585313341952,63.291897,3,96.9688867429523,First,SpeedUp,non,False,None,False
67, 21.98463429444284,21.13907143696427,22.760585313341952,64.38752,3,96.91284028423172,First,SpeedUp,non,False,None,False
68, 21.980329166828387,21.13493189118114,22.760585313341952,65.483345,3,96.85676962321871,First,SpeedUp,non,False,None,False
69, 22.01637341470521,21.16958982183193,22.760585313341952,66.57936,3,96.80066870934014,First,SpeedUp,non,False,None,False
70, 21.91947738551696,21.076420562997075,22.760585313341952,67.67238,3,96.74506999302973,First,SpeedUp,non,False,None,False
71, 21.91925269936139,21.07620451861672,22.760585313341952,68.765594,3,96.68944102385377,First,SpeedUp,non,False,None,False
72, 21.914361723284063,21.071501657003907,22.760585313341952,69.85901,3,96.63378785238537,First,SpeedUp,non,False,None,False
73, 22.025791503043973,21.178645676003818,22.760585313341952,70.952614,3,96.5780923269052,First,SpeedUp,non,False,None,False
74, 22.013861215295012,21.167174245475973,22.760585313341952,72.04642,3,96.52236049798637,First,SpeedUp,non,False,None,False
75, 21.940271155709503,21.0964145727976,22.760585313341952,73.14042,3,96.4666044667751,First,SpeedUp,non,False,None,False
76, 21.916030459459765,21.073106211019006,22.760585313341952,74.23462,3,96.41080608155204,First,SpeedUp,non,False,None,False
77, 22.034264554313555,21.18679284068611,22.760585313341952,75.32901,3,96.35497744346344,First,SpeedUp,non,False,None,False
78, 21.907160703571005,21.064577599587505,22.760585313341952,76.4236,3,96.29911855250928,First,SpeedUp,non,False,None,False
79, 22.03406982602937,21.186605601951317,22.760585313341952,77.51839,3,96.24322335811648,First,SpeedUp,non,False,None,False
80, 21.96952677476828,21.12454497573873,22.760585313341952,78.61337,3,96.187291860285,First,SpeedUp,non,False,None,False
81, 21.957560931874056,21.113039357571207,22.760585313341952,79.70855,3,96.13133616016108,First,SpeedUp,non,False,None,False
82, 21.919123717933495,21.076080498012974,22.760585313341952,80.803925,3,96.0753381060254,First,SpeedUp,non,False,None,False
83, 21.939809064149735,21.095970253990128,22.760585313341952,81.8995,3,96.01930374845105,First,SpeedUp,non,False,None,False
84, 22.00549269078712,21.159127587295306,22.760585313341952,82.99527,3,95.96324518858425,First,SpeedUp,non,False,None,False
85, 21.991607482057553,21.145776425055338,22.760585313341952,84.09123,3,95.9071442747057,First,SpeedUp,non,False,None,False
86, 21.96333770194417,21.118593944177086,22.760585313341952,85.18739,3,95.85101310796158,First,SpeedUp,non,False,None,False
87, 22.03873391140377,21.1910902994267,22.760585313341952,86.28375,3,95.7948456377788,First,SpeedUp,non,False,None,False
88, 21.98528484532421,21.139696966657894,22.760585313341952,87.38031,3,95.73865396530358,First,SpeedUp,non,False,None,False
89, 21.921566618723837,21.078429441080612,22.760585313341952,88.47386,3,95.68297054096963,First,SpeedUp,non,False,None,False
90, 21.94946751924873,21.105257230046856,22.760585313341952,89.56761,3,95.62724476262392,First,SpeedUp,non,False,None,False
91, 21.91080384605126,21.068080621203134,22.760585313341952,90.66156,3,95.57149478198575,First,SpeedUp,non,False,None,False
92, 22.023670020806822,21.17660578923733,22.760585313341952,91.75571,3,95.51570849790892,First,SpeedUp,non,False,None,False
93, 21.973732674443678,21.128589110041997,22.760585313341952,92.850044,3,95.45989196096654,First,SpeedUp,non,False,None,False
94, 21.90673926557082,21.064172370741172,22.760585313341952,93.94458,3,95.4040391205855,First,SpeedUp,non,False,None,False
95, 21.984519458220205,21.138961017519428,22.760585313341952,95.039314,3,95.3481560273389,First,SpeedUp,non,False,None,False
96, 22.005893328038393,21.159512815421532,22.760585313341952,96.13425,3,95.29223663065365,First,SpeedUp,non,False,None,False
97, 21.991881952137536,21.146040338593785,22.760585313341952,97.22937,3,95.23628698110285,First,SpeedUp,non,False,None,False
98, 21.96485974676795,21.120057448815334,22.760585313341952,98.32469,3,95.18030102811338,First,SpeedUp,non,False,None,False
99, 21.91500677724278,21.07212190119498,22.760585313341952,99.42021,3,95.12427272111213,First,SpeedUp,non,False,None,False
100, 21.997674611688026,21.151610203546177,22.760585313341952,100.51593,3,95.06822021181846,First,SpeedUp,non,False,None,False
101, 22.008761476746873,21.162270650718146,22.760585313341952,101.61184,3,95.01213139908612,First,SpeedUp,non,False,None,False
102, 21.98324771947245,21.13773819180043,22.760585313341952,102.70795,3,94.95601233348822,First,SpeedUp,non,False,None,False
103, 21.91982451952869,21.07675434570066,22.760585313341952,103.801056,3,94.9004015160316,First,SpeedUp,non,False,None,False
104, 21.962152118558446,21.11745396015235,22.760585313341952,104.89436,3,94.8447543951363,First,SpeedUp,non,False,None,False
105, 21.98918963687324,21.143451573916575,22.760585313341952,105.98786,3,94.78908307194857,First,SpeedUp,non,False,None,False
106, 21.918902024509173,21.07586733125882,22.760585313341952,107.08156,3,94.73336939474906,First,SpeedUp,non,False,None,False
107, 22.022535679389524,21.17551507633608,22.760585313341952,108.17545,3,94.67762546468401,First,SpeedUp,non,False,None,False
108, 21.998505005017915,21.15240865867107,22.760585313341952,109.26955,3,94.62185128175341,First,SpeedUp,non,False,None,False
109, 21.963754815764016,21.118995015157708,22.760585313341952,110.36383,3,94.56604079538414,First,SpeedUp,non,False,None,False
110, 22.008965292595544,21.162466627495714,22.760585313341952,111.45831,3,94.51020005614932,First,SpeedUp,non,False,None,False
111, 22.003736056937043,21.15743851628562,22.760585313341952,112.55299,3,94.45432301347583,First,SpeedUp,non,False,None,False
112, 21.9616158257414,21.116938293982116,22.760585313341952,113.64787,3,94.3984157179368,First,SpeedUp,non,False,None,False
113, 21.92607219547642,21.082761726419633,22.760585313341952,114.74294,3,94.34246606838599,First,SpeedUp,non,False,None,False
114, 21.936231481554774,21.092530270725742,22.760585313341952,115.83821,3,94.28648616596963,First,SpeedUp,non,False,None,False
115, 21.98139801891005,21.135959633567353,22.760585313341952,116.93368,3,94.23048206126084,First,SpeedUp,non,False,None,False
116, 21.93070087741039,21.087212382125376,22.760585313341952,118.02934,3,94.17443560254027,First,SpeedUp,non,False,None,False
117, 22.002800486158687,21.15653892899874,22.760585313341952,119.1252,3,94.11835889095414,First,SpeedUp,non,False,None,False
118, 21.961381733317126,21.11671320511262,22.760585313341952,120.22125,3,94.06224587592936,First,SpeedUp,non,False,None,False
119, 22.013954183964398,21.167263638427304,22.760585313341952,121.317505,3,94.00610260803903,First,SpeedUp,non,False,None,False
120, 21.986538390253948,21.1409022983211,22.760585313341952,122.413956,3,93.94991698613693,First,SpeedUp,non,False,None,False
121, 21.90130855649042,21.058950535086943,22.760585313341952,123.5074,3,93.89425171352231,First,SpeedUp,non,False,None,False
122, 22.009090053847327,21.162586590237815,22.760585313341952,124.60104,3,93.83855618804213,First,SpeedUp,non,False,None,False
123, 21.910736628658288,21.06801598909451,22.760585313341952,125.694885,3,93.78281225797707,First,SpeedUp,non,False,None,False
124, 22.00198012934723,21.155750124372336,22.760585313341952,126.788925,3,93.72704412561957,First,SpeedUp,non,False,None,False
125, 21.959448315941973,21.114854149944204,22.760585313341952,127.883156,3,93.67124574039653,First,SpeedUp,non,False,None,False
126, 21.914608651191738,21.071739087684364,22.760585313341952,128.97758,3,93.61541105173481,First,SpeedUp,non,False,None,False
127, 21.959122208758664,21.11454058534487,22.760585313341952,130.0722,3,93.55954611020755,First,SpeedUp,non,False,None,False
128, 22.034110013714646,21.18664424395639,22.760585313341952,131.16702,3,93.50364486524163,First,SpeedUp,non,False,None,False
129, 22.01349244959679,21.166819663073834,22.760585313341952,132.26204,3,93.44770731683705,First,SpeedUp,non,False,None,False
130, 21.902704119008373,21.060292422123435,22.760585313341952,133.35725,3,93.39173951556691,First,SpeedUp,non,False,None,False
131, 21.948521369247754,21.104347470430532,22.760585313341952,134.45267,3,93.33574146143123,First,SpeedUp,non,False,None,False
132, 21.974585057528852,21.12940870916236,22.760585313341952,135.54828,3,93.27970105328376,First,SpeedUp,non,False,None,False
133, 21.911518191862285,21.068767492175272,22.760585313341952,136.64088,3,93.22417494385068,First,SpeedUp,non,False,None,False
134, 21.909672081091763,21.066992385665156,22.760585313341952,137.73369,3,93.16862463212514,First,SpeedUp,non,False,None,False
135, 21.977165651314102,21.131890049340484,22.760585313341952,138.82669,3,93.11303801696096,First,SpeedUp,non,False,None,False
136, 22.02810236835429,21.180867661879123,22.760585313341952,139.91989,3,93.057409047785,First,SpeedUp,non,False,None,False
137, 22.00887660938722,21.162381355180017,22.760585313341952,141.01329,3,93.00174982574349,First,SpeedUp,non,False,None,False
138, 21.957498210689447,21.112979048739852,22.760585313341952,142.10689,3,92.94606035083643,First,SpeedUp,non,False,None,False
139, 21.99421014951155,21.14827898991495,22.760585313341952,143.20067,3,92.8903345724907,First,SpeedUp,non,False,None,False
140, 21.98152164931022,21.136078508952135,22.760585313341952,144.29465,3,92.83457854127943,First,SpeedUp,non,False,None,False
141, 21.963729343214453,21.11897052232159,22.760585313341952,145.38882,3,92.77878015605638,First,SpeedUp,non,False,None,False
142, 21.97976633803891,21.1343907096528,22.760585313341952,146.4832,3,92.72295151796777,First,SpeedUp,non,False,None,False
143, 21.944296546480295,21.100285140846438,22.760585313341952,147.57777,3,92.66709867758674,First,SpeedUp,non,False,None,False
144, 21.970671552180207,21.125645723250198,22.760585313341952,148.67255,3,92.61120953376704,First,SpeedUp,non,False,None,False
145, 21.91363959959141,21.070807307299432,22.760585313341952,149.76752,3,92.55527803593556,First,SpeedUp,non,False,None,False
146, 22.025617381773955,21.178478251705727,22.760585313341952,150.86269,3,92.49931628523854,First,SpeedUp,non,False,None,False
147, 21.999806184485564,21.15365979277458,22.760585313341952,151.95804,3,92.44333033224906,First,SpeedUp,non,False,None,False
148, 22.00922089302371,21.162712397138183,22.760585313341952,153.05359,3,92.38729597467471,First,SpeedUp,non,False,None,False
149, 22.039273296113247,21.19160893857043,22.760585313341952,154.14934,3,92.33124346538104,First,SpeedUp,non,False,None,False
150, 22.01711679872804,21.170304614161576,22.760585313341952,155.24529,3,92.27514255150247,First,SpeedUp,non,False,None,False
151, 21.9078395818429,21.065230367156634,22.760585313341952,156.33823,3,92.2195619869114,First,SpeedUp,non,False,None,False
152, 22.002807519524048,21.156545691850045,22.760585313341952,157.43137,3,92.16394511888166,First,SpeedUp,non,False,None,False
153, 21.933537857008243,21.08994024712331,22.760585313341952,158.5247,3,92.10829799798637,First,SpeedUp,non,False,None,False
154, 22.005129516498847,21.15877838124889,22.760585313341952,159.61824,3,92.05261457365242,First,SpeedUp,non,False,None,False
155, 22.009187875188854,21.16268064922005,22.760585313341952,160.71198,3,91.99690089645291,First,SpeedUp,non,False,None,False
156, 21.999133526457207,21.15301300620885,22.760585313341952,161.80591,3,91.94115091581475,First,SpeedUp,non,False,None,False
157, 21.912538341303335,21.06974840509936,22.760585313341952,162.90004,3,91.88537673288414,First,SpeedUp,non,False,None,False
158, 21.921777019266216,21.078631749294438,22.760585313341952,163.99437,3,91.82956019594175,First,SpeedUp,non,False,None,False
159, 21.955043971437718,21.110619203305497,22.760585313341952,165.08888,3,91.77370130498761,First,SpeedUp,non,False,None,False
160, 21.95451069442492,21.110106436947035,22.760585313341952,166.1836,3,91.71781821174102,First,SpeedUp,non,False,None,False
161, 21.93586091412519,21.092173955889606,22.760585313341952,167.2785,3,91.66191091620198,First,SpeedUp,non,False,None,False
162, 21.926956512192316,21.08361203095415,22.760585313341952,168.37361,3,91.60594916550495,First,SpeedUp,non,False,None,False
163, 21.96918858332698,21.124219791660554,22.760585313341952,169.46892,3,91.5499753136617,First,SpeedUp,non,False,None,False
164, 22.030737906969357,21.18340183362438,22.760585313341952,170.56442,3,91.49394700666046,First,SpeedUp,non,False,None,False
165, 21.993803179481848,21.147887672578698,22.760585313341952,171.66013,3,91.43790659851301,First,SpeedUp,non,False,None,False
166, 22.01458569823868,21.167870863691036,22.760585313341952,172.75603,3,91.38181778578067,First,SpeedUp,non,False,None,False
167, 22.022307451169606,21.17529562612462,22.760585313341952,173.85211,3,91.32569872018277,First,SpeedUp,non,False,None,False
168, 22.03330993377098,21.18587493631825,22.760585313341952,174.9484,3,91.26954940171933,First,SpeedUp,non,False,None,False
169, 22.016286556953563,21.16950630476304,22.760585313341952,176.04488,3,91.21336377981721,First,SpeedUp,non,False,None,False
170, 21.90139232779427,21.059031084417565,22.760585313341952,177.13837,3,91.15768640605638,First,SpeedUp,non,False,None,False
171, 21.928102794235976,21.0847142252269,22.760585313341952,178.23204,3,91.10198483000309,First,SpeedUp,non,False,None,False
172, 22.035596304962507,21.188073370156257,22.760585313341952,179.32591,3,91.04624695051115,First,SpeedUp,non,False,None,False
173, 21.960983988987312,21.116330758641645,22.760585313341952,180.41998,3,90.99046671700744,First,SpeedUp,non,False,None,False
174, 21.98744287655863,21.14177199669099,22.760585313341952,181.51425,3,90.93465623063817,First,SpeedUp,non,False,None,False
175, 21.969295336119824,21.124322438576755,22.760585313341952,182.60872,3,90.87882154197645,First,SpeedUp,non,False,None,False
176, 21.9517489824348,21.107450944648846,22.760585313341952,183.70338,3,90.82295054987608,First,SpeedUp,non,False,None,False
177, 22.03729314963663,21.18970495157368,22.760585313341952,184.79825,3,90.76703720376393,First,SpeedUp,non,False,None,False
178, 21.97705915889944,21.13178765278792,22.760585313341952,185.89331,3,90.71109965535935,First,SpeedUp,non,False,None,False
179, 21.998967380106734,21.152853250102627,22.760585313341952,186.98856,3,90.655119752943,First,SpeedUp,non,False,None,False
180, 22.037481503027344,21.189886060603214,22.760585313341952,188.084,3,90.5991156482342,First,SpeedUp,non,False,None,False
181, 22.016803197082528,21.170003074117815,22.760585313341952,189.17964,3,90.54307524008674,First,SpeedUp,non,False,None,False
182, 22.02440065792316,21.177308324926113,22.760585313341952,190.27548,3,90.48699852850062,First,SpeedUp,non,False,None,False
183, 22.026924637758185,21.179735228613637,22.760585313341952,191.37152,3,90.43089156404895,First,SpeedUp,non,False,None,False
184, 21.955817729937333,21.11136320186282,22.760585313341952,192.46776,3,90.3747422455855,First,SpeedUp,non,False,None,False
185, 22.01693742468289,21.170132139118163,22.760585313341952,193.5642,3,90.31856872482962,First,SpeedUp,non,False,None,False
186, 21.916269675170437,21.07333622612542,22.760585313341952,194.65762,3,90.26290345221499,First,SpeedUp,non,False,None,False
187, 21.99484484911876,21.14888927799881,22.760585313341952,195.75125,3,90.20720792673481,First,SpeedUp,non,False,None,False
188, 21.913286878816066,21.070468152707754,22.760585313341952,196.84508,3,90.15147609781599,First,SpeedUp,non,False,None,False
189, 21.90223130796258,21.059837796117865,22.760585313341952,197.9391,3,90.09570796545849,First,SpeedUp,non,False,None,False
190, 21.940320303930267,21.09646183070218,22.760585313341952,199.03333,3,90.03990958023543,First,SpeedUp,non,False,None,False
191, 22.018317629042873,21.17145925869507,22.760585313341952,200.12773,3,89.98408699271995,Middle,SpeedUp,non,False,None,False
192, 21.921667996007393,20.733574223846073,22.760585313341952,201.22119,2.95,89.89097472312577,Middle,non,InsideMove,False,None,False
193, 21.473926902931662,20.713995553431342,22.760585313341952,202.31265,2.9,89.79843725797707,Middle,non,InsideMove,False,None,False
