turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.714596170537643,20.879419394747732,22.242382529252286,0.060537998,1,99.98191248581921,First,SpeedUp,non,False,None,False
2, 21.78895301327326,20.950916358916597,22.242382529252286,0.181614,1,99.96913110893838,First,SpeedUp,non,False,None,False
3, 21.739418204067615,20.9032867346804,22.242382529252286,0.36322796,1,99.96073458398018,First,SpeedUp,non,False,None,False
4, 21.703543166070272,20.8687915058368,22.242382529252286,0.60537994,1,99.95582494924767,First,SpeedUp,non,False,None,False
5, 21.736196818654633,20.90018924870638,22.242382529252286,0.9080699,1,99.95345759568308,First,SpeedUp,non,False,None,False
6, 21.732957682787166,20.89707469498766,22.242382529252286,1.2712979,1,99.95271123790901,First,SpeedUp,non,False,None,False
7, 21.799138200623652,20.960709808291973,22.242382529252286,1.695064,1,99.95268791422858,First,SpeedUp,non,False,None,False
8, 21.660605834777453,20.827505610362934,22.242382529252286,2.179368,1,99.95244301558395,First,SpeedUp,non,False,None,False
9, 21.73900712973379,20.902891470897874,22.242382529252286,2.72421,1,99.95105525659781,First,SpeedUp,non,False,None,False
10, 21.766724348302084,20.929542642598157,22.242382529252286,3.3295898,1,99.94761501373299,First,SpeedUp,non,False,None,False
11, 21.7364325951747,20.90041595689875,22.242382529252286,3.9955077,1,99.94120100161214,First,SpeedUp,non,False,None,False
12, 21.750540031321403,20.913980799347502,22.242382529252286,4.721964,1,99.93090359669812,First,SpeedUp,non,False,None,False
13, 21.73702258456586,20.90098325439025,22.242382529252286,5.508958,1,99.91576652809292,First,SpeedUp,non,False,None,False
14, 21.794936243461645,20.956669464866966,22.242382529252286,6.3564897,1,99.89490349593981,First,SpeedUp,non,False,None,False
15, 21.77530955159341,20.937797645762892,22.242382529252286,7.2645597,1,99.86738155302126,First,SpeedUp,non,False,None,False
16, 21.74892326365158,20.912426215049596,22.242382529252286,8.233168,1,99.83226775211966,First,SpeedUp,non,False,None,False
17, 21.691609335590837,20.857316668837342,22.242382529252286,9.262314,1,99.7886641315381,First,SpeedUp,non,False,None,False
18, 21.725823130652753,20.89021454870457,22.242382529252286,10.351997,1,99.735637744059,First,SpeedUp,non,False,None,False
19, 21.743112500802244,20.90683894307908,22.242382529252286,11.438682,1,99.68310115386913,First,SpeedUp,non,False,None,False
20, 21.784502556775312,20.946637073822416,22.242382529252286,12.525904,1,99.63045960711727,First,SpeedUp,non,False,None,False
21, 21.741286342724276,20.905083021850263,22.242382529252286,13.610126,1,99.57831951949487,First,SpeedUp,non,False,None,False
22, 21.71766572907514,20.88237089334148,22.242382529252286,14.694885,1,99.52608613715071,First,SpeedUp,non,False,None,False
23, 21.766105108131566,20.928947219357273,22.242382529252286,15.780183,1,99.47377112192501,First,SpeedUp,non,False,None,False
24, 21.789016950191016,20.95097783672213,22.242382529252286,16.866018,1,99.42137447381778,First,SpeedUp,non,False,None,False
25, 21.79334135190305,20.955135915291393,22.242382529252286,17.952393,1,99.36888453098878,First,SpeedUp,non,False,None,False
26, 21.754067080435693,20.917372192726628,22.242382529252286,19.039305,1,99.31630129343803,First,SpeedUp,non,False,None,False
27, 21.76822220793463,20.930982892244838,22.242382529252286,20.126755,1,99.26363642300574,First,SpeedUp,non,False,None,False
28, 21.79855994468291,20.960153792964338,22.242382529252286,21.214743,1,99.21087825785169,First,SpeedUp,non,False,None,False
29, 21.792586205086256,20.954409812582938,22.242382529252286,22.303268,1,99.1580384598161,First,SpeedUp,non,False,None,False
30, 21.76008208585873,20.92315585178724,22.242382529252286,23.388794,1,99.10568845906974,First,SpeedUp,non,False,None,False
31, 21.74970445978475,20.913177365177642,22.242382529252286,24.474857,1,99.05324516360163,First,SpeedUp,non,False,None,False
32, 21.67399777846774,20.840382479295904,22.242382529252286,25.55792,1,99.00130332726296,First,SpeedUp,non,False,None,False
33, 21.75624560574438,20.919466928600364,22.242382529252286,26.641521,1,98.9492448725221,First,SpeedUp,non,False,None,False
