turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.40451076780612,20.58126035365973,22.229686590261224,0.060196437,8,99.98816261444841,First,SpeedUp,non,False,None,False
2, 21.501776607702112,20.67478519971357,22.229686590261224,0.18058932,8,99.98001514347924,First,SpeedUp,non,False,None,False
3, 21.48513967655716,20.65878815053573,22.229686590261224,0.36117864,8,99.97485100770433,First,SpeedUp,non,False,None,False
4, 21.49819624045775,20.671342538901683,22.229686590261224,0.60196435,8,99.97199852054489,First,SpeedUp,non,False,None,False
5, 21.463883173217646,20.638349205016965,22.229686590261224,0.90294653,8,99.97077727221973,First,SpeedUp,non,False,None,False
6, 21.469571669858052,20.64381891332505,22.229686590261224,1.2641251,8,99.97049812974542,First,SpeedUp,non,False,None,False
7, 21.418071464598217,20.594299485190593,22.229686590261224,1.6855001,8,99.97049812974542,First,SpeedUp,non,False,None,False
8, 21.520635267625874,20.69291852656334,22.229686590261224,2.1670716,8,99.97007941603394,First,SpeedUp,non,False,None,False
9, 21.393923315568774,20.57108011112382,22.229686590261224,2.7088394,8,99.96857030203215,First,SpeedUp,non,False,None,False
10, 21.44150575651234,20.61683245818494,22.229686590261224,3.310804,8,99.96529037795891,First,SpeedUp,non,False,None,False
11, 21.512739566787584,20.685326506526522,22.229686590261224,3.9729648,8,99.9595417876284,First,SpeedUp,non,False,None,False
12, 21.42693546525716,20.602822562747267,22.229686590261224,4.695322,8,99.95067029086646,First,SpeedUp,non,False,None,False
13, 21.405874299971405,20.582571442280198,22.229686590261224,5.4778757,8,99.93797803148726,First,SpeedUp,non,False,None,False
14, 21.487085877957227,20.660659498035795,22.229686590261224,6.320626,8,99.92077587650736,First,SpeedUp,non,False,None,False
15, 21.47894748555787,20.65283412072872,22.229686590261224,7.2235723,8,99.89840086255025,First,SpeedUp,non,False,None,False
16, 21.501949032812533,20.674950993088974,22.229686590261224,8.186715,8,99.87016385663242,First,SpeedUp,non,False,None,False
17, 21.461058389528006,20.635633066853853,22.229686590261224,9.210054,8,99.83538444897275,First,SpeedUp,non,False,None,False
18, 21.430418651348873,20.606171780143146,22.229686590261224,10.293591,8,99.79338222979008,First,SpeedUp,non,False,None,False
19, 21.448607009755893,20.623660586303743,22.229686590261224,11.374126,8,99.75175510830728,First,SpeedUp,non,False,None,False
20, 21.399760283602504,20.57669258038702,22.229686590261224,12.451662,8,99.71050308452433,First,SpeedUp,non,False,None,False
21, 21.47429879862021,20.64836422944251,22.229686590261224,13.526197,8,99.66962615844126,First,SpeedUp,non,False,None,False
22, 21.407753239057882,20.58437811447873,22.229686590261224,14.5977335,8,99.62911560685573,First,SpeedUp,non,False,None,False
23, 21.45734924920961,20.63206658577847,22.229686590261224,15.669466,8,99.58857888566324,First,SpeedUp,non,False,None,False
24, 21.505884834137863,20.67873541744025,22.229686590261224,16.741394,8,99.5480247180661,First,SpeedUp,non,False,None,False
25, 21.428229457131856,20.604066785703708,22.229686590261224,17.810322,8,99.5078369249665,First,SpeedUp,non,False,None,False
26, 21.424719067631283,20.600691411183927,22.229686590261224,18.879448,8,99.46763168546225,First,SpeedUp,non,False,None,False
27, 21.40809173284806,20.58470358927698,22.229686590261224,19.948769,8,99.42739155314872,First,SpeedUp,non,False,None,False
28, 21.45667616359448,20.631419388071613,22.229686590261224,21.018288,8,99.38713397443054,First,SpeedUp,non,False,None,False
29, 21.44254138822675,20.617828257910336,22.229686590261224,22.088001,8,99.3468502261054,First,SpeedUp,non,False,None,False
30, 21.388615212602694,20.565976165964127,22.229686590261224,23.154716,8,99.30694157548012,First,SpeedUp,non,False,None,False
31, 21.499218978851534,20.672325941203397,22.229686590261224,24.221628,8,99.26699803204555,First,SpeedUp,non,False,None,False
32, 21.4703624696623,20.644579297752212,22.229686590261224,25.288736,8,99.22703704220633,First,SpeedUp,non,False,None,False
33, 21.512302852966673,20.68490658939103,22.229686590261224,26.356041,8,99.18704115955784,First,SpeedUp,non,False,None,False
34, 21.401978935183962,20.578825899215346,22.229686590261224,27.423542,8,99.14702783050468,First,SpeedUp,non,False,None,False
35, 21.42718906279567,20.603066406534296,22.229686590261224,28.49124,8,99.10699705504689,First,SpeedUp,non,False,None,False
36, 21.417120116163993,20.59338472708076,22.229686590261224,29.559134,8,99.06693138677981,First,SpeedUp,non,False,None,False
37, 21.4733209135392,20.647423955326154,22.229686590261224,30.627224,8,99.02685699531041,First,SpeedUp,non,False,None,False
38, 21.459622622608467,20.63425252173891,22.229686590261224,31.69551,8,98.98673898782938,First,SpeedUp,non,False,None,False
39, 21.45887081369141,20.633529628549432,22.229686590261224,32.763992,8,98.94661225714604,First,SpeedUp,non,False,None,False
40, 21.442443178881017,20.617733825847132,22.229686590261224,33.832672,8,98.90645935685573,First,SpeedUp,non,False,None,False
41, 21.456721650540448,20.631463125519662,22.229686590261224,34.901546,8,98.86627156375614,First,SpeedUp,non,False,None,False
42, 21.422199939491037,20.598269172587536,22.229686590261224,35.97062,8,98.82607504745422,First,SpeedUp,non,False,None,False
43, 21.46980753077467,20.644045702667952,22.229686590261224,37.039886,8,98.78584363834301,First,SpeedUp,non,False,None,False
44, 21.488771320825194,20.66228011617807,22.229686590261224,38.109352,8,98.74558605962483,First,SpeedUp,non,False,None,False
45, 21.51034700303432,20.683025964456075,22.229686590261224,39.179012,8,98.705311034502,First,SpeedUp,non,False,None,False
46, 21.384386164407193,20.561909773468454,22.229686590261224,40.245674,8,98.66540238387672,First,SpeedUp,non,False,None,False
47, 21.508638719016016,20.681383383669246,22.229686590261224,41.31253,8,98.6254762868468,First,SpeedUp,non,False,None,False
48, 21.458978113750955,20.63363280168361,22.229686590261224,42.379585,8,98.58551529700759,First,SpeedUp,non,False,None,False
49, 21.406137113981917,20.582824148059533,22.229686590261224,43.446835,8,98.54553686076373,First,SpeedUp,non,False,None,False
50, 21.422603664617636,20.59865736982465,22.229686590261224,44.514282,8,98.50553225491291,First,SpeedUp,non,False,None,False
51, 21.422247708236753,20.5983151040738,22.229686590261224,45.581924,8,98.46550147945511,First,SpeedUp,non,False,None,False
52, 21.438068263125857,20.613527176082552,22.229686590261224,46.649765,8,98.42544453439035,First,SpeedUp,non,False,None,False
53, 21.396686743243116,20.57373725311838,22.229686590261224,47.7178,8,98.38537014292095,First,SpeedUp,non,False,None,False
54, 21.408004341426043,20.5846195590635,22.229686590261224,48.786034,8,98.34526958184458,First,SpeedUp,non,False,None,False
55, 21.46961605491003,20.643861591259643,22.229686590261224,49.85446,8,98.30514285116124,First,SpeedUp,non,False,None,False
56, 21.493575854789547,20.666899860374564,22.229686590261224,50.923088,8,98.26498995087093,First,SpeedUp,non,False,None,False
57, 21.470303033826067,20.64452214790968,22.229686590261224,51.99191,8,98.22481960417596,First,SpeedUp,non,False,None,False
58, 21.412867878902734,20.589296037406474,22.229686590261224,53.06093,8,98.18461436467173,First,SpeedUp,non,False,None,False
59, 21.40228525743079,20.579120439837297,22.229686590261224,54.130142,8,98.14439167876284,First,SpeedUp,non,False,None,False
60, 21.496169015549555,20.669393284182263,22.229686590261224,55.199554,8,98.1041515464493,First,SpeedUp,non,False,None,False
61, 21.4621082068115,20.636642506549517,22.229686590261224,56.26916,8,98.06387652132648,First,SpeedUp,non,False,None,False
62, 21.514748149233856,20.687257835801784,22.229686590261224,57.338966,8,98.02358404979901,First,SpeedUp,non,False,None,False
63, 21.484154807925066,20.657841161466408,22.229686590261224,58.408966,8,97.98326540866458,First,SpeedUp,non,False,None,False
