turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.33432410541101,19.33432410541101,21.82945640811909,0.060764015,5,99.99159416093805,First,non,non,False,None,False
2, 19.33075528002138,19.33075528002138,21.82945640811909,0.18229204,5,99.98626265035493,First,non,non,False,None,False
3, 19.26379431259653,19.26379431259653,21.82945640811909,0.3645841,5,99.98329600783244,First,non,non,False,None,False
4, 19.230822752884922,19.230822752884922,21.82945640811909,0.60764015,5,99.98201855678182,First,non,non,False,None,False
5, 19.235506288958074,19.235506288958074,21.82945640811909,0.9114602,5,99.98171239082755,First,non,non,False,None,False
6, 19.250944761941458,19.250944761941458,21.82945640811909,1.2760444,5,99.98171239082755,First,non,non,False,None,False
7, 19.23367269794196,19.23367269794196,21.82945640811909,1.7013924,5,99.98131120785298,First,non,non,False,None,False
8, 19.307286610564848,19.307286610564848,21.82945640811909,2.1875045,5,99.97982260786839,First,non,non,False,None,False
9, 19.320286683309696,19.320286683309696,21.82945640811909,2.7343807,5,99.97654979939162,First,non,non,False,None,False
10, 19.327574177391252,19.327574177391252,21.82945640811909,3.342021,5,99.97078543349383,First,non,non,False,None,False
11, 19.281682471408942,19.281682471408942,21.82945640811909,4.010425,5,99.96186439103296,First,non,non,False,None,False
12, 19.25494164618804,19.25494164618804,21.82945640811909,4.7395935,5,99.94906876563347,First,non,non,False,None,False
13, 19.275977370381046,19.275977370381046,21.82945640811909,5.5295258,5,99.93172288070659,First,non,non,False,None,False
14, 19.299495010848478,19.299495010848478,21.82945640811909,6.380222,5,99.90912994477019,First,non,non,False,None,False
15, 19.266814621155998,19.266814621155998,21.82945640811909,7.2916822,5,99.88059316634211,First,non,non,False,None,False
16, 19.274354661505278,19.274354661505278,21.82945640811909,8.2639065,5,99.8454157539402,First,non,non,False,None,False
17, 19.325865633462886,19.325865633462886,21.82945640811909,9.23313,5,99.81058673727937,First,non,non,False,None,False
18, 19.297118535671597,19.297118535671597,21.82945640811909,10.199355,5,99.77610611635961,First,non,non,False,None,False
19, 19.24463410796536,19.24463410796536,21.82945640811909,11.16258,5,99.74195277628753,First,non,non,False,None,False
20, 19.33294234774838,19.33294234774838,21.82945640811909,12.126568,5,99.70771497664185,First,non,non,False,None,False
21, 19.23263003734532,19.23263003734532,21.82945640811909,13.087556,5,99.67381501529056,First,non,non,False,None,False
