turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.72809363721614,19.72809363721614,22.339947547272565,0.06021516,1,99.98736979667501,First,non,non,False,None,False
2, 19.79115781285121,19.79115781285121,22.339947547272565,0.18064548,1,99.97892962770021,First,non,non,False,None,False
3, 19.763104799775807,19.763104799775807,22.339947547272565,0.36129096,1,99.97383416965042,First,non,non,False,None,False
4, 19.75602460919611,19.75602460919611,22.339947547272565,0.60215163,1,99.97125377743289,First,non,non,False,None,False
5, 19.81747592713914,19.81747592713914,22.339947547272565,0.90322745,1,99.97033267540081,First,non,non,False,None,False
6, 19.828143757756504,19.828143757756504,22.339947547272565,1.2645184,1,99.97024121846145,First,non,non,False,None,False
7, 19.800328597300414,19.800328597300414,22.339947547272565,1.6860245,1,99.97013016360653,First,non,non,False,None,False
8, 19.74272359647803,19.74272359647803,22.339947547272565,2.1677458,1,99.96915026782771,First,non,non,False,None,False
9, 19.767429709762204,19.767429709762204,22.339947547272565,2.7096822,1,99.96646535339379,First,non,non,False,None,False
10, 19.750494059065385,19.750494059065385,22.339947547272565,3.3118339,1,99.96123924257348,First,non,non,False,None,False
11, 19.784010344263933,19.784010344263933,22.339947547272565,3.9742007,1,99.9526226923585,First,non,non,False,None,False
12, 19.75503817092223,19.75503817092223,22.339947547272565,4.6967826,1,99.93978605765612,First,non,non,False,None,False
13, 19.79174280293763,19.79174280293763,22.339947547272565,5.47958,1,99.92186049754247,First,non,non,False,None,False
14, 19.83026369883757,19.83026369883757,22.339947547272565,6.3225923,1,99.89802943220187,First,non,non,False,None,False
15, 19.804504072161638,19.804504072161638,22.339947547272565,7.2258196,1,99.86743708598749,First,non,non,False,None,False
16, 19.71967184297975,19.71967184297975,22.339947547272565,8.189262,1,99.8292472811681,First,non,non,False,None,False
17, 19.772165838938758,19.772165838938758,22.339947547272565,9.21292,1,99.78261077473537,First,non,non,False,None,False
18, 19.826154084558937,19.826154084558937,22.339947547272565,10.233578,1,99.73642502036091,First,non,non,False,None,False
19, 19.723212439399024,19.723212439399024,22.339947547272565,11.251236,1,99.69067695276766,First,non,non,False,None,False
20, 19.819977864872126,19.819977864872126,22.339947547272565,12.265894,1,99.64535350667855,First,non,non,False,None,False
21, 19.717981287986706,19.717981287986706,22.339947547272565,13.277552,1,99.60047428000915,First,non,non,False,None,False
22, 19.799292074378133,19.799292074378133,22.339947547272565,14.286209,1,99.55602620748245,First,non,non,False,None,False
23, 19.83493550252731,19.83493550252731,22.339947547272565,15.291867,1,99.5120092890984,First,non,non,False,None,False
24, 19.826264099774484,19.826264099774484,22.339947547272565,16.294525,1,99.46841699221852,First,non,non,False,None,False
25, 19.81496762685287,19.81496762685287,22.339947547272565,17.294184,1,99.42524931684278,First,non,non,False,None,False
26, 19.719498728338962,19.719498728338962,22.339947547272565,18.290842,1,99.38251279560973,First,non,non,False,None,False
