turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.130056358898397,20.130056358898397,21.726477535688627,0,4,100.00000000000001,First,non,non,False,Late Start,False
2, 20.88808207654581,20.08469430437097,21.726477535688627,0.060257196,4,99.99208929818437,First,SpeedUp,non,False,Late Start,False
3, 20.876895908885597,20.07393837392846,21.726477535688627,0.18077159,4,99.98680413102305,First,SpeedUp,non,False,Late Start,False
4, 20.92319303880958,20.11845484500921,21.726477535688627,0.36154318,4,99.98361939158521,First,SpeedUp,non,False,Late Start,False
5, 20.87040028363814,20.067692580421287,21.726477535688627,0.60257196,4,99.98200997293995,First,SpeedUp,non,False,Late Start,False
6, 20.885887097716164,20.082583747804005,21.726477535688627,0.90385795,4,99.98143712901538,First,SpeedUp,non,False,Late Start,False
7, 20.87377747018485,20.070939875177743,21.726477535688627,1.2654011,4,99.98138257245112,First,SpeedUp,non,False,Late Start,False
8, 20.930559920131433,20.125538384741763,21.726477535688627,1.6872015,4,99.98130755717528,First,SpeedUp,non,False,Late Start,False
9, 20.879587778413455,20.07652671001294,21.726477535688627,2.169259,4,99.98068697625699,First,SpeedUp,non,False,Late Start,False
10, 20.962779471105947,20.156518722217257,21.726477535688627,2.7115738,4,99.97899572276538,First,SpeedUp,non,False,Late Start,False
11, 20.969880824040345,20.16334694619264,21.726477535688627,3.3141458,4,99.97571550934009,First,SpeedUp,non,False,Late Start,False
12, 20.98673113537815,20.179549168632835,21.726477535688627,3.976975,4,99.9703007703387,First,SpeedUp,non,False,Late Start,False
13, 20.956661621674115,20.15063617468665,21.726477535688627,4.7000613,4,99.96222639883031,First,SpeedUp,non,False,Late Start,False
14, 20.918385237534263,20.11383195916756,21.726477535688627,5.483405,4,99.95097410745461,First,SpeedUp,non,False,Late Start,False
15, 20.885335011824797,20.08205289598538,21.726477535688627,6.327006,4,99.93601196971021,First,SpeedUp,non,False,Late Start,False
16, 20.943557533452417,20.138036089858094,21.726477535688627,7.2308636,4,99.91680123952514,First,SpeedUp,non,False,Late Start,False
17, 20.893369085397346,20.089777966728217,21.726477535688627,8.194979,4,99.89282362953911,First,SpeedUp,non,False,Late Start,False
18, 20.915687988076442,20.1112384500735,21.726477535688627,9.219351,4,99.86355403282124,First,SpeedUp,non,False,Late Start,False
19, 20.91316516192611,20.10881265569818,21.726477535688627,10.30398,4,99.82845370329959,First,SpeedUp,non,False,Late Start,False
20, 20.92115196949074,20.116492278356482,21.726477535688627,11.38561,4,99.79365343488129,First,SpeedUp,non,False,Late Start,False
21, 20.873296131967166,20.070477049968428,21.726477535688627,12.464239,4,99.75916004713687,First,SpeedUp,non,False,None,False
22, 20.918872771089273,20.114300741431993,21.726477535688627,13.539868,4,99.72496672049581,First,SpeedUp,non,False,None,False
23, 20.9949641046241,20.18746548521548,21.726477535688627,14.612498,4,99.69107345495812,First,SpeedUp,non,False,None,False
24, 20.983541165532664,20.176481889935253,21.726477535688627,15.682128,4,99.65746661138269,First,SpeedUp,non,False,None,False
25, 20.89081328795484,20.087320469187343,21.726477535688627,16.748758,4,99.62416664848115,First,SpeedUp,non,False,None,False
26, 20.876104105962426,20.073177024963872,21.726477535688627,17.812387,4,99.59115310754191,First,SpeedUp,non,False,None,False
27, 20.991999887962987,20.184615276887488,21.726477535688627,18.873016,4,99.55843962770601,First,SpeedUp,non,False,None,False
28, 20.917283096624946,20.112772208293215,21.726477535688627,19.930645,4,99.52601938940295,First,SpeedUp,non,False,None,False
29, 20.96209948037412,20.155864884975117,21.726477535688627,20.985275,4,99.49389239263269,First,SpeedUp,non,False,None,False
30, 20.994655836388933,20.187169073450896,21.726477535688627,22.036905,4,99.46203817868367,First,SpeedUp,non,False,None,False
31, 20.982724996991195,20.175697112491534,21.726477535688627,23.085535,4,99.43049084540853,First,SpeedUp,non,False,None,False
32, 20.9808673804041,20.17391094269625,21.726477535688627,24.134422,4,99.39890941428074,First,SpeedUp,non,False,None,False
33, 20.976841154597654,20.170039571728513,21.726477535688627,25.18031,4,99.3676075855447,First,SpeedUp,non,False,None,False
34, 20.98477142431799,20.177664831074992,21.726477535688627,26.226454,4,99.33629211766761,First,SpeedUp,non,False,None,False
35, 20.88633102611382,20.083010602032516,21.726477535688627,27.269598,4,99.3052630717528,First,SpeedUp,non,False,None,False
36, 21.000917122734553,20.193189541090916,21.726477535688627,28.313,4,99.27421356712641,First,SpeedUp,non,False,None,False
37, 20.90101664474411,20.09713138917703,21.726477535688627,29.356659,4,99.24312996464735,First,SpeedUp,non,False,None,False
38, 20.877098203368206,20.074132887854045,21.726477535688627,30.400574,4,99.2120259034567,First,SpeedUp,non,False,None,False
39, 20.93073710003389,20.125708750032587,21.726477535688627,31.444746,4,99.18089456398394,First,SpeedUp,non,False,None,False
40, 20.9257936390837,20.120955422195866,21.726477535688627,32.489178,4,99.14973594622906,First,SpeedUp,non,False,None,False
41, 20.894580010545937,20.09094231783263,21.726477535688627,33.533863,4,99.11855686976257,First,SpeedUp,non,False,None,False
42, 20.996755344387612,20.189187831141933,21.726477535688627,34.578808,4,99.08735733458451,First,SpeedUp,non,False,None,False
