turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.01703463983639,20.01703463983639,22.673035908141003,0.060802355,3,99.98716574974411,First,non,non,False,None,False
2, 19.965799681890925,19.965799681890925,22.673035908141003,0.18240707,3,99.97862291026952,First,non,non,False,None,False
3, 19.95814250662453,19.95814250662453,22.673035908141003,0.36481413,3,99.97352519404639,First,non,non,False,None,False
4, 20.013165419121176,20.013165419121176,22.673035908141003,0.6080235,3,99.97097300409416,First,non,non,False,None,False
5, 20.002172911470886,20.002172911470886,22.673035908141003,0.9120353,3,99.97010006183895,First,non,non,False,None,False
6, 19.974141192970087,19.974141192970087,22.673035908141003,1.2768494,3,99.97001343398156,First,non,non,False,None,False
7, 20.01035910810392,20.01035910810392,22.673035908141003,1.7024659,3,99.96986683299214,First,non,non,False,None,False
8, 19.99133487871006,19.99133487871006,22.673035908141003,2.1888847,3,99.96876732557146,First,non,non,False,None,False
9, 20.01712140823132,20.01712140823132,22.673035908141003,2.736106,3,99.96584196946434,First,non,non,False,None,False
10, 20.01612174028238,20.01612174028238,22.673035908141003,3.3441296,3,99.96020449505288,First,non,non,False,None,False
11, 19.955919790788272,19.955919790788272,22.673035908141003,4.0129557,3,99.95100195112589,First,non,non,False,None,False
12, 19.955810231848343,19.955810231848343,22.673035908141003,4.7425838,3,99.93733474070282,First,non,non,False,None,False
13, 20.022902662121002,20.022902662121002,22.673035908141003,5.5330143,3,99.91834324889116,First,non,non,False,None,False
14, 20.070906789204955,20.070906789204955,22.673035908141003,6.3842473,3,99.89313454239166,First,non,non,False,None,False
15, 20.013643274643908,20.013643274643908,22.673035908141003,7.296283,3,99.86085566999317,First,non,non,False,None,False
16, 20.027192713653925,20.027192713653925,22.673035908141003,8.26912,3,99.82061369839644,First,non,non,False,None,False
17, 20.013610048734964,20.013610048734964,22.673035908141003,9.30276,3,99.77152902166495,First,non,non,False,None,False
18, 19.975485559611087,19.975485559611087,22.673035908141003,10.3334,3,99.72291080262708,First,non,non,False,None,False
19, 20.016045764985115,20.016045764985115,22.673035908141003,11.36104,3,99.67473905023881,First,non,non,False,None,False
20, 20.00548443405158,20.00548443405158,22.673035908141003,12.38568,3,99.62703375554418,First,non,non,False,None,False
21, 19.953921330011788,19.953921330011788,22.673035908141003,13.40732,3,99.57976160013646,First,non,non,False,None,False
22, 19.989910660895045,19.989910660895045,22.673035908141003,14.425961,3,99.53294923874104,First,non,non,False,None,False
23, 20.058116136160848,20.058116136160848,22.673035908141003,15.441601,3,99.48657668031387,First,non,non,False,None,False
24, 19.98602159673176,19.98602159673176,22.673035908141003,16.45424,3,99.44065725221766,First,non,non,False,None,False
25, 19.994092883876544,19.994092883876544,22.673035908141003,17.46388,3,99.39517096340839,First,non,non,False,None,False
26, 19.970617628183618,19.970617628183618,22.673035908141003,18.47052,3,99.35012447756738,First,non,non,False,None,False
27, 20.011231979690876,20.011231979690876,22.673035908141003,19.47416,3,99.3055111310133,First,non,non,False,None,False
28, 20.022053300201428,20.022053300201428,22.673035908141003,20.4748,3,99.26134425110882,First,non,non,False,None,False
29, 19.96965494358994,19.96965494358994,22.673035908141003,21.47244,3,99.21760384680995,First,non,non,False,None,False
30, 20.059391858050446,20.059391858050446,22.673035908141003,22.470882,3,99.17375015992835,First,non,non,False,None,False
31, 19.952157288771193,19.952157288771193,22.673035908141003,23.466324,3,99.13031628497099,First,non,non,False,None,False
32, 20.017497910012562,20.017497910012562,22.673035908141003,24.462568,3,99.08677579111225,First,non,non,False,None,False
33, 20.0572176879034,20.0572176879034,22.673035908141003,25.459616,3,99.04312867835209,First,non,non,False,None,False
34, 20.072886447555142,20.072886447555142,22.673035908141003,26.457466,3,98.99935495564652,First,non,non,False,None,False
35, 20.037744619438847,20.037744619438847,22.673035908141003,27.456118,3,98.95546795035823,First,non,non,False,None,False
36, 20.062923982259132,20.062923982259132,22.673035908141003,28.455572,3,98.9114676624872,First,non,non,False,None,False
37, 20.00611729687446,20.00611729687446,22.673035908141003,29.45583,3,98.86734076467076,First,non,non,False,None,False
38, 20.011036987509435,20.011036987509435,22.673035908141003,30.456888,3,98.82311391163425,First,non,non,False,None,False
39, 19.98778917862725,19.98778917862725,22.673035908141003,31.454947,3,98.77930687052199,First,non,non,False,None,False
40, 19.99249801794584,19.99249801794584,22.673035908141003,32.453808,3,98.73539321050835,First,non,non,False,None,False
41, 19.995416001731563,19.995416001731563,22.673035908141003,33.453472,3,98.69135960423063,First,non,non,False,None,False
42, 20.036985551759315,20.036985551759315,22.673035908141003,34.453938,3,98.64721271537017,First,non,non,False,None,False
43, 20.040153152440748,20.040153152440748,22.673035908141003,35.455204,3,98.60295254392697,First,non,non,False,None,False
44, 19.947572739571203,19.947572739571203,22.673035908141003,36.453472,3,98.55911884808938,First,non,non,False,None,False
