turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 22.037967710797762,21.19035356807477,22.774718395183395,0.06029394,2,99.98138843711276,First,SpeedUp,non,False,None,False
2, 22.005820396800107,21.159442689230872,22.774718395183395,0.18088181,2,99.96822239002478,First,SpeedUp,non,False,None,False
3, 21.98443125021863,21.138876202133297,22.774718395183395,0.36176363,2,99.95955191875774,First,SpeedUp,non,False,None,False
4, 22.01991258467268,21.17299286987758,22.774718395183395,0.60293937,2,99.95444523505266,First,SpeedUp,non,False,None,False
5, 22.018492546068508,21.171627448142797,22.774718395183395,0.90440905,2,99.95197055065056,First,SpeedUp,non,False,None,False
6, 21.984362116996937,21.13880972788167,22.774718395183395,1.2661726,2,99.95118397614621,First,SpeedUp,non,False,None,False
7, 21.941990995172436,21.09806826458888,22.774718395183395,1.6882303,2,99.95114767270755,First,SpeedUp,non,False,None,False
8, 22.030502447991317,21.18317543076088,22.774718395183395,2.1705818,2,99.95091170035626,First,SpeedUp,non,False,None,False
9, 21.95477029045427,21.110356048513722,22.774718395183395,2.7132273,2,99.94955032140643,First,SpeedUp,non,False,None,False
10, 21.92335929743459,21.08015317061018,22.774718395183395,3.3161666,2,99.94612569702602,First,SpeedUp,non,False,None,False
11, 21.954547243999315,21.11014158076857,22.774718395183395,3.9794,2,99.93968788723667,First,SpeedUp,non,False,None,False
12, 21.976923718472424,21.1316574216081,22.774718395183395,4.702927,2,99.92931720492565,First,SpeedUp,non,False,None,False
13, 21.915668931710808,21.07275858818347,22.774718395183395,5.486748,2,99.91405765954151,First,SpeedUp,non,False,None,False
14, 21.96418076441775,21.119404581170915,22.774718395183395,6.3308635,2,99.89297746282527,First,SpeedUp,non,False,None,False
15, 21.911555276094333,21.068803150090705,22.774718395183395,7.2352724,2,99.86513272537174,First,SpeedUp,non,False,None,False
16, 22.00247998902432,21.15623075867723,22.774718395183395,8.199975,2,99.82959770949503,First,SpeedUp,non,False,None,False
17, 21.951432326634166,21.107146467917467,22.774718395183395,9.224972,2,99.78542852578995,First,SpeedUp,non,False,None,False
18, 21.956135006344685,21.111668275331425,22.774718395183395,10.310263,2,99.73168128485129,First,SpeedUp,non,False,None,False
19, 21.933699116724036,21.09009530454234,22.774718395183395,11.455848,2,99.66741209727385,First,SpeedUp,non,False,None,False
20, 21.933429209278426,21.08983577815233,22.774718395183395,12.598433,2,99.60369956242255,First,SpeedUp,non,False,None,False
21, 21.90315581213728,21.06072674243969,22.774718395183395,13.738017,2,99.54053157915118,First,SpeedUp,non,False,None,False
22, 21.909825915019983,21.06714030290383,22.774718395183395,14.874602,2,99.4778960463135,First,SpeedUp,non,False,None,False
23, 21.90278621291282,21.060371358570016,22.774718395183395,16.008186,2,99.41579296390954,First,SpeedUp,non,False,None,False
24, 21.91405416283378,21.07120592580171,22.774718395183395,17.138771,2,99.35424048365861,First,SpeedUp,non,False,None,False
25, 21.95821263336122,21.113665993616557,22.774718395183395,18.266356,2,99.29321440326828,First,SpeedUp,non,False,None,False
26, 21.901960957859792,21.059577844095955,22.774718395183395,19.39094,2,99.23271472273854,First,SpeedUp,non,False,None,False
27, 21.91304269788445,21.070233363350432,22.774718395183395,20.512524,2,99.17275959378873,First,SpeedUp,non,False,None,False
28, 21.966306363086563,21.121448426044772,22.774718395183395,21.63111,2,99.11332481412639,First,SpeedUp,non,False,None,False
29, 21.968609350603767,21.123662837119006,22.774718395183395,22.746695,2,99.05440433317844,First,SpeedUp,non,False,None,False
30, 21.942733361819958,21.098782078673036,22.774718395183395,23.85928,2,98.99601630266419,First,SpeedUp,non,False,None,False
31, 21.94398470668067,21.099985294885258,22.774718395183395,24.968864,2,98.9381365202912,First,SpeedUp,non,False,None,False
32, 21.920999146360693,21.077883794577588,22.774718395183395,26.075449,2,98.88078918835191,First,SpeedUp,non,False,None,False
33, 22.004874346157816,21.158533025151744,22.774718395183395,27.179033,2,98.8239440539808,First,SpeedUp,non,False,None,False
34, 22.0278620976786,21.18063663238327,22.774718395183395,28.279617,2,98.76761926889715,First,SpeedUp,non,False,None,False
35, 21.91039388668842,21.067686429508097,22.774718395183395,29.377203,2,98.71180878252788,First,SpeedUp,non,False,None,False
36, 21.9726808516575,21.127577741978364,22.774718395183395,30.475082,2,98.6559377904275,First,SpeedUp,non,False,None,False
37, 21.9706461811126,21.12562132799288,22.774718395183395,31.573256,2,98.60002444431537,First,SpeedUp,non,False,None,False
38, 21.970872869304433,21.125839297408106,22.774718395183395,32.671722,2,98.54405664304522,First,SpeedUp,non,False,None,False
39, 21.917751837062532,21.074761381790896,22.774718395183395,33.76719,2,98.48860314048946,First,SpeedUp,non,False,None,False
40, 21.96681157318069,21.121934204981432,22.774718395183395,34.86295,2,98.43309518277572,First,SpeedUp,non,False,None,False
41, 22.03195200566167,21.184569236213143,22.774718395183395,35.959003,2,98.37753276990397,First,SpeedUp,non,False,None,False
42, 21.91107527223901,21.068341607922125,22.774718395183395,37.05206,2,98.32248465574659,First,SpeedUp,non,False,None,False
43, 21.988479513491132,21.142768762972242,22.774718395183395,38.14541,2,98.26738813700433,First,SpeedUp,non,False,None,False
44, 22.025894882506694,21.17874507933336,22.774718395183395,39.23905,2,98.2122432136772,First,SpeedUp,non,False,None,False
45, 21.963032156585093,21.11830015056259,22.774718395183395,40.33299,2,98.15703778461895,First,SpeedUp,non,False,None,False
