turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.324584405134402,20.324584405134402,21.938790731786305,0.060221132,6,99.97866840409625,First,non,non,False,None,False
2, 21.67367568546084,20.215762469375395,21.938790731786305,0.16979457,5.95,99.96388183501044,First,non,InsideOvertaking,False,None,False
3, 20.683820211641578,20.305235567557638,21.938790731786305,0.3434012,5.8999996,99.95444438840896,First,non,InsideOvertaking,False,None,False
4, 20.905869316734,20.231296722098243,21.938790731786305,0.5790394,5.8499994,99.94914161880577,First,non,InsideOvertaking,False,None,False
5, 21.820163591280895,20.28638078676874,21.938790731786305,0.87596464,5.799999,99.94682397474843,First,non,InsideOvertaking,False,None,False
6, 22.096832673042762,20.241512564168822,21.938790731786305,1.2338152,5.749999,99.9462491990222,First,non,InsideOvertaking,False,None,False
7, 21.135875095243673,20.300513626528467,21.938790731786305,1.6523874,5.699999,99.9462491990222,First,non,InsideOvertaking,False,None,False
8, 21.03497972276067,20.285216881685727,21.938790731786305,2.1315548,5.6499987,99.94562807041484,First,non,InsideOvertaking,False,None,False
9, 21.658617684091972,20.246631904447337,21.938790731786305,2.6712337,5.5999985,99.94317136771407,First,non,InsideOvertaking,False,None,False
10, 21.714688164142817,20.237996843606304,21.938790731786305,3.2713656,5.5499983,99.93769245716251,First,non,InsideOvertaking,False,None,False
11, 21.15933195975978,20.32379128027233,21.938790731786305,3.9319084,5.499998,99.92801397557908,First,non,InsideOvertaking,False,None,False
12, 22.06753617960777,20.300202261071377,21.938790731786305,4.65283,5.449998,99.91292147747768,First,non,InsideOvertaking,False,None,False
13, 21.69683484046316,20.31553923682148,21.938790731786305,5.4341063,5.3999977,99.89120978794854,First,non,InsideOvertaking,False,None,False
14, 21.73828209827873,20.269128144537017,21.938790731786305,6.275718,5.3499975,99.86171081438674,First,non,InsideOvertaking,False,None,False
15, 20.58034608260361,20.21790792181913,21.938790731786305,7.1776505,5.2999973,99.82321011130624,First,non,InsideOvertaking,False,None,False
16, 22.45569685227835,20.27981601006451,21.938790731786305,8.139891,5.249997,99.77452104494968,First,non,InsideOvertaking,False,None,False
17, 20.896785766160356,20.219116632685612,21.938790731786305,9.162428,5.199997,99.71443844040725,First,non,InsideOvertaking,False,None,False
18, 21.819590112747697,20.289566644207202,21.938790731786305,10.2452545,5.1499968,99.6417849344978,First,non,InsideOvertaking,False,None,False
19, 20.301983520166395,20.301983520166395,21.938790731786305,11.326235,5.1499968,99.56978036892443,First,non,non,False,None,False
20, 20.323767628824015,20.323767628824015,21.938790731786305,12.404215,5.1499968,99.49842474368711,First,non,non,False,None,False
21, 20.304574594851868,20.304574594851868,21.938790731786305,13.479196,5.1499968,99.42772732936206,First,non,non,False,None,False
22, 20.29669066255224,20.29669066255224,21.938790731786305,14.551176,5.1499968,99.35766958479684,First,non,non,False,None,False
23, 20.245600487423776,20.245600487423776,21.938790731786305,15.620156,5.1499968,99.28825150999145,First,non,non,False,None,False
24, 20.235530801728785,20.235530801728785,21.938790731786305,16.686136,5.1499968,99.21948237552212,First,non,non,False,None,False
25, 20.269683599820098,20.269683599820098,21.938790731786305,17.749117,5.1499968,99.15134364023638,First,non,non,False,None,False
26, 20.340167409774402,20.340167409774402,21.938790731786305,18.809097,5.1499968,99.08383530413423,First,non,non,False,None,False
27, 20.249471038052917,20.249471038052917,21.938790731786305,19.866077,5.1499968,99.01696663779191,First,non,non,False,None,False
28, 20.21753489884029,20.21753489884029,21.938790731786305,20.920057,5.1499968,98.95072837063319,First,non,non,False,None,False
29, 20.334196228417504,20.334196228417504,21.938790731786305,21.971037,5.1499968,98.88511123208183,First,non,non,False,None,False
30, 20.341834588397564,20.341834588397564,21.938790731786305,23.019018,5.1499968,98.82011522213783,First,non,non,False,None,False
