turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.31003103216937,20.31003103216937,21.902406615454172,0.060221132,5,99.97866840409625,First,non,non,False,None,False
2, 20.226149149340337,20.226149149340337,21.902406615454172,0.18066339,5,99.96388183501044,First,non,non,False,None,False
3, 20.328602033648888,20.328602033648888,21.902406615454172,0.36132678,5,99.95444438840896,First,non,non,False,None,False
4, 20.306354043443942,20.306354043443942,21.902406615454172,0.6022113,5,99.94914161880577,First,non,non,False,None,False
5, 20.32444855107256,20.32444855107256,21.902406615454172,0.903317,5,99.94682397474843,First,non,non,False,None,False
6, 20.215162654162224,20.215162654162224,21.902406615454172,1.2646438,5,99.9462491990222,First,non,non,False,None,False
7, 20.310128667214634,20.310128667214634,21.902406615454172,1.6861917,5,99.9462491990222,First,non,non,False,None,False
8, 20.275325619582013,20.275325619582013,21.902406615454172,2.1679606,5,99.94562807041484,First,non,non,False,None,False
9, 20.327921249671988,20.327921249671988,21.902406615454172,2.709951,5,99.94317136771407,First,non,non,False,None,False
10, 20.275862159025472,20.275862159025472,21.902406615454172,3.3121622,5,99.93769245716251,First,non,non,False,None,False
11, 20.340825730129147,20.340825730129147,21.902406615454172,3.9745946,5,99.92801397557908,First,non,non,False,None,False
12, 20.30175248900187,20.30175248900187,21.902406615454172,4.697248,5,99.91292147747768,First,non,non,False,None,False
13, 20.22596189691101,20.22596189691101,21.902406615454172,5.4801226,5,99.89120978794854,First,non,non,False,None,False
14, 20.31740129900314,20.31740129900314,21.902406615454172,6.3232183,5,99.86171081438674,First,non,non,False,None,False
15, 20.225729056777727,20.225729056777727,21.902406615454172,7.2265353,5,99.82321011130624,First,non,non,False,None,False
16, 20.3000672556491,20.3000672556491,21.902406615454172,8.190073,5,99.77452104494968,First,non,non,False,None,False
17, 20.26717379688251,20.26717379688251,21.902406615454172,9.213832,5,99.71443844040725,First,non,non,False,None,False
18, 20.27200745824847,20.27200745824847,21.902406615454172,10.2345915,5,99.65496769389595,First,non,non,False,None,False
19, 21.1755408929079,20.224430762176564,21.902406615454172,11.254347,4.95,99.59544132392728,First,non,InsideOvertaking,False,None,False
20, 21.652624373756247,20.332402918400184,21.902406615454172,12.274323,4.8999996,99.53586860107745,First,non,InsideOvertaking,False,None,False
21, 20.696366061408348,20.26134936871895,21.902406615454172,13.294521,4.8499994,99.47624952534649,First,non,InsideOvertaking,False,None,False
22, 22.227094127699353,20.267369319022976,21.902406615454172,14.31494,4.799999,99.41659336731061,First,non,InsideOvertaking,False,None,False
23, 22.052433723055525,20.314974577600374,21.902406615454172,15.335582,4.749999,99.35689085639358,First,non,InsideOvertaking,False,None,False
24, 22.329969665902677,20.280502035798126,21.902406615454172,16.356443,4.699999,99.29715126317163,First,non,InsideOvertaking,False,None,False
25, 21.981165612325984,20.3205212942136,21.902406615454172,17.377527,4.6499987,99.23736531706854,First,non,InsideOvertaking,False,None,False
26, 20.801916827317193,20.31652172608867,21.902406615454172,18.398832,4.5999985,99.17753301808429,First,non,InsideOvertaking,False,None,False
27, 22.440947432218806,20.25080814213142,21.902406615454172,19.420359,4.5499983,99.1176543662189,First,non,InsideOvertaking,False,None,False
28, 22.185399070549597,20.21773114882359,21.902406615454172,20.442106,4.499998,99.05772936147237,First,non,InsideOvertaking,False,None,False
29, 21.909532736846447,20.261030777710534,21.902406615454172,21.464075,4.449998,98.99776727442092,First,non,InsideOvertaking,False,None,False
30, 21.35475387975188,20.25035038946801,21.902406615454172,22.486265,4.3999977,98.93775883448832,First,non,InsideOvertaking,False,None,False
31, 21.093865280635338,20.225467730277146,21.902406615454172,23.508677,4.3499975,98.87770404167458,First,non,InsideOvertaking,False,None,False
32, 22.364216449692897,20.232038535045582,21.902406615454172,24.53131,4.2999973,98.81760289597968,First,non,InsideOvertaking,False,None,False
33, 21.619024635171318,20.2404225429192,21.902406615454172,25.554165,4.249997,98.7574739385561,First,non,InsideOvertaking,False,None,False
34, 20.599568576662044,20.265828153124538,21.902406615454172,26.577242,4.199997,98.69728935767515,First,non,InsideOvertaking,False,None,False
35, 21.018456203282533,20.313709083182783,21.902406615454172,27.60054,4.1499968,98.63705842391305,First,non,InsideOvertaking,False,None,False
36, 22.241456581048308,20.301154130475293,21.902406615454172,28.62406,4.0999966,98.57678113726979,First,non,InsideOvertaking,False,None,False
37, 20.726634570028704,20.301920896876787,21.902406615454172,29.6478,4.0499964,98.51646676832162,First,non,InsideOvertaking,False,None,False
38, 20.264731143475455,20.264731143475455,21.902406615454172,30.669762,4.0499964,98.45674571625213,First,non,non,False,None,False
39, 20.236149488157032,20.236149488157032,21.902406615454172,31.688723,4.0499964,98.39761798106132,First,non,non,False,None,False
40, 20.33646007942096,20.33646007942096,21.902406615454172,32.70468,4.0499964,98.3390835627492,First,non,non,False,None,False
41, 20.25751220163017,20.25751220163017,21.902406615454172,33.717644,4.0499964,98.28113319073951,First,non,non,False,None,False
42, 20.286317367170312,20.286317367170312,21.902406615454172,34.730827,4.0499964,98.22314573642491,First,non,non,False,None,False
43, 20.327321910160972,20.327321910160972,21.902406615454172,35.744232,4.0499964,98.16511192922916,First,non,non,False,None,False
44, 20.24888391338849,20.24888391338849,21.902406615454172,36.754635,4.0499964,98.10766216833586,First,non,non,False,None,False
45, 20.342785287171775,20.342785287171775,21.902406615454172,37.76526,4.0499964,98.05016605456142,First,non,non,False,None,False
46, 20.214957932922747,20.214957932922747,21.902406615454172,38.776104,4.0499964,97.99263285848205,First,non,non,False,None,False
47, 20.34006731940635,20.34006731940635,21.902406615454172,39.78717,4.0499964,97.93505330952155,First,non,non,False,None,False
48, 20.24806876142619,20.24806876142619,21.902406615454172,40.79846,4.0499964,97.87743667825612,First,non,non,False,None,False
49, 21.31963208339958,20.264517398738544,21.902406615454172,41.80873,3.9999964,97.81977369410954,First,non,InsideOvertaking,False,None,False
50, 22.123016809110258,20.247195286493714,21.902406615454172,42.819225,3.9499965,97.76206435708183,First,non,InsideOvertaking,False,None,False
51, 21.552290569423988,20.33692666405878,21.902406615454172,43.82994,3.8999965,97.70430866717297,First,non,InsideOvertaking,False,None,False
52, 21.01080814593504,20.247521540249927,21.902406615454172,44.840878,3.8499966,97.64652516553541,First,non,InsideOvertaking,False,None,False
53, 20.935296920850856,20.234162173585577,21.902406615454172,45.852036,3.7999966,97.58868604044048,First,non,InsideOvertaking,False,None,False
54, 21.6253521345752,20.239066779371104,21.902406615454172,46.863415,3.7499967,97.53080056246439,First,non,InsideOvertaking,False,None,False
55, 20.93149278965821,20.28340948176167,21.902406615454172,47.875015,3.6999967,97.4728780021834,First,non,InsideOvertaking,False,None,False
56, 21.29580301735507,20.222011660958138,21.902406615454172,48.886837,3.6499968,97.41490908902126,First,non,InsideOvertaking,False,None,False
57, 20.685426641936385,20.269338277427252,21.902406615454172,49.89888,3.5999968,97.35690309355421,First,non,InsideOvertaking,False,None,False
58, 22.080278349378585,20.343534778463585,21.902406615454172,50.911144,3.5499969,97.298850745206,First,non,InsideOvertaking,False,None,False
59, 22.459905456845693,20.23782193329531,21.902406615454172,51.92363,3.499997,97.24075204397664,First,non,InsideOvertaking,False,None,False
60, 21.678714564040106,20.281124460280132,21.902406615454172,52.936337,3.449997,97.18261626044237,First,non,InsideOvertaking,False,None,False
61, 20.50392672952711,20.294127314691405,21.902406615454172,53.949265,3.399997,97.12443412402696,First,non,InsideOvertaking,False,None,False
62, 22.57777290353082,20.34286644474447,21.902406615454172,54.962414,3.349997,97.0662056347304,First,non,InsideOvertaking,False,None,False
63, 20.74660159222137,20.215338496969494,21.902406615454172,55.975784,3.299997,97.00794006312891,First,non,InsideOvertaking,False,None,False
64, 22.5397440758679,20.313643116724705,21.902406615454172,56.989376,3.2499971,96.94961886807006,First,non,InsideOvertaking,False,None,False
65, 22.159972314828714,20.317514739368118,21.902406615454172,58.00319,3.1999972,96.89126986128251,First,non,InsideOvertaking,False,None,False
66, 22.05799210923947,20.277020079504155,21.902406615454172,59.017223,3.1499972,96.83287450161382,First,non,InsideOvertaking,False,None,False
67, 21.444170807059994,20.32203923477626,21.902406615454172,60.03148,3.0999973,96.77442351848775,First,non,InsideOvertaking,False,None,False
68, 21.029390762025727,20.29548896948281,21.902406615454172,61.04596,3.0499973,96.71593545305677,First,non,InsideOvertaking,False,None,False
69, 22.11245488645567,20.261613499466684,21.902406615454172,62.06066,2.9999974,96.65741030532087,First,non,InsideOvertaking,False,None,False
70, 22.00042320884151,20.310598543246346,21.902406615454172,63.075584,2.9499974,96.59883880470382,First,non,InsideOvertaking,False,None,False
71, 21.761942317424243,20.32183715479411,21.902406615454172,64.09073,2.8999975,96.54022095120561,First,non,InsideOvertaking,False,None,False
72, 22.031291239018106,20.25255332171976,21.902406615454172,65.106094,2.8499975,96.48155674482628,First,non,InsideOvertaking,False,None,False
73, 21.582370575912137,20.332903495093177,21.902406615454172,66.12168,2.7999976,96.42285545614202,First,non,InsideOvertaking,False,None,False
74, 22.058595239785095,20.31935294245494,21.902406615454172,67.13749,2.7499976,96.36411708515284,First,non,InsideOvertaking,False,None,False
75, 20.22723174611205,20.22723174611205,21.902406615454172,68.15153,2.7499976,96.30595348988987,First,non,non,False,None,False
76, 20.34127870119932,20.34127870119932,21.902406615454172,69.16579,2.7499976,96.247752812322,First,non,non,False,None,False
77, 20.241400538515702,20.241400538515702,21.902406615454172,70.17705,2.7499976,96.19013618105657,First,non,non,False,None,False
78, 20.23657971379213,20.23657971379213,21.902406615454172,71.18853,2.7499976,96.13248246748623,First,non,non,False,None,False
79, 20.26813490640196,20.26813490640196,21.902406615454172,72.20023,2.7499976,96.07477313045851,First,non,non,False,None,False
80, 20.23577710274998,20.23577710274998,21.902406615454172,73.21216,2.7499976,96.01702671112588,First,non,non,False,None,False
81, 20.336865738853042,20.336865738853042,21.902406615454172,74.224304,2.7499976,95.95924320948832,First,non,non,False,None,False
82, 20.245533251044343,20.245533251044343,21.902406615454172,75.23667,2.7499976,95.90141335496962,First,non,non,False,None,False
83, 21.3108718038032,20.26427147855007,21.902406615454172,76.248024,2.6999977,95.84353714756978,First,non,InsideOvertaking,False,None,False
84, 22.17984540327138,20.315359090080147,21.902406615454172,77.2596,2.6499977,95.785623857865,First,non,InsideOvertaking,False,None,False
85, 21.9944895392928,20.33404798801805,21.902406615454172,78.27139,2.5999978,95.72765494470286,First,non,InsideOvertaking,False,None,False
86, 20.998516505516015,20.256171701681858,21.902406615454172,79.28341,2.5499978,95.6696489492358,First,non,InsideOvertaking,False,None,False
87, 20.87106005789152,20.281318256817663,21.902406615454172,80.29565,2.4999979,95.61160587146382,First,non,InsideOvertaking,False,None,False
88, 20.824125031547904,20.339837029620085,21.902406615454172,81.308105,2.449998,95.55351644081071,First,non,InsideOvertaking,False,None,False
89, 21.284331320768036,20.216317483042985,21.902406615454172,82.320786,2.399998,95.49538065727644,First,non,InsideOvertaking,False,None,False
90, 21.799444529718002,20.306672118345215,21.902406615454172,83.33369,2.349998,95.43720779143725,First,non,InsideOvertaking,False,None,False
91, 21.37097405146666,20.325620747887147,21.902406615454172,84.34681,2.299998,95.37897930214068,First,non,InsideOvertaking,False,None,False
92, 21.80450747398607,20.287134293213455,21.902406615454172,85.36015,2.249998,95.32072300111544,First,non,InsideOvertaking,False,None,False
93, 21.674572867667038,20.34091814680832,21.902406615454172,86.37372,2.1999981,95.2624110766328,First,non,InsideOvertaking,False,None,False
94, 21.057515519116365,20.222302568691102,21.902406615454172,87.387505,2.1499982,95.20407134042149,First,non,InsideOvertaking,False,None,False
95, 21.97931340427624,20.34376016675454,21.902406615454172,88.40151,2.0999982,95.14566671017657,First,non,InsideOvertaking,False,None,False
96, 22.499691949853,20.31788293491882,21.902406615454172,89.41574,2.0499983,95.08723426820296,First,non,InsideOvertaking,False,None,False
97, 21.56302927396113,20.31735594945836,21.902406615454172,90.43019,1.9999983,95.0287554733482,First,non,InsideOvertaking,False,None,False
98, 22.506500580028113,20.327854667382393,21.902406615454172,91.44486,1.9499984,94.9702303256123,First,non,InsideOvertaking,False,None,False
99, 21.741109228688067,20.278596610854247,21.902406615454172,92.459755,1.8999984,94.91165882499526,First,non,InsideOvertaking,False,None,False
100, 22.1373194482223,20.272248985254766,21.902406615454172,93.47487,1.8499985,94.85305024207328,First,non,InsideOvertaking,False,None,False
101, 21.478884199097713,20.281848712952954,21.902406615454172,94.490204,1.7999985,94.79439530627018,First,non,InsideOvertaking,False,None,False
102, 22.31388753196067,20.344807545725818,21.902406615454172,95.50576,1.7499986,94.73570328816214,First,non,InsideOvertaking,False,None,False
103, 20.849754138611956,20.30760473611088,21.902406615454172,96.52154,1.6999986,94.67695564659674,First,non,InsideOvertaking,False,None,False
104, 21.76096765731433,20.230636773457274,21.902406615454172,97.53754,1.6499987,94.6181709227264,First,non,InsideOvertaking,False,None,False
105, 21.987064439467574,20.28795375834179,21.902406615454172,98.55376,1.5999987,94.55933984597493,First,non,InsideOvertaking,False,None,False
106, 20.99507545188607,20.336810844587195,21.902406615454172,99.5702,1.5499988,94.50047168691854,First,non,InsideOvertaking,False,None,False
107, 21.952646325045198,20.215532649465004,21.902406615454172,100.58686,1.4999988,94.44155717498101,First,non,InsideOvertaking,False,None,False
108, 22.421916699926342,20.3313180008738,21.902406615454172,101.603745,1.4499989,94.38259631016233,First,non,InsideOvertaking,False,None,False
109, 20.557940920200394,20.317129331521294,21.902406615454172,102.62085,1.3999989,94.3235890924625,First,non,InsideOvertaking,False,None,False
110, 21.24557823588804,20.24676939759475,21.902406615454172,103.638176,1.349999,94.26455406303398,First,non,InsideOvertaking,False,None,False
111, 21.05552555769706,20.22948866314047,21.902406615454172,104.65572,1.299999,94.20546341014808,First,non,InsideOvertaking,False,None,False
112, 21.44362767392517,20.335461620965628,21.902406615454172,105.67349,1.249999,94.14632640438104,First,non,InsideOvertaking,False,None,False
113, 21.865146962184284,20.257560162423076,21.902406615454172,106.69148,1.1999991,94.08715231630909,First,non,InsideOvertaking,False,None,False
114, 21.197700263668825,20.28156004569134,21.902406615454172,107.709694,1.1499991,94.02793187535599,First,non,InsideOvertaking,False,None,False
115, 22.499192973015106,20.314777464734004,21.902406615454172,108.72813,1.0999992,93.96866508152173,First,non,InsideOvertaking,False,None,False
116, 22.525733066382003,20.311818503349517,21.902406615454172,109.74678,1.0499992,93.90935193480634,First,non,InsideOvertaking,False,None,False
117, 20.62735827407138,20.22667872405752,21.902406615454172,110.765656,0.9999992,93.85000170578603,First,non,InsideOvertaking,False,None,False
118, 21.575668565558406,20.303607948763002,21.902406615454172,111.78475,0.9499992,93.79060512388456,First,non,InsideOvertaking,False,None,False
119, 21.641214932554224,20.32375083498394,21.902406615454172,112.80407,0.8999992,93.73117145967818,First,non,InsideOvertaking,False,None,False
120, 20.851899109084194,20.34244560184734,21.902406615454172,113.82361,0.8499992,93.67168217201443,First,non,InsideOvertaking,False,None,False
121, 20.71804146673712,20.2439362918103,21.902406615454172,114.84337,0.7999992,93.61215580204575,First,non,InsideOvertaking,False,None,False
122, 21.32148945660518,20.299067313639707,21.902406615454172,115.86335,0.74999917,93.55258307919594,First,non,InsideOvertaking,False,None,False
123, 20.81703920954558,20.24386410997646,21.902406615454172,116.88355,0.69999915,93.49297327404119,First,non,InsideOvertaking,False,None,False
124, 21.82339292783624,20.32119124936667,21.902406615454172,117.90398,0.64999914,93.43331711600531,First,non,InsideOvertaking,False,None,False
125, 21.473167918247242,20.228083165061605,21.902406615454172,118.92462,0.5999991,93.37360533451205,First,non,InsideOvertaking,False,None,False
126, 21.81728262980432,20.33204326622389,21.902406615454172,119.94549,0.5499991,93.3138657412901,First,non,InsideOvertaking,False,None,False
127, 20.74672141612756,20.26572818922277,21.902406615454172,120.966576,0.4999991,93.25407052461078,First,non,InsideOvertaking,False,None,False
128, 21.236521013650098,20.225258108238187,21.902406615454172,121.98911,0.4999991,93.21817485345073,First,Overtaking,non,False,None,False
129, 21.33042759241819,20.31469294516018,21.902406615454172,123.01187,0.4999991,93.18224209998576,First,Overtaking,non,False,None,False
130, 21.240652809012314,20.2291931514403,21.902406615454172,124.03485,0.4999991,93.14629080536832,First,Overtaking,non,False,None,False
131, 21.223342349359303,20.212706999389813,21.902406615454172,125.05805,0.4999991,93.1103116990222,First,Overtaking,non,False,None,False
132, 21.314098168382465,20.299141112745204,21.902406615454172,126.081474,0.4999991,93.0743047809474,First,Overtaking,non,False,None,False
133, 21.25153805286225,20.239560050345002,21.902406615454172,127.10512,0.4999991,93.03827005114391,First,Overtaking,non,False,None,False
134, 21.252007861070147,20.24000748673347,21.902406615454172,128.12898,0.4999991,93.00220750961174,First,Overtaking,non,False,None,False
135, 21.277904226612097,20.26467069201152,21.902406615454172,129.15306,0.4999991,92.96612642692709,First,Overtaking,non,False,None,False
136, 21.267816675725186,20.255063500690653,21.902406615454172,130.17737,0.4999991,92.93001753251376,First,Overtaking,non,False,None,False
137, 21.317701619063108,20.302572970536293,21.902406615454172,131.20189,0.4999991,92.89387155579551,First,Overtaking,non,False,None,False
138, 21.236423412561308,20.225165154820292,21.902406615454172,132.22664,0.4999991,92.85771630850104,First,Overtaking,non,False,None,False
139, 21.24472378855805,20.23307027481719,21.902406615454172,133.2516,0.4999991,92.82152397890165,First,Overtaking,non,False,None,False
140, 21.231979552388815,20.220932907036964,21.902406615454172,134.2768,0.4999991,92.78530383757357,First,Overtaking,non,False,None,False
141, 21.258436584302945,20.24613008028852,21.902406615454172,135.3022,0.4999991,92.7490558845168,First,Overtaking,non,False,None,False
142, 21.246328449281037,20.234598523124795,21.902406615454172,136.32784,0.4999991,92.71278939030758,First,Overtaking,non,False,None,False
143, 21.336194944252465,20.320185661192824,21.902406615454172,137.35368,0.4999991,92.67649508436966,First,Overtaking,non,False,None,False
144, 21.241350301684705,20.229857430175908,21.902406615454172,138.37976,0.4999991,92.64017296670305,First,Overtaking,non,False,None,False
145, 21.26484233525228,20.25223079547836,21.902406615454172,139.40605,0.4999991,92.60382303730776,First,Overtaking,non,False,None,False
146, 21.287510458584407,20.2738194843661,21.902406615454172,140.43257,0.4999991,92.56744529618378,First,Overtaking,non,False,None,False
147, 21.358986831792745,20.341892220754993,21.902406615454172,141.4593,0.4999991,92.53103974333112,First,Overtaking,non,False,None,False
148, 20.27837258619481,20.27837258619481,21.902406615454172,142.48305,0.4999991,92.4709664093649,First,non,non,False,None,False
149, 20.333326462748225,20.333326462748225,21.902406615454172,143.50378,0.4999991,92.41149566285361,First,non,non,False,None,False
150, 20.22708840059944,20.22708840059944,21.902406615454172,144.52151,0.4999991,92.35259969206854,First,non,non,False,None,False
151, 20.26877972181398,20.26877972181398,21.902406615454172,145.53625,0.4999991,92.29430630873837,First,non,non,False,None,False
152, 20.21510655375921,20.21510655375921,21.902406615454172,146.54799,0.4999991,92.23659697171065,First,non,non,False,None,False
153, 20.231996813787728,20.231996813787728,21.902406615454172,147.55673,0.4999991,92.17947168098537,First,non,non,False,None,False
154, 20.28123087122135,20.28123087122135,21.902406615454172,148.56569,0.4999991,92.12230930795519,First,non,non,False,None,False
155, 20.24241712871466,20.24241712871466,21.902406615454172,149.57487,0.4999991,92.06510058204385,First,non,non,False,None,False
156, 20.316353552377805,20.316353552377805,21.902406615454172,150.58427,0.4999991,92.00783623267515,First,non,non,False,None,False
157, 20.284857727311895,20.284857727311895,21.902406615454172,151.5939,0.4999991,91.95054407157774,First,non,non,False,None,False
158, 21.30653912671294,20.291942025440896,21.902406615454172,152.60374,0.4999991,91.91614096319061,First,Overtaking,non,False,None,False
159, 21.23546745977635,20.22425472359652,21.902406615454172,153.61382,0.4999991,91.8817100430748,First,Overtaking,non,False,None,False
160, 21.30940918940328,20.29467541847931,21.902406615454172,154.6241,0.4999991,91.84726058180652,First,Overtaking,non,False,None,False
161, 21.247653662646215,20.235860631091633,21.902406615454172,155.63461,0.4999991,91.81277403823334,First,Overtaking,non,False,None,False
162, 21.231248951243273,20.220237096422164,21.902406615454172,156.64534,0.4999991,91.77826895350769,First,Overtaking,non,False,None,False
163, 21.288027454996406,20.27431186190134,21.902406615454172,157.6563,0.4999991,91.74373605705335,First,Overtaking,non,False,None,False
164, 21.23453345112105,20.223365191543856,21.902406615454172,158.66747,0.4999991,91.70917534887032,First,Overtaking,non,False,None,False
165, 21.288128906402967,20.27440848228854,21.902406615454172,159.67886,0.4999991,91.67459609953484,First,Overtaking,non,False,None,False
166, 21.323356472528243,20.30795854526499,21.902406615454172,160.69048,0.4999991,91.63997976789443,First,Overtaking,non,False,None,False
167, 21.273479231678678,20.26045641112255,21.902406615454172,161.7023,0.4999991,91.60534489510157,First,Overtaking,non,False,None,False
168, 21.29814881132572,20.28395124888164,21.902406615454172,162.71436,0.4999991,91.57068221058002,First,Overtaking,non,False,None,False
169, 21.328168468026142,20.312541398120135,21.902406615454172,163.72662,0.4999991,91.53600098490601,First,Overtaking,non,False,None,False
170, 21.225628123047894,20.21488392671228,21.902406615454172,164.73912,0.4999991,91.50128267692709,First,Overtaking,non,False,None,False
171, 21.31163766570304,20.296797776860036,21.902406615454172,165.75183,0.4999991,91.46653655721947,First,Overtaking,non,False,None,False
172, 21.228548949691785,20.217665666373126,21.902406615454172,166.76477,0.4999991,91.43177189635941,First,Overtaking,non,False,None,False
173, 21.35145584818604,20.334719855415273,21.902406615454172,167.77792,0.4999991,91.39697942377065,First,Overtaking,non,False,None,False
174, 21.223447862266504,20.21280748787286,21.902406615454172,168.7913,0.4999991,91.36216841002943,First,Overtaking,non,False,None,False
175, 21.263192403479756,20.25065943188548,21.902406615454172,169.8049,0.4999991,91.3273203139833,First,Overtaking,non,False,None,False
176, 21.3164597754738,20.301390262355998,21.902406615454172,170.81873,0.4999991,91.29244440620846,First,Overtaking,non,False,None,False
