turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.567900561556826,20.73836592457387,22.360884557377613,0.0602245,4,99.98724093838695,First,SpeedUp,non,False,None,False
2, 21.526272509626455,20.698338951563898,22.360884557377613,0.1806735,4,99.97839921357615,First,SpeedUp,non,False,None,False
3, 21.500395021103568,20.67345675106112,22.360884557377613,0.361347,4,99.97275418342005,First,SpeedUp,non,False,None,False
4, 21.587931758285283,20.757626690658924,22.360884557377613,0.602245,4,99.96959444477294,First,SpeedUp,non,False,None,False
5, 21.587444818626018,20.757158479448094,22.360884557377613,0.90336746,4,99.96819935548723,First,SpeedUp,non,False,None,False
6, 21.575542035242854,20.74571349542582,22.360884557377613,1.2647145,4,99.96786675141911,First,SpeedUp,non,False,None,False
7, 21.510873834069212,20.683532532758857,22.360884557377613,1.686286,4,99.96786675141911,First,SpeedUp,non,False,None,False
8, 21.620543222574973,20.78898386786055,22.360884557377613,2.168082,4,99.96748795234153,First,SpeedUp,non,False,None,False
9, 21.611239278338278,20.780037767632958,22.360884557377613,2.7101026,4,99.96601895104068,First,SpeedUp,non,False,None,False
10, 21.56328047160766,20.73392353039198,22.360884557377613,3.3123474,4,99.96274834437085,First,SpeedUp,non,False,None,False
11, 21.604385912832115,20.7734479931078,22.360884557377613,3.9748168,4,99.95694625118259,First,SpeedUp,non,False,None,False
12, 21.541450699201135,20.712933364616475,22.360884557377613,4.6975107,4,99.94792898533585,First,SpeedUp,non,False,None,False
13, 21.5141693603345,20.68670130801394,22.360884557377613,5.480429,4,99.9349389486755,First,SpeedUp,non,False,None,False
14, 21.547639957257324,20.718884574285887,22.360884557377613,6.323572,4,99.91730169406338,First,SpeedUp,non,False,None,False
15, 21.521837902220163,20.694074905980926,22.360884557377613,7.2269397,4,99.89427810134815,First,SpeedUp,non,False,None,False
16, 21.497357444802283,20.670536004617578,22.360884557377613,8.190532,4,99.86514752838221,First,SpeedUp,non,False,None,False
17, 21.524847540879573,20.69696878930728,22.360884557377613,9.214348,4,99.82921705002364,First,SpeedUp,non,False,None,False
18, 21.56409090714623,20.734702795332915,22.360884557377613,10.2983885,4,99.78576602412488,First,SpeedUp,non,False,None,False
19, 21.54898245456821,20.72017543708482,22.360884557377613,11.37943,4,99.74270303630558,First,SpeedUp,non,False,None,False
20, 21.57461999743586,20.744826920611402,22.360884557377613,12.457471,4,99.70002808656575,First,SpeedUp,non,False,None,False
21, 21.488271517224618,20.661799535792902,22.360884557377613,13.532512,4,99.6577411749054,First,SpeedUp,non,False,None,False
