turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.72257769258887,20.72257769258887,22.354624936063626,0,3,100,First,non,non,False,Late Start,False
2, 21.489600911309562,20.66307779933612,22.354624936063626,0.0602245,3,99.98724093838695,First,SpeedUp,non,False,Late Start,False
3, 21.493009115439456,20.666354918691784,22.354624936063626,0.1806735,3,99.97839921357615,First,SpeedUp,non,False,Late Start,False
4, 21.51661944858828,20.689057162104113,22.354624936063626,0.361347,3,99.97275418342005,First,SpeedUp,non,False,Late Start,False
5, 21.530018631799756,20.701940992115148,22.354624936063626,0.602245,3,99.96959444477294,First,SpeedUp,non,False,Late Start,False
6, 21.489701713927623,20.663174724930407,22.354624936063626,0.90336746,3,99.96819935548723,First,SpeedUp,non,False,Late Start,False
7, 21.622936487383736,20.79128508402282,22.354624936063626,1.2647145,3,99.96786675141911,First,SpeedUp,non,False,Late Start,False
8, 21.552699423580535,20.723749445750514,22.354624936063626,1.686286,3,99.96786675141911,First,SpeedUp,non,False,Late Start,False
9, 21.535083968674,20.706811508340387,22.354624936063626,2.168082,3,99.96748795234153,First,SpeedUp,non,False,Late Start,False
10, 21.602121002244303,20.771270194465675,22.354624936063626,2.7101026,3,99.96601895104068,First,SpeedUp,non,False,Late Start,False
11, 21.50446076943545,20.677366124457162,22.354624936063626,3.3123474,3,99.96274834437085,First,SpeedUp,non,False,Late Start,False
12, 21.519679722377905,20.691999733055678,22.354624936063626,3.9748168,3,99.95694625118259,First,SpeedUp,non,False,Late Start,False
13, 21.572231124681558,20.74252992757842,22.354624936063626,4.6975107,3,99.94792898533585,First,SpeedUp,non,False,Late Start,False
14, 21.580159699662673,20.750153557367955,22.354624936063626,5.480429,3,99.9349389486755,First,SpeedUp,non,False,Late Start,False
15, 21.600674064234678,20.76987890791796,22.354624936063626,6.323572,3,99.91730169406338,First,SpeedUp,non,False,Late Start,False
16, 21.518560411481275,20.69092347257815,22.354624936063626,7.2269397,3,99.89427810134815,First,SpeedUp,non,False,Late Start,False
17, 21.584926025698767,20.75473656317189,22.354624936063626,8.190532,3,99.86514752838221,First,SpeedUp,non,False,Late Start,False
18, 21.56199285871296,20.732685441070153,22.354624936063626,9.214348,3,99.82921705002364,First,SpeedUp,non,False,Late Start,False
19, 21.612597886964217,20.781344122080977,22.354624936063626,10.2983885,3,99.78576602412488,First,SpeedUp,non,False,Late Start,False
20, 21.52523272222194,20.697339155982633,22.354624936063626,11.37943,3,99.74270303630558,First,SpeedUp,non,False,Late Start,False
