turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.41410818794707,19.41410818794707,20.980731956189732,0,7,100,First,non,non,False,Late Start,False
2, 19.41410818794707,19.41410818794707,20.980731956189732,0,7,100,First,non,non,False,Late Start,False
3, 20.970300164534155,19.429567652785604,20.980731956189732,0.033560608,6.95,99.9787920106132,First,non,InsideOvertaking,False,Late Start,False
4, 19.515094241993854,19.515094241993854,20.980731956189732,0.15399837,6.95,99.96409750884433,First,non,non,False,Late Start,False
5, 19.52024748464624,19.52024748464624,20.980731956189732,0.33465505,6.95,99.95471882370283,First,non,non,False,Late Start,False
6, 19.427008928854633,19.427008928854633,20.980731956189732,0.5755306,6.95,99.94946749705188,First,non,non,False,Late Start,False
7, 19.42886613412778,19.42886613412778,20.980731956189732,0.87662506,6.95,99.94714585790095,First,non,non,False,Late Start,False
8, 19.51344460421647,19.51344460421647,20.980731956189732,1.2379384,6.95,99.94658387382076,First,non,non,False,Late Start,False
9, 19.52731771734657,19.52731771734657,20.980731956189732,1.6594706,6.95,99.94658387382076,First,non,non,False,Late Start,False
10, 19.460495650562237,19.460495650562237,20.980731956189732,2.1412215,6.95,99.94595739976415,First,non,non,False,Late Start,False
11, 19.519306258452005,19.519306258452005,20.980731956189732,2.6831915,6.95,99.94352520636792,First,non,non,False,Late Start,False
12, 19.51760094479706,19.51760094479706,20.980731956189732,3.2853804,6.95,99.93808962264151,First,non,non,False,Late Start,False
13, 19.435162076973644,19.435162076973644,20.980731956189732,3.9477882,6.95,99.92846219044812,First,non,non,False,Late Start,False
14, 19.467317313289474,19.467317313289474,20.980731956189732,4.670415,6.95,99.91346366450472,First,non,non,False,Late Start,False
15, 19.516335689863464,19.516335689863464,20.980731956189732,5.4532604,6.95,99.89189637382076,First,non,non,False,Late Start,False
16, 19.46529768146438,19.46529768146438,20.980731956189732,6.2963247,6.95,99.8625810731132,First,non,non,False,Late Start,False
17, 19.44366252780164,19.44366252780164,20.980731956189732,7.199608,6.95,99.82432930424528,First,non,non,False,Late Start,False
18, 19.443818874560254,19.443818874560254,20.980731956189732,8.16311,6.95,99.77594339622641,First,non,non,False,Late Start,False
19, 19.41606060549039,19.41606060549039,20.980731956189732,9.1868305,6.95,99.71625331662736,First,non,non,False,Late Start,False
20, 19.510128687416437,19.510128687416437,20.980731956189732,10.207552,6.95,99.65715285966981,First,non,non,False,Late Start,False
21, 19.446603111390502,19.446603111390502,20.980731956189732,11.225273,6.95,99.5986328125,First,non,non,False,None,False
22, 20.881025656040794,19.446259879265636,20.980731956189732,12.241984,6.8999996,99.54007591391509,First,non,InsideOvertaking,False,None,False
23, 19.74524634707478,19.502723538378294,20.980731956189732,13.255692,6.8499994,99.48210863797169,First,non,InsideOvertaking,False,None,False
24, 19.902748322680413,19.520284857460105,20.980731956189732,14.266396,6.799999,99.42471255896227,First,non,InsideOvertaking,False,None,False
25, 20.838145119955723,19.44892820224283,20.980731956189732,15.277319,6.749999,99.36728884139151,First,non,InsideOvertaking,False,None,False
