turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.439219932648452,19.439219932648452,20.97203487719174,0.060218886,8,99.9787920106132,First,non,non,False,None,False
2, 19.4366499308749,19.4366499308749,20.97203487719174,0.18065666,8,99.96409750884433,First,non,non,False,None,False
3, 19.46951883994909,19.46951883994909,20.97203487719174,0.3613133,8,99.95471882370283,First,non,non,False,None,False
4, 19.419293552334107,19.419293552334107,20.97203487719174,0.6021888,8,99.94946749705188,First,non,non,False,None,False
5, 19.506998335898405,19.506998335898405,20.97203487719174,0.90328324,8,99.94714585790095,First,non,non,False,None,False
6, 19.43612726514953,19.43612726514953,20.97203487719174,1.2645966,8,99.94658387382076,First,non,non,False,None,False
7, 19.514147321114844,19.514147321114844,20.97203487719174,1.6861289,8,99.94658387382076,First,non,non,False,None,False
8, 19.486409532199843,19.486409532199843,20.97203487719174,2.16788,8,99.94595739976415,First,non,non,False,None,False
9, 19.42767259322918,19.42767259322918,20.97203487719174,2.70985,8,99.94352520636792,First,non,non,False,None,False
10, 19.425362281184388,19.425362281184388,20.97203487719174,3.312039,8,99.93808962264151,First,non,non,False,None,False
11, 19.513545584947824,19.513545584947824,20.97203487719174,3.9744468,8,99.92846219044812,First,non,non,False,None,False
12, 19.436724675065417,19.436724675065417,20.97203487719174,4.6970735,8,99.91346366450472,First,non,non,False,None,False
13, 19.40213084575586,19.40213084575586,20.97203487719174,5.479919,8,99.89189637382076,First,non,non,False,None,False
14, 19.509211700932422,19.509211700932422,20.97203487719174,6.3229833,8,99.8625810731132,First,non,non,False,None,False
15, 19.45470865101112,19.45470865101112,20.97203487719174,7.2262664,8,99.82432930424528,First,non,non,False,None,False
16, 19.430148903141415,19.430148903141415,20.97203487719174,8.189769,8,99.77594339622641,First,non,non,False,None,False
17, 19.457683927808965,19.457683927808965,20.97203487719174,9.21349,8,99.71625331662736,First,non,non,False,None,False
18, 19.458320670858605,19.458320670858605,20.97203487719174,10.234211,8,99.65715285966981,First,non,non,False,None,False
19, 19.40153728570182,19.40153728570182,20.97203487719174,11.251932,8,99.5986328125,First,non,non,False,None,False
20, 19.462880810459964,19.462880810459964,20.97203487719174,12.266653,8,99.54070238797169,First,non,non,False,None,False
21, 19.42304587322471,19.42304587322471,20.97203487719174,13.278374,8,99.48336158608491,First,non,non,False,None,False
22, 19.496051065786993,19.496051065786993,20.97203487719174,14.287095,8,99.42659198113208,First,non,non,False,None,False
23, 19.50407307485461,19.50407307485461,20.97203487719174,15.292816,8,99.37040278596699,First,non,non,False,None,False
24, 19.527900474472236,19.527900474472236,20.97203487719174,16.295538,8,99.31478478773585,First,non,non,False,None,False
25, 19.420456951773254,19.420456951773254,20.97203487719174,17.29526,8,99.25974719929245,First,non,non,False,None,False
26, 19.451173396388242,19.451173396388242,20.97203487719174,18.29198,8,99.20527159492924,First,non,non,False,None,False
27, 19.438697766806452,19.438697766806452,20.97203487719174,19.285702,8,99.15135797464623,First,non,non,False,None,False
28, 19.499610625244618,19.499610625244618,20.97203487719174,20.276423,8,99.09801555129717,First,non,non,False,None,False
29, 19.506754720569774,19.506754720569774,20.97203487719174,21.264143,8,99.04522589917453,First,non,non,False,None,False
30, 19.510541655928193,19.510541655928193,20.97203487719174,22.248863,8,98.99298901827831,First,non,non,False,None,False
31, 19.397125668053683,19.397125668053683,20.97203487719174,23.230585,8,98.94130490860849,First,non,non,False,None,False
32, 19.407229920303248,19.407229920303248,20.97203487719174,24.209307,8,98.89018278301887,First,non,non,False,None,False
33, 19.47161756675524,19.47161756675524,20.97203487719174,25.185028,8,98.83959500294812,First,non,non,False,None,False
34, 19.508148138574686,19.508148138574686,20.97203487719174,26.15775,8,98.78956920695755,First,non,non,False,None,False
35, 19.516522062712596,19.516522062712596,20.97203487719174,27.13069,8,98.73948813384433,First,non,non,False,None,False
36, 19.433525916323084,19.433525916323084,20.97203487719174,28.10063,8,98.68995061910377,First,non,non,False,None,False
37, 19.480517592376643,19.480517592376643,20.97203487719174,29.07079,8,98.64038546580188,First,non,non,False,None,False
38, 19.495272824140162,19.495272824140162,20.97203487719174,30.041166,8,98.59077424823113,First,non,non,False,None,False
39, 19.445042468780226,19.445042468780226,20.97203487719174,31.011763,8,98.54111696639151,First,non,non,False,None,False
40, 19.402122358278305,19.402122358278305,20.97203487719174,31.979359,8,98.49200324292453,First,non,non,False,None,False
41, 19.514230852313254,19.514230852313254,20.97203487719174,32.947174,8,98.44285266804245,First,non,non,False,None,False
42, 19.474060435220057,19.474060435220057,20.97203487719174,33.915207,8,98.39365602889151,First,non,non,False,None,False
43, 19.52644107576198,19.52644107576198,20.97203487719174,34.88346,8,98.34443175117924,First,non,non,False,None,False
44, 19.495494948824383,19.495494948824383,20.97203487719174,35.851933,8,98.29516140919812,First,non,non,False,None,False
45, 19.492671646696277,19.492671646696277,20.97203487719174,36.820625,8,98.24585421580188,First,non,non,False,None,False
46, 19.444987147617972,19.444987147617972,20.97203487719174,37.789536,8,98.1965009581368,First,non,non,False,None,False
47, 19.525440251675356,19.525440251675356,20.97203487719174,38.758663,8,98.1471108490566,First,non,non,False,None,False
48, 19.52271442415394,19.52271442415394,20.97203487719174,39.728012,8,98.09769310141509,First,non,non,False,None,False
49, 19.46306228972004,19.46306228972004,20.97203487719174,40.69758,8,98.04822007665095,First,non,non,False,None,False
50, 19.407729745547528,19.407729745547528,20.97203487719174,41.667362,8,97.99871941332547,First,non,non,False,None,False
51, 19.41335635279594,19.41335635279594,20.97203487719174,42.637367,8,97.94917268573113,First,non,non,False,None,False
52, 19.430185450925194,19.430185450925194,20.97203487719174,43.60759,8,97.89957989386792,First,non,non,False,None,False
53, 19.503715832677276,19.503715832677276,20.97203487719174,44.578033,8,97.8499594634434,First,non,non,False,None,False
54, 19.432694269563424,19.432694269563424,20.97203487719174,45.548695,8,97.80029296875,First,non,non,False,None,False
55, 19.44656766108486,19.44656766108486,20.97203487719174,46.519573,8,97.75059883549528,First,non,non,False,None,False
56, 19.43655848120778,19.43655848120778,20.97203487719174,47.490673,8,97.70084942511792,First,non,non,False,None,False
57, 19.497244790674046,19.497244790674046,20.97203487719174,48.46199,8,97.65107237617924,First,non,non,False,None,False
