turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 17.626611665098245,17.626611665098245,19.09322476520593,0.060749944,9,99.994174269039,First,non,non,False,None,False
2, 17.711796395464486,17.711796395464486,19.09322476520593,0.18224983,9,99.99069476711243,First,non,non,False,None,False
3, 17.703744678598266,17.703744678598266,19.09322476520593,0.36449966,9,99.98893288191297,First,non,non,False,None,False
4, 17.64881854333518,17.64881854333518,19.09322476520593,0.6074994,9,99.98833083068904,First,non,non,False,None,False
5, 17.658749124273594,17.658749124273594,19.09322476520593,0.91124916,9,99.98827770852222,First,non,non,False,None,False
6, 17.63317389985299,17.63317389985299,19.09322476520593,1.2757488,9,99.98818031788305,First,non,non,False,None,False
7, 17.635357871105235,17.635357871105235,19.09322476520593,1.7009984,9,99.98744546124207,First,non,non,False,None,False
8, 17.65885084187083,17.65885084187083,19.09322476520593,2.186998,9,99.98549764845875,First,non,non,False,None,False
9, 17.654707101559303,17.654707101559303,19.09322476520593,2.7337475,9,99.98172597461469,First,non,non,False,None,False
10, 17.665948219963852,17.665948219963852,19.09322476520593,3.3412468,9,99.97554609587489,First,non,non,False,None,False
11, 17.63500182056465,17.63500182056465,19.09322476520593,4.009496,9,99.96635596101541,First,non,non,False,None,False
12, 17.707520243451697,17.707520243451697,19.09322476520593,4.7384953,9,99.95358007989574,First,non,non,False,None,False
13, 17.682100512118677,17.682100512118677,19.09322476520593,5.5282445,9,99.93661640129193,First,non,non,False,None,False
14, 17.65118135661171,17.65118135661171,19.09322476520593,6.3787436,9,99.91487172767452,First,non,non,False,None,False
15, 17.723415839907354,17.723415839907354,19.09322476520593,7.289993,9,99.88774400781959,First,non,non,False,None,False
16, 17.667643839073026,17.667643839073026,19.09322476520593,8.198242,9,99.86089960618767,First,non,non,False,None,False
17, 18.813994737071454,17.682795048052117,19.09322476520593,9.1058655,8.95,99.83399322869447,First,non,InsideOvertaking,False,None,False
18, 17.63444797536856,17.63444797536856,19.09322476520593,10.011865,8.95,99.80736131572984,First,non,non,False,None,False
19, 19.46243629960957,17.635559890418342,19.09322476520593,10.917234,8.9,99.78065857320944,First,non,InsideOvertaking,False,None,False
20, 18.411706137187874,17.65159043939037,19.09322476520593,11.823355,8.849999,99.75389385482775,First,non,InsideOvertaking,False,None,False
21, 18.343660954798583,17.734268243808426,19.09322476520593,12.7302265,8.799999,99.72704945319583,First,non,InsideOvertaking,False,None,False
22, 18.061710454627537,17.70929231380734,19.09322476520593,13.634093,8.749999,99.70048836978695,First,non,InsideOvertaking,False,None,False
23, 17.972058116096406,17.649941555015822,19.09322476520593,14.534956,8.699999,99.67419289721215,First,non,InsideOvertaking,False,None,False
24, 17.90813509784898,17.668604266625035,19.09322476520593,15.432814,8.649999,99.64818959655486,First,non,InsideOvertaking,False,None,False
25, 18.08535585357529,17.676408732705827,19.09322476520593,16.331423,8.599998,99.62210661264733,First,non,InsideOvertaking,False,None,False
26, 19.01105228388577,17.66467828119836,19.09322476520593,17.230783,8.549998,99.59595279918405,First,non,InsideOvertaking,False,None,False
27, 18.202264059980585,17.653750318254037,19.09322476520593,18.130894,8.499998,99.56973700985948,First,non,InsideOvertaking,False,None,False
