turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 18.731435177217072,18.731435177217072,21.33268134242978,0,8,100.00000175837211,First,non,non,False,Late Start,False
2, 18.70838928447131,18.70838928447131,21.33268134242978,0.06073294,8,99.99421671415678,First,non,non,False,Late Start,False
3, 20.26249472288204,18.689489630986557,21.33268134242978,0.17143054,7.95,99.990752721116,First,non,InsideOvertaking,False,Late Start,False
4, 19.593206729729943,18.70316654703837,21.33268134242978,0.34663445,7.8999996,99.9890119327351,First,non,InsideOvertaking,False,Late Start,False
5, 20.152848837267918,18.72036233510056,21.33268134242978,0.58436507,7.8499994,99.98840529435994,First,non,InsideOvertaking,False,Late Start,False
6, 19.299001040253536,18.748715377843254,21.33268134242978,0.88388515,7.799999,99.98835254319687,First,non,InsideOvertaking,False,Late Start,False
7, 19.0169135761416,18.756240777801544,21.33268134242978,1.2448361,7.749999,99.98825583273127,First,non,InsideOvertaking,False,Late Start,False
8, 20.015098189107434,18.737552935231697,21.33268134242978,1.6670161,7.699999,99.98753490016948,First,non,InsideOvertaking,False,Late Start,False
9, 20.74063799736274,18.746077837633322,21.33268134242978,2.1503,7.6499987,99.98560069085737,First,non,InsideOvertaking,False,Late Start,False
10, 20.290650841761494,18.745281017940584,21.33268134242978,2.6946049,7.5999985,99.98186415014078,First,non,InsideOvertaking,False,Late Start,False
11, 19.528342304829884,18.781677806502827,21.33268134242978,3.2998726,7.5499983,99.97572743150508,First,non,InsideOvertaking,False,Late Start,False
12, 19.998912473603852,18.769037605745837,21.33268134242978,3.966061,7.499998,99.96661906401712,First,non,InsideOvertaking,False,Late Start,False
13, 20.617079298879624,18.7201770638178,21.33268134242978,4.693139,7.449998,99.95394120116227,First,non,InsideOvertaking,False,Late Start,False
14, 20.616069511571943,18.695798286349294,21.33268134242978,5.4810824,7.3999977,99.93711358014689,First,non,InsideOvertaking,False,Late Start,False
15, 19.67930977372254,18.77406175873731,21.33268134242978,6.329872,7.3499975,99.9155295625958,First,non,InsideOvertaking,False,Late Start,False
16, 19.142772988221566,18.711665033906698,21.33268134242978,7.239493,7.2999973,99.8886264694364,First,non,InsideOvertaking,False,Late Start,False
17, 19.605684879088223,18.685234160714522,21.33268134242978,8.209932,7.249997,99.85579766229353,First,non,InsideOvertaking,False,Late Start,False
18, 19.332191619217202,18.78713195542472,21.33268134242978,9.177368,7.199997,99.82327657026849,First,non,InsideOvertaking,False,Late Start,False
19, 19.595379071973685,18.70624190219346,21.33268134242978,10.145538,7.1499968,99.79068514335937,First,non,InsideOvertaking,False,Late Start,False
20, 19.19776494897567,18.753966121938888,21.33268134242978,11.110704,7.0999966,99.7583926397076,First,non,InsideOvertaking,False,Late Start,False
21, 19.925454539773842,18.771547471510814,21.33268134242978,12.076604,7.0499964,99.72602980117172,First,non,InsideOvertaking,False,None,False
22, 20.206098596956302,18.795051433296322,21.33268134242978,13.043238,6.999996,99.69358783589128,First,non,InsideOvertaking,False,None,False
23, 19.148498047461143,18.72864060545446,21.33268134242978,14.006867,6.949996,99.66145358572867,First,non,InsideOvertaking,False,None,False
24, 18.734664253344015,18.734664253344015,21.33268134242978,14.968793,6.949996,99.62962705068388,First,non,non,False,None,False
25, 18.742308485536917,18.742308485536917,21.33268134242978,15.927719,6.949996,99.59809064703592,First,non,non,False,None,False
26, 18.71802699991091,18.71802699991091,21.33268134242978,16.883644,6.949996,99.5668619585058,First,non,non,False,None,False
27, 18.7256680422703,18.7256680422703,21.33268134242978,17.83657,6.949996,99.535932193233,First,non,non,False,None,False
28, 18.737399466320277,18.737399466320277,21.33268134242978,18.786497,6.949996,99.50529255935702,First,non,non,False,None,False
29, 18.79014507179341,18.79014507179341,21.33268134242978,19.733423,6.949996,99.47496064059887,First,non,non,False,None,False
30, 18.76174048461624,18.76174048461624,21.33268134242978,20.67735,6.949996,99.44491006137703,First,non,non,False,None,False
31, 19.598689172367106,18.75460141505694,21.33268134242978,21.620684,6.899996,99.41479793913163,First,non,InsideOvertaking,False,None,False
32, 20.70516631323543,18.70048989111838,21.33268134242978,22.564753,6.8499956,99.38461548200215,First,non,InsideOvertaking,False,None,False
33, 19.813244925482675,18.747373655266074,21.33268134242978,23.509556,6.7999954,99.35435389812808,First,non,InsideOvertaking,False,None,False
34, 18.737508283959833,18.737508283959833,21.33268134242978,24.45268,6.7999954,99.32439123751134,First,non,non,False,None,False
35, 19.069878578906877,18.69217095596275,21.33268134242978,25.395212,6.749995,99.29434945015001,First,non,InsideOvertaking,False,None,False
36, 20.51538624343232,18.77358834210049,21.33268134242978,26.338478,6.699995,99.26423732790461,First,non,InsideOvertaking,False,None,False
37, 20.201364606159135,18.77250603510779,21.33268134242978,27.282478,6.649995,99.23406366263563,First,non,InsideOvertaking,False,None,False
38, 20.80637006607622,18.765656917593034,21.33268134242978,28.227213,6.5999947,99.20380207876157,First,non,InsideOvertaking,False,None,False
39, 19.93084328481737,18.80098277704132,21.33268134242978,29.172682,6.5499945,99.17347895186393,First,non,InsideOvertaking,False,None,False
40, 20.075089549990153,18.725544677958595,21.33268134242978,30.118883,6.4999943,99.14308549008221,First,non,InsideOvertaking,False,None,False
41, 20.060653925059817,18.748841125897776,21.33268134242978,31.065819,6.449994,99.11261290155592,First,non,InsideOvertaking,False,None,False
42, 19.602250745241538,18.76650421871191,21.33268134242978,32.01349,6.399994,99.08206997814554,First,non,InsideOvertaking,False,None,False
43, 18.744859025002242,18.744859025002242,21.33268134242978,32.959476,6.399994,99.0518259779925,First,non,non,False,None,False
44, 18.71057425953255,18.71057425953255,21.33268134242978,33.902466,6.399994,99.02187210923627,First,non,non,False,None,False
45, 18.76646247234602,18.76646247234602,21.33268134242978,34.842453,6.399994,98.99221716373737,First,non,non,False,None,False
46, 18.736433663128956,18.736433663128956,21.33268134242978,35.77944,6.399994,98.96284355777476,First,non,non,False,None,False
47, 18.797638145790096,18.797638145790096,21.33268134242978,36.717163,6.399994,98.9334084087886,First,non,non,False,None,False
48, 18.78576969026117,18.78576969026117,21.33268134242978,37.655617,6.399994,98.90389413305785,First,non,non,False,None,False
49, 18.69214857904965,18.69214857904965,21.33268134242978,38.591072,6.399994,98.87466998872391,First,non,non,False,None,False
50, 18.71147560015733,18.71147560015733,21.33268134242978,39.52726,6.399994,98.84538430136641,First,non,non,False,None,False
51, 18.75119979363558,18.75119979363558,21.33268134242978,40.46418,6.399994,98.81601948726433,First,non,non,False,None,False
52, 20.021099523199965,18.721162170673736,21.33268134242978,41.400497,6.3499937,98.78658433827816,First,non,InsideOvertaking,False,None,False
53, 19.95241495123124,18.710446878395956,21.33268134242978,42.33755,6.2999935,98.75707885440792,First,non,InsideOvertaking,False,None,False
54, 20.11602349713216,18.693683762446348,21.33268134242978,43.275337,6.2499933,98.7275030356536,First,non,InsideOvertaking,False,None,False
55, 19.05736202192964,18.69286786718218,21.33268134242978,44.21386,6.199993,98.6978568820152,First,non,InsideOvertaking,False,None,False
56, 20.002264825654386,18.799763473561683,21.33268134242978,45.153114,6.149993,98.66814039349273,First,non,InsideOvertaking,False,None,False
57, 19.139326951640268,18.725232454622557,21.33268134242978,46.0931,6.0999928,98.63834477822567,First,non,InsideOvertaking,False,None,False
58, 19.581637129300248,18.693192342591523,21.33268134242978,47.033825,6.0499926,98.60848761993505,First,non,InsideOvertaking,False,None,False
59, 18.722266601167583,18.722266601167583,21.33268134242978,47.972874,6.0499926,98.57892059304123,First,non,non,False,None,False
60, 18.794949725317913,18.794949725317913,21.33268134242978,48.91266,6.0499926,98.54928323126335,First,non,non,False,None,False
61, 18.71803880866623,18.71803880866623,21.33268134242978,49.84944,6.0499926,98.51993600088228,First,non,non,False,None,False
62, 18.76778553335238,18.76778553335238,21.33268134242978,50.786957,6.0499926,98.49050964375662,First,non,non,False,None,False
63, 18.763735456320248,18.763735456320248,21.33268134242978,51.725204,6.0499926,98.4610217436074,First,non,non,False,None,False
64, 18.683408378862197,18.683408378862197,21.33268134242978,52.660454,6.0499926,98.43181518299448,First,non,non,False,None,False
65, 18.689178496992383,18.689178496992383,21.33268134242978,53.592705,6.0499926,98.4029075456389,First,non,non,False,None,False
66, 18.76949236541673,18.76949236541673,21.33268134242978,54.52569,6.0499926,98.37392957339924,First,non,non,False,None,False
67, 19.856377100794123,18.79587501082154,21.33268134242978,55.458065,5.9999924,98.34487247441498,First,non,InsideOvertaking,False,None,False
68, 20.313868392118504,18.759198096711387,21.33268134242978,56.391174,5.949992,98.31575383240717,First,non,InsideOvertaking,False,None,False
69, 19.88299423765473,18.73188543699289,21.33268134242978,57.325016,5.899992,98.28654727179425,First,non,InsideOvertaking,False,None,False
70, 20.318610770191732,18.697195752434403,21.33268134242978,58.259594,5.849992,98.25728796001827,First,non,InsideOvertaking,False,None,False
71, 20.080192803869668,18.71800092333232,21.33268134242978,59.194904,5.7999916,98.22795831335823,First,non,InsideOvertaking,False,None,False
72, 19.452297163454947,18.710146995993917,21.33268134242978,60.13095,5.7499914,98.19854074809308,First,non,InsideOvertaking,False,None,False
73, 20.147393837619248,18.72856507437983,21.33268134242978,61.06773,5.699991,98.16907043166488,First,non,InsideOvertaking,False,None,False
74, 19.197576700280994,18.756959834231196,21.33268134242978,62.005245,5.649991,98.1395209884921,First,non,InsideOvertaking,False,None,False
75, 19.267752768016347,18.705933400402195,21.33268134242978,62.943493,5.599991,98.10989241857472,First,non,InsideOvertaking,False,None,False
76, 19.399585300781535,18.76450005478968,21.33268134242978,63.882473,5.5499907,98.08020230563376,First,non,InsideOvertaking,False,None,False
77, 20.372900019692757,18.784801043210983,21.33268134242978,64.82219,5.4999905,98.05044185780875,First,non,InsideOvertaking,False,None,False
78, 19.643603563494786,18.710335514387886,21.33268134242978,65.76264,5.4499903,98.02061107509965,First,non,InsideOvertaking,False,None,False
79, 19.519211178916972,18.7065507085645,21.33268134242978,66.70383,5.39999,97.99070116564597,First,non,InsideOvertaking,False,None,False
80, 20.062608951366606,18.727111574068473,21.33268134242978,67.645744,5.34999,97.96072092130821,First,non,InsideOvertaking,False,None,False
81, 20.67092788839495,18.753693046272566,21.33268134242978,68.588394,5.2999897,97.93067913394688,First,non,InsideOvertaking,False,None,False
82, 19.67747104699718,18.72935312095622,21.33268134242978,69.53178,5.2499895,97.90054942798045,First,non,InsideOvertaking,False,None,False
83, 20.556221583029032,18.715160152895223,21.33268134242978,70.4759,5.1999893,97.87036697085098,First,non,InsideOvertaking,False,None,False
84, 19.613431314603435,18.714092023246927,21.33268134242978,71.42075,5.149989,97.84009659511639,First,non,InsideOvertaking,False,None,False
85, 19.682536598884568,18.762985799077164,21.33268134242978,72.36634,5.099989,97.80976467635826,First,non,InsideOvertaking,False,None,False
86, 19.281450181799634,18.767989771501973,21.33268134242978,73.31266,5.0499887,97.77935363085552,First,non,InsideOvertaking,False,None,False
87, 20.614590352361237,18.721561340998598,21.33268134242978,74.25971,4.9999886,97.74887225046871,First,non,InsideOvertaking,False,None,False
88, 19.96685880212833,18.7537006745618,21.33268134242978,75.207504,4.9499884,97.71831174333732,First,non,InsideOvertaking,False,None,False
89, 19.641558669397703,18.801518293650616,21.33268134242978,76.15603,4.899988,97.68769848504286,First,non,InsideOvertaking,False,None,False
90, 19.117132977050417,18.782776279564267,21.33268134242978,77.105286,4.849988,97.65698851628281,First,non,InsideOvertaking,False,None,False
91, 20.673625952633113,18.71985640916556,21.33268134242978,78.055275,4.799988,97.62621700449918,First,non,InsideOvertaking,False,None,False
92, 19.455763072062734,18.72865427327514,21.33268134242978,79.006,4.7499876,97.59538394969199,First,non,InsideOvertaking,False,None,False
93, 20.46924828659373,18.747985087080615,21.33268134242978,79.95746,4.6999874,97.5644629762797,First,non,InsideOvertaking,False,None,False
94, 20.665254979340183,18.801742384131686,21.33268134242978,80.90965,4.649987,97.53347166798333,First,non,InsideOvertaking,False,None,False
95, 20.663987776288476,18.697409728676966,21.33268134242978,81.86258,4.599987,97.5024100248029,First,non,InsideOvertaking,False,None,False
96, 19.27338984741272,18.799607028551527,21.33268134242978,82.81624,4.549987,97.47127804673838,First,non,InsideOvertaking,False,None,False
97, 20.14255596850298,18.73135965930765,21.33268134242978,83.77063,4.4999866,97.44006694192927,First,non,InsideOvertaking,False,None,False
98, 19.611041887098725,18.729427206906514,21.33268134242978,84.72576,4.4499865,97.40878550223609,First,non,InsideOvertaking,False,None,False
99, 20.18208538308092,18.732181091070885,21.33268134242978,85.681625,4.3999863,97.37743372765883,First,non,InsideOvertaking,False,None,False
100, 19.75832191315862,18.762215265726987,21.33268134242978,86.63822,4.349986,97.3460116181975,First,non,InsideOvertaking,False,None,False
101, 20.35768452195491,18.70640655378775,21.33268134242978,87.59555,4.299986,97.31451038199157,First,non,InsideOvertaking,False,None,False
102, 20.566373551268764,18.78946228849742,21.33268134242978,88.55361,4.2499857,97.28293001904106,First,non,InsideOvertaking,False,None,False
103, 19.838320152359657,18.70271045117498,21.33268134242978,89.51241,4.1999855,97.25127932120647,First,non,InsideOvertaking,False,None,False
104, 19.78554347226099,18.73365414548654,21.33268134242978,90.47195,4.1499853,97.21955828848782,First,non,InsideOvertaking,False,None,False
105, 19.188931219301658,18.802876705077317,21.33268134242978,91.428474,4.099985,97.18813617902647,First,non,InsideOvertaking,False,None,False
106, 19.922126593791642,18.72508025638257,21.33268134242978,92.385735,4.049985,97.15664373468107,First,non,InsideOvertaking,False,None,False
107, 19.36022834786376,18.776097816884977,21.33268134242978,93.34373,3.999985,97.12508095545158,First,non,InsideOvertaking,False,None,False
108, 18.94939767593321,18.75289072177634,21.33268134242978,94.29872,3.949985,97.0938083076189,First,non,InsideOvertaking,False,None,False
109, 20.759548040872865,18.79311260384825,21.33268134242978,95.25445,3.899985,97.06247411676266,First,non,InsideOvertaking,False,None,False
110, 19.25663573724934,18.730256461055347,21.33268134242978,96.21091,3.8499851,97.03105200730133,First,non,InsideOvertaking,False,None,False
111, 19.514535008709686,18.733664230408415,21.33268134242978,97.1681,3.7999852,96.99956835481642,First,non,InsideOvertaking,False,None,False
112, 19.097763551832113,18.733870087889287,21.33268134242978,98.12229,3.7499852,96.96838362558884,First,non,InsideOvertaking,False,None,False
113, 19.416638571872028,18.799334665721,21.33268134242978,99.07722,3.6999853,96.93711976961669,First,non,InsideOvertaking,False,None,False
114, 20.336059167287214,18.74830959315195,21.33268134242978,100.032875,3.6499853,96.90578557876044,First,non,InsideOvertaking,False,None,False
115, 19.411805484085615,18.712864193998705,21.33268134242978,100.989265,3.5999854,96.87438105302013,First,non,InsideOvertaking,False,None,False
116, 19.20590852408157,18.68352121106986,21.33268134242978,101.94639,3.5499854,96.84289740053522,First,non,InsideOvertaking,False,None,False
117, 19.23089752761158,18.700759551783385,21.33268134242978,102.90425,3.4999855,96.81134341316624,First,non,InsideOvertaking,False,None,False
118, 19.646771176128784,18.785219161337167,21.33268134242978,103.86285,3.4499855,96.77971909091319,First,non,InsideOvertaking,False,None,False
119, 19.65489483002173,18.75712125544988,21.33268134242978,104.822174,3.3999856,96.74801564191554,First,non,InsideOvertaking,False,None,False
