turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 18.780176817775775,18.780176817775775,21.43910630325029,0.06067238,6,99.99421810477146,First,non,non,False,None,False
2, 19.477532837872964,18.71532147107931,21.43910630325029,0.17123707,5.95,99.99073418737873,First,non,InsideOvertaking,False,None,False
3, 18.73076800668491,18.73076800668491,21.43910630325029,0.3532542,5.95,99.98899222868236,First,non,non,False,None,False
4, 18.805697476902957,18.805697476902957,21.43910630325029,0.5959437,5.95,99.98838518247,First,non,non,False,None,False
5, 18.7681214551431,18.7681214551431,21.43910630325029,0.8993056,5.95,99.98833239584283,First,non,non,False,None,False
6, 18.73937153798854,18.73937153798854,21.43910630325029,1.2633399,5.95,99.9882356203597,First,non,non,False,None,False
7, 18.75191832218438,18.75191832218438,21.43910630325029,1.6880466,5.95,99.987523000893,First,non,non,False,None,False
8, 18.772480379370844,18.772480379370844,21.43910630325029,2.1734257,5.95,99.98559628900158,First,non,non,False,None,False
9, 19.50834567682718,18.736349382159954,21.43910630325029,2.717183,5.8999996,99.98187483178661,First,non,InsideOvertaking,False,None,False
10, 18.780357540960907,18.780357540960907,21.43910630325029,3.323907,5.8999996,99.97576038080695,First,non,non,False,None,False
11, 20.500558868697073,18.81406218920409,21.43910630325029,3.9894276,5.8499994,99.96668108093499,First,non,InsideOvertaking,False,None,False
12, 19.527644478335496,18.755579354293275,21.43910630325029,4.7157774,5.799999,99.95403868372955,First,non,InsideOvertaking,False,None,False
13, 18.814128835272182,18.814128835272182,21.43910630325029,5.5045185,5.799999,99.93726133406305,First,non,non,False,None,False
14, 20.323473760493755,18.732510879161733,21.43910630325029,6.352459,5.749999,99.91574198572312,First,non,InsideOvertaking,False,None,False
15, 18.752671543915874,18.752671543915874,21.43910630325029,7.2625446,5.749999,99.88889998581095,First,non,non,False,None,False
16, 19.96625670547157,18.7015435524833,21.43910630325029,8.232014,5.699999,99.85614588365658,First,non,InsideOvertaking,False,None,False
17, 18.777361163186843,18.777361163186843,21.43910630325029,9.199772,5.699999,99.82370850126519,First,non,non,False,None,False
18, 18.771935965514363,18.771935965514363,21.43910630325029,10.16453,5.699999,99.79156144532318,First,non,non,False,None,False
19, 18.761628614827693,18.761628614827693,21.43910630325029,11.126287,5.699999,99.75973110914416,First,non,non,False,None,False
20, 18.78749061760692,18.78749061760692,21.43910630325029,12.085046,5.699999,99.72819109941453,First,non,non,False,None,False
21, 18.76393845151379,18.76393845151379,21.43910630325029,13.040804,5.699999,99.69695901167668,First,non,non,False,None,False
22, 18.72168805560673,18.72168805560673,21.43910630325029,13.993562,5.699999,99.66602604815942,First,non,non,False,None,False
23, 18.745044278468313,18.745044278468313,21.43910630325029,14.943319,5.699999,99.63538341109155,First,non,non,False,None,False
24, 18.747110164040496,18.747110164040496,21.43910630325029,15.890078,5.699999,99.60503989824427,First,non,non,False,None,False
25, 18.728161197492998,18.728161197492998,21.43910630325029,16.833836,5.699999,99.57499550961758,First,non,non,False,None,False
26, 18.706110007145536,18.706110007145536,21.43910630325029,17.774593,5.699999,99.54524144744029,First,non,non,False,None,False
27, 18.718950855543667,18.718950855543667,21.43910630325029,18.71235,5.699999,99.51577771171237,First,non,non,False,None,False
28, 18.82031472707637,18.82031472707637,21.43910630325029,19.650782,5.699999,99.48625239158612,First,non,non,False,None,False
29, 18.719739566668515,18.719739566668515,21.43910630325029,20.586212,5.699999,99.45700860013805,First,non,non,False,None,False
30, 18.70655714369179,18.70655714369179,21.43910630325029,21.518642,5.699999,99.42805513513939,First,non,non,False,None,False
31, 18.786883790929732,18.786883790929732,21.43910630325029,22.451746,5.699999,99.39904888351357,First,non,non,False,None,False
32, 19.439725053194646,18.72203891906855,21.43910630325029,23.384182,5.6499987,99.369963451947,First,non,InsideOvertaking,False,None,False
33, 18.94862760536967,18.725321561678875,21.43910630325029,24.317291,5.5999985,99.34082523375326,First,non,InsideOvertaking,False,None,False
34, 20.336321572796134,18.712798582960293,21.43910630325029,25.251074,5.5499983,99.31161663338997,First,non,InsideOvertaking,False,None,False
35, 20.688510257504074,18.7327299601664,21.43910630325029,26.18553,5.499998,99.28234644862833,First,non,InsideOvertaking,False,None,False
36, 19.002229855255994,18.729724366355647,21.43910630325029,27.120659,5.449998,99.25300588169715,First,non,InsideOvertaking,False,None,False
37, 19.248505814418365,18.776751710278116,21.43910630325029,28.056461,5.3999977,99.2236037303676,First,non,InsideOvertaking,False,None,False
38, 20.810948615945364,18.78162232903819,21.43910630325029,28.992937,5.3499975,99.1941311968685,First,non,InsideOvertaking,False,None,False
