turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.032383382125698,20.032383382125698,22.746444001140887,0,2,100,First,non,non,False,Late Start,False
2, 20.032383382125698,20.032383382125698,22.746444001140887,0,2,100,First,non,non,False,Late Start,False
3, 20.878911234152916,20.075876186685495,22.746444001140887,0.06055447,2,99.99652930078503,First,SpeedUp,non,False,Late Start,False
4, 20.81551016251628,20.014913617804115,22.746444001140887,0.18166341,2,99.99443809467576,First,SpeedUp,non,False,Late Start,False
5, 20.820622043113893,20.019828887609513,22.746444001140887,0.36332685,2,99.99339249162112,First,SpeedUp,non,False,Late Start,False
6, 20.863778405473923,20.06132538987877,22.746444001140887,0.60554475,2,99.99302345524889,First,SpeedUp,non,False,Late Start,False
7, 20.863699130010804,20.061249163471928,22.746444001140887,0.9083171,2,99.99298830892774,First,SpeedUp,non,False,Late Start,False
8, 20.85275394493103,20.05072494704907,22.746444001140887,1.2716439,2,99.99293558944598,First,SpeedUp,non,False,Late Start,False
9, 20.845330097377584,20.04358663209383,22.746444001140887,1.6955252,2,99.99251383359201,First,SpeedUp,non,False,Late Start,False
10, 20.932939072299856,20.127826031057552,22.746444001140887,2.179961,2,99.99137157815417,First,SpeedUp,non,False,Late Start,False
11, 20.856459456116422,20.05428793857348,22.746444001140887,2.7249513,2,99.98916614650112,First,SpeedUp,non,False,Late Start,False
12, 20.8493404152526,20.04744270697365,22.746444001140887,3.330496,2,99.9855372888409,First,SpeedUp,non,False,Late Start,False
13, 20.876391249999745,20.073453124999755,22.746444001140887,3.9965954,2,99.98013354196189,First,SpeedUp,non,False,Late Start,False
14, 20.81395943966523,20.013422538139643,22.746444001140887,4.723249,2,99.97262101581303,First,SpeedUp,non,False,Late Start,False
15, 20.81909622190872,20.018361751835307,22.746444001140887,5.510457,2,99.9626218874418,First,SpeedUp,non,False,Late Start,False
16, 20.814887836908643,20.01431522779677,22.746444001140887,6.3582196,2,99.94981105337742,First,SpeedUp,non,False,Late Start,False
17, 20.852735681145603,20.050707385716926,22.746444001140887,7.2665367,2,99.93381947724768,First,SpeedUp,non,False,Late Start,False
18, 20.918838790862555,20.114268068137072,22.746444001140887,8.235408,2,99.91431326900151,First,SpeedUp,non,False,Late Start,False
19, 20.92405132594102,20.119280121097134,22.746444001140887,9.264833,2,99.89093217884698,First,SpeedUp,non,False,Late Start,False
20, 20.883919745314138,20.080692062802054,22.746444001140887,10.294814,2,99.86750715579099,First,SpeedUp,non,False,Late Start,False
21, 20.821730030153525,20.020894259763004,22.746444001140887,11.325349,2,99.84405577299412,First,SpeedUp,non,False,None,False
22, 20.93621327508447,20.130974302965836,22.746444001140887,12.356439,2,99.82056045729581,First,SpeedUp,non,False,None,False
23, 20.832611938919236,20.03135763357619,22.746444001140887,13.3880825,2,99.79702120869605,First,SpeedUp,non,False,None,False
24, 20.882847449808164,20.079661009430925,22.746444001140887,14.42028,2,99.7734556003554,First,SpeedUp,non,False,None,False
25, 20.91951961696804,20.114922708623112,22.746444001140887,15.453033,2,99.74985484569359,First,SpeedUp,non,False,None,False
26, 20.909732075956434,20.10551161149657,22.746444001140887,16.486341,2,99.72621015813033,First,SpeedUp,non,False,None,False
