turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.093265017836778,20.093265017836778,22.79746006539867,0.06072687,3,99.98498527679345,First,non,non,False,None,False
2, 21.43057904666963,20.034918552902063,22.79746006539867,0.17141116,2.95,99.97485705408106,First,non,InsideOvertaking,False,None,False
3, 21.636249830284346,20.108099313674636,22.79746006539867,0.34659612,2.9,99.96866269178449,First,non,InsideOvertaking,False,None,False
4, 21.194758077454647,20.144259024666848,22.79746006539867,0.58430195,2.8500001,99.96544074267526,First,non,InsideOvertaking,False,None,False
5, 21.32498878692632,20.156524906141524,22.79746006539867,0.8837912,2.8000002,99.96423709881668,First,non,InsideOvertaking,False,None,False
6, 21.72136455678183,20.033441827893103,22.79746006539867,1.2447054,2.7500002,99.96406829510481,First,non,InsideOvertaking,False,None,False
7, 22.178254682230968,20.090824557412105,22.79746006539867,1.6668427,2.7000003,99.96398756289479,First,non,InsideOvertaking,False,None,False
8, 22.328392845924856,20.12537352442565,22.79746006539867,2.1500778,2.6500003,99.9630261156663,First,non,InsideOvertaking,False,None,False
9, 21.397468740756462,20.124482013271628,22.79746006539867,2.6943278,2.6000004,99.96022250619083,First,non,InsideOvertaking,False,None,False
10, 20.589321174688923,20.06636042802467,22.79746006539867,3.2995346,2.5500004,99.9546152872399,First,non,InsideOvertaking,False,None,False
11, 21.168458781230935,20.143519585325844,22.79746006539867,3.9656563,2.5000005,99.94525035087685,First,non,InsideOvertaking,False,None,False
12, 22.21978586205533,20.13376418900866,22.79746006539867,4.6926613,2.4500005,99.93115157128952,First,non,InsideOvertaking,False,None,False
13, 20.896975726408645,20.133136142309073,22.79746006539867,5.4805255,2.4000006,99.91136484054125,First,non,InsideOvertaking,False,None,False
14, 20.489362481536773,20.110417464767707,22.79746006539867,6.3292303,2.3500006,99.88491403281989,First,non,InsideOvertaking,False,None,False
15, 21.351121363128083,20.095356597233476,22.79746006539867,7.23876,2.3000007,99.85085971877241,First,non,InsideOvertaking,False,None,False
16, 20.56825620438971,20.040718912261866,22.79746006539867,8.209103,2.2500007,99.80821843329487,First,non,InsideOvertaking,False,None,False
17, 20.76924294236963,20.13957440899663,22.79746006539867,9.240248,2.2000008,99.75605808632604,First,non,InsideOvertaking,False,None,False
18, 20.844554606268495,20.05194926445919,22.79746006539867,10.332188,2.1500008,99.69337319488649,First,non,InsideOvertaking,False,None,False
19, 20.098327963332213,20.098327963332213,22.79746006539867,11.422272,2.1500008,99.63123875033348,First,non,non,False,None,False
20, 20.126266448358997,20.126266448358997,22.79746006539867,12.509356,2.1500008,99.56964741337521,First,non,non,False,None,False
21, 20.143241531563614,20.143241531563614,22.79746006539867,13.593439,2.1500008,99.50858450542802,First,non,non,False,None,False
22, 20.15584531725925,20.15584531725925,22.79746006539867,14.674522,2.1500008,99.44805736578371,First,non,non,False,None,False
23, 20.140139669222286,20.140139669222286,22.79746006539867,15.752606,2.1500008,99.38807333373414,First,non,non,False,None,False
24, 20.08548198528476,20.08548198528476,22.79746006539867,16.82769,2.1500008,99.32861039140384,First,non,non,False,None,False
25, 20.10397152201719,20.10397152201719,22.79746006539867,17.899775,2.1500008,99.26966853879279,First,non,non,False,None,False
26, 20.13463985106502,20.13463985106502,22.79746006539867,18.968859,2.1500008,99.21126245448464,First,non,non,False,None,False
27, 20.074050359538404,20.074050359538404,22.79746006539867,20.034943,2.1500008,99.15337745989575,First,non,non,False,None,False
28, 20.04230208176589,20.04230208176589,22.79746006539867,21.098026,2.1500008,99.09599887644248,First,non,non,False,None,False
29, 20.061395197283662,20.061395197283662,22.79746006539867,22.15811,2.1500008,99.03915606129212,First,non,non,False,None,False
30, 20.07284827439017,20.07284827439017,22.79746006539867,23.215193,2.1500008,98.98281231798555,First,non,non,False,None,False
31, 20.136695601545444,20.136695601545444,22.79746006539867,24.269276,2.1500008,98.92700434298189,First,non,non,False,None,False
32, 20.154890513851672,20.154890513851672,22.79746006539867,25.32036,2.1500008,98.87169543982202,First,non,non,False,None,False
33, 20.069890330149136,20.069890330149136,22.79746006539867,26.368444,2.1500008,98.81689294779778,First,non,non,False,None,False
34, 20.03461513765889,20.03461513765889,22.79746006539867,27.413528,2.1500008,98.76258952761734,First,non,non,False,None,False
35, 20.13900294564067,20.13900294564067,22.79746006539867,28.455612,2.1500008,98.70879251857251,First,non,non,False,None,False
36, 20.155894982827853,20.155894982827853,22.79746006539867,29.494696,2.1500008,98.65550925995512,First,non,non,False,None,False
37, 20.096231767857656,20.096231767857656,22.79746006539867,30.530779,2.1500008,98.60271773388972,First,non,non,False,None,False
38, 20.13328441765969,20.13328441765969,22.79746006539867,31.563862,2.1500008,98.5504252796681,First,non,non,False,None,False
39, 20.096459315133295,20.096459315133295,22.79746006539867,32.593945,2.1500008,98.4986318972903,First,non,non,False,None,False
40, 20.125516866323494,20.125516866323494,22.79746006539867,33.62103,2.1500008,98.44730822958901,First,non,non,False,None,False
41, 20.124749167826945,20.124749167826945,22.79746006539867,34.64511,2.1500008,98.39649831231516,First,non,non,False,None,False
42, 20.042811320503546,20.042811320503546,22.79746006539867,35.666195,2.1500008,98.34616544900965,First,non,non,False,None,False
43, 20.035735982283438,20.035735982283438,22.79746006539867,36.68428,2.1500008,98.29632431825611,First,non,non,False,None,False
44, 20.081254704441676,20.081254704441676,22.79746006539867,37.699364,2.1500008,98.24696024147092,First,non,non,False,None,False
45, 20.066214052557118,20.066214052557118,22.79746006539867,38.71145,2.1500008,98.19807321865405,First,non,non,False,None,False
46, 20.063785862753107,20.063785862753107,22.79746006539867,39.72053,2.1500008,98.14967058909735,First,non,non,False,None,False
47, 20.156722908882507,20.156722908882507,22.79746006539867,40.726616,2.1500008,98.10174501350899,First,non,non,False,None,False
48, 20.10230228075546,20.10230228075546,22.79746006539867,41.7297,2.1500008,98.05428915259714,First,non,non,False,None,False
49, 20.050624362779136,20.050624362779136,22.79746006539867,42.729782,2.1500008,98.00731034565362,First,non,non,False,None,False
50, 20.09339470530216,20.09339470530216,22.79746006539867,43.73059,2.1500008,97.96019943145734,First,non,non,False,None,False
51, 20.032166900224944,20.032166900224944,22.79746006539867,44.73213,2.1500008,97.91298576717557,First,non,non,False,None,False
52, 20.120721573361653,20.120721573361653,22.79746006539867,45.734394,2.1500008,97.8656620135165,First,non,non,False,None,False
53, 20.05245601091411,20.05245601091411,22.79746006539867,46.737385,2.1500008,97.81822817048011,First,non,non,False,None,False
54, 20.10811835053372,20.10811835053372,22.79746006539867,47.741104,2.1500008,97.7706768987746,First,non,non,False,None,False
55, 20.139349786732378,20.139349786732378,22.79746006539867,48.74555,2.1500008,97.72300085910814,First,non,non,False,None,False
56, 20.05267097255322,20.05267097255322,22.79746006539867,49.746994,2.1500008,97.67580187341001,First,non,non,False,None,False
57, 20.07641183988183,20.07641183988183,22.79746006539867,50.749165,2.1500008,97.62848545904275,First,non,non,False,None,False
58, 20.148974372092503,20.148974372092503,22.79746006539867,51.752064,2.1500008,97.58106629459,First,non,non,False,None,False
59, 20.07582901071416,20.07582901071416,22.79746006539867,52.755688,2.1500008,97.53352236217631,First,non,non,False,None,False
60, 20.07351253161501,20.07351253161501,22.79746006539867,53.76004,2.1500008,97.48586100109348,First,non,non,False,None,False
61, 20.035123466912665,20.035123466912665,22.79746006539867,54.76139,2.1500008,97.43868403327082,First,non,non,False,None,False
