turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.93118349746872,19.93118349746872,21.49232026308568,0.060221132,7,99.98462554664722,First,non,non,False,None,False
2, 19.853918737161884,19.853918737161884,21.49232026308568,0.18066339,7,99.97420358533451,First,non,non,False,None,False
3, 19.88702373617912,19.88702373617912,21.49232026308568,0.36132678,7,99.96780505552785,First,non,non,False,None,False
4, 19.83807836369781,19.83807836369781,21.49232026308568,0.6022113,7,99.96443346488032,First,non,non,False,None,False
5, 19.941106007702324,19.941106007702324,21.49232026308568,0.903317,7,99.96312978316327,First,non,non,False,None,False
6, 19.9490480996704,19.9490480996704,21.49232026308568,1.2646438,7,99.96293498014808,First,non,non,False,None,False
7, 19.82862021667562,19.82862021667562,21.49232026308568,1.6861917,7,99.96286005591146,First,non,non,False,None,False
8, 19.88478272926586,19.88478272926586,21.49232026308568,2.1679606,7,99.96197594991943,First,non,non,False,None,False
9, 19.86101604971264,19.86101604971264,21.49232026308568,2.709951,7,99.95929366224873,First,non,non,False,None,False
10, 19.881205680754,19.881205680754,21.49232026308568,3.3121622,7,99.95384667024705,First,non,non,False,None,False
11, 19.904341705133056,19.904341705133056,21.49232026308568,3.9745946,7,99.94466845126207,First,non,non,False,None,False
12, 19.939183369538508,19.939183369538508,21.49232026308568,4.697248,7,99.93080746748888,First,non,non,False,None,False
13, 19.932550538485636,19.932550538485636,21.49232026308568,5.4801226,7,99.9112822114278,First,non,non,False,None,False
14, 19.885323554404962,19.885323554404962,21.49232026308568,6.3232183,7,99.88512616042658,First,non,non,False,None,False
15, 19.95200463460646,19.95200463460646,21.49232026308568,7.2265353,7,99.85138777668021,First,non,non,False,None,False
16, 19.86059442277725,19.86059442277725,21.49232026308568,8.190073,7,99.80907806026546,First,non,non,False,None,False
17, 19.945681433102656,19.945681433102656,21.49232026308568,9.213832,7,99.7572679506483,First,non,non,False,None,False
18, 19.928430289839746,19.928430289839746,21.49232026308568,10.2345915,7,99.7059298637218,First,non,non,False,None,False
19, 22.1080217194518,19.944717325433736,21.49232026308568,11.254347,6.95,99.65456929952431,First,non,InsideOvertaking,False,None,False
20, 20.87184326919762,19.890981255637413,21.49232026308568,12.274323,6.8999996,99.60317127320853,First,non,InsideOvertaking,False,None,False
21, 20.35205482937315,19.84317981068664,21.49232026308568,13.291297,6.8499994,99.55226774685438,First,non,InsideOvertaking,False,None,False
22, 20.433025624237267,19.87632531893659,21.49232026308568,14.308492,6.799999,99.50131926595826,First,non,InsideOvertaking,False,None,False
23, 21.385479087032383,19.928427294718745,21.49232026308568,15.325908,6.749999,99.45034830779116,First,non,InsideOvertaking,False,None,False
24, 21.474181988445743,19.904461989646595,21.49232026308568,16.343544,6.699999,99.39932490265844,First,non,InsideOvertaking,False,None,False
25, 21.00982639639753,19.894193894512586,21.49232026308568,17.361403,6.6499987,99.34828651267837,First,non,InsideOvertaking,False,None,False
26, 20.784874804855885,19.83853677490662,21.49232026308568,18.379482,6.5999985,99.2971956757327,First,non,InsideOvertaking,False,None,False
27, 20.364518187084194,19.87088707773168,21.49232026308568,19.394558,6.5499983,99.24659933874865,First,non,InsideOvertaking,False,None,False
28, 20.706285017713316,19.86474444106267,21.49232026308568,20.409855,6.499998,99.19596553964631,First,non,InsideOvertaking,False,None,False
29, 22.11238963089331,19.925080185950886,21.49232026308568,21.425375,6.449998,99.14530177084931,First,non,InsideOvertaking,False,None,False
30, 20.13056391099052,19.89991691091717,21.49232026308568,22.437891,6.3999977,99.09513250201397,First,non,InsideOvertaking,False,None,False
31, 21.942517519819372,19.941411454512572,21.49232026308568,23.450628,6.3499975,99.0449257710603,First,non,InsideOvertaking,False,None,False
32, 21.95642800813173,19.919218143563974,21.49232026308568,24.463587,6.2999973,98.99468157798833,First,non,InsideOvertaking,False,None,False
33, 21.993259981015097,19.903975859177407,21.49232026308568,25.476767,6.249997,98.94438493795074,First,non,InsideOvertaking,False,None,False
34, 20.823132671688835,19.882281079368667,21.49232026308568,26.490168,6.199997,98.89406582064217,First,non,InsideOvertaking,False,None,False
35, 20.857344092111017,19.859666197470524,21.49232026308568,27.50379,6.1499968,98.84371673363894,First,non,InsideOvertaking,False,None,False
36, 21.675637458365067,19.867755996519247,21.49232026308568,28.517633,6.0999966,98.79331519967009,First,non,InsideOvertaking,False,None,False
37, 20.932345018255486,19.914078043684185,21.49232026308568,29.531698,6.0499964,98.74289868085391,First,non,InsideOvertaking,False,None,False
38, 20.510773270162208,19.840634124376564,21.49232026308568,30.545984,5.999996,98.69242971507212,First,non,InsideOvertaking,False,None,False
39, 20.964012624112836,19.84189995524595,21.49232026308568,31.560493,5.949996,98.64193827201933,First,non,InsideOvertaking,False,None,False
40, 20.739272832121188,19.915735850000946,21.49232026308568,32.575222,5.899996,98.59139438200091,First,non,InsideOvertaking,False,None,False
41, 21.82603190536127,19.903387442175426,21.49232026308568,33.59017,5.8499956,98.54082052228786,First,non,InsideOvertaking,False,None,False
42, 20.255100909974505,19.93337168160265,21.49232026308568,34.60212,5.7999954,98.49074116253644,First,non,InsideOvertaking,False,None,False
43, 20.825463037235455,19.8382869264755,21.49232026308568,35.61429,5.749995,98.44062434066672,First,non,InsideOvertaking,False,None,False
44, 20.808350356872985,19.8630652669439,21.49232026308568,36.62668,5.699995,98.39047005667868,First,non,InsideOvertaking,False,None,False
45, 21.925296634088223,19.892840594125236,21.49232026308568,37.63929,5.649995,98.34027081814868,First,non,InsideOvertaking,False,None,False
46, 20.519230788050667,19.903081054074356,21.49232026308568,38.652122,5.5999947,98.29004910234771,First,non,InsideOvertaking,False,None,False
47, 20.181593544319597,19.832915081879293,21.49232026308568,39.661953,5.5499945,98.24032188650835,First,non,InsideOvertaking,False,None,False
48, 21.71690964624627,19.863359586118534,21.49232026308568,40.672005,5.4999943,98.19054222370339,First,non,InsideOvertaking,False,None,False
49, 21.31397665847903,19.877084036588293,21.49232026308568,41.682278,5.449994,98.14073259120377,First,non,InsideOvertaking,False,None,False
50, 20.480779442320618,19.8653049051773,21.49232026308568,42.692772,5.399994,98.09089298900952,First,non,InsideOvertaking,False,None,False
51, 21.311607514036112,19.87240085741207,21.49232026308568,43.703487,5.3499937,98.04100843227329,First,non,InsideOvertaking,False,None,False
52, 22.062655316432235,19.910837053968613,21.49232026308568,44.714424,5.2999935,97.9910939058424,First,non,InsideOvertaking,False,None,False
53, 21.479023252712707,19.83035752732347,21.49232026308568,45.725582,5.2499933,97.94113442486957,First,non,InsideOvertaking,False,None,False
54, 20.849210208827586,19.826809168994757,21.49232026308568,46.73696,5.199993,97.89115246662574,First,non,InsideOvertaking,False,None,False
55, 22.022765327302224,19.947988110101257,21.49232026308568,47.74856,5.149993,97.84112555383996,First,non,InsideOvertaking,False,None,False
56, 20.36796021364952,19.838996118721088,21.49232026308568,48.760384,5.0999928,97.79106867135953,First,non,InsideOvertaking,False,None,False
57, 20.99074651394618,19.93399037658832,21.49232026308568,49.772427,5.0499926,97.74096683433712,First,non,InsideOvertaking,False,None,False
58, 20.657842202962684,19.869919952394287,21.49232026308568,50.78469,4.9999924,97.69083502762007,First,non,InsideOvertaking,False,None,False
59, 20.421010406744657,19.85307210923459,21.49232026308568,51.797176,4.949992,97.64066575878472,First,non,InsideOvertaking,False,None,False
60, 20.57191678549755,19.842485233631443,21.49232026308568,52.809883,4.899992,97.59045902783106,First,non,InsideOvertaking,False,None,False
61, 20.797923872358982,19.949636212486517,21.49232026308568,53.82281,4.849992,97.54021483475908,First,non,InsideOvertaking,False,None,False
62, 21.564913798573865,19.870644153725948,21.49232026308568,54.83596,4.7999916,97.48993317956882,First,non,InsideOvertaking,False,None,False
63, 20.802150176443185,19.938992693986783,21.49232026308568,55.84933,4.7499914,97.43962904710756,First,non,InsideOvertaking,False,None,False
64, 21.605168903956383,19.91191203235067,21.49232026308568,56.862923,4.699991,97.38927246768068,First,non,InsideOvertaking,False,None,False
65, 21.514111057075258,19.906658500971982,21.49232026308568,57.876736,4.649991,97.33888591855916,First,non,InsideOvertaking,False,None,False
66, 21.946122364985133,19.8882923845956,21.49232026308568,58.89077,4.599991,97.28846190731932,First,non,InsideOvertaking,False,None,False
67, 20.346163596405162,19.87978053539914,21.49232026308568,59.905025,4.5499907,97.23800043396118,First,non,InsideOvertaking,False,None,False
68, 21.423937243493537,19.938446193682495,21.49232026308568,60.919506,4.4999905,97.18750899090838,First,non,InsideOvertaking,False,None,False
69, 21.800172672311625,19.878442811729084,21.49232026308568,61.934208,4.4499903,97.1369800857373,First,non,InsideOvertaking,False,None,False
70, 20.666479528723816,19.92785646760403,21.49232026308568,62.94913,4.39999,97.0864137184479,First,non,InsideOvertaking,False,None,False
71, 20.796654870873322,19.860142316764428,21.49232026308568,63.964275,4.34999,97.0358098890402,First,non,InsideOvertaking,False,None,False
72, 21.451824189719186,19.864375429384488,21.49232026308568,64.97964,4.2999897,96.98516110509053,First,non,InsideOvertaking,False,None,False
73, 21.329459409989425,19.875947305337775,21.49232026308568,65.995224,4.2499895,96.93448984386987,First,non,InsideOvertaking,False,None,False
74, 21.170058799116113,19.921211005994437,21.49232026308568,67.01103,4.1999893,96.88377362810725,First,non,InsideOvertaking,False,None,False
75, 21.302331394204476,19.95115965733888,21.49232026308568,68.02706,4.149989,96.83302744264999,First,non,InsideOvertaking,False,None,False
76, 20.35207229004755,19.82827242017001,21.49232026308568,69.04331,4.099989,96.78223630265076,First,non,InsideOvertaking,False,None,False
77, 20.45928639555086,19.87381271617641,21.49232026308568,70.059784,4.0499887,96.73141519295687,First,non,InsideOvertaking,False,None,False
78, 21.710412548072675,19.832322546850225,21.49232026308568,71.07648,3.9999888,96.6805566211447,First,non,InsideOvertaking,False,None,False
79, 21.458008137467672,19.825171852585616,21.49232026308568,72.09339,3.9499888,96.6296605872142,First,non,InsideOvertaking,False,None,False
80, 20.136798868764117,19.895698388367606,21.49232026308568,73.1073,3.899989,96.57925905324535,First,non,InsideOvertaking,False,None,False
81, 20.142457535991593,19.891830419554548,21.49232026308568,74.11821,3.849989,96.52935201923815,First,non,InsideOvertaking,False,None,False
82, 21.071048906923906,19.88493488197059,21.49232026308568,75.12934,3.799989,96.47940003068896,First,non,InsideOvertaking,False,None,False
83, 20.543774682915547,19.900194274203663,21.49232026308568,76.14069,3.749989,96.42941058002148,First,non,InsideOvertaking,False,None,False
84, 21.26579536527591,19.89447447304439,21.49232026308568,77.15227,3.699989,96.37939115965935,First,non,InsideOvertaking,False,None,False
85, 20.85176559689525,19.879244749364954,21.49232026308568,78.16406,3.6499891,96.32933427717892,First,non,InsideOvertaking,False,None,False
86, 20.70663227661297,19.865896580726492,21.49232026308568,79.17608,3.5999892,96.27924742500383,First,non,InsideOvertaking,False,None,False
87, 20.147775528936144,19.832853345167962,21.49232026308568,80.18509,3.5499892,96.22964008794307,First,non,InsideOvertaking,False,None,False
88, 21.390770859499238,19.91174190454964,21.49232026308568,81.19432,3.4999893,96.18000278118767,First,non,InsideOvertaking,False,None,False
89, 20.278587310229913,19.836668607965226,21.49232026308568,82.20377,3.4499893,96.13032801231394,First,non,InsideOvertaking,False,None,False
90, 21.280534540036147,19.936008161386333,21.49232026308568,83.21345,3.3999894,96.08061578132192,First,non,InsideOvertaking,False,None,False
91, 21.384580126922963,19.920994999899637,21.49232026308568,84.22334,3.3499894,96.0308660882116,First,non,InsideOvertaking,False,None,False
92, 21.808966046038908,19.90381897765879,21.49232026308568,85.23346,3.2999895,95.98108642540663,First,non,InsideOvertaking,False,None,False
93, 22.111578888126306,19.93230775286797,21.49232026308568,86.2438,3.2499895,95.93126930048335,First,non,InsideOvertaking,False,None,False
94, 21.01820714137668,19.85514175017411,21.49232026308568,87.25436,3.1999896,95.88141471344177,First,non,InsideOvertaking,False,None,False
95, 20.526593125797135,19.92472864581104,21.49232026308568,88.26514,3.1499896,95.83151517185821,First,non,InsideOvertaking,False,None,False
96, 20.065399872704557,19.85454532759155,21.49232026308568,89.27291,3.0999897,95.7821101302363,First,non,InsideOvertaking,False,None,False
97, 21.607043851029974,19.88354161467017,21.49232026308568,90.28091,3.0499897,95.73267511891974,First,non,InsideOvertaking,False,None,False
98, 20.50350730627955,19.907949826658694,21.49232026308568,91.28912,2.9999897,95.68320264548488,First,non,InsideOvertaking,False,None,False
99, 20.327432751748727,19.842496812780375,21.49232026308568,92.29756,2.9499898,95.63368521750806,First,non,InsideOvertaking,False,None,False
100, 21.062114718792852,19.88870663806053,21.49232026308568,93.30623,2.8999898,95.58413781983658,First,non,InsideOvertaking,False,None,False
101, 21.641134065687137,19.888504045563423,21.49232026308568,94.31512,2.84999,95.53456045247046,First,non,InsideOvertaking,False,None,False
102, 22.047961329007347,19.87975089024879,21.49232026308568,95.32423,2.79999,95.48493813056237,First,non,InsideOvertaking,False,None,False
