turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.890318904835787,19.890318904835787,21.476753208922887,0,6,100,First,non,non,False,Late Start,False
2, 20.41311179298709,19.913678868185738,21.476753208922887,0.033564635,5.95,99.98462554664722,First,non,InsideOvertaking,False,Late Start,False
3, 21.142503223834897,19.933268308359715,21.476753208922887,0.14313808,5.8999996,99.97420358533451,First,non,InsideOvertaking,False,Late Start,False
4, 20.601208201303297,19.912026669467103,21.476753208922887,0.31674471,5.8499994,99.96780505552785,First,non,InsideOvertaking,False,Late Start,False
5, 22.111853729873484,19.94108305083109,21.476753208922887,0.5523829,5.799999,99.96443346488032,First,non,InsideOvertaking,False,Late Start,False
6, 20.682812825493908,19.946621166140197,21.476753208922887,0.84930813,5.749999,99.96312978316327,First,non,InsideOvertaking,False,Late Start,False
7, 21.85562666872138,19.84576472255014,21.476753208922887,1.2071588,5.699999,99.96293498014808,First,non,InsideOvertaking,False,Late Start,False
8, 20.862209223878313,19.849779554470622,21.476753208922887,1.625731,5.6499987,99.96286005591146,First,non,InsideOvertaking,False,Late Start,False
9, 21.94313000056199,19.91482674448019,21.476753208922887,2.1048985,5.5999985,99.96197594991943,First,non,InsideOvertaking,False,Late Start,False
10, 21.44689422239093,19.827001341030922,21.476753208922887,2.6445775,5.5499983,99.95929366224873,First,non,InsideOvertaking,False,Late Start,False
11, 20.653248302419588,19.85362711577807,21.476753208922887,3.2447095,5.499998,99.95384667024705,First,non,InsideOvertaking,False,Late Start,False
12, 20.688386617921,19.921511478981067,21.476753208922887,3.9052522,5.449998,99.94466845126207,First,non,InsideOvertaking,False,Late Start,False
13, 21.47562262584231,19.931533836687233,21.476753208922887,4.626174,5.3999977,99.93080746748888,First,non,InsideOvertaking,False,Late Start,False
14, 21.09265472899813,19.919152919101446,21.476753208922887,5.40745,5.3499975,99.9112822114278,First,non,InsideOvertaking,False,Late Start,False
15, 20.805839551436105,19.865728943836974,21.476753208922887,6.249062,5.2999973,99.88512616042658,First,non,InsideOvertaking,False,Late Start,False
16, 21.23154944024622,19.949756712770096,21.476753208922887,7.1509943,5.249997,99.85138777668021,First,non,InsideOvertaking,False,Late Start,False
17, 20.359563014385984,19.91069870923986,21.476753208922887,8.1132345,5.199997,99.80907806026546,First,non,InsideOvertaking,False,Late Start,False
18, 20.803229601710836,19.927941478962573,21.476753208922887,9.135772,5.1499968,99.7572679506483,First,non,InsideOvertaking,False,Late Start,False
19, 20.303511275813594,19.94543017914784,21.476753208922887,10.155306,5.0999966,99.7059298637218,First,non,InsideOvertaking,False,Late Start,False
20, 21.029387602340638,19.918219128918057,21.476753208922887,11.175061,5.0499964,99.65456929952431,First,non,InsideOvertaking,False,Late Start,False
21, 20.180185520031415,19.942662478387994,21.476753208922887,12.1918125,4.999996,99.60370323528848,First,non,InsideOvertaking,False,None,False
22, 21.536503656081624,19.88850149328383,21.476753208922887,13.208786,4.949996,99.55279221651067,First,non,InsideOvertaking,False,None,False
23, 21.54421514949749,19.87765377144752,21.476753208922887,14.225981,4.899996,99.50185872046187,First,non,InsideOvertaking,False,None,False
24, 20.610722572979405,19.884439529366716,21.476753208922887,15.243397,4.8499956,99.45087277744744,First,non,InsideOvertaking,False,None,False
25, 21.13261385816048,19.93137169290251,21.476753208922887,16.261034,4.7999954,99.39986435716203,First,non,InsideOvertaking,False,None,False
26, 21.22254021640218,19.94992042095691,21.476753208922887,17.278893,4.749995,99.34881098233465,First,non,InsideOvertaking,False,None,False
27, 21.715774736509875,19.8340844652142,21.476753208922887,18.296972,4.699995,99.29772014538898,First,non,InsideOvertaking,False,None,False
28, 21.096471994576824,19.870582196409266,21.476753208922887,19.315273,4.649995,99.24659933874865,First,non,InsideOvertaking,False,None,False
29, 21.104784937441696,19.8677841114339,21.476753208922887,20.333796,4.5999947,99.19544106999003,First,non,InsideOvertaking,False,None,False
30, 21.100556317998176,19.91117559868263,21.476753208922887,21.35254,4.5499945,99.14424533911308,First,non,InsideOvertaking,False,None,False
31, 20.601738452916027,19.90463031939332,21.476753208922887,22.371506,4.4999943,99.09301214611784,First,non,InsideOvertaking,False,None,False
32, 21.88139090304887,19.93944460795332,21.476753208922887,23.390694,4.449994,99.04174149100429,First,non,InsideOvertaking,False,None,False
