turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.097859783238366,20.286403637729197,21.958888595038303,0.0602245,5,99.99079475899006,First,SpeedUp,non,False,None,False
2, 21.157997396862264,20.344228266213715,21.958888595038303,0.1806735,5,99.98457823259373,First,SpeedUp,non,False,None,False
3, 21.193102067268754,20.377982756989187,21.958888595038303,0.361347,5,99.98073773431524,First,SpeedUp,non,False,None,False
4, 21.20888075869982,20.393154575672902,21.958888595038303,0.602245,5,99.97871288016451,First,SpeedUp,non,False,None,False
5, 21.094490078063963,20.283163536599965,21.958888595038303,0.90336746,5,99.9779432861515,First,SpeedUp,non,False,None,False
6, 21.080824714441228,20.270023763885796,21.958888595038303,1.2647145,5,99.97781626578042,First,SpeedUp,non,False,None,False
7, 21.1356661725249,20.322755935120096,21.958888595038303,1.686286,5,99.97777890684775,First,SpeedUp,non,False,None,False
8, 21.16992631654949,20.355698381297586,21.958888595038303,2.168082,5,99.97725588179037,First,SpeedUp,non,False,None,False
9, 21.167170162434946,20.353048233110524,21.958888595038303,2.7101026,5,99.97564197589901,First,SpeedUp,non,False,None,False
10, 21.145257006686595,20.3319778910448,21.958888595038303,3.3123474,5,99.97238427697017,First,SpeedUp,non,False,None,False
11, 21.18403575878814,20.369265152680903,21.958888595038303,3.9748168,5,99.96688504208112,First,SpeedUp,non,False,None,False
12, 21.095394535807426,20.28403320750714,21.958888595038303,4.6975107,5,99.95859883081485,First,SpeedUp,non,False,None,False
13, 21.160509820511407,20.346644058184044,21.958888595038303,5.480429,5,99.9469129566756,First,SpeedUp,non,False,None,False
14, 21.119982370206944,20.307675355968215,21.958888595038303,6.323572,5,99.93125956388677,First,SpeedUp,non,False,None,False
15, 21.093054283437464,20.281782964843714,21.958888595038303,7.2269397,5,99.91106332488525,First,SpeedUp,non,False,None,False
16, 21.1114046714488,20.299427568700768,21.958888595038303,8.190532,5,99.88574891210789,First,SpeedUp,non,False,None,False
17, 21.185219615948274,20.37040347687334,21.958888595038303,9.214348,5,99.85473352620505,First,SpeedUp,non,False,None,False
18, 21.167237596167386,20.35311307323787,21.958888595038303,10.2983885,5,99.81744183961362,First,SpeedUp,non,False,None,False
19, 21.08209257093778,20.271242856670945,21.958888595038303,11.37943,5,99.7804789116297,First,SpeedUp,non,False,None,False
20, 21.197284371159547,20.382004203038026,21.958888595038303,12.457471,5,99.7438297986802,First,SpeedUp,non,False,None,False
21, 21.08568897560342,20.274700938080212,21.958888595038303,13.532512,5,99.70750944433819,First,SpeedUp,non,False,None,False
22, 21.189093504552414,20.374128369761937,21.958888595038303,14.604553,5,99.67151784860368,First,SpeedUp,non,False,None,False
23, 21.123664308538306,20.311215681286832,21.958888595038303,15.673594,5,99.6358400679036,First,SpeedUp,non,False,None,False
24, 21.100159505632522,20.28861490926204,21.958888595038303,16.739635,5,99.60049104581103,First,SpeedUp,non,False,None,False
25, 21.077738031579486,20.26705579959566,21.958888595038303,17.802677,5,99.56545583875288,First,SpeedUp,non,False,None,False
26, 21.081656364992828,20.27082342787772,21.958888595038303,18.862719,5,99.53073444672916,First,SpeedUp,non,False,None,False
27, 21.20439389325535,20.388840281976297,21.958888595038303,19.922985,5,99.49599063934583,First,SpeedUp,non,False,None,False
28, 21.183502166075858,20.368752082765248,21.958888595038303,20.980251,5,99.46156064699694,First,SpeedUp,non,False,None,False
29, 21.093413695666356,20.282128553525343,21.958888595038303,22.034517,5,99.42743699789595,First,SpeedUp,non,False,None,False
30, 21.20854264555226,20.392829466877174,21.958888595038303,23.089006,5,99.39329840522188,First,SpeedUp,non,False,None,False
31, 21.08807300276548,20.276993271889882,21.958888595038303,24.140497,5,99.3594810993688,First,SpeedUp,non,False,None,False
32, 21.096167010900494,20.284775972019705,21.958888595038303,25.192211,5,99.32561896279648,First,SpeedUp,non,False,None,False
33, 21.20832990927063,20.392624912760223,21.958888595038303,26.24415,5,99.29175682622419,First,SpeedUp,non,False,None,False
34, 21.2069251365428,20.39127416975269,21.958888595038303,27.296314,5,99.25784985893267,First,SpeedUp,non,False,None,False
