turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 18.90279802611697,18.90279802611697,20.500045178643852,0.06021215,10,99.98469204541117,First,non,non,False,None,False
2, 18.902014182371513,18.902014182371513,20.500045178643852,0.18063645,10,99.97433512922807,First,non,non,False,None,False
3, 18.90554068890923,18.90554068890923,20.500045178643852,0.3612729,10,99.96795246525922,First,non,non,False,None,False
4, 18.92967443298229,18.92967443298229,20.500045178643852,0.6021215,10,99.9645970928457,First,non,non,False,None,False
5, 18.90916864762269,18.90916864762269,20.500045178643852,0.90318227,10,99.96329968217913,First,non,non,False,None,False
6, 18.926907421734352,18.926907421734352,20.500045178643852,1.2644552,10,99.96310581621745,First,non,non,False,None,False
7, 19.010438876054252,19.010438876054252,20.500045178643852,1.6859403,10,99.96304616515232,First,non,non,False,None,False
8, 18.94352703519479,18.94352703519479,20.500045178643852,2.1676373,10,99.96215885555853,First,non,non,False,None,False
9, 18.9658297903913,18.9658297903913,20.500045178643852,2.7095468,10,99.95948947039399,First,non,non,False,None,False
10, 19.00939428059362,19.00939428059362,20.500045178643852,3.3116684,10,99.9540761362335,First,non,non,False,None,False
11, 18.937810866521005,18.937810866521005,20.500045178643852,3.9740021,10,99.94494952326869,First,non,non,False,None,False
12, 18.93093552529976,18.93093552529976,20.500045178643852,4.696548,10,99.9311552144575,First,non,non,False,None,False
13, 18.944065442913733,18.944065442913733,20.500045178643852,5.479306,10,99.91173879275789,First,non,non,False,None,False
14, 18.90185283141882,18.90185283141882,20.500045178643852,6.322276,10,99.88573092836145,First,non,non,False,None,False
15, 19.007162495177454,19.007162495177454,20.500045178643852,7.225458,10,99.85216974784302,First,non,non,False,None,False
16, 18.901391735516352,18.901391735516352,20.500045178643852,8.188852,10,99.81008592139422,First,non,non,False,None,False
17, 18.96252047331764,18.96252047331764,20.500045178643852,9.149247,10,99.76845693431702,First,non,non,False,None,False
18, 18.983932382597843,18.983932382597843,20.500045178643852,10.106642,10,99.7272753302283,First,non,non,False,None,False
19, 19.009520654421564,19.009520654421564,20.500045178643852,11.061036,10,99.6865336527449,First,non,non,False,None,False
20, 18.891084403231574,18.891084403231574,20.500045178643852,12.01243,10,99.64623190186684,First,non,non,False,None,False
21, 18.94407660893201,18.94407660893201,20.500045178643852,12.960825,10,99.60636262121096,First,non,non,False,None,False
22, 18.968383458329058,18.968383458329058,20.500045178643852,13.909431,10,99.56647097140566,First,non,non,False,None,False
23, 18.952727648643286,18.952727648643286,20.500045178643852,14.855038,10,99.52701179182256,First,non,non,False,None,False
24, 19.010107112873058,19.010107112873058,20.500045178643852,15.800857,10,99.48751533032375,First,non,non,False,None,False
25, 18.936039228496227,18.936039228496227,20.500045178643852,16.746887,10,99.4479964996755,First,non,non,False,None,False
26, 18.956295536820924,18.956295536820924,20.500045178643852,17.69313,10,99.40844038711155,First,non,non,False,None,False
27, 18.96680499786246,18.96680499786246,20.500045178643852,18.639585,10,99.36886190539818,First,non,non,False,None,False
28, 18.88449290522543,18.88449290522543,20.500045178643852,19.58304,10,99.32970843752386,First,non,non,False,None,False
29, 18.99068530454668,18.99068530454668,20.500045178643852,20.526707,10,99.29052514411697,First,non,non,False,None,False
30, 18.901693037314637,18.901693037314637,20.500045178643852,21.470587,10,99.25131948156066,First,non,non,False,None,False
31, 19.001275731045176,19.001275731045176,20.500045178643852,22.414679,10,99.2120690807055,First,non,non,False,None,False
32, 18.951620786222428,18.951620786222428,20.500045178643852,23.358982,10,99.1728112234672,First,non,non,False,None,False
33, 18.992173878404447,18.992173878404447,20.500045178643852,24.303497,10,99.13350117154692,First,non,non,False,None,False
34, 18.885958794393524,18.885958794393524,20.500045178643852,25.245014,10,99.09463104623197,First,non,non,False,None,False
35, 18.98668269929353,18.98668269929353,20.500045178643852,26.186743,10,99.05573109538444,First,non,non,False,None,False
36, 18.907456822599535,18.907456822599535,20.500045178643852,27.128683,10,99.01679386262121,First,non,non,False,None,False
37, 19.00529362712333,19.00529362712333,20.500045178643852,28.070835,10,98.97783426070856,First,non,non,False,None,False
38, 18.935252360017124,18.935252360017124,20.500045178643852,29.013199,10,98.9388373768802,First,non,non,False,None,False
39, 18.915790046088052,18.915790046088052,20.500045178643852,29.955776,10,98.89981066751928,First,non,non,False,None,False
40, 18.888209000391974,18.888209000391974,20.500045178643852,30.898565,10,98.86076158900893,First,non,non,False,None,False
41, 18.9357532330903,18.9357532330903,20.500045178643852,31.841566,10,98.82166777219975,First,non,non,False,None,False
42, 18.930685037114877,18.930685037114877,20.500045178643852,32.78478,10,98.78255904262427,First,non,non,False,None,False
43, 18.925543439865585,18.925543439865585,20.500045178643852,33.728203,10,98.74341303113309,First,non,non,False,None,False
44, 18.981327130262247,18.981327130262247,20.500045178643852,34.67184,10,98.7042297377262,First,non,non,False,None,False
45, 18.899634056263494,18.899634056263494,20.500045178643852,35.615692,10,98.66503153155303,First,non,non,False,None,False
46, 18.91863122152452,18.91863122152452,20.500045178643852,36.559753,10,98.62578858708102,First,non,non,False,None,False
47, 18.903413118305338,18.903413118305338,20.500045178643852,37.50403,10,98.58652327345958,First,non,non,False,None,False
48, 18.965137333294134,18.965137333294134,20.500045178643852,38.448513,10,98.54722813430557,First,non,non,False,None,False
49, 18.888015144627243,18.888015144627243,20.500045178643852,39.39,10,98.50836546537376,First,non,non,False,None,False
50, 18.957110617460433,18.957110617460433,20.500045178643852,40.3317,10,98.46945805814309,First,non,non,False,None,False
51, 18.941776883526714,18.941776883526714,20.500045178643852,41.27361,10,98.43053573814615,First,non,non,False,None,False
52, 18.92703510365409,18.92703510365409,20.500045178643852,42.215733,10,98.3915761362335,First,non,non,False,None,False
53, 18.978470658260434,18.978470658260434,20.500045178643852,43.158066,10,98.35258670878827,First,non,non,False,None,False
54, 18.903560384146473,18.903560384146473,20.500045178643852,44.100613,10,98.31356745581049,First,non,non,False,None,False
55, 18.906249438914337,18.906249438914337,20.500045178643852,45.043373,10,98.27452583368328,First,non,non,False,None,False
56, 18.903321592287238,18.903321592287238,20.500045178643852,45.986343,10,98.23543947325723,First,non,non,False,None,False
57, 18.90469278999896,18.90469278999896,20.500045178643852,46.929527,10,98.19632328729863,First,non,non,False,None,False
58, 18.964975998446953,18.964975998446953,20.500045178643852,47.87292,10,98.15719218857372,First,non,non,False,None,False
59, 18.951026505594843,18.951026505594843,20.500045178643852,48.81653,10,98.11800889516684,First,non,non,False,None,False
60, 18.99416260590268,18.99416260590268,20.500045178643852,49.76035,10,98.07880323261053,First,non,non,False,None,False
61, 18.9995391496622,18.9995391496622,20.500045178643852,50.70438,10,98.03957520090479,First,non,non,False,None,False
62, 19.011591815804834,19.011591815804834,20.500045178643852,51.648624,10,98.0003173436665,First,non,non,False,None,False
63, 18.99893546356638,18.99893546356638,20.500045178643852,52.593082,10,97.96101474812934,First,non,non,False,None,False
64, 18.917966769387455,18.917966769387455,20.500045178643852,53.53775,10,97.92169723982592,First,non,non,False,None,False
65, 18.913445349091994,18.913445349091994,20.500045178643852,54.48263,10,97.88234244960678,First,non,non,False,None,False
66, 18.947978335975556,18.947978335975556,20.500045178643852,55.427723,10,97.84295037747194,First,non,non,False,None,False
67, 18.987609697317858,18.987609697317858,20.500045178643852,56.373028,10,97.80353593618767,First,non,non,False,None,False
68, 18.97126477887616,18.97126477887616,20.500045178643852,57.318546,10,97.76408421298771,First,non,non,False,None,False
69, 19.00477392791718,19.00477392791718,20.500045178643852,58.264275,10,97.72461012063832,First,non,non,False,None,False
70, 18.900766928587878,18.900766928587878,20.500045178643852,59.207005,10,97.68556104212797,First,non,non,False,None,False
71, 18.956034923636476,18.956034923636476,20.500045178643852,60.149944,10,97.64648959446819,First,non,non,False,None,False
72, 18.90681812774653,18.90681812774653,20.500045178643852,61.093098,10,97.60738086489272,First,non,non,False,None,False
73, 18.97935961851947,18.97935961851947,20.500045178643852,62.036465,10,97.56824230978468,First,non,non,False,None,False
74, 18.89405144117202,18.89405144117202,20.500045178643852,62.98004,10,97.52908138552722,First,non,non,False,None,False
75, 18.99235336621753,18.99235336621753,20.500045178643852,63.923832,10,97.48988317935405,First,non,non,False,None,False
76, 18.925977465056317,18.925977465056317,20.500045178643852,64.867836,10,97.45064769126517,First,non,non,False,None,False
77, 18.996405897444376,18.996405897444376,20.500045178643852,65.81205,10,97.41138983402688,First,non,non,False,None,False
78, 18.9654578317224,18.9654578317224,20.500045178643852,66.75648,10,97.37209469487287,First,non,non,False,None,False
79, 18.93949370590153,18.93949370590153,20.500045178643852,67.70112,10,97.33277718656944,First,non,non,False,None,False
80, 18.89904397042824,18.89904397042824,20.500045178643852,68.645966,10,97.29342985273345,First,non,non,False,None,False
81, 18.93175578549768,18.93175578549768,20.500045178643852,69.59103,10,97.25404523698175,First,non,non,False,None,False
82, 18.928655074865027,18.928655074865027,20.500045178643852,70.5363,10,97.21463079569749,First,non,non,False,None,False
83, 18.901242565879315,18.901242565879315,20.500045178643852,71.47858,10,97.17564882463542,First,non,non,False,None,False
84, 18.947117534665455,18.947117534665455,20.500045178643852,72.42107,10,97.13663702804077,First,non,non,False,None,False
85, 18.891818469912153,18.891818469912153,20.500045178643852,73.36376,10,97.09759540591357,First,non,non,False,None,False
86, 18.897645962838787,18.897645962838787,20.500045178643852,74.30667,10,97.05853141463695,First,non,non,False,None,False
87, 18.97416885295884,18.97416885295884,20.500045178643852,75.249794,10,97.01942268506147,First,non,non,False,None,False
88, 18.939145433826713,18.939145433826713,20.500045178643852,76.19313,10,96.98029158633656,First,non,non,False,None,False
89, 18.95699707761748,18.95699707761748,20.500045178643852,77.13668,10,96.9411306620791,First,non,non,False,None,False
90, 18.88787496936922,18.88787496936922,20.500045178643852,78.080444,10,96.90193245590594,First,non,non,False,None,False
91, 19.0010848840568,19.0010848840568,20.500045178643852,79.024414,10,96.86271188058335,First,non,non,False,None,False
92, 18.914076461127426,18.914076461127426,20.500045178643852,79.9686,10,96.82345402334504,First,non,non,False,None,False
93, 19.00551586141184,19.00551586141184,20.500045178643852,80.912994,10,96.78416634057417,First,non,non,False,None,False
94, 18.910957276495985,18.910957276495985,20.500045178643852,81.857605,10,96.74485628865389,First,non,non,False,None,False
95, 19.00848475893024,19.00848475893024,20.500045178643852,82.80243,10,96.70550149843476,First,non,non,False,None,False
96, 18.95917495244626,18.95917495244626,20.500045178643852,83.74746,10,96.66613179544935,First,non,non,False,None,False
97, 18.900405870018858,18.900405870018858,20.500045178643852,84.68949,10,96.62717964991982,First,non,non,False,None,False
98, 18.9169965392796,18.9169965392796,20.500045178643852,85.63174,10,96.5882051352409,First,non,non,False,None,False
99, 18.997179058534922,18.997179058534922,20.500045178643852,86.574196,10,96.54920079502939,First,non,non,False,None,False
100, 18.954575975995734,18.954575975995734,20.500045178643852,87.51687,10,96.51016662928534,First,non,non,False,None,False
101, 18.893316078669223,18.893316078669223,20.500045178643852,88.45975,10,96.47109518162556,First,non,non,False,None,False
