turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.447681532469904,20.447681532469904,22.134634734434975,0.060253337,5,99.97443939169538,First,non,non,False,None,False
2, 20.413940568589588,20.413940568589588,22.134634734434975,0.18076001,5,99.95652592834446,First,non,non,False,None,False
3, 20.410256321951078,20.410256321951078,22.134634734434975,0.36152002,5,99.94490268876561,First,non,non,False,None,False
4, 20.431959207164976,20.431959207164976,22.134634734434975,0.60253334,5,99.93823378931495,First,non,non,False,None,False
5, 20.43711778196625,20.43711778196625,22.134634734434975,0.9038,5,99.93512023373546,First,non,non,False,None,False
6, 20.50780770741742,20.50780770741742,22.134634734434975,1.2653201,5,99.93425769468979,First,non,non,False,None,False
7, 20.50173273389084,20.50173273389084,22.134634734434975,1.6870935,5,99.93423665715208,First,non,non,False,None,False
8, 20.53313867270751,20.53313867270751,22.134634734434975,2.1691203,5,99.9337317562473,First,non,non,False,None,False
9, 20.428722162325474,20.428722162325474,22.134634734434975,2.7114003,5,99.93137555202499,First,non,non,False,None,False
10, 20.51854388772065,20.51854388772065,22.134634734434975,3.3139336,5,99.92580060453469,First,non,non,False,None,False
11, 20.540147490889776,20.540147490889776,22.134634734434975,3.9767203,5,99.91567103013249,First,non,non,False,None,False
12, 20.54041279942358,20.54041279942358,22.134634734434975,4.6997604,5,99.89961938886795,First,non,non,False,None,False
13, 20.489961559964136,20.489961559964136,22.134634734434975,5.4830537,5,99.8762782407906,First,non,non,False,None,False
14, 20.495563050992214,20.495563050992214,22.134634734434975,6.3266006,5,99.84429066471887,First,non,non,False,None,False
15, 20.446911855323677,20.446911855323677,22.134634734434975,7.2304006,5,99.80232077700883,First,non,non,False,None,False
16, 20.526019258059453,20.526019258059453,22.134634734434975,8.194454,5,99.74898010017233,First,non,non,False,None,False
17, 20.540515203222,20.540515203222,22.134634734434975,9.218761,5,99.68293275056548,First,non,non,False,None,False
18, 20.43395179835149,20.43395179835149,22.134634734434975,10.240068,5,99.61754808339616,First,non,non,False,None,False
19, 20.508963001861485,20.508963001861485,22.134634734434975,11.261628,5,99.55211082238259,First,non,non,False,None,False
20, 20.409871232791414,20.409871232791414,22.134634734434975,12.280189,5,99.48732572503769,First,non,non,False,None,False
21, 20.479522361837944,20.479522361837944,22.134634734434975,13.299002,5,99.4224985526174,First,non,non,False,None,False
22, 20.50006949926728,20.50006949926728,22.134634734434975,14.3180685,5,99.35760826758401,First,non,non,False,None,False
