turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.81194589185271,20.97302489601222,22.560570385178323,0.060257196,4,99.98472287419527,First,SpeedUp,non,False,None,False
2, 21.709874859242266,20.87487967234833,22.560570385178323,0.18077159,4,99.9740142167382,First,SpeedUp,non,False,None,False
3, 21.74486666077323,20.908525635358874,22.560570385178323,0.36154318,4,99.96707768910944,First,SpeedUp,non,False,None,False
4, 21.82840736739672,20.98885323788146,22.560570385178323,0.60257196,4,99.96307504023605,First,SpeedUp,non,False,None,False
5, 21.73144301620222,20.895618284809828,22.560570385178323,0.90385795,4,99.96123088787553,First,SpeedUp,non,False,None,False
6, 21.74522912608348,20.908874159695653,22.560570385178323,1.2654011,4,99.96070698095494,First,SpeedUp,non,False,None,False
7, 21.781589213709243,20.943835782412734,22.560570385178323,1.6872015,4,99.96069650281652,First,SpeedUp,non,False,None,False
8, 21.779626026076095,20.941948101996243,22.560570385178323,2.169259,4,99.96039263680257,First,SpeedUp,non,False,None,False
9, 21.7653290828631,20.928201041214518,22.560570385178323,2.7115738,4,99.95898856625536,First,SpeedUp,non,False,None,False
10, 21.810520134533533,20.97165397551301,22.560570385178323,3.3141458,4,99.95565651824035,First,SpeedUp,non,False,None,False
11, 21.819646609118045,20.980429431844275,22.560570385178323,3.976975,4,99.9496001542382,First,SpeedUp,non,False,None,False
12, 21.71532768173648,20.88012277090046,22.560570385178323,4.7000613,4,99.94000217945279,First,SpeedUp,non,False,None,False
13, 21.718610943323142,20.88327975319533,22.560570385178323,5.483405,4,99.92604529908797,First,SpeedUp,non,False,None,False
14, 21.828625442529994,20.989062925509607,22.560570385178323,6.327006,4,99.90692269648605,First,SpeedUp,non,False,None,False
15, 21.775060344257785,20.937558023324794,22.560570385178323,7.2308636,4,99.88182755498927,First,SpeedUp,non,False,None,False
16, 21.70540430991475,20.87058106722572,22.560570385178323,8.194979,4,99.84994257980149,First,SpeedUp,non,False,None,False
17, 21.784393551974045,20.946532261513504,22.560570385178323,9.219351,4,99.81046095426503,First,SpeedUp,non,False,None,False
18, 21.82653586770409,20.987053718946242,22.560570385178323,10.30398,4,99.76256538358369,First,SpeedUp,non,False,None,False
19, 21.791512166921866,20.953377083578715,22.560570385178323,11.448867,4,99.70543857296137,First,SpeedUp,non,False,None,False
20, 21.771977484595862,20.93459373518833,22.560570385178323,12.590754,4,99.648793756706,First,SpeedUp,non,False,None,False
21, 21.791034734786383,20.952918014217676,22.560570385178323,13.72964,4,99.59263093481759,First,SpeedUp,non,False,None,False
22, 21.804092651577168,20.965473703439585,22.560570385178323,14.865527,4,99.53695010729614,First,SpeedUp,non,False,None,False
23, 21.806593235988522,20.967878111527426,22.560570385178323,15.998414,4,99.4817303178648,First,SpeedUp,non,False,None,False
24, 21.71050322651865,20.87548387165255,22.560570385178323,17.128302,4,99.42698204466201,First,SpeedUp,non,False,None,False
25, 21.71366169758912,20.878520863066463,22.560570385178323,18.255188,4,99.37269480954936,First,SpeedUp,non,False,None,False
26, 21.824501166989492,20.985097275951436,22.560570385178323,19.379074,4,99.31888956880364,First,SpeedUp,non,False,None,False
27, 21.784590117270227,20.946721266605987,22.560570385178323,20.49996,4,99.26553488800965,First,SpeedUp,non,False,None,False
28, 21.757047000953417,20.920237500916745,22.560570385178323,21.617847,4,99.2126517234442,First,SpeedUp,non,False,None,False
29, 21.769428004238286,20.93214231176758,22.560570385178323,22.732735,4,99.16021911883047,First,SpeedUp,non,False,None,False
30, 21.7168605013214,20.88159663588596,22.560570385178323,23.844622,4,99.10825803044527,First,SpeedUp,non,False,None,False
31, 21.725706636316236,20.890102534919457,22.560570385178323,24.953508,4,99.0567475020118,First,SpeedUp,non,False,None,False
32, 21.730475931604854,20.894688395773898,22.560570385178323,26.059395,4,99.00568753353004,First,SpeedUp,non,False,None,False
33, 21.767899167291194,20.93067227624153,22.560570385178323,27.162281,4,98.955078125,First,SpeedUp,non,False,None,False
34, 21.7058580424055,20.871017348466825,22.560570385178323,28.262167,4,98.90492975456009,First,SpeedUp,non,False,None,False
35, 21.73130347119268,20.895484106916037,22.560570385178323,29.359055,4,98.85522146593347,First,SpeedUp,non,False,None,False
36, 21.765478289650485,20.928344509279313,22.560570385178323,30.452942,4,98.80595325912017,First,SpeedUp,non,False,None,False
37, 21.74909331952514,20.912589730312636,22.560570385178323,31.543829,4,98.75714609039699,First,SpeedUp,non,False,None,False
38, 21.722728870872462,20.88723929891583,22.560570385178323,32.631714,4,98.7087580472103,First,SpeedUp,non,False,None,False
39, 21.74069538445065,20.904514792741008,22.560570385178323,33.716602,4,98.66083104211373,First,SpeedUp,non,False,None,False
40, 21.788026485531717,20.95002546685742,22.560570385178323,34.801746,4,98.61286212446352,First,SpeedUp,non,False,None,False
41, 21.76990079251197,20.932596915876893,22.560570385178323,35.887146,4,98.56485129425965,First,SpeedUp,non,False,None,False
42, 21.74875326715281,20.912262756877702,22.560570385178323,36.972805,4,98.51679855150215,First,SpeedUp,non,False,None,False
43, 21.768890955264368,20.93162591852343,22.560570385178323,38.05872,4,98.4687143743294,First,SpeedUp,non,False,None,False
44, 21.789965937319522,20.951890324345694,22.560570385178323,39.144894,4,98.42059876274142,First,SpeedUp,non,False,None,False
45, 21.78477862752871,20.946902526469913,22.560570385178323,40.231323,4,98.37244123859978,First,SpeedUp,non,False,None,False
46, 21.778032236791898,20.9404156122999,22.560570385178323,41.31801,4,98.3242418019045,First,SpeedUp,non,False,None,False
47, 21.80209368924571,20.963551624274718,22.560570385178323,42.404953,4,98.27600045265558,First,SpeedUp,non,False,None,False
48, 21.7420672926388,20.905833935229616,22.560570385178323,43.492153,4,98.22772766899142,First,SpeedUp,non,False,None,False
49, 21.828297519563897,20.988747614965284,22.560570385178323,44.579613,4,98.17942345091201,First,SpeedUp,non,False,None,False
50, 21.773448059399605,20.936007749422696,22.560570385178323,45.667328,4,98.13106684214056,First,SpeedUp,non,False,None,False
51, 21.77105030459909,20.93370221596066,22.560570385178323,46.755302,4,98.08267879895386,First,SpeedUp,non,False,None,False
52, 21.770347056125427,20.933026015505217,22.560570385178323,47.843533,4,98.03425932135193,First,SpeedUp,non,False,None,False
53, 21.69743722614346,20.862920409753325,22.560570385178323,48.928764,4,97.98626944742489,First,SpeedUp,non,False,None,False
54, 21.818896379390825,20.979708057106564,22.560570385178323,50.01425,4,97.93824813908262,First,SpeedUp,non,False,None,False
55, 21.828653751739203,20.98909014590308,22.560570385178323,51.099995,4,97.8901953963251,First,SpeedUp,non,False,None,False
56, 21.832596744649862,20.99288148524025,22.560570385178323,52.185997,4,97.84209026287553,First,SpeedUp,non,False,None,False
57, 21.820943303187708,20.981676253065103,22.560570385178323,53.272255,4,97.79395369501073,First,SpeedUp,non,False,None,False
58, 21.7106395360332,20.87561493849346,22.560570385178323,54.355515,4,97.74626768709764,First,SpeedUp,non,False,None,False
59, 21.788735044949217,20.95070677398963,22.560570385178323,55.43903,4,97.69851881035407,First,SpeedUp,non,False,None,False
60, 21.696985910197828,20.862486452113295,22.560570385178323,56.522804,4,97.6507594554721,First,SpeedUp,non,False,None,False
61, 21.801683220250492,20.96315694254855,22.560570385178323,57.606834,4,97.60293723175965,First,SpeedUp,non,False,None,False
62, 21.813253728503362,20.974282431253233,22.560570385178323,58.691124,4,97.55510452990879,First,SpeedUp,non,False,None,False
63, 21.774387288269075,20.93691085410488,22.560570385178323,59.77567,4,97.50721943736588,First,SpeedUp,non,False,None,False
64, 21.745257952326078,20.908901877236612,22.560570385178323,60.86047,4,97.45929243226931,First,SpeedUp,non,False,None,False
65, 21.73970638575995,20.903563832461487,22.560570385178323,61.94553,4,97.4113339927575,First,SpeedUp,non,False,None,False
66, 21.82792631686726,20.98839068929544,22.560570385178323,63.030846,4,97.36333364069206,First,SpeedUp,non,False,None,False
67, 21.760611926296814,20.923665313746937,22.560570385178323,64.11642,4,97.31530185421137,First,SpeedUp,non,False,None,False
