turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 23.062338172054233,22.17532516543676,25.171336222283827,0.060759686,2,99.98506917060989,First,SpeedUp,non,False,None,False
2, 23.087396247739772,22.199419468980548,25.171336222283827,0.18227905,2,99.97463607386962,First,SpeedUp,non,False,None,False
3, 23.149690641738456,22.259317924748515,25.171336222283827,0.3645581,2,99.96792028128287,First,SpeedUp,non,False,None,False
4, 23.12946778750019,22.239872872596337,25.171336222283827,0.6075969,2,99.96409002037329,First,SpeedUp,non,False,None,False
5, 23.033575018426326,22.147668286948388,25.171336222283827,0.9113953,2,99.96234432505258,First,SpeedUp,non,False,None,False
6, 23.08551001974966,22.197605788220827,25.171336222283827,1.2759534,2,99.96187196043638,First,SpeedUp,non,False,None,False
7, 23.156065535016364,22.265447629823427,25.171336222283827,1.7012713,2,99.96187196043638,First,SpeedUp,non,False,None,False
8, 23.112043907854837,22.223119142168112,25.171336222283827,2.1873488,2,99.96153309016825,First,SpeedUp,non,False,None,False
9, 23.134871294891784,22.245068552780562,25.171336222283827,2.7341862,2,99.96003384595164,First,SpeedUp,non,False,None,False
10, 23.019316012716295,22.1339577045349,25.171336222283827,3.341783,2,99.95658353049423,First,SpeedUp,non,False,None,False
11, 23.075157593881165,22.187651532578045,25.171336222283827,4.0101395,2,99.95036064011568,First,SpeedUp,non,False,None,False
12, 23.07092051193559,22.18357741532268,25.171336222283827,4.739256,2,99.94056420872766,First,SpeedUp,non,False,None,False
13, 23.139912554134998,22.249915917437498,25.171336222283827,5.529132,2,99.92637273264985,First,SpeedUp,non,False,None,False
14, 23.072421095116027,22.18502028376541,25.171336222283827,6.3797674,2,99.90699551458991,First,SpeedUp,non,False,None,False
15, 23.02614690765148,22.140525872741808,25.171336222283827,7.2911625,2,99.88161105086752,First,SpeedUp,non,False,None,False
16, 23.10850490542363,22.219716255215026,25.171336222283827,8.263317,2,99.84941837539432,First,SpeedUp,non,False,None,False
17, 23.044230783832596,22.15791421522365,25.171336222283827,9.296232,2,99.80959598449002,First,SpeedUp,non,False,None,False
18, 23.11073169923854,22.22185740311398,25.171336222283827,10.389907,2,99.76135318086226,First,SpeedUp,non,False,None,False
19, 23.024832437485713,22.139261959120876,25.171336222283827,11.544341,2,99.7038684608307,First,SpeedUp,non,False,None,False
20, 23.08807613764264,22.20007320927177,25.171336222283827,12.695775,2,99.64685610541535,First,SpeedUp,non,False,None,False
21, 23.026683960837257,22.141042270035822,25.171336222283827,13.844209,2,99.5903263834122,First,SpeedUp,non,False,None,False
22, 23.13993691242059,22.249939338865953,25.171336222283827,14.9934025,2,99.533663167061,First,SpeedUp,non,False,None,False
23, 23.0767396837229,22.18917277281048,25.171336222283827,16.143356,2,99.47688699395374,First,SpeedUp,non,False,None,False
24, 23.041273304043703,22.155070484657404,25.171336222283827,17.29407,2,99.41999786409043,First,SpeedUp,non,False,None,False
25, 23.10005518012212,22.21159151934819,25.171336222283827,18.445541,2,99.36297523987908,First,SpeedUp,non,False,None,False
26, 23.06137371777675,22.174397805554566,25.171336222283827,19.597775,2,99.30584992770768,First,SpeedUp,non,False,None,False
27, 23.096436463189683,22.208111983836233,25.171336222283827,20.750767,2,99.24859112118823,First,SpeedUp,non,False,None,False
28, 23.143094783530554,22.25297575339476,25.171336222283827,21.904518,2,99.19121935791273,First,SpeedUp,non,False,None,False
29, 23.05841683567823,22.171554649690606,25.171336222283827,23.05527,2,99.13431995925342,First,SpeedUp,non,False,None,False
30, 23.120780615150803,22.23151982226039,25.171336222283827,24.206781,2,99.07729733504206,First,SpeedUp,non,False,None,False
31, 23.031875071205494,22.146033722312975,25.171336222283827,25.359053,2,99.02015148527866,First,SpeedUp,non,False,None,False
32, 23.04746162408939,22.161020792393643,25.171336222283827,26.512083,2,98.9628926787592,First,SpeedUp,non,False,None,False
33, 23.115865066781716,22.226793333443958,25.171336222283827,27.665874,2,98.9055106466877,First,SpeedUp,non,False,None,False
34, 23.124081702696916,22.23469394490088,25.171336222283827,28.820425,2,98.84800538906416,First,SpeedUp,non,False,None,False
35, 23.023710615142345,22.138183283790717,25.171336222283827,29.971975,2,98.7909827648528,First,SpeedUp,non,False,None,False
36, 23.057316013829585,22.17049616714383,25.171336222283827,31.124285,2,98.73383691508938,First,SpeedUp,non,False,None,False
37, 23.138587381047927,22.248641712546082,25.171336222283827,32.277355,2,98.67656783977392,First,SpeedUp,non,False,None,False
38, 23.12967951950402,22.240076461061555,25.171336222283827,33.431183,2,98.61918580770242,First,SpeedUp,non,False,None,False
39, 23.022613201744647,22.13712807860062,25.171336222283827,34.582012,2,98.5622658714511,First,SpeedUp,non,False,None,False
40, 23.115990058327235,22.22691351762234,25.171336222283827,35.7336,2,98.50523297844374,First,SpeedUp,non,False,None,False
41, 23.09625338614509,22.20793594821643,25.171336222283827,36.88595,2,98.44807685988434,First,SpeedUp,non,False,None,False
42, 23.052828020767492,22.16618078919951,25.171336222283827,38.039055,2,98.39080778456888,First,SpeedUp,non,False,None,False
43, 23.082218160445105,22.194440538889523,25.171336222283827,39.192924,2,98.33341548370137,First,SpeedUp,non,False,None,False
44, 23.12557788351348,22.236132580301422,25.171336222283827,40.347553,2,98.27589995728181,First,SpeedUp,non,False,None,False
45, 23.06227782315893,22.175267137652817,25.171336222283827,41.49918,2,98.21885679547844,First,SpeedUp,non,False,None,False
46, 23.061319182385063,22.174345367677944,25.171336222283827,42.651566,2,98.16170067691904,First,SpeedUp,non,False,None,False
47, 23.144911170923898,22.254722279734516,25.171336222283827,43.804714,2,98.10442133280758,First,SpeedUp,non,False,None,False
48, 23.092944670997024,22.20475449134329,25.171336222283827,44.958622,2,98.04701876314407,First,SpeedUp,non,False,None,False
49, 23.08086817215165,22.19314247322274,25.171336222283827,46.11329,2,97.9894929679285,First,SpeedUp,non,False,None,False
50, 23.045502106226998,22.15913664060288,25.171336222283827,47.264954,2,97.93244980612513,First,SpeedUp,non,False,None,False
51, 23.14544742193417,22.25523790570593,25.171336222283827,48.41738,2,97.87528341876973,First,SpeedUp,non,False,None,False
52, 23.027661597489505,22.14198230527837,25.171336222283827,49.566807,2,97.8185893960305,First,SpeedUp,non,False,None,False
53, 23.080942914391024,22.193214340760598,25.171336222283827,50.71699,2,97.76178241653523,First,SpeedUp,non,False,None,False
