turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.050838509051463,20.050838509051463,21.717639640825613,0.060253337,7,99.9819753611889,First,non,non,False,None,False
2, 20.01841768311232,20.01841768311232,21.717639640825613,0.18076001,7,99.96963573489477,First,non,non,False,None,False
3, 20.07335239437201,20.07335239437201,21.717639640825613,0.36152002,7,99.96188721200356,First,non,non,False,None,False
4, 20.10631403027894,20.10631403027894,21.717639640825613,0.60253334,7,99.95767731935251,First,non,non,False,None,False
5, 20.092125885284982,20.092125885284982,21.717639640825613,0.9038,7,99.95593700939834,First,non,non,False,None,False
6, 20.022508402040287,20.022508402040287,21.717639640825613,1.2653201,7,99.95559723459776,First,non,non,False,None,False
7, 20.08007707330387,20.08007707330387,21.717639640825613,1.6870935,7,99.95557237302698,First,non,non,False,None,False
8, 20.11854944751765,20.11854944751765,21.717639640825613,2.1691203,7,99.95480995152325,First,non,non,False,None,False
9, 20.020404424278514,20.020404424278514,21.717639640825613,2.7114003,7,99.95223263535301,First,non,non,False,None,False
10, 20.042424159636447,20.042424159636447,21.717639640825613,3.3139336,7,99.94677137697302,First,non,non,False,None,False
11, 20.064544837419778,20.064544837419778,21.717639640825613,3.9767203,7,99.93735712883995,First,non,non,False,None,False
12, 20.078495222866646,20.078495222866646,21.717639640825613,4.6997604,7,99.92292084341055,First,non,non,False,None,False
13, 20.06081280805983,20.06081280805983,21.717639640825613,5.4830537,7,99.90239347314154,First,non,non,False,None,False
14, 20.04441885889774,20.04441885889774,21.717639640825613,6.3266006,7,99.87469768329939,First,non,non,False,None,False
15, 20.03985369546892,20.03985369546892,21.717639640825613,7.2304006,7,99.83877271353106,First,non,non,False,None,False
16, 20.132505408202697,20.132505408202697,21.717639640825613,8.194454,7,99.79354951629328,First,non,non,False,None,False
17, 20.104491432037662,20.104491432037662,21.717639640825613,9.218761,7,99.73795075685251,First,non,non,False,None,False
18, 20.04573601358403,20.04573601358403,21.717639640825613,10.240068,7,99.68289895196877,First,non,non,False,None,False
19, 20.037505614362072,20.037505614362072,21.717639640825613,11.258375,7,99.62837752726153,First,non,non,False,None,False
20, 21.953392225936508,20.137823656387894,21.717639640825613,12.275707,6.95,99.57381466660301,First,non,InsideOvertaking,False,None,False
21, 21.91994664424662,20.11159052140949,21.717639640825613,13.293293,6.8999996,99.51920208280295,First,non,InsideOvertaking,False,None,False
22, 21.98950101184236,20.081058300038983,21.717639640825613,14.311132,6.8499994,99.46455635024185,First,non,InsideOvertaking,False,None,False
23, 21.748874254262404,20.056195530890673,21.717639640825613,15.329226,6.799999,99.40985260734894,First,non,InsideOvertaking,False,None,False
24, 20.710049045181506,20.144154040363087,21.717639640825613,16.347572,6.749999,99.35510742850475,First,non,InsideOvertaking,False,None,False
25, 21.443581338800303,20.099907769404854,21.717639640825613,17.366173,6.699999,99.30032081370926,First,non,InsideOvertaking,False,None,False
26, 20.933879085368247,20.068907426563587,21.717639640825613,18.385027,6.6499987,99.24548447577223,First,non,InsideOvertaking,False,None,False
27, 22.159367538974685,20.022759081331476,21.717639640825613,19.404135,6.5999985,99.19060670188391,First,non,InsideOvertaking,False,None,False
28, 21.117665873629985,20.084251938003923,21.717639640825613,20.423496,6.5499983,99.13567920485404,First,non,InsideOvertaking,False,None,False
29, 21.138036272232828,20.06289814190896,21.717639640825613,21.443111,6.499998,99.08071027187287,First,non,InsideOvertaking,False,None,False
30, 21.4978530665485,20.135867063704108,21.717639640825613,22.46298,6.449998,99.02569161575016,First,non,InsideOvertaking,False,None,False
31, 21.05392281367141,20.12965915269648,21.717639640825613,23.483103,6.3999977,98.9706232364859,First,non,InsideOvertaking,False,None,False
32, 21.35869439569923,20.02307056394741,21.717639640825613,24.503479,6.3499975,98.91552170846062,First,non,InsideOvertaking,False,None,False
33, 20.481440773312173,20.047123552487104,21.717639640825613,25.524109,6.2999973,98.86036217010353,First,non,InsideOvertaking,False,None,False
34, 21.79610539498837,20.09660891923709,21.717639640825613,26.544992,6.249997,98.8051694829854,First,non,InsideOvertaking,False,None,False
35, 21.303906240246565,20.1097141420604,21.717639640825613,27.56613,6.199997,98.74991878553547,First,non,InsideOvertaking,False,None,False
36, 21.453675676364867,20.071839696481298,21.717639640825613,28.58752,6.1499968,98.69462665213425,First,non,InsideOvertaking,False,None,False
37, 22.005107887107346,20.08025861030994,21.717639640825613,29.609165,6.0999966,98.63929308278173,First,non,InsideOvertaking,False,None,False
38, 20.686071266759043,20.130963092249452,21.717639640825613,30.631063,6.0499964,98.58390150309742,First,non,InsideOvertaking,False,None,False
39, 21.46810396426527,20.054001177921126,21.717639640825613,31.653215,5.999996,98.52847677465206,First,non,InsideOvertaking,False,None,False
40, 22.262819530052045,20.099262360005362,21.717639640825613,32.67562,5.949996,98.47300232306517,First,non,InsideOvertaking,False,None,False
41, 20.936415943200466,20.127287217626023,21.717639640825613,33.69828,5.899996,98.41747814833673,First,non,InsideOvertaking,False,None,False
42, 22.289723891207345,20.089433406898376,21.717639640825613,34.72119,5.8499956,98.36192082484725,First,non,InsideOvertaking,False,None,False
43, 22.022519954486306,20.08751204053037,21.717639640825613,35.744358,5.7999954,98.30630549102597,First,non,InsideOvertaking,False,None,False
44, 20.592319388508887,20.032304815618172,21.717639640825613,36.767776,5.749995,98.2506487212534,First,non,InsideOvertaking,False,None,False
45, 20.36093485915246,20.07203526110493,21.717639640825613,37.788193,5.699995,98.19553061884758,First,non,InsideOvertaking,False,None,False
46, 21.206630782186952,20.028648831435163,21.717639640825613,38.80886,5.649995,98.1403710804905,First,non,InsideOvertaking,False,None,False
47, 21.811619053910967,20.131654379653188,21.717639640825613,39.829784,5.5999947,98.08516181899185,First,non,InsideOvertaking,False,None,False
48, 20.809445019337126,20.03799701322338,21.717639640825613,40.85096,5.5499945,98.02991112154191,First,non,InsideOvertaking,False,None,False
49, 21.55800860348134,20.13539406000225,21.717639640825613,41.87239,5.4999943,97.97461070095044,First,non,InsideOvertaking,False,None,False
50, 21.569275944559845,20.145296619576936,21.717639640825613,42.894073,5.449994,97.91926884440767,First,non,InsideOvertaking,False,None,False
51, 21.884130788304326,20.111462659834555,21.717639640825613,43.91601,5.399994,97.86387726472336,First,non,InsideOvertaking,False,None,False
52, 21.009326963377063,20.104597890654176,21.717639640825613,44.9382,5.3499937,97.80844424908774,First,non,InsideOvertaking,False,None,False
53, 21.29143368470491,20.063680310614952,21.717639640825613,45.960648,5.2999935,97.75296151031058,First,non,InsideOvertaking,False,None,False
54, 21.858261048635814,20.09284847073869,21.717639640825613,46.983345,5.2499933,97.69743733558214,First,non,InsideOvertaking,False,None,False
55, 21.053149418246345,20.056816351775872,21.717639640825613,48.006298,5.199993,97.64185515052189,First,non,InsideOvertaking,False,None,False
56, 21.403838801145664,20.091654748048477,21.717639640825613,49.029503,5.149993,97.58623981670061,First,non,InsideOvertaking,False,None,False
57, 22.346025738016547,20.146530567551444,21.717639640825613,50.052963,5.0999928,97.53057475973777,First,non,InsideOvertaking,False,None,False
58, 20.55587894653489,20.084374921247356,21.717639640825613,51.076675,5.0499926,97.4748599796334,First,non,InsideOvertaking,False,None,False
59, 21.98595979182079,20.098346579540827,21.717639640825613,52.100643,4.9999924,97.41910376357772,First,non,InsideOvertaking,False,None,False
60, 20.757389873595617,20.112402750128712,21.717639640825613,53.124863,4.949992,97.36330611157076,First,non,InsideOvertaking,False,None,False
61, 22.10064333903268,20.109894531092028,21.717639640825613,54.149338,4.899992,97.30745044923201,First,non,InsideOvertaking,False,None,False
62, 22.219547102967073,20.139584018715002,21.717639640825613,55.174065,4.849992,97.25155335094195,First,non,InsideOvertaking,False,None,False
63, 21.921888482138378,20.063515440223192,21.717639640825613,56.199047,4.7999916,97.19561481670061,First,non,InsideOvertaking,False,None,False
64, 21.980546597909825,20.07738962084978,21.717639640825613,57.22428,4.7499914,97.13962655931772,First,non,InsideOvertaking,False,None,False
65, 21.575204684541585,20.11399349266275,21.717639640825613,58.24977,4.699991,97.08359686598354,First,non,InsideOvertaking,False,None,False
66, 20.998021072261604,20.03852490251869,21.717639640825613,59.275513,4.649991,97.0275174495078,First,non,InsideOvertaking,False,None,False
67, 20.973112953403117,20.09467489275514,21.717639640825613,60.30151,4.599991,96.97138830989053,First,non,InsideOvertaking,False,None,False
68, 20.427139400149134,20.108441525223586,21.717639640825613,61.3245,4.5499907,96.91581441202054,First,non,InsideOvertaking,False,None,False
69, 21.74432361231609,20.05463884559307,21.717639640825613,62.347748,4.4999905,96.86019079100899,First,non,InsideOvertaking,False,None,False
70, 21.235165353600202,20.034768481988724,21.717639640825613,63.371246,4.4499903,96.8045174468559,First,non,InsideOvertaking,False,None,False
71, 21.06372267268803,20.096560100823027,21.717639640825613,64.395,4.39999,96.74879437956126,First,non,InsideOvertaking,False,None,False
72, 20.34815079501613,20.08737694791528,21.717639640825613,65.41575,4.34999,96.69361826682366,First,non,InsideOvertaking,False,None,False
