turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.132242452350177,20.132242452350177,21.732772933813,0,6,100,First,non,non,False,Late Start,False
2, 20.48090557863598,20.0928460469241,21.732772933813,0.033622388,5.95,99.9819753611889,First,non,InsideOvertaking,False,Late Start,False
3, 21.992018230363147,20.132921430970107,21.732772933813,0.14326663,5.8999996,99.96963573489477,First,non,InsideOvertaking,False,Late Start,False
4, 20.83572234207668,20.07860342167392,21.732772933813,0.3169738,5.8499994,99.96188721200356,First,non,InsideOvertaking,False,Late Start,False
5, 22.02570458145612,20.06685835108474,21.732772933813,0.5527437,5.799999,99.95767731935251,First,non,InsideOvertaking,False,Late Start,False
6, 20.447767923779754,20.029863021970172,21.732772933813,0.84983224,5.749999,99.95593700939834,First,non,InsideOvertaking,False,Late Start,False
7, 20.32863733571987,20.080754472917196,21.732772933813,1.207878,5.699999,99.95559723459776,First,non,InsideOvertaking,False,Late Start,False
8, 22.280250137734274,20.088645327440585,21.732772933813,1.6266772,5.6499987,99.95557237302698,First,non,InsideOvertaking,False,Late Start,False
9, 20.739142636550053,20.104586978780798,21.732772933813,2.1061037,5.5999985,99.95480995152325,First,non,InsideOvertaking,False,Late Start,False
10, 22.042682968365504,20.067621863408927,21.732772933813,2.6460738,5.5499983,99.95223263535301,First,non,InsideOvertaking,False,Late Start,False
11, 20.462634617888536,20.070255270957524,21.732772933813,3.246529,5.499998,99.94677137697302,First,non,InsideOvertaking,False,Late Start,False
12, 20.964779334092754,20.113973979217548,21.732772933813,3.907427,5.449998,99.93735712883995,First,non,InsideOvertaking,False,Late Start,False
13, 20.4952804766567,20.0754729576675,21.732772933813,4.6287365,5.3999977,99.92292084341055,First,non,InsideOvertaking,False,Late Start,False
14, 21.20017117349591,20.03919023682833,21.732772933813,5.4104323,5.3499975,99.90239347314154,First,non,InsideOvertaking,False,Late Start,False
15, 20.95502033109202,20.07015501334449,21.732772933813,6.252496,5.2999973,99.87469768329939,First,non,InsideOvertaking,False,Late Start,False
16, 21.05048528150576,20.021498608359355,21.732772933813,7.154912,5.249997,99.83877271353106,First,non,InsideOvertaking,False,Late Start,False
