turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.305222824642204,20.48579117754058,22.11829193672655,0.060257196,5,99.9892181551396,First,SpeedUp,non,False,None,False
2, 21.32500421879007,20.504811748836605,22.11829193672655,0.18077159,5,99.98183197176395,First,SpeedUp,non,False,None,False
3, 21.371208810522344,20.54923924088687,22.11829193672655,0.36154318,5,99.97720527971659,First,SpeedUp,non,False,None,False
4, 21.340162148503598,20.519386681253458,22.11829193672655,0.60257196,5,99.97468538494077,First,SpeedUp,non,False,None,False
5, 21.30616644454997,20.48669850437497,22.11829193672655,0.90385795,5,99.9736526411802,First,SpeedUp,non,False,None,False
6, 21.3497982109102,20.528652125875194,22.11829193672655,1.2654011,5,99.973437830478,First,SpeedUp,non,False,None,False
7, 21.379522280246956,20.55723296177592,22.11829193672655,1.6872015,5,99.97342956852792,First,SpeedUp,non,False,None,False
8, 21.300339945212592,20.481096101165953,22.11829193672655,2.169259,5,99.97297516127327,First,SpeedUp,non,False,None,False
9, 21.312139825257585,20.492442139670754,22.11829193672655,2.7115738,5,99.97143017660744,First,SpeedUp,non,False,None,False
10, 21.407703484974334,20.584330274013784,22.11829193672655,3.3141458,5,99.96815844437394,First,SpeedUp,non,False,None,False
11, 21.4109718203353,20.587472904168557,22.11829193672655,3.976975,5,99.96253205636633,First,SpeedUp,non,False,None,False
12, 21.291249041338652,20.47235484744101,22.11829193672655,4.7000613,5,99.95388179462775,First,SpeedUp,non,False,None,False
13, 21.389603538159943,20.566926478999942,22.11829193672655,5.483405,5,99.94160453680203,First,SpeedUp,non,False,None,False
14, 21.39296792894181,20.570161470136355,22.11829193672655,6.327006,5,99.92503106493231,First,SpeedUp,non,False,None,False
15, 21.400113469371103,20.5770321820876,22.11829193672655,7.2308636,5,99.90354173276226,First,SpeedUp,non,False,None,False
16, 21.319406315029628,20.49942914906695,22.11829193672655,8.194979,5,99.87648384623519,First,SpeedUp,non,False,None,False
17, 21.36268252164554,20.54104088619763,22.11829193672655,9.219351,5,99.84322123519458,First,SpeedUp,non,False,None,False
18, 21.350232343204308,20.529069560773372,22.11829193672655,10.30398,5,99.80310946753384,First,SpeedUp,non,False,None,False
19, 21.38268250811052,20.560271642413962,22.11829193672655,11.38561,5,99.76336122567682,First,SpeedUp,non,False,None,False
20, 21.318032607423095,20.49810827636836,22.11829193672655,12.464239,5,99.72395998572335,First,SpeedUp,non,False,None,False
21, 21.406834585733286,20.583494793974314,22.11829193672655,13.539868,5,99.68491400962351,First,SpeedUp,non,False,None,False
22, 21.32877644476579,20.508438889197873,22.11829193672655,14.612498,5,99.64621503542723,First,SpeedUp,non,False,None,False
23, 21.3232521990582,20.50312711447904,22.11829193672655,15.682128,5,99.6078713250846,First,SpeedUp,non,False,None,False
24, 21.377255868745266,20.55505371994737,22.11829193672655,16.748758,5,99.5698746166455,First,SpeedUp,non,False,None,False
25, 21.407546486942355,20.58417931436765,22.11829193672655,17.815645,5,99.53184486040608,First,SpeedUp,non,False,None,False
26, 21.336711953171108,20.51606918574145,22.11829193672655,18.879532,5,99.49416210607022,First,SpeedUp,non,False,None,False
27, 21.401807058221916,20.578660632905688,22.11829193672655,19.943676,5,99.45645456588409,First,SpeedUp,non,False,None,False
28, 21.2894999838512,20.470673061395384,22.11829193672655,21.008078,5,99.41871397789762,First,SpeedUp,non,False,None,False
29, 21.301292882066573,20.482012386602474,22.11829193672655,22.072737,5,99.3809486040609,First,SpeedUp,non,False,None,False
30, 21.374648994063506,20.552547109676446,22.11829193672655,23.137651,5,99.34315018242386,First,SpeedUp,non,False,None,False
31, 21.29077809916297,20.471902018425933,22.11829193672655,24.199568,5,99.30569876269035,First,SpeedUp,non,False,None,False
32, 21.308236957907756,20.48868938260361,22.11829193672655,25.26174,5,99.26820603320643,First,SpeedUp,non,False,None,False
33, 21.414063146219696,20.590445332903553,22.11829193672655,26.32417,5,99.23069677982234,First,SpeedUp,non,False,None,False
34, 21.327496220609465,20.50720790443218,22.11829193672655,27.386856,5,99.1931544786379,First,SpeedUp,non,False,None,False
35, 21.392373000623664,20.5695894236766,22.11829193672655,28.4498,5,99.15557912965313,First,SpeedUp,non,False,None,False
36, 21.32727169909118,20.506992018356904,22.11829193672655,29.513002,5,99.1179789948181,First,SpeedUp,non,False,None,False
37, 21.400288934171083,20.577200898241426,22.11829193672655,30.576462,5,99.08035407413283,First,SpeedUp,non,False,None,False
38, 21.372810736273944,20.55077955410956,22.11829193672655,31.640179,5,99.04268784369712,First,SpeedUp,non,False,None,False
39, 21.349280493725587,20.528154320889985,22.11829193672655,32.70415,5,99.00499682741116,First,SpeedUp,non,False,None,False
40, 21.353203295051657,20.531926245241976,22.11829193672655,33.768383,5,98.96728102527496,First,SpeedUp,non,False,None,False
41, 21.383148154643663,20.56071937946506,22.11829193672655,34.83287,5,98.92953217533841,First,SpeedUp,non,False,None,False
42, 21.32136832278638,20.501315694986904,22.11829193672655,35.897614,5,98.89175027760152,First,SpeedUp,non,False,None,False
43, 21.353241499951885,20.531962980722966,22.11829193672655,36.962616,5,98.85394359401438,First,SpeedUp,non,False,None,False
44, 21.385990080488963,20.563452000470157,22.11829193672655,38.027874,5,98.8161038626269,First,SpeedUp,non,False,None,False
45, 21.381616394405544,20.559246533082252,22.11829193672655,39.09339,5,98.77823934538917,First,SpeedUp,non,False,None,False
