turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.28790877567765,21.28790877567765,24.16819896010017,0,1,100.00000163216743,First,non,non,False,Late Start,False
2, 21.746308471850107,21.306378599840283,24.16819896010017,0.03459138,0.95,99.98230893717435,First,non,InsideOvertaking,False,Late Start,False
3, 21.585371756153034,21.2693276986253,24.16819896010017,0.14543477,0.9,99.9702390589941,First,non,InsideOvertaking,False,Late Start,False
4, 21.84870013097919,21.30304190316714,24.16819896010017,0.3208459,0.84999996,99.9627229279569,First,non,InsideOvertaking,False,Late Start,False
5, 22.258165232720962,21.355305783719867,24.16819896010017,0.558848,0.79999995,99.95869147439299,First,non,InsideOvertaking,False,Late Start,False
6, 22.91984930838095,21.30591218128322,24.16819896010017,0.8587048,0.74999994,99.9570593069582,First,non,InsideOvertaking,False,Late Start,False
7, 23.18559777853606,21.35768427158953,24.16819896010017,1.2200582,0.6999999,99.95676551681994,First,non,InsideOvertaking,False,Late Start,False
8, 23.58672986959862,21.288520381064362,24.16819896010017,1.6427065,0.6499999,99.95672471263407,First,non,InsideOvertaking,False,Late Start,False
9, 23.57024008167573,21.358785675830685,24.16819896010017,2.1265247,0.5999999,99.95587598556799,First,non,InsideOvertaking,False,Late Start,False
10, 21.801380710295263,21.372533712123204,24.16819896010017,2.6714299,0.5499999,99.95315026595189,First,non,InsideOvertaking,False,Late Start,False
11, 22.87721000995418,21.323704791151442,24.16819896010017,3.2773643,0.49999988,99.94746216244165,First,non,InsideOvertaking,False,Late Start,False
12, 22.338947797351338,21.275188378429846,24.16819896010017,3.9461575,0.49999988,99.94163532469948,First,Overtaking,non,False,Late Start,False
13, 22.331973346210454,21.268546044009955,24.16819896010017,4.67575,0.49999988,99.93274001217988,First,Overtaking,non,False,Late Start,False
14, 22.4166798780264,21.349218931453713,24.16819896010017,5.4661417,0.49999988,99.92013967958333,First,Overtaking,non,False,Late Start,False
15, 22.35186334308243,21.287488898173745,24.16819896010017,6.3173327,0.49999988,99.90320594244743,First,Overtaking,non,False,Late Start,False
16, 22.38251818714237,21.316683987754637,24.16819896010017,7.2293234,0.49999988,99.88126145128672,First,Overtaking,non,False,Late Start,False
17, 22.354475395825286,21.28997656745265,24.16819896010017,8.202113,0.49999988,99.85369414331318,First,Overtaking,non,False,Late Start,False
18, 22.376667636991026,21.31111203522955,24.16819896010017,9.2357025,0.49999988,99.8198429907157,First,Overtaking,non,False,Late Start,False
19, 22.364484328951164,21.299508884715394,24.16819896010017,10.330091,0.49999988,99.77907144819474,First,Overtaking,non,False,Late Start,False
20, 22.408159620280234,21.34110440026689,24.16819896010017,11.42528,0.49999988,99.73820197562769,First,Overtaking,non,False,Late Start,False
21, 22.412972512072074,21.345688106735306,24.16819896010017,12.521267,0.49999988,99.69723457301455,First,Overtaking,non,False,None,False
22, 22.391948204739574,21.32566495689483,24.16819896010017,13.618053,0.49999988,99.65618556202968,First,Overtaking,non,False,None,False
23, 22.35107776544643,21.286740728996598,24.16819896010017,14.715639,0.49999988,99.61503046016153,First,Overtaking,non,False,None,False
24, 22.411984869393187,21.344747494660176,24.16819896010017,15.814025,0.49999988,99.57377742824731,First,Overtaking,non,False,None,False
25, 22.37385939113151,21.30843751536334,24.16819896010017,16.91321,0.49999988,99.53243462712416,First,Overtaking,non,False,None,False
26, 22.43110220353989,21.3629544795618,24.16819896010017,18.013195,0.49999988,99.49099389595494,First,Overtaking,non,False,None,False
27, 22.341245452835796,21.277376621748378,24.16819896010017,19.11398,0.49999988,99.44944707390245,First,Overtaking,non,False,None,False
28, 22.41205114887184,21.34481061797318,24.16819896010017,20.215563,0.49999988,99.40781048264105,First,Overtaking,non,False,None,False
29, 22.444378077349054,21.37559816890386,24.16819896010017,21.317945,0.49999988,99.36608412217073,First,Overtaking,non,False,None,False
30, 22.356705188488416,21.292100179512776,24.16819896010017,22.421127,0.49999988,99.32425167081716,First,Overtaking,non,False,None,False
31, 22.343936318150014,21.27993935061906,24.16819896010017,23.525108,0.49999988,99.28233761109185,First,Overtaking,non,False,None,False
32, 22.440969348027537,21.372351760026223,24.16819896010017,24.629889,0.49999988,99.24030929964609,First,Overtaking,non,False,None,False
33, 21.32812778706983,21.32812778706983,24.16819896010017,25.731668,0.49999988,99.17088505780745,First,non,non,False,None,False
