turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.385696458961164,20.56316967207804,22.143865862841203,0.060257196,4,99.9892181551396,First,SpeedUp,non,False,None,False
2, 21.382858202230345,20.560440579067638,22.143865862841203,0.18077159,4,99.98183197176395,First,SpeedUp,non,False,None,False
3, 21.408735372877477,20.585322473920648,22.143865862841203,0.36154318,4,99.97720527971659,First,SpeedUp,non,False,None,False
4, 21.310744902045023,20.491100867350983,22.143865862841203,0.60257196,4,99.97468538494077,First,SpeedUp,non,False,None,False
5, 21.30256560511094,20.483236158760516,22.143865862841203,0.90385795,4,99.9736526411802,First,SpeedUp,non,False,None,False
6, 21.34960522812094,20.528466565500903,22.143865862841203,1.2654011,4,99.973437830478,First,SpeedUp,non,False,None,False
7, 21.28102463415076,20.462523686683422,22.143865862841203,1.6872015,4,99.97342956852792,First,SpeedUp,non,False,None,False
8, 21.318266180057382,20.49833286543979,22.143865862841203,2.169259,4,99.97297516127327,First,SpeedUp,non,False,None,False
9, 21.288921598675056,20.470116921802937,22.143865862841203,2.7115738,4,99.97143017660744,First,SpeedUp,non,False,None,False
10, 21.403316023336462,20.580111560900445,22.143865862841203,3.3141458,4,99.96815844437394,First,SpeedUp,non,False,None,False
11, 21.330769794493538,20.510355571628402,22.143865862841203,3.976975,4,99.96253205636633,First,SpeedUp,non,False,None,False
12, 21.386505248000596,20.563947353846725,22.143865862841203,4.7000613,4,99.95388179462775,First,SpeedUp,non,False,None,False
13, 21.38082781797936,20.558488286518614,22.143865862841203,5.483405,4,99.94160453680203,First,SpeedUp,non,False,None,False
14, 21.371058061027053,20.54909428944909,22.143865862841203,6.327006,4,99.92503106493231,First,SpeedUp,non,False,None,False
15, 21.325422263288914,20.50521371470088,22.143865862841203,7.2308636,4,99.90354173276226,First,SpeedUp,non,False,None,False
