turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.271329387664792,19.271329387664792,20.828814215893345,0,8,100,First,non,non,False,Late Start,False
2, 19.31332067660387,19.31332067660387,20.828814215893345,0.060250767,8,99.98207575158227,First,non,non,False,Late Start,False
3, 19.252850853741677,19.252850853741677,20.828814215893345,0.1807523,8,99.96979661128692,First,non,non,False,Late Start,False
4, 19.27212216854691,19.27212216854691,20.828814215893345,0.3615046,8,99.9620994857595,First,non,non,False,Late Start,False
5, 19.291053635835407,19.291053635835407,20.828814215893345,0.6025077,8,99.95792128164557,First,non,non,False,Late Start,False
6, 19.30655886146915,19.30655886146915,20.828814215893345,0.9037615,8,99.9561824235232,First,non,non,False,Late Start,False
7, 19.231656443065187,19.231656443065187,20.828814215893345,1.2652661,8,99.95583630010549,First,non,non,False,Late Start,False
8, 19.291685328399588,19.291685328399588,20.828814215893345,1.6870215,8,99.95581981803798,First,non,non,False,Late Start,False
9, 19.21231013166281,19.21231013166281,20.828814215893345,2.1690276,8,99.95506164293249,First,non,non,False,Late Start,False
10, 19.33486543554142,19.33486543554142,20.828814215893345,2.7112844,8,99.9524986814346,First,non,non,False,Late Start,False
11, 19.228712829056203,19.228712829056203,20.828814215893345,3.313792,8,99.94706784018987,First,non,non,False,Late Start,False
12, 19.313603273173676,19.313603273173676,20.828814215893345,3.9765503,8,99.93770602584388,First,non,non,False,Late Start,False
13, 19.22447400998223,19.22447400998223,20.828814215893345,4.6995597,8,99.92335014504219,First,non,non,False,Late Start,False
14, 19.33881217051221,19.33881217051221,20.828814215893345,5.4828196,8,99.90294534546413,First,non,non,False,Late Start,False
15, 19.2585179552812,19.2585179552812,20.828814215893345,6.32633,8,99.875403810654,First,non,non,False,Late Start,False
16, 19.22916193482469,19.22916193482469,20.828814215893345,7.2300916,8,99.83968717035864,First,non,non,False,Late Start,False
17, 19.322501813130465,19.322501813130465,20.828814215893345,8.194104,8,99.79472409018987,First,non,non,False,Late Start,False
18, 19.2492704464835,19.2492704464835,20.828814215893345,9.155116,8,99.7502389899789,First,non,non,False,Late Start,False
19, 19.22170498808027,19.22170498808027,20.828814215893345,10.116379,8,99.70572092563292,First,non,non,False,Late Start,False
20, 19.335567457082995,19.335567457082995,20.828814215893345,11.077892,8,99.66116165611814,First,non,non,False,Late Start,False
21, 19.226296138176917,19.226296138176917,20.828814215893345,12.0364065,8,99.61707212552743,First,non,non,False,None,False
22, 19.258953941834275,19.258953941834275,20.828814215893345,12.995171,8,99.57294963080169,First,non,non,False,None,False
23, 19.226403051294056,19.226403051294056,20.828814215893345,13.9541855,8,99.52880241297468,First,non,non,False,None,False
24, 19.237609330155056,19.237609330155056,20.828814215893345,14.913451,8,99.48459750791139,First,non,non,False,None,False
25, 19.298917990684256,19.298917990684256,20.828814215893345,15.872968,8,99.44035963871308,First,non,non,False,None,False
26, 19.332686137520525,19.332686137520525,20.828814215893345,16.832735,8,99.39607232331224,First,non,non,False,None,False
27, 19.265346828512325,19.265346828512325,20.828814215893345,17.792753,8,99.35175204377637,First,non,non,False,None,False
28, 19.236776283085185,19.236776283085185,20.828814215893345,18.753023,8,99.30739055907173,First,non,non,False,None,False
29, 19.225623839412695,19.225623839412695,20.828814215893345,19.713543,8,99.26298786919831,First,non,non,False,None,False
30, 19.22418463650525,19.22418463650525,20.828814215893345,20.674314,8,99.21854397415612,First,non,non,False,None,False
31, 19.230500898841722,19.230500898841722,20.828814215893345,21.635336,8,99.17405887394514,First,non,non,False,None,False
32, 19.270500386602098,19.270500386602098,20.828814215893345,22.596607,8,99.12954080959915,First,non,non,False,None,False
33, 19.21638673702787,19.21638673702787,20.828814215893345,23.55488,8,99.08549248417721,First,non,non,False,None,False
34, 19.312711113823408,19.312711113823408,20.828814215893345,24.513403,8,99.041419435654,First,non,non,False,None,False
35, 19.240204610195722,19.240204610195722,20.828814215893345,25.472178,8,98.99729694092827,First,non,non,False,None,False
36, 19.304529587532524,19.304529587532524,20.828814215893345,26.431202,8,98.95314148206751,First,non,non,False,None,False
37, 19.28681386706599,19.28681386706599,20.828814215893345,27.390478,8,98.90892833597046,First,non,non,False,None,False
38, 19.244877356435406,19.244877356435406,20.828814215893345,28.350004,8,98.86469870780591,First,non,non,False,None,False
39, 19.287568220614673,19.287568220614673,20.828814215893345,29.30978,8,98.82041139240506,First,non,non,False,None,False
40, 19.2430678119033,19.2430678119033,20.828814215893345,30.269808,8,98.77608287183544,First,non,non,False,None,False
41, 19.244495695857534,19.244495695857534,20.828814215893345,31.230085,8,98.7317213871308,First,non,non,False,None,False
42, 19.28498983210241,19.28498983210241,20.828814215893345,32.190613,8,98.68731869725738,First,non,non,False,None,False
43, 19.2646067243225,19.2646067243225,20.828814215893345,33.151394,8,98.64287480221519,First,non,non,False,None,False
44, 19.237455638433328,19.237455638433328,20.828814215893345,34.112423,8,98.59838970200423,First,non,non,False,None,False
45, 19.31967106180959,19.31967106180959,20.828814215893345,35.073704,8,98.55386339662448,First,non,non,False,None,False
46, 19.28730054275747,19.28730054275747,20.828814215893345,36.035236,8,98.50929588607595,First,non,non,False,None,False
47, 19.852189003493812,19.316682642883972,20.828814215893345,36.99572,7.95,98.4646954113924,First,non,InsideOvertaking,False,None,False
48, 21.292135883453103,19.25196579932536,20.828814215893345,37.956455,7.8999996,98.42004549050633,First,non,InsideOvertaking,False,None,False
