turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 22.612175029329094,21.742475989739514,24.716912628815045,0.060737904,3,99.98934115386228,First,SpeedUp,non,False,None,False
2, 22.627578351667818,21.757286876603672,24.716912628815045,0.18221371,3,99.9820659383586,First,SpeedUp,non,False,None,False
3, 22.647995549742024,21.77691879782887,24.716912628815045,0.36442742,3,99.97752712147906,First,SpeedUp,non,False,None,False
4, 22.682162031148142,21.80977118379629,24.716912628815045,0.607379,3,99.97509385683423,First,SpeedUp,non,False,None,False
5, 22.64544684505493,21.774468120245125,24.716912628815045,0.91106856,3,99.97410252679376,First,SpeedUp,non,False,None,False
6, 22.728956097179594,21.854765478057303,24.716912628815045,1.275496,3,99.97392228496822,First,SpeedUp,non,False,None,False
7, 22.62592135347889,21.755693609114317,24.716912628815045,1.7006613,3,99.97389770653747,First,SpeedUp,non,False,None,False
8, 22.67726315722398,21.80506072809998,24.716912628815045,2.1865644,3,99.9733979451121,First,SpeedUp,non,False,None,False
9, 22.690612372863235,21.817896512368495,24.716912628815045,2.7332056,3,99.97176757587198,First,SpeedUp,non,False,None,False
10, 22.616345787005244,21.746486333658886,24.716912628815045,3.3405845,3,99.96835936680719,First,SpeedUp,non,False,None,False
11, 22.69058512534411,21.817870312830873,24.716912628815045,4.0087013,3,99.96254247152834,First,SpeedUp,non,False,None,False
12, 22.611727198693245,21.74204538335889,24.716912628815045,4.737556,3,99.95365327240503,First,SpeedUp,non,False,None,False
13, 22.636493739312947,21.765859364723987,24.716912628815045,5.5271487,3,99.94106092304789,First,SpeedUp,non,False,None,False
14, 22.69220276995038,21.819425740336904,24.716912628815045,6.3774796,3,99.92411819144696,First,SpeedUp,non,False,None,False
15, 22.725833764958736,21.851763235537245,24.716912628815045,7.288548,3,99.90217784559239,First,SpeedUp,non,False,None,False
16, 22.61676086101826,21.74688544328679,24.716912628815045,8.260354,3,99.87459265347427,First,SpeedUp,non,False,None,False
17, 22.671338842125735,21.799364271274744,24.716912628815045,9.292898,3,99.8407317687032,First,SpeedUp,non,False,None,False
18, 22.729116495642568,21.85491970734862,24.716912628815045,10.386181,3,99.79992338083852,First,SpeedUp,non,False,None,False
19, 22.614143486178907,21.744368736710488,24.716912628815045,11.540201,3,99.7515448363011,First,SpeedUp,non,False,None,False
20, 22.662080845731737,21.79046235166513,24.716912628815045,12.691221,3,99.70355954665575,First,SpeedUp,non,False,None,False
21, 22.63654398882409,21.765907681561625,24.716912628815045,13.839241,3,99.65596751190252,First,SpeedUp,non,False,None,False
