turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 18.86197445214857,18.86197445214857,21.46870937974877,0.06073821,2,99.9934226112174,First,non,non,False,None,False
2, 18.957522716818595,18.957522716818595,21.46870937974877,0.18221463,2,99.98939544868506,First,non,non,False,None,False
3, 18.936485750530764,18.936485750530764,21.46870937974877,0.36442927,2,99.98729351165893,First,non,non,False,None,False
4, 18.86987188271503,18.86987188271503,21.46870937974877,0.6073821,2,99.98650296012256,First,non,non,False,None,False
5, 18.858308936154064,18.858308936154064,21.46870937974877,0.9110732,2,99.98639135284685,First,non,non,False,None,False
6, 18.908768128763427,18.908768128763427,21.46870937974877,1.2755024,2,99.9863448498153,First,non,non,False,None,False
7, 18.889686191611595,18.889686191611595,21.46870937974877,1.7006699,2,99.98573100979881,First,non,non,False,None,False
8, 18.869251362775127,18.869251362775127,21.46870937974877,2.1865757,2,99.98393599278094,First,non,non,False,None,False
9, 18.95294503576573,18.95294503576573,21.46870937974877,2.7332196,2,99.98033665813888,First,non,non,False,None,False
10, 18.941726295315615,18.941726295315615,21.46870937974877,3.3406017,2,99.97430056464353,First,non,non,False,None,False
11, 18.91389704392945,18.91389704392945,21.46870937974877,4.008722,2,99.96522317288472,First,non,non,False,None,False
12, 18.854894423311908,18.854894423311908,21.46870937974877,4.7375803,2,99.95247204163338,First,non,non,False,None,False
13, 18.896564844915936,18.896564844915936,21.46870937974877,5.527177,2,99.93543333087301,First,non,non,False,None,False
14, 18.848561564725845,18.848561564725845,21.46870937974877,6.377512,2,99.91347459937452,First,non,non,False,None,False
15, 18.895588929919075,18.895588929919075,21.46870937974877,7.288585,2,99.88597270651512,First,non,non,False,None,False
16, 18.849203078861844,18.849203078861844,21.46870937974877,8.260397,2,99.85230451167203,First,non,non,False,None,False
17, 18.895532558339724,18.895532558339724,21.46870937974877,9.229208,2,99.8189618380498,First,non,non,False,None,False
18, 18.847331786431475,18.847331786431475,21.46870937974877,10.19502,2,99.78593538504212,First,non,non,False,None,False
19, 18.85879443010935,18.85879443010935,21.46870937974877,11.157831,2,99.7532344532553,First,non,non,False,None,False
