turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.959709505980186,20.153566832673256,22.61653066499985,0.060721718,1,99.99600155045762,First,SpeedUp,non,False,None,False
2, 20.939355911260463,20.133996068519675,22.61653066499985,0.18216515,1,99.9935648482659,First,SpeedUp,non,False,None,False
3, 20.96086807220011,20.154680838653952,22.61653066499985,0.3643303,1,99.99228534441234,First,SpeedUp,non,False,None,False
4, 20.93285219080634,20.127742491159943,22.61653066499985,0.6072172,1,99.99180553046725,First,SpeedUp,non,False,None,False
5, 20.891758033289754,20.088228878163225,22.61653066499985,0.9108258,1,99.99173967365125,First,SpeedUp,non,False,None,False
6, 20.854097555829238,20.052016880605034,22.61653066499985,1.275156,1,99.99170204118498,First,SpeedUp,non,False,None,False
7, 20.87215095321508,20.06937591655296,22.61653066499985,1.7002081,1,99.99133512463874,First,SpeedUp,non,False,None,False
8, 20.935151403971943,20.129953273049946,22.61653066499985,2.1859818,1,99.99025319123314,First,SpeedUp,non,False,None,False
9, 20.857548353510342,20.055334955298406,22.61653066499985,2.7324772,1,99.98807050818883,First,SpeedUp,non,False,None,False
10, 20.955709186437105,20.149720371574137,22.61653066499985,3.3396945,1,99.98441075084297,First,SpeedUp,non,False,None,False
11, 20.874014714615686,20.071167994822776,22.61653066499985,4.007633,1,99.97890700264932,First,SpeedUp,non,False,None,False
12, 20.855655570039886,20.053514971192197,22.61653066499985,4.736294,1,99.97117353082852,First,SpeedUp,non,False,None,False
13, 20.92005865994857,20.115441019181315,22.61653066499985,5.5256763,1,99.9608434188343,First,SpeedUp,non,False,None,False
14, 20.862878869139497,20.06046045109567,22.61653066499985,6.37578,1,99.94752152577071,First,SpeedUp,non,False,None,False
15, 20.86562702578456,20.06310290940823,22.61653066499985,7.286606,1,99.93085034320809,First,SpeedUp,non,False,None,False
16, 20.847958493468244,20.046113936027158,22.61653066499985,8.258153,1,99.91043473025049,First,SpeedUp,non,False,None,False
17, 20.864666405253825,20.062179235820985,22.61653066499985,9.290422,1,99.88590777035164,First,SpeedUp,non,False,None,False
18, 20.913451432685942,20.109087916044174,22.61653066499985,10.383413,1,99.85689313884875,First,SpeedUp,non,False,None,False
19, 20.900895777036283,20.097015170227195,22.61653066499985,11.473404,1,99.82809489402698,First,SpeedUp,non,False,None,False
