turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.919748925797222,20.115143197881945,21.661299411145272,0.060196437,3,99.99208929818437,First,SpeedUp,non,False,None,False
2, 20.877451681000064,20.07447277019237,21.661299411145272,0.18058932,3,99.98679731145252,First,SpeedUp,non,False,None,False
3, 20.987242931641056,20.180041280424092,21.661299411145272,0.36117864,3,99.98361257201468,First,SpeedUp,non,False,None,False
4, 20.887445534107105,20.084082244333754,21.661299411145272,0.60196435,3,99.98198951422836,First,SpeedUp,non,False,None,False
5, 20.928351638839253,20.123415037345435,21.661299411145272,0.90294653,3,99.98141667030377,First,SpeedUp,non,False,None,False
6, 20.887882599891224,20.084502499895407,21.661299411145272,1.2641251,3,99.98134847459848,First,SpeedUp,non,False,None,False
7, 20.95678261128926,20.150752510855057,21.661299411145272,1.6855001,3,99.9812870984637,First,SpeedUp,non,False,None,False
8, 20.97263475122781,20.165994953103663,21.661299411145272,2.1670716,3,99.9806665175454,First,SpeedUp,non,False,None,False
9, 20.933543701648947,20.12840740543168,21.661299411145272,2.7088394,3,99.97899572276538,First,SpeedUp,non,False,None,False
10, 20.975084185517428,20.16835017838214,21.661299411145272,3.310804,3,99.97572232891062,First,SpeedUp,non,False,None,False
11, 20.932430666938117,20.12733717974819,21.661299411145272,3.9729648,3,99.97034168776187,First,SpeedUp,non,False,None,False
12, 20.952436999235875,20.1465740377268,21.661299411145272,4.695322,3,99.96230823367668,First,SpeedUp,non,False,None,False
13, 20.97359324668093,20.16691658334705,21.661299411145272,5.4778757,3,99.95109685972417,First,SpeedUp,non,False,None,False
14, 20.999560160647523,20.191884769853388,21.661299411145272,6.320626,3,99.93618245897348,First,SpeedUp,non,False,None,False
15, 20.99629820270936,20.188748271835923,21.661299411145272,7.2235723,3,99.91704674406425,First,SpeedUp,non,False,None,False
16, 20.89946783094725,20.095642145141586,21.661299411145272,8.186715,3,99.89315096892459,First,SpeedUp,non,False,None,False
17, 20.92372945661873,20.118970631364164,21.661299411145272,9.210054,3,99.8639700266236,First,SpeedUp,non,False,None,False
18, 20.88150895695036,20.07837399706765,21.661299411145272,10.293591,3,99.82898562980098,First,SpeedUp,non,False,None,False
19, 20.92782455032312,20.122908221464538,21.661299411145272,11.374126,3,99.7943012940817,First,SpeedUp,non,False,None,False
20, 20.98665872693621,20.17947954513097,21.661299411145272,12.451662,3,99.75991701946579,First,SpeedUp,non,False,None,False
21, 20.94399513248676,20.138456858160342,21.661299411145272,13.526197,3,99.72583280595322,First,SpeedUp,non,False,None,False
22, 20.910830250107228,20.106567548180028,21.661299411145272,14.5977335,3,99.69204183397348,First,SpeedUp,non,False,None,False
23, 20.94824804762065,20.142546199635238,21.661299411145272,15.666269,3,99.65855092309708,First,SpeedUp,non,False,None,False
24, 20.97767731654517,20.170843573601122,21.661299411145272,16.731806,3,99.62534643418297,First,SpeedUp,non,False,None,False
25, 20.90272871911589,20.09877761453451,21.661299411145272,17.794342,3,99.59245564551328,First,SpeedUp,non,False,None,False
26, 20.88740319691481,20.08404153549501,21.661299411145272,18.853878,3,99.5598376396648,First,SpeedUp,non,False,None,False
27, 20.92468635250077,20.119890723558434,21.661299411145272,19.910414,3,99.5275196949197,First,SpeedUp,non,False,None,False
28, 20.976447061136017,20.169660635707707,21.661299411145272,20.96395,3,99.49550181127795,First,SpeedUp,non,False,None,False
29, 20.99612583883811,20.188582537344338,21.661299411145272,22.014484,3,99.4637567104574,First,SpeedUp,non,False,None,False
30, 20.927923029064292,20.12300291256182,21.661299411145272,23.06202,3,99.43231167074023,First,SpeedUp,non,False,None,False
31, 20.916558560671334,20.11207553910705,21.661299411145272,24.106556,3,99.4011462334148,First,SpeedUp,non,False,None,False
32, 20.89796217685471,20.094194400821834,21.661299411145272,25.151289,3,99.36996715694833,First,SpeedUp,non,False,None,False
33, 20.897797862279372,20.09403640603786,21.661299411145272,26.196218,3,99.3387539826292,First,SpeedUp,non,False,None,False
34, 20.905742504825273,20.101675485408915,21.661299411145272,27.241344,3,99.3075476278806,First,SpeedUp,non,False,None,False
35, 20.93675558217859,20.1314957520948,21.661299411145272,28.286667,3,99.27630035570881,First,SpeedUp,non,False,None,False
36, 20.963118471038076,20.15684468369046,21.661299411145272,29.332186,3,99.24503944439596,First,SpeedUp,non,False,None,False
37, 20.93588663910182,20.130660229905597,21.661299411145272,30.377901,3,99.21376489394204,First,SpeedUp,non,False,None,False
38, 20.9712815811731,20.164693828051057,21.661299411145272,31.423813,3,99.18246988477654,First,SpeedUp,non,False,None,False
39, 20.932402288147447,20.127309892449468,21.661299411145272,32.46992,3,99.15116123646997,First,SpeedUp,non,False,None,False
