turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.522299017441355,20.522299017441355,22.059667593612797,0.060221132,5,99.97442887292654,First,non,non,False,None,False
2, 20.516506021789827,20.516506021789827,22.059667593612797,0.18066339,5,99.95650489080676,First,non,non,False,None,False
3, 20.532443212505232,20.532443212505232,22.059667593612797,0.36132678,5,99.94489216999676,First,non,non,False,None,False
4, 20.536153794202438,20.536153794202438,22.059667593612797,0.6022113,5,99.9382022330084,First,non,non,False,None,False
5, 20.436690200624657,20.436690200624657,22.059667593612797,0.903317,5,99.93508867742891,First,non,non,False,None,False
6, 20.47619054037242,20.47619054037242,22.059667593612797,1.2646438,5,99.93420510084553,First,non,non,False,None,False
7, 20.48345200987551,20.48345200987551,22.059667593612797,1.6861917,5,99.93419458207669,First,non,non,False,None,False
8, 20.422625239187038,20.422625239187038,22.059667593612797,2.1679606,5,99.9336896811719,First,non,non,False,None,False
9, 20.50220848007183,20.50220848007183,22.059667593612797,2.709951,5,99.93134399571844,First,non,non,False,None,False
10, 20.497995622403906,20.497995622403906,22.059667593612797,3.3121622,5,99.92580060453469,First,non,non,False,None,False
11, 20.492591600244243,20.492591600244243,22.059667593612797,3.9745946,5,99.91570258643902,First,non,non,False,None,False
12, 20.48592780142747,20.48592780142747,22.059667593612797,4.697248,5,99.89968250148104,First,non,non,False,None,False
13, 20.535800135114485,20.535800135114485,22.059667593612797,5.4801226,5,99.8764044660168,First,non,non,False,None,False
14, 20.42260504662641,20.42260504662641,22.059667593612797,6.3232183,5,99.84449052132702,First,non,non,False,None,False
15, 20.486932138050836,20.486932138050836,22.059667593612797,7.2265353,5,99.80259426499892,First,non,non,False,None,False
16, 20.4800919938685,20.4800919938685,22.059667593612797,8.190073,5,99.74935877585092,First,non,non,False,None,False
17, 20.468859368522143,20.468859368522143,22.059667593612797,9.213832,5,99.68343765147027,First,non,non,False,None,False
18, 20.427129051085945,20.427129051085945,22.059667593612797,10.2345915,5,99.6181686907583,First,non,non,False,None,False
19, 21.847639777133327,20.429087486172396,22.059667593612797,11.254347,4.95,99.55285765497091,First,non,InsideOvertaking,False,None,False
20, 21.74930704922373,20.523732049349437,22.059667593612797,12.274323,4.8999996,99.48750454410813,First,non,InsideOvertaking,False,None,False
21, 21.460456758218875,20.453406171093423,22.059667593612797,13.294521,4.8499994,99.42208832063227,First,non,InsideOvertaking,False,None,False
22, 20.752320503374808,20.536611256690694,22.059667593612797,14.31494,4.799999,99.35663002208099,First,non,InsideOvertaking,False,None,False
23, 22.624515567897255,20.41714969492179,22.059667593612797,15.335582,4.749999,99.29112964845433,First,non,InsideOvertaking,False,None,False
24, 21.505263482804445,20.428265231847835,22.059667593612797,16.356443,4.699999,99.22556616221456,First,non,InsideOvertaking,False,None,False
25, 21.778627705697996,20.488718841848673,22.059667593612797,17.377527,4.6499987,99.1599606008994,First,non,InsideOvertaking,False,None,False
26, 21.206460397791332,20.422170632100624,22.059667593612797,18.398832,4.5999985,99.09431296450883,First,non,InsideOvertaking,False,None,False
27, 21.413730416823107,20.52175579584925,22.059667593612797,19.420359,4.5499983,99.02861273427402,First,non,InsideOvertaking,False,None,False
28, 21.240141762622088,20.526085234239478,22.059667593612797,20.442106,4.499998,98.9628493914261,First,non,InsideOvertaking,False,None,False
29, 21.46299788898107,20.44580488183572,22.059667593612797,21.464075,4.449998,98.89705449227165,First,non,InsideOvertaking,False,None,False
30, 22.51616896435885,20.472770101499997,22.059667593612797,22.486265,4.3999977,98.83120699927294,First,non,InsideOvertaking,False,None,False
31, 21.054684772046038,20.49988784556311,22.059667593612797,23.508677,4.3499975,98.76530691242998,First,non,InsideOvertaking,False,None,False
32, 22.095009904701,20.488951014331768,22.059667593612797,24.53131,4.2999973,98.69935423174277,First,non,InsideOvertaking,False,None,False
33, 22.429750662737078,20.47568040691635,22.059667593612797,25.554165,4.249997,98.63335947598017,First,non,InsideOvertaking,False,None,False
34, 20.890561762077464,20.527934526964035,22.059667593612797,26.577242,4.199997,98.56731212637332,First,non,InsideOvertaking,False,None,False
35, 21.491865725211802,20.42189954696644,22.059667593612797,27.60054,4.1499968,98.50122270169108,First,non,InsideOvertaking,False,None,False
36, 22.716130154174653,20.478202875061523,22.059667593612797,28.62406,4.0999966,98.43507016439573,First,non,InsideOvertaking,False,None,False
37, 20.787187458582597,20.461613414716055,22.059667593612797,29.6478,4.0499964,98.36887555202499,First,non,InsideOvertaking,False,None,False
38, 22.31490164943383,20.531456296652298,22.059667593612797,30.671762,3.9999964,98.30263886457884,First,non,InsideOvertaking,False,None,False
39, 22.492013308242914,20.538480059568062,22.059667593612797,31.695946,3.9499965,98.2363390645196,First,non,InsideOvertaking,False,None,False
40, 20.750035758487087,20.524518450975467,22.059667593612797,32.720352,3.8999965,98.16999718938496,First,non,InsideOvertaking,False,None,False
41, 21.334499151927073,20.502125846700523,22.059667593612797,33.74498,3.8499966,98.10361323917492,First,non,InsideOvertaking,False,None,False
42, 22.192090427197506,20.446514042528715,22.059667593612797,34.76983,3.7999966,98.03716617635179,First,non,InsideOvertaking,False,None,False
43, 21.793547951092897,20.470612917074057,22.059667593612797,35.7949,3.7499967,97.97067703845325,First,non,InsideOvertaking,False,None,False
44, 21.631168265720795,20.432334156026375,22.059667593612797,36.82019,3.6999967,97.90413530671047,First,non,InsideOvertaking,False,None,False
45, 21.254600019295975,20.50698067587714,22.059667593612797,37.845703,3.6499968,97.83755149989229,First,non,InsideOvertaking,False,None,False
46, 21.64163869823304,20.46201177320515,22.059667593612797,38.871437,3.5999968,97.7709256179987,First,non,InsideOvertaking,False,None,False
47, 22.240247395269787,20.420234546814232,22.059667593612797,39.897392,3.5499969,97.70423662349202,First,non,InsideOvertaking,False,None,False
48, 21.167220824057694,20.46040348680046,22.059667593612797,40.92357,3.499997,97.6374950351411,First,non,InsideOvertaking,False,None,False
49, 21.15895253803595,20.47288722324133,22.059667593612797,41.949966,3.449997,97.57071137171478,First,non,InsideOvertaking,False,None,False
50, 22.04427435227262,20.49365005270312,22.059667593612797,42.976585,3.399997,97.5038751144442,First,non,InsideOvertaking,False,None,False
51, 20.73699910721066,20.45052495794462,22.059667593612797,44.003426,3.349997,97.43698626332937,First,non,InsideOvertaking,False,None,False
52, 22.643170176184896,20.45771529211573,22.059667593612797,45.030487,3.299997,97.37005533713916,First,non,InsideOvertaking,False,None,False
53, 21.002794019770622,20.438575553382915,22.059667593612797,46.05777,3.2499971,97.30306129833585,First,non,InsideOvertaking,False,None,False
54, 22.067847868545194,20.456613318761168,22.059667593612797,47.085274,3.1999972,97.23603570322598,First,non,InsideOvertaking,False,None,False
55, 22.007025173049907,20.482089578799464,22.059667593612797,48.113,3.1499972,97.168946995503,First,non,InsideOvertaking,False,None,False
56, 22.082714435276763,20.426894219347556,22.059667593612797,49.140945,3.0999973,97.10181621270465,First,non,InsideOvertaking,False,None,False
57, 21.27649762866289,20.483388560941208,22.059667593612797,50.169113,3.0499973,97.03464335483089,First,non,InsideOvertaking,False,None,False
58, 20.950953713722406,20.469795760872135,22.059667593612797,51.197502,2.9999974,96.96740738434403,First,non,InsideOvertaking,False,None,False
59, 22.139602487124368,20.416257278465984,22.059667593612797,52.226112,2.9499974,96.90012933878177,First,non,InsideOvertaking,False,None,False
60, 21.63986859946799,20.51371857947337,22.059667593612797,53.254944,2.8999975,96.83279869937526,First,non,InsideOvertaking,False,None,False
