turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.69582756025224,19.69582756025224,21.21549949922731,0.060218886,8,99.974609375,First,non,non,False,None,False
2, 19.91397367353689,19.70590078883237,21.21549949922731,0.16978739,7.95,99.95682235962566,First,non,InsideOvertaking,False,None,False
3, 19.632924565295607,19.632924565295607,21.21549949922731,0.35044405,7.95,99.94527072192513,First,non,non,False,None,False
4, 20.750871934021482,19.686933885352055,21.21549949922731,0.58607304,7.8999996,99.9386280080214,First,non,InsideOvertaking,False,None,False
5, 20.028431147386254,19.588851054553867,21.21549949922731,0.8829869,7.8499994,99.935546875,First,non,InsideOvertaking,False,None,False
6, 21.734623912483325,19.62984219283334,21.21549949922731,1.2408239,7.799999,99.9346695354278,First,non,InsideOvertaking,False,None,False
7, 19.895170085443688,19.693036239678513,21.21549949922731,1.6593802,7.749999,99.9346590909091,First,non,InsideOvertaking,False,None,False
8, 20.06546129921111,19.69364430682092,21.21549949922731,2.1385295,7.699999,99.9341577540107,First,non,InsideOvertaking,False,None,False
9, 19.80490541421844,19.60205166964004,21.21549949922731,2.6781883,7.6499987,99.9318286263369,First,non,InsideOvertaking,False,None,False
10, 20.389917990766,19.596014405091754,21.21549949922731,3.278298,7.5999985,99.92632436497327,First,non,InsideOvertaking,False,None,False
11, 20.388149953756646,19.703236782928478,21.21549949922731,3.9388158,7.5499983,99.91629762700535,First,non,InsideOvertaking,False,None,False
12, 20.922727467869834,19.625636434193936,21.21549949922731,4.6597104,7.499998,99.900390625,First,non,InsideOvertaking,False,None,False
13, 20.678870503793558,19.618615578566946,21.21549949922731,5.4409575,7.449998,99.87727690508021,First,non,InsideOvertaking,False,None,False
14, 20.202093462782422,19.716515001851768,21.21549949922731,6.282538,7.3999977,99.84559867981284,First,non,InsideOvertaking,False,None,False
15, 20.480670255197044,19.60562292374321,21.21549949922731,7.1844363,7.3499975,99.80400860628342,First,non,InsideOvertaking,False,None,False
16, 20.532848812262856,19.65447544506947,21.21549949922731,8.146641,7.2999973,99.75115934157753,First,non,InsideOvertaking,False,None,False
17, 20.896407946695042,19.659625734384772,21.21549949922731,9.16914,7.249997,99.68570354278074,First,non,InsideOvertaking,False,None,False
18, 20.31614754975629,19.705826927980485,21.21549949922731,10.188636,7.199997,99.62091619318181,First,non,InsideOvertaking,False,None,False
19, 21.39181224107855,19.699071567404836,21.21549949922731,11.208351,7.1499968,99.5560661764706,First,non,InsideOvertaking,False,None,False
20, 20.68508892880077,19.59787643379194,21.21549949922731,12.228285,7.0999966,99.49118482620321,First,non,InsideOvertaking,False,None,False
