turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 20.04050495715805,20.04050495715805,21.636448563861265,0,6,100,First,non,non,False,Late Start,False
2, 20.04050495715805,20.04050495715805,21.636448563861265,0,6,100,First,non,non,False,Late Start,False
3, 22.13119453596593,20.087132766315786,21.636448563861265,0.0336872,5.95,99.98198364837916,First,non,InsideOvertaking,False,Late Start,False
4, 21.173252113369273,20.115427151746285,21.636448563861265,0.143411,5.8999996,99.96963573489477,First,non,InsideOvertaking,False,Late Start,False
5, 20.440389375347294,20.14096936150734,21.636448563861265,0.31723115,5.8499994,99.96191207357434,First,non,InsideOvertaking,False,Late Start,False
6, 20.436971701982774,20.10176641314606,21.636448563861265,0.553149,5.799999,99.95770218092328,First,non,InsideOvertaking,False,Late Start,False
7, 20.76290230750344,20.042111011930494,21.636448563861265,0.8504211,5.749999,99.95597015815936,First,non,InsideOvertaking,False,Late Start,False
8, 21.201122301518062,20.128871507666194,21.636448563861265,1.208686,5.699999,99.9556303833588,First,non,InsideOvertaking,False,Late Start,False
9, 21.46808199724352,20.02463544406016,21.636448563861265,1.6277404,5.6499987,99.95560552178802,First,non,InsideOvertaking,False,Late Start,False
10, 21.512467083569632,20.139111941430397,21.636448563861265,2.1074579,5.5999985,99.95483481309402,First,non,InsideOvertaking,False,Late Start,False
11, 21.769480498103118,20.113334654188375,21.636448563861265,2.6477551,5.5499983,99.95224092254328,First,non,InsideOvertaking,False,Late Start,False
12, 22.120651230735636,20.104862768404782,21.636448563861265,3.2485735,5.499998,99.94676308978275,First,non,InsideOvertaking,False,Late Start,False
13, 21.96150721146173,20.05501056975745,21.636448563861265,3.9098709,5.449998,99.93731569288866,First,non,InsideOvertaking,False,Late Start,False
14, 20.319512775120668,20.03110964326512,21.636448563861265,4.6316156,5.3999977,99.92283797150797,First,non,InsideOvertaking,False,Late Start,False
15, 20.394687443985717,20.140118128325778,21.636448563861265,5.413783,5.3499975,99.90226087809742,First,non,InsideOvertaking,False,Late Start,False
16, 21.498659127603272,20.083584498408513,21.636448563861265,6.2563543,5.2999973,99.87450707792345,First,non,InsideOvertaking,False,Late Start,False
17, 21.977707536647358,20.119707265602706,21.636448563861265,7.159314,5.249997,99.83849923625255,First,non,InsideOvertaking,False,Late Start,False
18, 21.863833187474274,20.047374134863116,21.636448563861265,8.12265,5.199997,99.79317659273167,First,non,InsideOvertaking,False,Late Start,False
19, 21.66471191023115,20.074850419987506,21.636448563861265,9.146352,5.1499968,99.73747009981754,First,non,InsideOvertaking,False,Late Start,False
20, 21.46680027113395,20.123757327236472,21.636448563861265,10.170343,5.0999966,99.68171388376187,First,non,InsideOvertaking,False,Late Start,False
21, 22.349948568841107,20.137163092978295,21.636448563861265,11.194625,5.0499964,99.62589137018415,First,non,InsideOvertaking,False,None,False
22, 21.328867156848194,20.077630948032088,21.636448563861265,12.219196,4.999996,99.57002742065512,First,non,InsideOvertaking,False,None,False
23, 20.30538446659498,20.08588219271531,21.636448563861265,13.240764,4.949996,99.51470213849286,First,non,InsideOvertaking,False,None,False
24, 20.835278039406045,20.08503426931286,21.636448563861265,14.262621,4.899996,99.45932713318906,First,non,InsideOvertaking,False,None,False
25, 20.947895757789627,20.124227789949067,21.636448563861265,15.284768,4.8499956,99.40390240474372,First,non,InsideOvertaking,False,None,False
26, 20.51364858873877,20.086419372181062,21.636448563861265,16.307205,4.7999954,99.34841966596656,First,non,InsideOvertaking,False,None,False
27, 20.851257158268485,20.148138660234082,21.636448563861265,17.329933,4.749995,99.29288720404786,First,non,InsideOvertaking,False,None,False
28, 21.624517241715488,20.060849155769105,21.636448563861265,18.352951,4.699995,99.23730501898761,First,non,InsideOvertaking,False,None,False
29, 21.53069500128805,20.045854557446518,21.636448563861265,19.376259,4.649995,99.18166482359555,First,non,InsideOvertaking,False,None,False
