turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.367056294770865,20.545246437279676,22.150002517945584,0.06029394,4,99.98922641708968,First,SpeedUp,non,False,None,False
2, 21.371000334942032,20.549038783598107,22.150002517945584,0.18088181,4,99.98184023371404,First,SpeedUp,non,False,None,False
3, 21.353011701731464,20.53174202089564,22.150002517945584,0.36176363,4,99.97721354166666,First,SpeedUp,non,False,None,False
4, 21.32974259328951,20.50936787816299,22.150002517945584,0.60293937,4,99.97470190884094,First,SpeedUp,non,False,None,False
5, 21.33500589270963,20.51442874299003,22.150002517945584,0.90440905,4,99.97366090313028,First,SpeedUp,non,False,None,False
6, 21.4032415645269,20.58003996589125,22.150002517945584,1.2661726,4,99.97346261632825,First,SpeedUp,non,False,None,False
7, 21.341906154091898,20.52106360970375,22.150002517945584,1.6882303,4,99.97344609242809,First,SpeedUp,non,False,None,False
8, 21.343150104155583,20.522259715534215,22.150002517945584,2.1705818,4,99.97298342322335,First,SpeedUp,non,False,None,False
9, 21.281761819187853,20.463232518449857,22.150002517945584,2.7132273,4,99.97143843855753,First,SpeedUp,non,False,None,False
10, 21.334207612444043,20.51366116581158,22.150002517945584,3.3161666,4,99.96815844437394,First,SpeedUp,non,False,None,False
11, 21.411697677803936,20.588170844042246,22.150002517945584,3.9794,4,99.96249900856598,First,SpeedUp,non,False,None,False
12, 21.38048905543891,20.558162553306644,22.150002517945584,4.702927,4,99.95384048487732,First,SpeedUp,non,False,None,False
13, 21.32756165066117,20.507270817943432,22.150002517945584,5.486748,4,99.94152191730119,First,SpeedUp,non,False,None,False
14, 21.354808731773396,20.533469934397495,22.150002517945584,6.3308635,4,99.92491539763112,First,SpeedUp,non,False,None,False
15, 21.35092461042761,20.52973520233424,22.150002517945584,7.2352724,4,99.90337649376058,First,SpeedUp,non,False,None,False
16, 21.411435443734458,20.587918695898516,22.150002517945584,8.199975,4,99.87626077358291,First,SpeedUp,non,False,None,False
17, 21.289376377550976,20.47055420918363,22.150002517945584,9.224972,4,99.84293206694163,First,SpeedUp,non,False,None,False
18, 21.39510182504878,20.572213293316135,22.150002517945584,10.310263,4,99.80273767978004,First,SpeedUp,non,False,None,False
19, 21.408233807753003,20.584840199762503,22.150002517945584,11.392553,4,99.76290681842217,First,SpeedUp,non,False,None,False
20, 21.326785342297523,20.506524367593773,22.150002517945584,12.471844,4,99.72343122091793,First,SpeedUp,non,False,None,False
21, 21.36079405145223,20.5392250494733,22.150002517945584,13.548135,4,99.68431088726734,First,SpeedUp,non,False,None,False
22, 21.292497142636723,20.473554944843002,22.150002517945584,14.621426,4,99.6455375555203,First,SpeedUp,non,False,None,False
23, 21.322978987582793,20.5028644111373,22.150002517945584,15.691716,4,99.6071194876269,First,SpeedUp,non,False,None,False
24, 21.369065005091706,20.547177889511254,22.150002517945584,16.759007,4,99.56904015968696,First,SpeedUp,non,False,None,False
25, 21.370784769658297,20.548831509286824,22.150002517945584,17.826591,4,99.5309277839467,First,SpeedUp,non,False,None,False
26, 21.28658986881258,20.46787487385825,22.150002517945584,18.891176,4,99.49317067206006,First,SpeedUp,non,False,None,False
27, 21.331467310918825,20.51102626049887,22.150002517945584,19.956055,4,99.45537225042301,First,SpeedUp,non,False,None,False
28, 21.389154980078477,20.56649517315238,22.150002517945584,21.021227,4,99.4175490429357,First,SpeedUp,non,False,None,False
29, 21.381919947052015,20.55953841062694,22.150002517945584,22.086693,4,99.37968452569797,First,SpeedUp,non,False,None,False
30, 21.37170501299099,20.54971635864518,22.150002517945584,23.152454,4,99.3417869606599,First,SpeedUp,non,False,None,False
31, 21.37030868665122,20.548373737164635,22.150002517945584,24.21851,4,99.30385634782148,First,SpeedUp,non,False,None,False
32, 21.306289199946832,20.486816538410416,22.150002517945584,25.281565,4,99.26627273688663,First,SpeedUp,non,False,None,False
33, 21.39906298237492,20.576022098437424,22.150002517945584,26.344913,4,99.22865607815143,First,SpeedUp,non,False,None,False
34, 21.305291527411104,20.485857237895292,22.150002517945584,27.408556,4,99.1910063716159,First,SpeedUp,non,False,None,False
35, 21.287365783698114,20.46862094586357,22.150002517945584,28.472492,4,99.15331535532995,First,SpeedUp,non,False,None,False
36, 21.287691752985754,20.468934377870916,22.150002517945584,29.536722,4,99.11559129124365,First,SpeedUp,non,False,None,False
37, 21.40544481174137,20.582158472828237,22.150002517945584,30.601246,4,99.0778424413071,First,SpeedUp,non,False,None,False
38, 21.29748204387567,20.47834811911122,22.150002517945584,31.666063,4,99.04005228162013,First,SpeedUp,non,False,None,False
39, 21.391554168590428,20.568802085183105,22.150002517945584,32.731174,4,99.00222907413283,First,SpeedUp,non,False,None,False
40, 21.349156500771905,20.528035096896062,22.150002517945584,33.79658,4,98.96437281884518,First,SpeedUp,non,False,None,False
41, 21.33881366953323,20.518090066858875,22.150002517945584,34.86228,4,98.92648351575718,First,SpeedUp,non,False,None,False
42, 21.389585930470762,20.56690954852958,22.150002517945584,35.928276,4,98.88856116486886,First,SpeedUp,non,False,None,False
43, 21.40338311588994,20.580176072971096,22.150002517945584,36.994564,4,98.8506057661802,First,SpeedUp,non,False,None,False
44, 21.343634208044797,20.522725200043073,22.150002517945584,38.061146,4,98.81260905774111,First,SpeedUp,non,False,None,False
45, 21.344075977005918,20.523149977890306,22.150002517945584,39.12802,4,98.77458756345177,First,SpeedUp,non,False,None,False
46, 21.313852599894453,20.494089038360052,22.150002517945584,40.1919,4,98.7369048091159,First,SpeedUp,non,False,None,False
47, 21.304130365385117,20.484740735947227,22.150002517945584,41.25607,4,98.6991890069797,First,SpeedUp,non,False,None,False
48, 21.34183419480626,20.520994418082942,22.150002517945584,42.320534,4,98.66144841899323,First,SpeedUp,non,False,None,False
49, 21.376195296692792,20.554033939127685,22.150002517945584,43.385292,4,98.62366652125634,First,SpeedUp,non,False,None,False
50, 21.334220017581078,20.513673093827958,22.150002517945584,44.450344,4,98.58585157571912,First,SpeedUp,non,False,None,False
51, 21.38025623833792,20.557938690709538,22.150002517945584,45.51569,4,98.54800358238155,First,SpeedUp,non,False,None,False
52, 21.408226548221112,20.584833219443375,22.150002517945584,46.58133,4,98.51012254124365,First,SpeedUp,non,False,None,False
53, 21.28293151879278,20.464357229608442,22.150002517945584,47.64397,4,98.47258024005922,First,SpeedUp,non,False,None,False
54, 21.40543764288074,20.58215157969302,22.150002517945584,48.706905,4,98.43501315302453,First,SpeedUp,non,False,None,False
55, 21.379563761872046,20.55727284795389,22.150002517945584,49.770134,4,98.39741301818951,First,SpeedUp,non,False,None,False
56, 21.34358428519224,20.52267719730023,22.150002517945584,50.833656,4,98.35977157360406,First,SpeedUp,non,False,None,False
57, 21.38195920012147,20.559576153962954,22.150002517945584,51.897472,4,98.32209708121827,First,SpeedUp,non,False,None,False
58, 21.320835988995228,20.500803835572334,22.150002517945584,52.961582,4,98.28438954103214,First,SpeedUp,non,False,None,False
59, 21.399381532824926,20.576328396947044,22.150002517945584,54.025986,4,98.24664895304568,First,SpeedUp,non,False,None,False
60, 21.403133754321424,20.579936302232138,22.150002517945584,55.090683,4,98.20887531725889,First,SpeedUp,non,False,None,False
61, 21.320098573417123,20.50009478213185,22.150002517945584,56.155674,4,98.17106863367174,First,SpeedUp,non,False,None,False
62, 21.369078650503063,20.547191010099098,22.150002517945584,57.22096,4,98.13322890228426,First,SpeedUp,non,False,None,False
