turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 21.393315485828268,20.570495659450255,22.17915877683192,0.06029394,3,99.98922641708968,First,SpeedUp,non,False,None,False
2, 21.286572007121684,20.467857699155466,22.17915877683192,0.18088181,3,99.98184023371404,First,SpeedUp,non,False,None,False
3, 21.295543587091046,20.476484218356774,22.17915877683192,0.36176363,3,99.97721354166666,First,SpeedUp,non,False,None,False
4, 21.335298531540236,20.514710126480995,22.17915877683192,0.60293937,3,99.97470190884094,First,SpeedUp,non,False,None,False
5, 21.381834056562294,20.55945582361759,22.17915877683192,0.90440905,3,99.97366090313028,First,SpeedUp,non,False,None,False
6, 21.377216226964087,20.555015602850084,22.17915877683192,1.2661726,3,99.97346261632825,First,SpeedUp,non,False,None,False
7, 21.338348148469464,20.517642450451408,22.17915877683192,1.6882303,3,99.97344609242809,First,SpeedUp,non,False,None,False
8, 21.285457384611295,20.46678594674163,22.17915877683192,2.1705818,3,99.97298342322335,First,SpeedUp,non,False,None,False
9, 21.36449673124982,20.54278531850944,22.17915877683192,2.7132273,3,99.97143843855753,First,SpeedUp,non,False,None,False
10, 21.31580237944714,20.495963826391478,22.17915877683192,3.3161666,3,99.96815844437394,First,SpeedUp,non,False,None,False
11, 21.317918034240623,20.49799810984675,22.17915877683192,3.9794,3,99.96249900856598,First,SpeedUp,non,False,None,False
12, 21.348317662676802,20.527228521804616,22.17915877683192,4.702927,3,99.95384048487732,First,SpeedUp,non,False,None,False
13, 21.37050769709782,20.54856509336329,22.17915877683192,5.486748,3,99.94152191730119,First,SpeedUp,non,False,None,False
14, 21.364071187585502,20.542376141909134,22.17915877683192,6.3308635,3,99.92491539763112,First,SpeedUp,non,False,None,False
15, 21.36313153516646,20.54147262996775,22.17915877683192,7.2352724,3,99.90337649376058,First,SpeedUp,non,False,None,False
16, 21.35629447439644,20.5348985330735,22.17915877683192,8.199975,3,99.87626077358291,First,SpeedUp,non,False,None,False
17, 21.39656057530828,20.573615937796422,22.17915877683192,9.224972,3,99.84293206694163,First,SpeedUp,non,False,None,False
18, 21.28219944576211,20.463653313232797,22.17915877683192,10.310263,3,99.80273767978004,First,SpeedUp,non,False,None,False
19, 21.369414893592783,20.54751432076229,22.17915877683192,11.392553,3,99.76290681842217,First,SpeedUp,non,False,None,False
20, 21.316056701918278,20.496208367229112,22.17915877683192,12.471844,3,99.72343122091793,First,SpeedUp,non,False,None,False
21, 21.28309450122164,20.464513943482345,22.17915877683192,13.548135,3,99.68431088726734,First,SpeedUp,non,False,None,False
