turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.34045514347159,19.34045514347159,20.901396259490483,0,7,100,First,non,non,False,Late Start,False
2, 19.259211385389133,19.259211385389133,20.901396259490483,0.06028659,7,99.98208399261604,First,non,non,False,Late Start,False
3, 20.855648350374775,19.306109762242997,20.901396259490483,0.17000392,6.95,99.96981309335443,First,non,InsideOvertaking,False,Late Start,False
4, 21.276955854153087,19.29148148912574,20.901396259490483,0.3438149,6.8999996,99.962115967827,First,non,InsideOvertaking,False,Late Start,False
5, 20.05467213303229,19.30875995851517,20.901396259490483,0.57972074,6.8499994,99.95793776371308,First,non,InsideOvertaking,False,Late Start,False
6, 20.318738973695645,19.28212080662313,20.901396259490483,0.8769779,6.799999,99.95621538765823,First,non,InsideOvertaking,False,Late Start,False
7, 21.17858556891032,19.32392528153303,20.901396259490483,1.2352251,6.749999,99.9558692642405,First,non,InsideOvertaking,False,Late Start,False
8, 19.328261466232274,19.328261466232274,20.901396259490483,1.6572312,6.749999,99.955852782173,First,non,non,False,Late Start,False
9, 19.292586824165774,19.292586824165774,20.901396259490483,2.139524,6.749999,99.95508636603375,First,non,non,False,Late Start,False
10, 19.26843957878538,19.26843957878538,20.901396259490483,2.6821032,6.749999,99.95251516350211,First,non,non,False,Late Start,False
11, 19.31767115457039,19.31767115457039,20.901396259490483,3.284969,6.749999,99.94705959915612,First,non,non,False,Late Start,False
12, 19.210693553031472,19.210693553031472,20.901396259490483,3.9481215,6.749999,99.93767306170886,First,non,non,False,Late Start,False
13, 19.223776919875743,19.223776919875743,20.901396259490483,4.671561,6.749999,99.92327597573839,First,non,non,False,Late Start,False
14, 19.21032594950156,19.21032594950156,20.901396259490483,5.4552865,6.749999,99.90281348892405,First,non,non,False,Late Start,False
15, 19.215063391468995,19.215063391468995,20.901396259490483,6.299299,6.749999,99.87522250791139,First,non,non,False,Late Start,False
16, 19.216316577274515,19.216316577274515,20.901396259490483,7.2035975,6.749999,99.83942345727849,First,non,non,False,Late Start,False
17, 19.287561863309694,19.287561863309694,20.901396259490483,8.168183,6.749999,99.79436148470464,First,non,non,False,Late Start,False
18, 19.26718990189384,19.26718990189384,20.901396259490483,9.129768,6.749999,99.74978573312237,First,non,non,False,Late Start,False
19, 19.22582419085167,19.22582419085167,20.901396259490483,10.088354,6.749999,99.70569620253164,First,non,non,False,Late Start,False
20, 19.32303911441084,19.32303911441084,20.901396259490483,11.047226,6.749999,99.66155722573839,First,non,non,False,Late Start,False
21, 19.23350935089563,19.23350935089563,20.901396259490483,12.006385,6.749999,99.61737704377637,First,non,non,False,None,False
22, 19.28502388402525,19.28502388402525,20.901396259490483,12.96583,6.749999,99.57314741561181,First,non,non,False,None,False
23, 19.25523577938405,19.25523577938405,20.901396259490483,13.925562,6.749999,99.52886834124473,First,non,non,False,None,False
24, 19.28490989042209,19.28490989042209,20.901396259490483,14.88558,6.749999,99.48454806170886,First,non,non,False,None,False
25, 19.292522977074242,19.292522977074242,20.901396259490483,15.845885,6.749999,99.44018657700423,First,non,non,False,None,False
26, 19.27488642084864,19.27488642084864,20.901396259490483,16.806477,6.749999,99.3957674050633,First,non,non,False,None,False
27, 19.2715803269976,19.2715803269976,20.901396259490483,17.767355,6.749999,99.35130702795358,First,non,non,False,None,False
28, 19.26620306504263,19.26620306504263,20.901396259490483,18.72852,6.749999,99.30679720464136,First,non,non,False,None,False
29, 19.282563044257216,19.282563044257216,20.901396259490483,19.68997,6.749999,99.26224617616033,First,non,non,False,None,False
30, 19.229966980424667,19.229966980424667,20.901396259490483,20.651709,6.749999,99.2176457014768,First,non,non,False,None,False
31, 19.339056667378152,19.339056667378152,20.901396259490483,21.613733,6.749999,99.17300402162448,First,non,non,False,None,False
32, 19.338629585457607,19.338629585457607,20.901396259490483,22.576044,6.749999,99.12831289556962,First,non,non,False,None,False
33, 20.99446901383905,19.27404400222144,20.901396259490483,23.537342,6.699999,99.083580564346,First,non,InsideOvertaking,False,None,False
