turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.217385509315918,19.217385509315918,20.772173143627025,0,8,100,First,non,non,False,Late Start,False
2, 19.217385509315918,19.217385509315918,20.772173143627025,0,8,100,First,non,non,False,Late Start,False
3, 19.26129073394911,19.26129073394911,20.772173143627025,0.06028659,8,99.98208399261604,First,non,non,False,Late Start,False
4, 19.855084347179385,19.305748411168814,20.772173143627025,0.17000392,7.95,99.96981309335443,First,non,InsideOvertaking,False,Late Start,False
5, 20.03120729898381,19.285245115784623,20.772173143627025,0.3438149,7.8999996,99.962115967827,First,non,InsideOvertaking,False,Late Start,False
6, 19.513775623940184,19.29440884166998,20.772173143627025,0.57972074,7.8499994,99.95793776371308,First,non,InsideOvertaking,False,Late Start,False
7, 19.860281231715145,19.32394964176827,20.772173143627025,0.8769779,7.799999,99.95621538765823,First,non,InsideOvertaking,False,Late Start,False
8, 19.63202639208813,19.302404048433772,20.772173143627025,1.2352251,7.749999,99.9558692642405,First,non,InsideOvertaking,False,Late Start,False
9, 20.260862564964654,19.323131536195316,20.772173143627025,1.6542587,7.699999,99.955852782173,First,non,InsideOvertaking,False,Late Start,False
10, 20.671841100339627,19.328181416958774,20.772173143627025,2.1339526,7.6499987,99.95508636603375,First,non,InsideOvertaking,False,Late Start,False
11, 20.97109974644735,19.3077801543337,20.772173143627025,2.6742232,7.5999985,99.95251516350211,First,non,InsideOvertaking,False,Late Start,False
12, 20.640272025505425,19.264353200685964,20.772173143627025,3.275012,7.5499983,99.94705959915612,First,non,InsideOvertaking,False,Late Start,False
13, 20.12138301683177,19.24770625849827,20.772173143627025,3.936277,7.499998,99.93767306170886,First,non,InsideOvertaking,False,Late Start,False
14, 21.172763276920946,19.30497335648847,20.772173143627025,4.657986,7.449998,99.92327597573839,First,non,InsideOvertaking,False,Late Start,False
15, 20.663915714045885,19.25208935504238,20.772173143627025,5.4401155,7.3999977,99.90281348892405,First,non,InsideOvertaking,False,Late Start,False
16, 20.108340691039785,19.335528473379615,20.772173143627025,6.282645,7.3499975,99.87522250791139,First,non,InsideOvertaking,False,Late Start,False
17, 20.958829148508634,19.335869944151174,20.772173143627025,7.1855607,7.2999973,99.83942345727849,First,non,InsideOvertaking,False,Late Start,False
18, 19.561056990759315,19.259468527064566,20.772173143627025,8.1488495,7.249997,99.79436148470464,First,non,InsideOvertaking,False,Late Start,False
19, 21.435738090514675,19.33838830533446,20.772173143627025,9.172501,7.199997,99.73897349683544,First,non,InsideOvertaking,False,Late Start,False
20, 19.91582906138235,19.211989747245024,20.772173143627025,10.193149,7.1499968,99.68412117616033,First,non,InsideOvertaking,False,Late Start,False
21, 20.135994026987312,19.21760409804396,20.772173143627025,11.210793,7.0999966,99.62980452267932,First,non,InsideOvertaking,False,None,False
22, 20.182098111165065,19.297216047964323,20.772173143627025,12.225433,7.0499964,99.5760235363924,First,non,InsideOvertaking,False,None,False
23, 20.980983395552677,19.282543565112046,20.772173143627025,13.240361,6.999996,99.52219310390295,First,non,InsideOvertaking,False,None,False
24, 19.298368238863997,19.298368238863997,20.772173143627025,14.25352,6.999996,99.4688983386076,First,non,non,False,None,False
25, 19.256061695045155,19.256061695045155,20.772173143627025,15.263679,6.999996,99.41612275843882,First,non,non,False,None,False
26, 19.270463753187606,19.270463753187606,20.772173143627025,16.270838,6.999996,99.36388284546413,First,non,non,False,None,False
27, 19.237709828762217,19.237709828762217,20.772173143627025,17.274996,6.999996,99.31216211761604,First,non,non,False,None,False
28, 19.241031337904012,19.241031337904012,20.772173143627025,18.276154,6.999996,99.26096057489451,First,non,non,False,None,False
29, 19.229024292280492,19.229024292280492,20.772173143627025,19.274313,6.999996,99.21027821729957,First,non,non,False,None,False
30, 19.227579711557034,19.227579711557034,20.772173143627025,20.269472,6.999996,99.16011504483123,First,non,non,False,None,False
31, 19.249955302794127,19.249955302794127,20.772173143627025,21.261631,6.999996,99.1104628164557,First,non,non,False,None,False
32, 19.330790654305098,19.330790654305098,20.772173143627025,22.25079,6.999996,99.061321532173,First,non,non,False,None,False
33, 19.31497646005579,19.31497646005579,20.772173143627025,23.236948,6.999996,99.01268295094937,First,non,non,False,None,False
34, 19.306617378159828,19.306617378159828,20.772173143627025,24.220106,6.999996,98.96455531381856,First,non,non,False,None,False
35, 19.267241327240335,19.267241327240335,20.772173143627025,25.200264,6.999996,98.91693037974683,First,non,non,False,None,False
36, 19.530814165097695,19.246106595062127,20.772173143627025,26.176142,6.949996,98.86979990770043,First,non,InsideOvertaking,False,None,False
37, 21.03093648719171,19.3386568263994,20.772173143627025,27.152308,6.899996,98.82262823048524,First,non,InsideOvertaking,False,None,False
38, 20.85794905618378,19.23896280418755,20.772173143627025,28.12876,6.8499956,98.77540710706751,First,non,InsideOvertaking,False,None,False
39, 21.43380588371067,19.327128223622605,20.772173143627025,29.1055,6.7999954,98.72813653744726,First,non,InsideOvertaking,False,None,False
40, 20.371779045634124,19.299686592214886,20.772173143627025,30.082525,6.749995,98.68081652162448,First,non,InsideOvertaking,False,None,False
41, 20.668271226199543,19.25206118344334,20.772173143627025,31.05984,6.699995,98.63345530063292,First,non,InsideOvertaking,False,None,False
42, 20.837853519840607,19.31149531686524,20.772173143627025,32.03744,6.649995,98.58603639240506,First,non,InsideOvertaking,False,None,False
43, 21.22300789463612,19.330720810632457,20.772173143627025,33.015327,6.5999947,98.53858452004219,First,non,InsideOvertaking,False,None,False
44, 20.935978790578556,19.277024482087935,20.772173143627025,33.993504,6.5499945,98.49107496044304,First,non,InsideOvertaking,False,None,False
45, 20.687038467662568,19.270671435145967,20.772173143627025,34.971966,6.4999943,98.44351595464136,First,non,InsideOvertaking,False,None,False
46, 21.17905527726363,19.216127918943506,20.772173143627025,35.950714,6.449994,98.39590750263713,First,non,InsideOvertaking,False,None,False
47, 19.7307537754973,19.254833195895266,20.772173143627025,36.92975,6.399994,98.34825784546413,First,non,InsideOvertaking,False,None,False
48, 20.504195183356327,19.307068960408795,20.772173143627025,37.90907,6.3499937,98.30055874208861,First,non,InsideOvertaking,False,None,False
49, 19.710895175805355,19.33917462697091,20.772173143627025,38.88868,6.2999935,98.25281019251055,First,non,InsideOvertaking,False,None,False
50, 20.56132011693697,19.211879630307457,20.772173143627025,39.868576,6.2499933,98.20501219672995,First,non,InsideOvertaking,False,None,False
51, 21.089993275456486,19.224396918727987,20.772173143627025,40.84876,6.199993,98.15717299578058,First,non,InsideOvertaking,False,None,False
52, 19.275487486638163,19.275487486638163,20.772173143627025,41.827217,6.199993,98.10982825685655,First,non,non,False,None,False
53, 19.269126771659945,19.269126771659945,20.772173143627025,42.802673,6.199993,98.06298622099156,First,non,non,False,None,False
54, 19.229461484863673,19.229461484863673,20.772173143627025,43.77513,6.199993,98.01663040611814,First,non,non,False,None,False
55, 19.238933822331315,19.238933822331315,20.772173143627025,44.744587,6.199993,97.9707772943038,First,non,non,False,None,False
56, 19.24539495336783,19.24539495336783,20.772173143627025,45.711044,6.199993,97.92541040348101,First,non,non,False,None,False
57, 19.277333098740083,19.277333098740083,20.772173143627025,46.674503,6.199993,97.88053797468355,First,non,non,False,None,False
58, 19.33886913991484,19.33886913991484,20.772173143627025,47.63825,6.199993,97.8356078586498,First,non,non,False,None,False
59, 19.262344416134066,19.262344416134066,20.772173143627025,48.59899,6.199993,97.79117220464136,First,non,non,False,None,False
60, 19.261225771060925,19.261225771060925,20.772173143627025,49.56002,6.199993,97.74668710443038,First,non,non,False,None,False
61, 19.237664911591146,19.237664911591146,20.772173143627025,50.52134,6.199993,97.70215255801688,First,non,non,False,None,False
62, 19.235988924425854,19.235988924425854,20.772173143627025,51.482944,6.199993,97.65758504746836,First,non,non,False,None,False
63, 19.2958229521403,19.2958229521403,20.772173143627025,52.444836,6.199993,97.61295984968355,First,non,non,False,None,False
64, 19.229989074636563,19.229989074636563,20.772173143627025,53.403725,6.199993,97.5688208728903,First,non,non,False,None,False
65, 19.281526296040397,19.281526296040397,20.772173143627025,54.3629,6.199993,97.52463244989451,First,non,non,False,None,False
66, 19.31091155267053,19.31091155267053,20.772173143627025,55.322365,6.199993,97.48040282172995,First,non,non,False,None,False
67, 19.23076888622041,19.23076888622041,20.772173143627025,56.282116,6.199993,97.43611550632912,First,non,non,False,None,False
68, 19.339996780176612,19.339996780176612,20.772173143627025,57.242153,6.199993,97.39179522679325,First,non,non,False,None,False
69, 19.252131325342354,19.252131325342354,20.772173143627025,58.202477,6.199993,97.34742550105486,First,non,non,False,None,False
70, 19.236395948072456,19.236395948072456,20.772173143627025,59.163086,6.199993,97.30300632911393,First,non,non,False,None,False
71, 19.218127147799493,19.218127147799493,20.772173143627025,60.12398,6.199993,97.25854595200423,First,non,non,False,None,False
72, 19.23566689665238,19.23566689665238,20.772173143627025,61.085163,6.199993,97.21403612869199,First,non,non,False,None,False
73, 19.24372732013003,19.24372732013003,20.772173143627025,62.046635,6.199993,97.16948510021098,First,non,non,False,None,False
74, 19.287576366422503,19.287576366422503,20.772173143627025,63.008392,6.199993,97.12487638449367,First,non,non,False,None,False
75, 19.265834512090983,19.265834512090983,20.772173143627025,63.970436,6.199993,97.0802264636076,First,non,non,False,None,False
