turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 17.603339295201376,17.603339295201376,18.83025133862532,0,4,100,First,non,non,False,Late Start,False
2, 18.1071826398914,17.64621392815854,18.83025133862532,0.034456592,3.95,99.99348366723035,First,non,InsideOvertaking,False,Late Start,False
3, 18.307173380307365,17.6425529167234,18.83025133862532,0.14513192,3.9,99.98948735925474,First,non,InsideOvertaking,False,Late Start,False
4, 19.151072869063466,17.622176773840717,18.83025133862532,0.32030416,3.8500001,99.98740927910741,First,non,InsideOvertaking,False,Late Start,False
5, 18.12662481174994,17.598693561642534,18.83025133862532,0.55799323,3.8000002,99.98661942058988,First,non,InsideOvertaking,False,Late Start,False
6, 17.961571842151304,17.568572609526985,18.83025133862532,0.8574618,3.7500002,99.98650658365881,First,non,InsideOvertaking,False,Late Start,False
7, 19.306100116291308,17.60833120142879,18.83025133862532,1.2183514,3.7000003,99.98645956827086,First,non,InsideOvertaking,False,Late Start,False
8, 18.204467840972132,17.619204976762944,18.83025133862532,1.6404599,3.6500003,99.98585777130512,First,non,InsideOvertaking,False,Late Start,False
9, 19.07204945562363,17.579242975571933,18.83025133862532,2.1236622,3.6000004,99.98408058964067,First,non,InsideOvertaking,False,Late Start,False
10, 18.406477337402126,17.63766348090742,18.83025133862532,2.6678753,3.5500004,99.98051682323417,First,non,InsideOvertaking,False,Late Start,False
11, 18.690844872746915,17.637179071464978,18.83025133862532,3.2730412,3.5000005,99.97454586896473,First,non,InsideOvertaking,False,Late Start,False
12, 18.777700685409147,17.585360722592768,18.83025133862532,3.939118,3.4500005,99.96555652678899,First,non,InsideOvertaking,False,Late Start,False
13, 17.86224045023459,17.55624963392681,18.83025133862532,4.666074,3.4000006,99.95292819358605,First,non,InsideOvertaking,False,Late Start,False
14, 18.563343796027098,17.573755252505673,18.83025133862532,5.453885,3.3500006,99.93604966931257,First,non,InsideOvertaking,False,Late Start,False
15, 18.12225869574919,17.59963331026234,18.83025133862532,6.302532,3.3000007,99.91430035084763,First,non,InsideOvertaking,False,Late Start,False
16, 18.683477827161724,17.578377643787483,18.83025133862532,7.212001,3.2500007,99.88705963507032,First,non,InsideOvertaking,False,Late Start,False
17, 18.71495342663462,17.548454150624437,18.83025133862532,8.182278,3.2000008,99.8537163219373,First,non,InsideOvertaking,False,Late Start,False
18, 18.544663038335667,17.58066660832484,18.83025133862532,9.14955,3.1500008,99.82070211651993,First,non,InsideOvertaking,False,Late Start,False
19, 18.443286848502424,17.593105241573795,18.83025133862532,10.113819,3.1000009,99.78799821266301,First,non,InsideOvertaking,False,Late Start,False
20, 18.17882829080858,17.548718047963174,18.83025133862532,11.075085,3.050001,99.75559520728896,First,non,InsideOvertaking,False,Late Start,False
21, 18.65629515528274,17.58295662793432,18.83025133862532,12.033346,3.000001,99.72351190655296,First,non,InsideOvertaking,False,None,False
22, 19.271488357566145,17.60862785954217,18.83025133862532,12.992331,2.950001,99.69135338119625,First,non,InsideOvertaking,False,None,False
23, 18.733919375331226,17.58942020498522,18.83025133862532,13.948311,2.900001,99.65950515739999,First,non,InsideOvertaking,False,None,False
24, 19.32063036012847,17.565429764369007,18.83025133862532,14.905015,2.850001,99.62758170898302,First,non,InsideOvertaking,False,None,False
25, 19.0205237450612,17.617965011262786,18.83025133862532,15.858715,2.8000011,99.5959685621265,First,non,InsideOvertaking,False,None,False
26, 18.621208505586317,17.60123189618966,18.83025133862532,16.809412,2.7500012,99.56465631375286,First,non,InsideOvertaking,False,None,False
27, 19.523088927512788,17.66043584570415,18.83025133862532,17.760832,2.7000012,99.5332782438361,First,non,InsideOvertaking,False,None,False
28, 19.434410569958604,17.586973197605776,18.83025133862532,18.712976,2.6500013,99.50182494929861,First,non,InsideOvertaking,False,None,False
29, 19.045416432246107,17.548404898221545,18.83025133862532,19.662117,2.6000013,99.47067255324399,First,non,InsideOvertaking,False,None,False
30, 18.06186910739046,17.607316948446904,18.83025133862532,20.608252,2.5500014,99.43983045874982,First,non,InsideOvertaking,False,None,False
31, 19.28967740308349,17.612183878930047,18.83025133862532,21.55511,2.5000014,99.40891313963495,First,non,InsideOvertaking,False,None,False
32, 19.190001586154132,17.543061367539487,18.83025133862532,22.502693,2.4500015,99.37792999897694,First,non,InsideOvertaking,False,None,False
33, 18.431477964067582,17.575159375232104,18.83025133862532,23.447271,2.4000015,99.3472477568018,First,non,InsideOvertaking,False,None,False
34, 17.62138682734306,17.62138682734306,18.83025133862532,24.390173,2.4000015,99.31686641310954,First,non,non,False,None,False
35, 17.560768118269717,17.560768118269717,18.83025133862532,25.330074,2.4000015,99.28677656482256,First,non,non,False,None,False
36, 17.549429945692363,17.549429945692363,18.83025133862532,26.266975,2.4000015,99.25700642117363,First,non,non,False,None,False
37, 17.59581231235947,17.59581231235947,18.83025133862532,27.200876,2.4000015,99.22751836985238,First,non,non,False,None,False
38, 17.640107759392592,17.640107759392592,18.83025133862532,28.131777,2.4000015,99.19834062009159,First,non,non,False,None,False
39, 17.588871794039953,17.588871794039953,18.83025133862532,29.059677,2.4000015,99.16944496265849,First,non,non,False,None,False
40, 17.551968394040138,17.551968394040138,18.83025133862532,29.98458,2.4000015,99.14085960678585,First,non,non,False,None,False
41, 18.05725064619995,17.55988517596003,18.83025133862532,30.905123,2.3500016,99.11255634324091,First,non,InsideOvertaking,False,None,False
42, 19.246288268487262,17.588836233486223,18.83025133862532,31.826391,2.3000016,99.08417785507525,First,non,InsideOvertaking,False,None,False
43, 18.957060349215215,17.557177124659002,18.83025133862532,32.748383,2.2500017,99.05573354536646,First,non,InsideOvertaking,False,None,False
44, 18.412948069252664,17.5869872538233,18.83025133862532,33.66737,2.2000017,99.02759013414054,First,non,InsideOvertaking,False,None,False
45, 19.534736693383234,17.631734508663147,18.83025133862532,34.587082,2.1500018,98.99936209521631,First,non,InsideOvertaking,False,None,False
46, 18.892716536348242,17.587961491075404,18.83025133862532,35.50752,2.1000018,98.97106823474896,First,non,InsideOvertaking,False,None,False
47, 19.14192311245686,17.588368193631588,18.83025133862532,36.428677,2.0500019,98.94270855273848,First,non,InsideOvertaking,False,None,False
48, 18.196386617956737,17.581006760715177,18.83025133862532,37.346832,2.000002,98.91464036613327,First,non,InsideOvertaking,False,None,False
49, 18.739017891281154,17.589978746310617,18.83025133862532,38.265713,1.950002,98.88650635798494,First,non,InsideOvertaking,False,None,False
50, 19.34613816043046,17.591234817879442,18.83025133862532,39.185314,1.900002,98.8582971252159,First,non,InsideOvertaking,False,None,False
51, 18.340227653763456,17.560958909489827,18.83025133862532,40.101913,1.850002,98.83036998477453,First,non,InsideOvertaking,False,None,False
52, 19.427584981917658,17.58247318913528,18.83025133862532,41.019234,1.8000021,98.80238642586764,First,non,InsideOvertaking,False,None,False
53, 19.110881500239437,17.634385832792976,18.83025133862532,41.93728,1.7500021,98.77431823926243,First,non,InsideOvertaking,False,None,False
54, 19.38954198776746,17.616756971416983,18.83025133862532,42.85605,1.7000022,98.7461936341917,First,non,InsideOvertaking,False,None,False
55, 18.898891848201004,17.564797101557925,18.83025133862532,43.775543,1.6500022,98.71799380450024,First,non,InsideOvertaking,False,None,False
56, 18.393866617604342,17.617476435599507,18.83025133862532,44.69203,1.6000023,98.69008547021406,First,non,InsideOvertaking,False,None,False
57, 17.860269186475502,17.627070708535168,18.83025133862532,45.605515,1.5500023,98.66245922825557,First,non,InsideOvertaking,False,None,False
58, 18.586693128116618,17.564530345154175,18.83025133862532,46.519722,1.5000024,98.63477656783154,First,non,InsideOvertaking,False,None,False
59, 18.501409854691456,17.62070331414064,18.83025133862532,47.434654,1.4500024,98.6070092797092,First,non,InsideOvertaking,False,None,False
60, 19.382644244316367,17.60195257166523,18.83025133862532,48.35031,1.4000025,98.57918557312134,First,non,InsideOvertaking,False,None,False
61, 18.530258604474085,17.544059738689203,18.83025133862532,49.266693,1.3500025,98.55128664191275,First,non,InsideOvertaking,False,None,False
62, 17.96610189221712,17.58101441309146,18.83025133862532,50.18007,1.3000026,98.52367920610943,First,non,InsideOvertaking,False,None,False
63, 18.4664300430395,17.54992491080077,18.83025133862532,51.09417,1.2500026,98.49599654568541,First,non,InsideOvertaking,False,None,False
64, 18.940336443730423,17.589837367666142,18.83025133862532,52.00899,1.2000027,98.46824806371826,First,non,InsideOvertaking,False,None,False
65, 18.561734016679946,17.562305667732378,18.83025133862532,52.924538,1.1500027,98.44043376020798,First,non,InsideOvertaking,False,None,False
66, 19.115075657695183,17.643601529423748,18.83025133862532,53.84081,1.1000028,98.41253482899938,First,non,InsideOvertaking,False,None,False
67, 17.76381951611298,17.556631039326366,18.83025133862532,54.754074,1.0500028,98.38493679627366,First,non,InsideOvertaking,False,None,False
68, 19.05046420044535,17.657320750458474,18.83025133862532,55.668064,1.0000029,98.35727294200483,First,non,InsideOvertaking,False,None,False
69, 19.501665261083964,17.59906927851982,18.83025133862532,56.58278,0.95000285,98.32953386311526,First,non,InsideOvertaking,False,None,False
70, 18.654522438340642,17.634094319644124,18.83025133862532,57.49822,0.90000284,98.30172896268256,First,non,InsideOvertaking,False,None,False
71, 18.239887716516897,17.58980045269836,18.83025133862532,58.410652,0.8500028,98.27419675149997,First,non,InsideOvertaking,False,None,False
72, 17.782172606002682,17.57385197695333,18.83025133862532,59.32008,0.8000028,98.24696543880026,First,non,InsideOvertaking,False,None,False
73, 19.237416574506653,17.617694589023824,18.83025133862532,60.230232,0.7500028,98.2196683045574,First,non,InsideOvertaking,False,None,False
