turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 18.98089183626541,18.98089183626541,21.680073906023566,0,2,99.99999813546155,First,non,non,False,Late Start,False
2, 20.29251050819011,19.06080882563814,21.680073906023566,0.034450453,1.95,99.99353750974035,First,non,InsideOvertaking,False,Late Start,False
3, 19.876486357835443,19.07419923630141,21.680073906023566,0.14511813,1.9000001,99.98958468823128,First,non,InsideOvertaking,False,Late Start,False
4, 21.041225342420653,19.05612444617674,21.680073906023566,0.32027948,1.8500001,99.98751505055435,First,non,InsideOvertaking,False,Late Start,False
5, 20.52978180177698,18.993960249043205,21.680073906023566,0.5579543,1.8000002,99.98673194440633,First,non,InsideOvertaking,False,Late Start,False
6, 20.286088517379977,19.00886182263432,21.680073906023566,0.8574052,1.7500002,99.98662007209946,First,non,InsideOvertaking,False,Late Start,False
7, 20.96664724403012,18.958607681366665,21.680073906023566,1.2182736,1.7000003,99.98657345863828,First,non,InsideOvertaking,False,Late Start,False
8, 20.80373121702729,19.000572382211416,21.680073906023566,1.6403576,1.6500003,99.98597680633502,First,non,InsideOvertaking,False,Late Start,False
9, 19.42761297891209,18.98093947052848,21.680073906023566,2.1235318,1.6000004,99.98421481750196,First,non,InsideOvertaking,False,Late Start,False
10, 20.841661896928578,19.007868373138752,21.680073906023566,2.6677134,1.5500004,99.98068151714361,First,non,InsideOvertaking,False,Late Start,False
11, 20.07678120037575,18.979974402483336,21.680073906023566,3.2728443,1.5000005,99.97477093026447,First,non,InsideOvertaking,False,Late Start,False
12, 19.78115456479939,19.031416142783886,21.680073906023566,3.9388826,1.4500005,99.96584911379233,First,non,InsideOvertaking,False,Late Start,False
13, 20.28866926298759,19.059043455865996,21.680073906023566,4.6657968,1.4000006,99.95333806080842,First,non,InsideOvertaking,False,Late Start,False
14, 20.86612053190461,18.954777485696017,21.680073906023566,5.4535627,1.3500006,99.93660382824051,First,non,InsideOvertaking,False,Late Start,False
15, 20.174029070990787,18.97821463604981,21.680073906023566,6.302161,1.3000007,99.91504044109311,First,non,InsideOvertaking,False,Late Start,False
16, 19.885357799146394,19.064852787865675,21.680073906023566,7.2115774,1.2500007,99.88804192437074,First,non,InsideOvertaking,False,Late Start,False
17, 19.266740288510515,18.990656225885683,21.680073906023566,8.181799,1.2000008,99.8550023030779,First,non,InsideOvertaking,False,Late Start,False
18, 20.42496670741887,18.959761385523425,21.680073906023566,9.212815,1.1500008,99.81528763414235,First,non,InsideOvertaking,False,Late Start,False
19, 20.226527404628207,18.972996052356272,21.680073906023566,10.2408285,1.1000009,99.77592722751187,First,non,InsideOvertaking,False,Late Start,False
20, 19.815246372772258,19.07174154734018,21.680073906023566,11.265838,1.0500009,99.73690243780197,First,non,InsideOvertaking,False,Late Start,False
