turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.08629263020789,19.08629263020789,21.82061044183419,0.060562447,10,99.9935511579155,First,non,non,False,None,False
2, 20.040774952303366,19.045093903601163,21.82061044183419,0.17088579,9.95,99.98959378723272,First,non,InsideOvertaking,False,None,False
3, 20.248381001160144,18.997293450724804,21.82061044183419,0.34555775,9.9,99.98752220586591,First,non,InsideOvertaking,False,None,False
4, 20.131425299603578,19.078549166889836,21.82061044183419,0.5825914,9.849999,99.98673258964986,First,non,InsideOvertaking,False,None,False
5, 21.00858523310805,19.03795544529089,21.82061044183419,0.88124716,9.799999,99.98663040402191,First,non,InsideOvertaking,False,None,False
6, 20.11850430616455,19.074245531816867,21.82061044183419,1.2411654,9.749999,99.98657466640665,First,non,InsideOvertaking,False,None,False
7, 20.552960100799236,18.98092858067944,21.82061044183419,1.6621437,9.699999,99.98599871104906,First,non,InsideOvertaking,False,None,False
8, 19.49326423510341,18.985750846692255,21.82061044183419,2.1440563,9.649999,99.9842708449763,First,non,InsideOvertaking,False,None,False
9, 20.127894846554582,19.056726838311363,21.82061044183419,2.68682,9.599998,99.98079653362568,First,non,InsideOvertaking,False,None,False
10, 20.88218441997676,19.094075958578163,21.82061044183419,3.290377,9.549998,99.974971952832,First,non,InsideOvertaking,False,None,False
11, 20.911288619363546,18.99695221432985,21.82061044183419,3.9546847,9.499998,99.96619327843004,First,non,InsideOvertaking,False,None,False
12, 19.58791828526769,19.038729340948763,21.82061044183419,4.6797123,9.449998,99.9538381070495,First,non,InsideOvertaking,False,None,False
13, 21.064319371414868,19.019594083377008,21.82061044183419,5.465435,9.399998,99.93731190412772,First,non,InsideOvertaking,False,None,False
14, 20.493055644789777,19.02363432547714,21.82061044183419,6.311834,9.3499975,99.91602013510203,First,non,InsideOvertaking,False,None,False
15, 20.654531980159067,18.984476515260624,21.82061044183419,7.2188935,9.299997,99.88933110699958,First,non,InsideOvertaking,False,None,False
16, 19.82134391914904,18.996698955075153,21.82061044183419,8.186602,9.249997,99.85666886446276,First,non,InsideOvertaking,False,None,False
17, 19.302097375267213,19.001523614260535,21.82061044183419,9.151306,9.199997,99.82430388920729,First,non,InsideOvertaking,False,None,False
18, 19.998790919861797,19.085027821621463,21.82061044183419,10.116573,9.149997,99.79188317633657,First,non,InsideOvertaking,False,None,False
19, 19.270896487979538,19.056471982103137,21.82061044183419,11.078836,9.099997,99.75977830995227,First,non,InsideOvertaking,False,None,False
20, 20.966563040191012,19.05639994596897,21.82061044183419,12.041663,9.049996,99.72761770595271,First,non,InsideOvertaking,False,None,False
21, 20.031727625486706,19.08169983557329,21.82061044183419,13.005053,8.999996,99.69539207473537,First,non,InsideOvertaking,False,None,False
22, 21.103536215798723,19.085272056339846,21.82061044183419,13.969006,8.949996,99.66311999550531,First,non,InsideOvertaking,False,None,False
23, 20.265033980069013,19.04781745656266,21.82061044183419,14.933522,8.899996,99.63077359945493,First,non,InsideOvertaking,False,None,False
24, 20.540011683112628,19.018455020466696,21.82061044183419,15.898602,8.849996,99.59838075539183,First,non,InsideOvertaking,False,None,False
25, 19.691978362303495,19.063498184647376,21.82061044183419,16.864244,8.799995,99.5659135945084,First,non,InsideOvertaking,False,None,False
26, 19.488062984635125,19.01955574155108,21.82061044183419,17.83045,8.749995,99.53339998561226,First,non,InsideOvertaking,False,None,False
27, 20.1959476084359,19.0114410621548,21.82061044183419,18.797218,8.699995,99.50083063910087,First,non,InsideOvertaking,False,None,False
28, 19.596558874881847,19.026245361899175,21.82061044183419,19.764551,8.649995,99.46820555497423,First,non,InsideOvertaking,False,None,False
29, 20.978348008311226,19.081733308855178,21.82061044183419,20.732447,8.599995,99.4355154436298,First,non,InsideOvertaking,False,None,False
30, 20.830098446861626,19.0484579940525,21.82061044183419,21.700905,8.549994,99.40276959467012,First,non,InsideOvertaking,False,None,False
31, 20.566036152931645,19.054527399653633,21.82061044183419,22.669926,8.499994,99.36995871849264,First,non,InsideOvertaking,False,None,False
32, 20.887722894534857,18.987297714509968,21.82061044183419,23.639511,8.449994,99.3370921046999,First,non,InsideOvertaking,False,None,False
33, 20.481525905020618,19.07876580403577,21.82061044183419,24.60966,8.399994,99.30417904289448,First,non,InsideOvertaking,False,None,False
34, 20.448336755657007,19.067210939638244,21.82061044183419,25.58037,8.349994,99.27119166426871,First,non,InsideOvertaking,False,None,False
35, 20.21456674231559,19.101138815611556,21.82061044183419,26.551645,8.2999935,99.23814854802768,First,non,InsideOvertaking,False,None,False
36, 20.655948708112874,19.035051571925862,21.82061044183419,27.523483,8.249993,99.20504969417142,First,non,InsideOvertaking,False,None,False
37, 19.33752321780849,19.039752279172696,21.82061044183419,28.492317,8.199993,99.17226668680156,First,non,InsideOvertaking,False,None,False
38, 20.507212738322636,19.05449066036732,21.82061044183419,29.461714,8.149993,99.13941865221392,First,non,InsideOvertaking,False,None,False
39, 20.60883704730221,19.07026591941108,21.82061044183419,30.431675,8.099993,99.10651488001103,First,non,InsideOvertaking,False,None,False
40, 19.767374619164972,19.04684212952177,21.82061044183419,31.402199,8.049993,99.07355537019289,First,non,InsideOvertaking,False,None,False
41, 19.837686905082737,19.099732784908973,21.82061044183419,32.373287,7.9999924,99.04053083315695,First,non,InsideOvertaking,False,None,False
42, 19.7565688168708,19.000997850486314,21.82061044183419,33.344936,7.949992,99.00745055850577,First,non,InsideOvertaking,False,None,False
