turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt, SpecialStatus, SkillStatus
1, 19.939642502527576,19.939642502527576,22.698243507048804,0,5,99.99999463277902,First,non,non,False,Late Start,False
2, 19.9436826048477,19.9436826048477,22.698243507048804,0.06073821,5,99.98681139628466,First,non,non,False,Late Start,False
3, 20.84284446018568,19.94933106889923,22.698243507048804,0.17144738,4.95,99.97803599000751,First,non,InsideOvertaking,False,Late Start,False
4, 21.532618948549057,19.939529874019442,22.698243507048804,0.34666774,4.8999996,99.97278282248838,First,non,InsideOvertaking,False,Late Start,False
5, 22.064415542520024,19.88324994013512,22.698243507048804,0.58441985,4.8499994,99.97015288421572,First,non,InsideOvertaking,False,Late Start,False
6, 21.54576115768673,19.921764964637173,22.698243507048804,0.88396657,4.799999,99.96924716567794,First,non,InsideOvertaking,False,Late Start,False
7, 21.58390002246386,19.965229611205487,22.698243507048804,1.2449496,4.749999,99.96916665736347,First,non,InsideOvertaking,False,Late Start,False
8, 21.97336486554245,19.896496782015934,22.698243507048804,1.6671668,4.699999,99.96901905878694,First,non,InsideOvertaking,False,Late Start,False
9, 21.06021813642662,19.91809377861416,22.698243507048804,2.1504931,4.6499987,99.96789865141058,First,non,InsideOvertaking,False,Late Start,False
10, 20.831965830314562,19.98042537515666,22.698243507048804,2.6948457,4.5999985,99.96491984377522,First,non,InsideOvertaking,False,Late Start,False
11, 20.933572341366865,19.991843006757822,22.698243507048804,3.3001661,4.5499983,99.95916349929065,First,non,InsideOvertaking,False,Late Start,False
12, 20.369066670723313,19.97595273952269,22.698243507048804,3.966413,4.499998,99.94975073552395,First,non,InsideOvertaking,False,Late Start,False
13, 20.563190652073757,19.87862865170427,22.698243507048804,4.6935544,4.449998,99.93578925198973,First,non,InsideOvertaking,False,Late Start,False
14, 20.789457894849534,19.960919751362503,22.698243507048804,5.4815664,4.3999977,99.916366621124,First,non,InsideOvertaking,False,Late Start,False
15, 19.934923995180945,19.934923995180945,22.698243507048804,6.3319016,4.3999977,99.89057712438898,First,non,non,False,Late Start,False
16, 19.944397901513426,19.944397901513426,22.698243507048804,7.2429748,4.3999977,99.85754187935173,First,non,non,False,Late Start,False
17, 19.994046371858712,19.994046371858712,22.698243507048804,8.214787,4.3999977,99.81636858552687,First,non,non,False,Late Start,False
18, 19.890687132027494,19.890687132027494,22.698243507048804,9.247336,4.3999977,99.766131397298,First,non,non,False,Late Start,False
19, 19.90560020651584,19.90560020651584,22.698243507048804,10.276886,4.3999977,99.71638396798215,First,non,non,False,Late Start,False
20, 19.89850886944765,19.89850886944765,22.698243507048804,11.303435,4.3999977,99.6670793343959,First,non,non,False,Late Start,False
21, 19.983703441093525,19.983703441093525,22.698243507048804,12.326984,4.3999977,99.61825104167023,First,non,non,False,None,False
22, 19.92044105478708,19.92044105478708,22.698243507048804,13.347534,4.3999977,99.56988567175277,First,non,non,False,None,False
23, 19.991314887456895,19.991314887456895,22.698243507048804,14.365084,4.3999977,99.52196980659112,First,non,non,False,None,False
24, 19.971730151134203,19.971730151134203,22.698243507048804,15.379633,4.3999977,99.47452357326384,First,non,non,False,None,False
25, 20.003646711121434,20.003646711121434,22.698243507048804,16.391182,4.3999977,99.42751342663996,First,non,non,False,None,False
26, 19.96930409330728,19.96930409330728,22.698243507048804,17.39973,4.3999977,99.38097291185048,First,non,non,False,None,False
27, 19.9678073511918,19.9678073511918,22.698243507048804,18.405281,4.3999977,99.33488190181677,First,non,non,False,None,False
28, 19.99787869402244,19.99787869402244,22.698243507048804,19.407831,4.3999977,99.28922697848645,First,non,non,False,None,False
29, 19.97010977363892,19.97010977363892,22.698243507048804,20.407381,4.3999977,99.24402155991191,First,non,non,False,None,False
30, 19.989919423256648,19.989919423256648,22.698243507048804,21.40393,4.3999977,99.19927235511938,First,non,non,False,None,False
31, 19.938477805682428,19.938477805682428,22.698243507048804,22.401218,4.3999977,99.15440909688134,First,non,non,False,None,False
32, 19.96008810316016,19.96008810316016,22.698243507048804,23.399244,4.3999977,99.10942507617159,First,non,non,False,None,False
33, 19.98064512098633,19.98064512098633,22.698243507048804,24.398008,4.3999977,99.06434042006876,First,non,non,False,None,False
34, 20.000780187469317,20.000780187469317,22.698243507048804,25.39751,4.3999977,99.01914841954664,First,non,non,False,None,False
35, 19.959002689241572,19.959002689241572,22.698243507048804,26.394012,4.3999977,98.97439250572789,First,non,non,False,None,False
36, 19.971799620774632,19.971799620774632,22.698243507048804,27.391253,4.3999977,98.92954266554226,First,non,non,False,None,False
37, 20.00270637982923,20.00270637982923,22.698243507048804,28.38923,4.3999977,98.88456535385872,First,non,non,False,None,False
38, 19.914042621847983,19.914042621847983,22.698243507048804,29.384209,4.3999977,98.84003754693097,First,non,non,False,None,False
39, 19.950464120910436,19.950464120910436,22.698243507048804,30.379925,4.3999977,98.79540239558392,First,non,non,False,None,False
40, 21.16089251635455,19.93464892993246,22.698243507048804,31.375124,4.3499975,98.75065989981759,First,non,InsideOvertaking,False,None,False
41, 20.60577326807143,19.9222587571349,22.698243507048804,32.371063,4.2999973,98.70580335060576,First,non,InsideOvertaking,False,None,False
42, 20.961976660255093,19.925757340056432,22.698243507048804,33.36774,4.249997,98.66084616600084,First,non,InsideOvertaking,False,None,False
43, 21.86125103774495,19.895933607664542,22.698243507048804,34.365158,4.199997,98.61577492795041,First,non,InsideOvertaking,False,None,False
44, 21.322406548419615,19.99488895155293,22.698243507048804,35.363316,4.1499968,98.57059634548071,First,non,InsideOvertaking,False,None,False
45, 20.817966146075975,19.877045217122816,22.698243507048804,36.362213,4.0999966,98.52529700053928,First,non,InsideOvertaking,False,None,False
